"Time","smee.is[1]","smee.is[2]","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re"
2,-0.00017153197,0.00018563298,300.02209,157.07968,0.45015833,6.1211989e-07,-0.45015827,-5.5496957e-06,-0.46170077
2,-0.00017153197,0.00018563298,300.02209,157.07968,0.45015833,6.1211989e-07,-0.45015827,-5.5496957e-06,-0.46170077
2.0000999,-0.00028683819,0.0023673899,300.03781,157.09692,0.44993621,0.014140038,-0.45015827,-5.5412506e-06,-0.46170077
2.0002,-0.00073575124,0.0079020271,300.05353,157.11417,0.44927007,0.028265301,-0.45015827,-5.5155424e-06,-0.46170077
2.0002999,-0.0018290234,0.015803343,300.06921,157.13139,0.44816056,0.042363059,-0.45015827,-5.4614461e-06,-0.46170077
2.0004001,-0.003819932,0.026318572,300.08493,157.14864,0.44660878,0.056419302,-0.45015827,-5.3696622e-06,-0.46170077
2.0005,-0.0072538606,0.039976202,300.10065,157.16585,0.44461635,0.070419967,-0.45015827,-5.2288169e-06,-0.46170077
2.0006001,-0.012558077,0.05688135,300.11636,157.18307,0.44218525,0.084351249,-0.45015827,-5.0273416e-06,-0.46170077
2.0007,-0.019800706,0.077102706,300.13208,157.20029,0.43931788,0.098199315,-0.45015827,-4.7535154e-06,-0.46170077
2.0007999,-0.029085636,0.1005585,300.14783,157.21748,0.43601692,0.11195051,-0.45015827,-4.3955883e-06,-0.46170077
2.0009,-0.040387481,0.12709443,300.16354,157.23466,0.43228558,0.12559126,-0.45015827,-3.9417928e-06,-0.4617008
2.0009999,-0.054465078,0.15679573,300.17926,157.25185,0.42812771,0.13910818,-0.4501583,-3.3807776e-06,-0.4617008
2.0011001,-0.071040489,0.18943706,300.19498,157.269,0.42354721,0.1524879,-0.4501583,-2.7012766e-06,-0.4617008
2.0012,-0.090266615,0.22493158,300.21072,157.28615,0.41854855,0.1657172,-0.4501583,-1.8923356e-06,-0.4617008
2.0013001,-0.1125863,0.26315573,300.22644,157.30327,0.41313681,0.1787831,-0.45015833,-9.4360757e-07,-0.46170083
2.0014,-0.13782459,0.3039037,300.24219,157.32039,0.40731716,0.1916727,-0.45015833,1.5514114e-07,-0.46170083
2.0014999,-0.1659832,0.34703758,300.2579,157.33748,0.40109524,0.20437321,-0.45015836,1.413759e-06,-0.46170083
2.0016,-0.1976492,0.39241159,300.27365,157.35454,0.39447737,0.21687222,-0.45015836,2.8425807e-06,-0.46170086
2.0016999,-0.23297532,0.44000733,300.28937,157.37158,0.38747007,0.2291573,-0.45015839,4.4510452e-06,-0.46170086
2.0018001,-0.27234378,0.48989531,300.30511,157.38861,0.38008037,0.24121627,-0.45015839,6.248576e-06,-0.46170086
2.0019,-0.31528088,0.54125607,300.32086,157.40561,0.37231529,0.25303745,-0.45015842,8.2449023e-06,-0.46170089
2.0020001,-0.36220634,0.59427607,300.33661,157.42259,0.36418265,0.26460898,-0.45015845,1.0449107e-05,-0.46170089
2.0021,-0.41331366,0.64896369,300.35233,157.43954,0.35569051,0.27591941,-0.45015845,1.2870249e-05,-0.46170092
2.0021999,-0.46837491,0.70452136,300.36807,157.45647,0.34684709,0.28695774,-0.45015848,1.5517964e-05,-0.46170092
2.0023,-0.52757716,0.76099527,300.38382,157.47336,0.33766124,0.29771298,-0.45015851,1.8401175e-05,-0.46170095
2.0023999,-0.59107417,0.81839508,300.39957,157.49022,0.32814202,0.30817443,-0.45015854,2.1528815e-05,-0.46170095
2.0025001,-0.65855771,0.87591773,300.41531,157.50705,0.3182987,0.31833193,-0.45015857,2.4909808e-05,-0.46170098
2.0026,-0.73009944,0.93345875,300.43109,157.52385,0.30814102,0.3281754,-0.4501586,2.8552953e-05,-0.46170098
2.0027001,-0.80581319,0.99101245,300.44684,157.54062,0.29767907,0.33769497,-0.45015863,3.2466949e-05,-0.46170101
2.0028,-0.88536859,1.0478514,300.46259,157.55734,0.28692305,0.34688142,-0.45015866,3.6660142e-05,-0.46170104
2.0028999,-0.96872693,1.1037339,300.47833,157.57405,0.27588359,0.35572568,-0.45015872,4.1140895e-05,-0.46170107
2.003,-1.0559818,1.1586483,300.49411,157.59071,0.26457164,0.36421886,-0.45015875,4.5917499e-05,-0.4617011
2.0030999,-1.1468722,1.2120825,300.50986,157.60733,0.25299832,0.37235263,-0.4501588,5.0998198e-05,-0.46170112
2.0032001,-1.2412211,1.2636498,300.52563,157.62392,0.241175,0.380119,-0.45015886,5.639112e-05,-0.46170115
2.0033,-1.3389913,1.3131679,300.54138,157.64047,0.22911339,0.38751021,-0.45015892,6.2104264e-05,-0.46170121
2.0034001,-1.4399545,1.3602575,300.55716,157.65698,0.21682538,0.39451903,-0.45015898,6.8145586e-05,-0.46170124
2.0035,-1.5438614,1.4045169,300.57291,157.67345,0.20432305,0.40113845,-0.45015904,7.4522992e-05,-0.4617013
2.0035999,-1.650517,1.4455808,300.58868,157.68988,0.19161876,0.40736204,-0.45015913,8.1244303e-05,-0.46170136
