"Time","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
0,-0,0
9.9999997e-05,-0.00022145075,0.014094749
0.00019999999,-0.00088343822,0.028086821
0.00030000001,-0.0019820645,0.041964192
0.00039999999,-0.0035128815,0.055714305
0.00050000002,-0.005471006,0.069324575
0.00060000003,-0.0078512048,0.082782745
0.00069999998,-0.010647893,0.096076697
0.00079999998,-0.01385511,0.10919449
0.00089999998,-0.017466519,0.12212442
0.001,-0.021475418,0.13485479
0.0011,-0.025874743,0.1473742
0.0012000001,-0.030657079,0.15967134
0.0013,-0.035814676,0.17173518
0.0014,-0.041339442,0.18355486
0.0015,-0.04722295,0.19511978
0.0016,-0.05345647,0.20641957
0.0017,-0.060030937,0.21744408
0.0018,-0.066937,0.22818346
0.0019,-0.074165002,0.23862809
0.0020000001,-0.081705004,0.24876864
0.0020999999,-0.0895468,0.25859606
0.0022,-0.097679898,0.26810163
0.0023000001,-0.10609356,0.27727687
0.0024000001,-0.11477681,0.28611368
0.0024999999,-0.1237184,0.29460424
0.0026,-0.1329069,0.30274105
0.0027000001,-0.14233063,0.31051695
0.0027999999,-0.15197775,0.31792518
0.0029,-0.16183619,0.32495928
0.003,-0.17189372,0.33161312
0.0031000001,-0.18213792,0.337881
0.0031999999,-0.19255625,0.34375754
0.0033,-0.203136,0.34923777
0.0034,-0.21386433,0.35431707
0.0035000001,-0.22472827,0.35899118
0.0035999999,-0.23571478,0.36325634
0.0037,-0.24681069,0.36710903
0.0038000001,-0.25800276,0.37054625
0.0038999999,-0.26927769,0.37356538
0.0040000002,-0.28062212,0.37616411
0.0041,-0.29202268,0.37834066
0.0041999999,-0.30346584,0.38009354
0.0043000001,-0.31493825,0.3814218
0.0044,-0.32642642,0.38232478
0.0044999998,-0.33791685,0.38280231
0.0046000001,-0.3493962,0.38285458
0.0046999999,-0.36085105,0.3824822
0.0048000002,-0.37226802,0.38168624
0.0049000001,-0.38363388,0.3804681
0.0049999999,-0.39493543,0.37882966
0.0051000002,-0.40615952,0.37677315
0.0052,-0.41729313,0.37430125
0.0052999998,-0.42832339,0.37141705
0.0054000001,-0.43923748,0.36812395
0.0055,-0.45002276,0.36442587
0.0055999998,-0.46066672,0.36032701
0.0057000001,-0.47115704,0.35583207
0.0057999999,-0.48148155,0.35094601
0.0059000002,-0.49162826,0.34567428
0.0060000001,-0.50158542,0.34002265
0.0060999999,-0.51134139,0.33399725
0.0062000002,-0.52088487,0.32760459
0.0063,-0.53020465,0.32085153
0.0063999998,-0.53928995,0.31374526
0.0065000001,-0.54812998,0.3062934
0.0066,-0.55671448,0.29850376
0.0066999998,-0.56503326,0.29038459
0.0068000001,-0.57307655,0.28194445
0.0068999999,-0.58083475,0.27319211
0.0070000002,-0.58829862,0.26413676
0.0071,-0.59545922,0.25478786
0.0071999999,-0.60230798,0.24515507
0.0073000002,-0.60883647,0.2352484
0.0074,-0.61503679,0.22507814
0.0074999998,-0.62090135,0.21465474
0.0076000001,-0.62642276,0.203989
0.0077,-0.63159418,0.19309187
0.0077999998,-0.63640898,0.18197459
0.0078999996,-0.64086092,0.17064853
0.0080000004,-0.64494425,0.15912531
0.0081000002,-0.64865339,0.14741676
0.0082,-0.65198326,0.13553482
0.0082999999,-0.65492928,0.12349165
0.0083999997,-0.65748698,0.11129954
0.0085000005,-0.65965265,0.09897092
0.0086000003,-0.66142261,0.08651837
0.0087000001,-0.66279387,0.073954552
0.0088,-0.66376358,0.06129222
0.0088999998,-0.66432959,0.048544262
0.0089999996,-0.66448992,0.035723627
0.0091000004,-0.66424316,0.022843316
0.0092000002,-0.66358817,0.0099163735
0.0093,-0.66252434,-0.003044093
0.0093999999,-0.66105145,-0.016024956
0.0094999997,-0.65916955,-0.029013097
0.0096000005,-0.65687937,-0.041995384
0.0097000003,-0.65418184,-0.054958694
0.0098000001,-0.6510784,-0.067889936
0.0098999999,-0.64757079,-0.080776058
0.0099999998,-0.64366132,-0.093604065
0.0101,-0.63935256,-0.10636102
0.0102,-0.63464761,-0.11903405
0.0103,-0.62954986,-0.13161041
0.0104,-0.62406313,-0.14407744
0.0105,-0.61819172,-0.15642256
0.0106,-0.61194015,-0.16863337
0.0107,-0.60531348,-0.18069759
0.0108,-0.59831709,-0.1926031
0.0109,-0.59095675,-0.20433792
0.011,-0.58323848,-0.21589027
0.0111,-0.57516891,-0.22724855
0.0112,-0.56675476,-0.23840137
0.0113,-0.55800325,-0.24933752
0.0114,-0.54892194,-0.26004604
0.0115,-0.53951865,-0.27051622
0.0116,-0.52980167,-0.28073752
0.0117,-0.51977938,-0.29069972
0.0118,-0.50946069,-0.30039284
0.0119,-0.49885473,-0.30980718
0.012,-0.48797083,-0.31893331
0.0121,-0.47681877,-0.3277621
0.0122,-0.4654085,-0.33628473
0.0123,-0.45375025,-0.34449264
0.0124,-0.44185451,-0.35237765
0.0125,-0.42973205,-0.35993192
0.0126,-0.4173938,-0.3671478
0.0127,-0.40485096,-0.37401819
0.0128,-0.39211494,-0.3805362
0.0129,-0.37919733,-0.3866953
0.013,-0.36610994,-0.39248934
0.0131,-0.35286474,-0.39791259
0.0132,-0.33947384,-0.40295961
0.0133,-0.32594955,-0.40762538
0.0134,-0.31230429,-0.41190526
0.0135,-0.29855064,-0.415795
0.0136,-0.2847012,-0.41929072
0.0137,-0.27076882,-0.42238897
0.0138,-0.25676632,-0.42508665
0.0139,-0.24270669,-0.4273811
0.014,-0.2286029,-0.42927006
0.0141,-0.21446805,-0.43075165
0.0142,-0.20031521,-0.43182445
0.0143,-0.18615754,-0.43248737
0.0144,-0.17200817,-0.43273982
0.0145,-0.15788026,-0.43258154
0.0146,-0.14378692,-0.43201274
0.0147,-0.12974128,-0.431034
0.0148,-0.1157564,-0.42964634
0.0149,-0.10184531,-0.42785117
0.015,-0.088020951,-0.4256503
0.0151,-0.074296214,-0.42304596
0.0152,-0.060683884,-0.42004085
0.0153,-0.047196649,-0.4166379
0.0154,-0.033847086,-0.41284057
0.0155,-0.020647636,-0.40865272
0.0156,-0.0076106116,-0.40407854
0.015699999,0.0052518346,-0.39912263
0.015799999,0.017927712,-0.39378998
0.015900001,0.030405201,-0.3880859
0.016000001,0.042672668,-0.38201615
0.016100001,0.054718688,-0.37558687
0.0162,0.066532038,-0.36880443
0.0163,0.078101702,-0.36167565
0.0164,0.089416929,-0.35420772
0.0165,0.10046719,-0.3464081
0.0166,0.11124219,-0.33828458
0.0167,0.12173192,-0.32984531
0.016799999,0.13192667,-0.32109877
0.016899999,0.14181694,-0.31205374
0.017000001,0.15139359,-0.30271921
0.017100001,0.16064773,-0.29310459
0.017200001,0.16957083,-0.28321946
0.0173,0.17815463,-0.2730737
0.0174,0.18639122,-0.26267755
0.0175,0.19427301,-0.25204134
0.0176,0.20179276,-0.24117571
0.0177,0.20894358,-0.23009156
0.0178,0.21571894,-0.21879998
0.017899999,0.22211264,-0.20731224
0.017999999,0.22811888,-0.19563983
0.018100001,0.23373224,-0.18379445
0.018200001,0.23894763,-0.17178793
0.018300001,0.24376038,-0.15963227
0.0184,0.24816619,-0.14733961
0.0185,0.2521612,-0.13492228
0.0186,0.25574186,-0.12239264
0.0187,0.25890508,-0.10976323
0.0188,0.26164821,-0.097046703
0.0189,0.26396888,-0.084255733
0.018999999,0.26586521,-0.071403101
0.019099999,0.26733577,-0.058501668
0.019200001,0.26837945,-0.04556432
0.019300001,0.26899561,-0.032603972
0.019400001,0.26918396,-0.019633578
0.0195,0.26894474,-0.0066660978
0.0196,0.26827848,0.0062855193
0.0197,0.26718616,0.019208334
0.0198,0.26566926,0.032089438
0.0199,0.26372948,0.044915967
0.02,0.26136914,0.057675112
0.020099999,0.25859079,0.070354126
0.020199999,0.2553975,0.08294034
0.020300001,0.2517927,0.095421195
0.020400001,0.2477802,0.10778423
0.020500001,0.24336426,0.12001708
0.0206,0.23854944,0.13210754
0.0207,0.23334077,0.14404353
0.0208,0.22774363,0.15581314
0.0209,0.22176376,0.16740462
0.021,0.21540728,0.17880636
0.0211,0.2086807,0.190007
0.021199999,0.20159087,0.20099536
0.021299999,0.19414495,0.21176043
