"time","medium.T","eta","lambda","s","cv","u","h","d"
0,243.14999999999998,0.16625501162196471,0.39664390441474268,-401.29833996167275,3452.7233697853367,-105223.33822543504,-105128.34143377881,1066.351802349129
0.000202,243.15020199999998,0.16625187574543968,0.39664389284453827,-401.29551386895497,3452.7240671522327,-105222.64078192684,-105127.64398358768,1066.3517273323939
0.00040400000000000001,243.15040399999998,0.16624873993812303,0.39664388127433814,-401.29268777804049,3452.7247645190655,-105221.94333827776,-105126.94653325567,1066.3516523154885
0.00060599999999999998,243.15060599999998,0.16624560420001239,0.39664386970414234,-401.28986168892993,3452.7254618858365,-105221.24589448785,-105126.2490827828,1066.3515772984131
0.00080800000000000002,243.15080799999998,0.16624246853110677,0.39664385813395081,-401.28703560162296,3452.7261592525442,-105220.54845055709,-105125.55163216907,1066.3515022811673
0.00101,243.15100999999999,0.16623933293140378,0.39664384656376361,-401.28420951611952,3452.7268566191897,-105219.85100648546,-105124.85418141446,1066.351427263751
0.001212,243.15121199999999,0.16623619740090165,0.39664383499358069,-401.28138343241977,3452.7275539857728,-105219.153562273,-105124.15673051898,1066.3513522461647
0.0014140000000000001,243.15141399999999,0.16623306193959944,0.39664382342340204,-401.27855735052356,3452.7282513522932,-105218.45611791968,-105123.45927948263,1066.351277228408
0.001616,243.15161599999999,0.16622992654749469,0.39664381185322772,-401.27573127043064,3452.7289487187509,-105217.7586734255,-105122.76182830542,1066.3512022104812
0.001818,243.15181799999996,0.16622679122458642,0.39664380028305768,-401.27290519214205,3452.7296460851462,-105217.06122879057,-105122.06437698743,1066.351127192384
0.0020200000000000001,243.15201999999996,0.16622365597087219,0.39664378871289191,-401.27007911565664,3452.7303434514788,-105216.3637840147,-105121.36692552849,1066.3510521741166
0.002222,243.15222199999997,0.16622052078635033,0.39664377714273047,-401.26725304097477,3452.7310408177491,-105215.66633909797,-105120.66947392868,1066.3509771556787
0.0024239999999999999,243.15242399999997,0.16621738567101982,0.39664376557257336,-401.26442696809647,3452.7317381839566,-105214.96889404037,-105119.97202218798,1066.3509021370708
0.0026259999999999999,243.15262599999997,0.16621425062487888,0.39664375400242047,-401.26160089702171,3452.7324355501014,-105214.27144884194,-105119.27457030643,1066.3508271182925
0.0028280000000000002,243.15282799999997,0.16621111564792451,0.39664374243227191,-401.25877482775024,3452.7331329161839,-105213.57400350265,-105118.57711828401,1066.3507520993439
0.0030300000000000001,243.15302999999997,0.16620798074015575,0.39664373086212767,-401.25594876028271,3452.7338302822036,-105212.87655802253,-105117.87966612073,1066.3506770802253
0.0032320000000000001,243.15323199999997,0.16620484590157139,0.39664371929198772,-401.2531226946187,3452.734527648161,-105212.17911240154,-105117.18221381657,1066.3506020609361
0.003434,243.15343399999998,0.16620171113216922,0.39664370772185203,-401.25029663075827,3452.7352250140557,-105211.48166663969,-105116.48476137154,1066.3505270414767
0.0036359999999999999,243.15363599999998,0.16619857643194738,0.39664369615172068,-401.24747056870137,3452.7359223798881,-105210.784220737,-105115.78730878564,1066.3504520218471
0.0038380000000000003,243.15383799999998,0.16619544180090495,0.3966436845815936,-401.24464450844806,3452.7366197456577,-105210.08677469347,-105115.0898560589,1066.3503770020473
0.0040400000000000002,243.15403999999998,0.16619230723903886,0.39664367301147085,-401.24181844999828,3452.7373171113645,-105209.38932850906,-105114.39240319126,1066.3503019820771
