"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rectifier.thyristor_n1.off","rectifier.thyristor_n2.off","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2.twoPulse.timerPositive[1].entryTime","pulse2.twoPulse.timerNegative[1].entryTime","inductor.i"
4.9499998,0,1,1,0,2.0239959,0.017126393,12099.975,120.9999,6.1787038,0.061631534,4.9400001,4.9299998,6.3351927
4.9499998,0,1,1,0,1.7126393,0,12099.99,0,6.1631532,0,4.9400001,4.9499998,6.3351927
4.9502001,0,1,1,0,1.7126393,-0.00097713643,12099.99,0.0063645211,6.1631532,0.0012668396,4.9400001,4.9499998,6.3328791
4.9503999,0,1,1,0,1.7126393,-0.0039046346,12099.99,0.050792977,6.1631532,0.0025330223,4.9400001,4.9499998,6.3286276
4.9506001,0,1,1,0,1.7126393,-0.0087709585,12099.99,0.17075044,6.1631532,0.0037981628,4.9400001,4.9499998,6.3224587
4.9507999,0,1,1,0,1.7126393,-0.015556892,12099.99,0.40250996,6.1631532,0.0050618798,4.9400001,4.9499998,6.3143983
4.9510002,0,1,1,0,1.7126393,-0.024235656,12099.99,0.78058219,6.1631532,0.0063237986,4.9400001,4.9499998,6.3044815
4.9512,0,1,1,0,1.7126393,-0.034773,12099.99,1.33717,6.1631532,0.0075835511,4.9400001,4.9499998,6.2927489
4.9513998,0,1,1,0,1.7126393,-0.047127333,12099.99,2.1016595,6.1631532,0.0088407798,4.9400001,4.9499998,6.2792501
4.9516001,0,1,1,0,1.7126393,-0.061249904,12099.99,3.1001589,6.1631532,0.010095137,4.9400001,4.9499998,6.2640405
4.9517999,0,1,1,0,1.7126393,-0.077084981,12099.99,4.3550868,6.1631532,0.011346286,4.9400001,4.9499998,6.2471824
4.9520001,0,1,1,0,1.7126393,-0.094570056,12099.99,5.8848162,6.1631532,0.012593905,4.9400001,4.9499998,6.2287445
4.9521999,0,1,1,0,1.7126393,-0.11363614,12099.99,7.7033877,6.1631532,0.013837684,4.9400001,4.9499998,6.2088032
4.9524002,0,1,1,0,1.7126393,-0.13420798,12099.99,9.8202868,6.1631532,0.015077331,4.9400001,4.9499998,6.1874385
4.9526,0,1,1,0,1.7126393,-0.15620439,12099.99,12.240293,6.1631532,0.016312569,4.9400001,4.9499998,6.1647372
4.9527998,0,1,1,0,1.7126393,-0.17953855,12099.99,14.963407,6.1631532,0.017543143,4.9400001,4.9499998,6.1407914
4.9530001,0,1,1,0,1.7126393,-0.20411839,12099.99,17.984846,6.1631532,0.01876881,4.9400001,4.9499998,6.1156983
4.9531999,0,1,1,0,1.7126393,-0.22984688,12099.99,21.295128,6.1631532,0.019989353,4.9400001,4.9499998,6.0895591
4.9534001,0,1,1,0,1.7126393,-0.25662252,12099.99,24.880213,6.1631532,0.02120457,4.9400001,4.9499998,6.062479
4.9535999,0,1,1,0,1.7126393,-0.28433958,12099.99,28.721725,6.1631532,0.022414289,4.9400001,4.9499998,6.0345674
4.9538002,0,1,1,0,1.7126393,-0.31288874,12099.99,32.797245,6.1631532,0.02361835,4.9400001,4.9499998,6.0059371
4.954,0,1,1,0,1.7126393,-0.3421573,12099.99,37.080669,6.1631532,0.024816623,4.9400001,4.9499998,5.9767032
4.9541998,0,1,1,0,1.7126393,-0.37202972,12099.99,41.542606,6.1631532,0.026008999,4.9400001,4.9499998,5.9469833
4.9544001,0,1,1,0,1.7126393,-0.40238816,12099.99,46.150856,6.1631532,0.027195392,4.9400001,4.9499998,5.9168968
4.9545999,0,1,1,0,1.7126393,-0.43311277,12099.99,50.870911,6.1631532,0.028375741,4.9400001,4.9499998,5.8865652
4.9548001,0,1,1,0,1.7126393,-0.46408233,12099.99,55.666504,6.1631532,0.02955001,4.9400001,4.9499998,5.8561106
4.9549551,0,1,1,0,1.7126393,-0.48816746,12099.99,59.410137,6.1631532,0.030455614,4.9400001,4.9499998,5.8325076
4.9549551,1,0,0,1,1.7126393,-0.48816746,12099.99,59.410137,6.1631532,0.030455614,4.9400001,4.9499998,5.8325076
4.9549999,1,0,0,1,1.7126393,-0.48116037,12099.99,60.500141,6.1631532,0.030718502,4.9400001,4.9499998,5.8396626
4.9552002,1,0,0,1,1.7126393,-0.45006916,12099.99,65.333458,6.1631532,0.031889733,4.9400001,4.9499998,5.8713293
4.9554,1,0,0,1,1.7126393,-0.41909972,12099.99,70.129013,6.1631532,0.033067144,4.9400001,4.9499998,5.9027505
4.9555998,1,0,0,1,1.7126393,-0.38837507,12099.99,74.849098,6.1631532,0.034250807,4.9400001,4.9499998,5.9338017
4.9558001,1,0,0,1,1.7126393,-0.35801664,12099.99,79.457382,6.1631532,0.035440631,4.9400001,4.9499998,5.9643636
4.9559999,1,0,0,1,1.7126393,-0.32814422,12099.99,83.919342,6.1631532,0.036636509,4.9400001,4.9499998,5.9943185
4.9562001,1,0,0,1,1.7126393,-0.29887569,12099.99,88.202766,6.1631532,0.03783831,4.9400001,4.9499998,6.023551
4.9563999,1,0,0,1,1.7126393,-0.27032655,12099.99,92.278305,6.1631532,0.039045874,4.9400001,4.9499998,6.051949
4.9566002,1,0,0,1,1.7126393,-0.24260949,12099.99,96.11985,6.1631532,0.040259026,4.9400001,4.9499998,6.0794029
4.9568,1,0,0,1,1.7126393,-0.21583386,12099.99,99.704956,6.1631532,0.041477565,4.9400001,4.9499998,6.1058078
4.9569998,1,0,0,1,1.7126393,-0.19010536,12099.99,103.01526,6.1631532,0.042701274,4.9400001,4.9499998,6.131062
4.9572001,1,0,0,1,1.7126393,-0.16552554,12099.99,106.03671,6.1631532,0.043929908,4.9400001,4.9499998,6.1550694
4.9573998,1,0,0,1,1.7126393,-0.14219141,12099.99,108.75982,6.1631532,0.04516321,4.9400001,4.9499998,6.1777372
4.9576001,1,0,0,1,1.7126393,-0.12019505,12099.99,111.17981,6.1631532,0.046400908,4.9400001,4.9499998,6.1989799
4.9577999,1,0,0,1,1.7126393,-0.099623278,12099.99,113.29667,6.1631532,0.047642704,4.9400001,4.9499998,6.2187157
4.9580002,1,0,0,1,1.7126393,-0.080557272,12099.99,115.1152,6.1631532,0.048888288,4.9400001,4.9499998,6.2368698
