"Time","sensor_frame_a1.r[1]","sensor_frame_a1.r[2]","sensor_frame_a1.r[3]","sensor_frame_a1.v[1]","sensor_frame_a1.v[2]","sensor_frame_a1.v[3]","sensor_frame_a1.a[1]","sensor_frame_a1.a[2]","sensor_frame_a1.a[3]","sensor_frame_a1.angles[1]","sensor_frame_a1.angles[2]","sensor_frame_a1.angles[3]","sensor_frame_a1.w[1]","sensor_frame_a1.w[2]","sensor_frame_a1.w[3]","sensor_frame_a1.z[1]","sensor_frame_a1.z[2]","sensor_frame_a1.z[3]","sensor_frame_a2.r[1]","sensor_frame_a2.r[2]","sensor_frame_a2.r[3]","sensor_frame_a2.v[1]","sensor_frame_a2.v[2]","sensor_frame_a2.v[3]","sensor_frame_a2.a[1]","sensor_frame_a2.a[2]","sensor_frame_a2.a[3]","sensor_frame_a2.angles[1]","sensor_frame_a2.angles[2]","sensor_frame_a2.angles[3]","sensor_frame_a2.w[1]","sensor_frame_a2.w[2]","sensor_frame_a2.w[3]","sensor_frame_a2.z[1]","sensor_frame_a2.z[2]","sensor_frame_a2.z[3]","sensor_world1.r[1]","sensor_world1.r[2]","sensor_world1.r[3]","sensor_world1.v[1]","sensor_world1.v[2]","sensor_world1.v[3]","sensor_world1.a[1]","sensor_world1.a[2]","sensor_world1.a[3]","sensor_world1.angles[1]","sensor_world1.angles[2]","sensor_world1.angles[3]","sensor_world1.w[1]","sensor_world1.w[2]","sensor_world1.w[3]","sensor_world1.z[1]","sensor_world1.z[2]","sensor_world1.z[3]","sensor_world2.r[1]","sensor_world2.r[2]","sensor_world2.r[3]","sensor_world2.v[1]","sensor_world2.v[2]","sensor_world2.v[3]","sensor_world2.a[1]","sensor_world2.a[2]","sensor_world2.a[3]","sensor_world2.angles[1]","sensor_world2.angles[2]","sensor_world2.angles[3]","sensor_world2.w[1]","sensor_world2.w[2]","sensor_world2.w[3]","sensor_world2.z[1]","sensor_world2.z[2]","sensor_world2.z[3]"
0,1,0,1,0,0,0,0,-14.700787,0,-0,-0,-0,0,0,0,7.3503933,0,-7.3503933,1,0,1,0,0,0,0,-14.700787,0,-0,-0,-0,0,0,0,7.3503933,0,-7.3503933,1,0,1,0,0,0,0,-14.700787,0,-0,-0,-0,0,0,0,7.3503933,0,-7.3503933,1,0,1,0,0,0,0,-14.700787,0,-0,-0,-0,0,0,0,7.3503933,0,-7.3503933
0.001,1,4.2351647e-22,1,-2.701408e-08,-0.014700767,2.701408e-08,-0.00018909846,-14.700747,-2.7014094e-05,3.6751933e-06,-1.3507046e-11,-3.6751933e-06,0.0073503833,-2.701408e-08,-0.0073503833,7.3503733,-8.1042177e-05,-7.3503733,1,4.2351647e-22,1,-2.701408e-08,-0.014700767,2.701408e-08,-0.00018909846,-14.700747,-2.7014094e-05,3.6751933e-06,-1.3507046e-11,-3.6751933e-06,0.0073503833,-2.701408e-08,-0.0073503833,7.3503733,-8.1042177e-05,-7.3503733,1,-7.3503866e-06,1,-8.1042238e-08,-0.014700767,-2.701408e-08,-0.00024312653,-14.700747,-8.1042177e-05,3.6751933e-06,-1.3507046e-11,-3.6751933e-06,0.0073503833,-2.701408e-08,-0.0073503833,7.3503733,-8.1042177e-05,-7.3503733,1,-7.3503866e-06,1,-8.1042238e-08,-0.014700767,-2.701408e-08,-0.00024312653,-14.700747,-8.1042177e-05,3.6751933e-06,-1.3507046e-11,-3.6751933e-06,0.0073503833,-2.701408e-08,-0.0073503833,7.3503733,-8.1042177e-05,-7.3503733
0.0020000001,1,-3.3881318e-21,1,-2.1611206e-07,-0.029401492,2.1611206e-07,-0.0007563915,-14.700706,-0.0001080563,1.4700756e-05,-2.1611216e-10,-1.4700751e-05,0.014700749,-2.1611206e-07,-0.014700744,7.3503551,-0.00032416766,-7.3503513,1,-3.3881318e-21,1,-2.1611206e-07,-0.029401492,2.1611206e-07,-0.0007563915,-14.700706,-0.0001080563,1.4700756e-05,-2.1611216e-10,-1.4700751e-05,0.014700749,-2.1611206e-07,-0.014700744,7.3503551,-0.00032416766,-7.3503513,1,-2.9401506e-05,1,-6.4833608e-07,-0.029401492,-2.1611211e-07,-0.00097250292,-14.700706,-0.00032416778,1.4700756e-05,-2.1611216e-10,-1.4700751e-05,0.014700749,-2.1611206e-07,-0.014700744,7.3503551,-0.00032416769,-7.3503513,1,-2.9401506e-05,1,-6.4833608e-07,-0.029401492,-2.1611211e-07,-0.00097250292,-14.700706,-0.00032416778,1.4700756e-05,-2.1611216e-10,-1.4700751e-05,0.014700749,-2.1611206e-07,-0.014700744,7.3503551,-0.00032416769,-7.3503513
0.003,1,6.7762636e-21,1,-7.2937632e-07,-0.044102177,7.2937632e-07,-0.0017018754,-14.700665,-0.00024312679,3.3076674e-05,-1.0940655e-09,-3.3076649e-05,0.0220511,-7.2937632e-07,-0.022051079,7.3503423,-0.00072937476,-7.3503232,1,6.7762636e-21,1,-7.2937632e-07,-0.044102177,7.2937632e-07,-0.0017018754,-14.700665,-0.00024312679,3.3076674e-05,-1.0940655e-09,-3.3076649e-05,0.0220511,-7.2937632e-07,-0.022051079,7.3503423,-0.00072937476,-7.3503232,1,-6.6153319e-05,1,-2.1881285e-06,-0.044102177,-7.2937706e-07,-0.0021881242,-14.700665,-0.00072937593,3.3076674e-05,-1.0940655e-09,-3.3076649e-05,0.0220511,-7.293765e-07,-0.022051079,7.3503423,-0.00072937523,-7.3503232,1,-6.6153319e-05,1,-2.1881285e-06,-0.044102177,-7.2937706e-07,-0.0021881242,-14.700665,-0.00072937593,3.3076674e-05,-1.0940655e-09,-3.3076649e-05,0.0220511,-7.293765e-07,-0.022051079,7.3503423,-0.00072937523,-7.3503232
0.0040000002,1,6.7762636e-21,1,-1.7288874e-06,-0.058802824,1.7288874e-06,-0.0030255436,-14.700625,-0.00043222849,5.8803009e-05,-3.4577778e-09,-5.8802736e-05,0.029401483,-1.7288874e-06,-0.029401341,7.3503428,-0.0012966618,-7.3502822,1,6.7762636e-21,1,-1.7288874e-06,-0.058802824,1.7288874e-06,-0.0030255436,-14.700625,-0.00043222849,5.8803009e-05,-3.4577778e-09,-5.8802736e-05,0.029401483,-1.7288874e-06,-0.029401341,7.3503428,-0.0012966618,-7.3502822,1,-0.00011760575,1,-5.1866541e-06,-0.058802824,-1.7288957e-06,-0.0038899805,-14.700624,-0.0012966695,5.8803009e-05,-3.4577778e-09,-5.8802736e-05,0.029401483,-1.7288876e-06,-0.029401341,7.3503428,-0.0012966633,-7.3502822,1,-0.00011760575,1,-5.1866541e-06,-0.058802824,-1.7288957e-06,-0.0038899805,-14.700624,-0.0012966695,5.8803009e-05,-3.4577778e-09,-5.8802736e-05,0.029401483,-1.7288876e-06,-0.029401341,7.3503428,-0.0012966633,-7.3502822
0.0049999999,1,0,1,-3.3767219e-06,-0.073503427,3.3767219e-06,-0.0047273883,-14.700584,-0.00067536579,9.1879767e-05,-8.4418215e-09,-9.1878996e-05,0.0367519,-3.3767219e-06,-0.036751527,7.3503661,-0.0020260247,-7.3502183,1,0,1,-3.3767219e-06,-0.073503427,3.3767219e-06,-0.0047273883,-14.700584,-0.00067536579,9.1879767e-05,-8.4418215e-09,-9.1878996e-05,0.0367519,-3.3767219e-06,-0.036751527,7.3503661,-0.0020260247,-7.3502183,1,-0.00018375876,1,-1.0130143e-05,-0.073503427,-3.376756e-06,-0.006078063,-14.700583,-0.002026052,9.1879767e-05,-8.4418215e-09,-9.1878996e-05,0.0367519,-3.3767278e-06,-0.036751527,7.3503661,-0.0020260329,-7.3502183,1,-0.00018375876,1,-1.0130143e-05,-0.073503427,-3.376756e-06,-0.006078063,-14.700583,-0.002026052,9.1879767e-05,-8.4418215e-09,-9.1878996e-05,0.0367519,-3.3767278e-06,-0.036751527,7.3503661,-0.0020260329,-7.3502183
0.0060000001,1,2.7105054e-20,1,-5.8349542e-06,-0.088203989,5.8349542e-06,-0.006807399,-14.700543,-0.00097254524,0.00013230694,-1.7504931e-08,-0.00013230545,0.044102345,-5.8349542e-06,-0.044101648,7.3504257,-0.0029174578,-7.3501182,1,2.7105054e-20,1,-5.8349542e-06,-0.088203989,5.8349542e-06,-0.006807399,-14.700543,-0.00097254524,0.00013230694,-1.7504931e-08,-0.00013230545,0.044102345,-5.8349542e-06,-0.044101648,7.3504257,-0.0029174578,-7.3501182,1,-0.0002646124,1,-1.7504823e-05,-0.088203989,-5.8350465e-06,-0.0087523609,-14.700542,-0.0029175293,0.00013230694,-1.7504931e-08,-0.00013230545,0.044102345,-5.834981e-06,-0.044101648,7.3504252,-0.0029174874,-7.3501182,1,-0.0002646124,1,-1.7504823e-05,-0.088203989,-5.8350465e-06,-0.0087523609,-14.700542,-0.0029175293,0.00013230694,-1.7504931e-08,-0.00013230545,0.044102345,-5.834981e-06,-0.044101648,7.3504252,-0.0029174874,-7.3501182
0.0070000002,1,0,1,-9.2656464e-06,-0.10290451,9.2656464e-06,-0.0092655476,-14.700502,-0.0013237913,0.00018008497,-3.242998e-08,-0.00018008155,0.051452987,-9.2656464e-06,-0.051451527,7.3505359,-0.0039709536,-7.3499665,1,0,1,-9.2656464e-06,-0.10290451,9.2656464e-06,-0.0092655476,-14.700502,-0.0013237913,0.00018008497,-3.242998e-08,-0.00018008155,0.051452987,-9.2656464e-06,-0.051451527,7.3505359,-0.0039709536,-7.3499665,0.99999994,-0.00036016651,1,-2.7796852e-05,-0.10290451,-9.2659093e-06,-0.011912837,-14.7005,-0.0039711311,0.00018008497,-3.242998e-08,-0.00018008155,0.051452987,-9.2657338e-06,-0.05145153,7.3505354,-0.0039710309,-7.349967,0.99999994,-0.00036016651,1,-2.7796852e-05,-0.10290451,-9.2659093e-06,-0.011912837,-14.7005,-0.0039711311,0.00018008497,-3.242998e-08,-0.00018008155,0.051452987,-9.2657338e-06,-0.05145153,7.3505354,-0.0039710309,-7.349967
0.0080000004,1,5.4210109e-20,1,-1.3830849e-05,-0.11760499,1.3830849e-05,-0.012101807,-14.700461,-0.001729129,0.00023521385,-5.5324008e-08,-0.00023520725,0.058803834,-1.3830849e-05,-0.058801163,7.3507161,-0.0051864958,-7.3497453,1,5.4210109e-20,1,-1.3830849e-05,-0.11760499,1.3830849e-05,-0.012101807,-14.700461,-0.001729129,0.00023521385,-5.5324008e-08,-0.00023520725,0.058803834,-1.3830849e-05,-0.058801163,7.3507161,-0.0051864958,-7.3497453,0.99999994,-0.00047042113,1,-4.1492396e-05,-0.11760499,-1.3831477e-05,-0.015559461,-14.700458,-0.0051868814,0.00023521385,-5.5324008e-08,-0.00023520725,0.058803834,-1.3831089e-05,-0.058801163,7.3507147,-0.0051866756,-7.3497462,0.99999994,-0.00047042113,1,-4.1492396e-05,-0.11760499,-1.3831477e-05,-0.015559461,-14.700458,-0.0051868814,0.00023521385,-5.5324008e-08,-0.00023520725,0.058803834,-1.3831089e-05,-0.058801163,7.3507147,-0.0051866756,-7.3497462
0.0089999996,1,-1.0842022e-19,1,-1.9692605e-05,-0.13230544,1.9692605e-05,-0.015316145,-14.700419,-0.0021885841,0.00029769351,-8.8618222e-08,-0.00029768274,0.066154838,-1.9692605e-05,-0.066150598,7.350987,-0.0065640607,-7.3494325,1,-1.0842022e-19,1,-1.9692605e-05,-0.13230544,1.9692605e-05,-0.015316145,-14.700419,-0.0021885841,0.00029769351,-8.8618222e-08,-0.00029768274,0.066154838,-1.9692605e-05,-0.066150598,7.350987,-0.0065640607,-7.3494325,0.99999988,-0.00059537624,0.99999994,-5.9077651e-05,-0.13230543,-1.9693865e-05,-0.019692205,-14.700413,-0.0065648034,0.00029769351,-8.8618222e-08,-0.00029768274,0.06615483,-1.9693154e-05,-0.066150606,7.3509855,-0.0065644444,-7.3494339,0.99999988,-0.00059537624,0.99999994,-5.9077651e-05,-0.13230543,-1.9693865e-05,-0.019692205,-14.700413,-0.0065648034,0.00029769351,-8.8618222e-08,-0.00029768274,0.06615483,-1.9693154e-05,-0.066150606,7.3509855,-0.0065644444,-7.3494339
