"Time","transformer.pin_n1.reference.gamma","transformer.pin_n2.reference.gamma","currentSensor.abs_i","currentSensor.arg_i"
0,0,0,0.00049645308,-1.470678
9.9999997e-05,3141.7651,3141.7651,0.00049638993,-1.4706904
0.00019999999,6283.8755,6283.8755,0.00049632683,-1.4707028
0.00030000001,9426.3311,9426.3311,0.00049626367,-1.470715
0.00039999999,12569.132,12569.132,0.00049620058,-1.4707274
0.00050000002,15712.278,15712.278,0.00049613742,-1.4707398
0.00060000003,18855.77,18855.77,0.00049607432,-1.4707521
0.00069999998,21999.607,21999.607,0.00049601123,-1.4707645
0.00079999998,25143.789,25143.789,0.00049594807,-1.4707769
0.00089999998,28288.318,28288.318,0.00049588497,-1.4707892
0.001,31433.191,31433.191,0.00049582188,-1.4708016
0.0011,34578.41,34578.41,0.00049575878,-1.4708139
0.0012000001,37723.977,37723.977,0.00049569568,-1.4708263
0.0013,40869.887,40869.887,0.00049563259,-1.4708387
0.0014,44016.141,44016.141,0.00049556949,-1.4708509
0.0015,47162.742,47162.742,0.00049550645,-1.4708633
0.0016,50309.691,50309.691,0.00049544335,-1.4708756
0.0017,53456.984,53456.984,0.00049538031,-1.470888
0.0018,56604.621,56604.621,0.00049531722,-1.4709003
0.0019,59752.609,59752.609,0.00049525418,-1.4709127
0.0020000001,62900.938,62900.938,0.00049519108,-1.470925
0.0020999999,66049.617,66049.617,0.00049512804,-1.4709374
0.0022,69198.641,69198.641,0.000495065,-1.4709496
0.0023000001,72348.008,72348.008,0.00049500196,-1.470962
0.0024000001,75497.727,75497.727,0.00049493893,-1.4709743
0.0024999999,78647.781,78647.781,0.00049487589,-1.4709867
0.0026,81798.195,81798.195,0.00049481285,-1.470999
0.0027000001,84948.945,84948.945,0.00049474981,-1.4710114
0.0027999999,88100.047,88100.047,0.00049468677,-1.4710237
0.0029,91251.492,91251.492,0.00049462379,-1.4710361
0.003,94403.281,94403.281,0.00049456075,-1.4710484
0.0031000001,97555.422,97555.422,0.00049449771,-1.4710608
0.0031999999,100707.91,100707.91,0.00049443473,-1.471073
0.0033,103860.74,103860.74,0.00049437175,-1.4710853
0.0034,107013.91,107013.91,0.00049430871,-1.4710977
0.0035000001,110167.44,110167.44,0.00049424573,-1.47111
0.0035999999,113321.31,113321.31,0.00049418275,-1.4711224
0.0037,116475.52,116475.52,0.00049411977,-1.4711347
0.0038000001,119630.09,119630.09,0.00049405679,-1.4711469
0.0038999999,122785,122785,0.00049399381,-1.4711593
0.0040000002,125940.26,125940.26,0.00049393083,-1.4711716
0.0041,129095.86,129095.86,0.00049386785,-1.4711839
0.0041999999,132251.81,132251.81,0.00049380492,-1.4711963
0.0043000001,135408.11,135408.11,0.00049374194,-1.4712086
0.0044,138564.75,138564.75,0.00049367896,-1.4712209
0.0044999998,141721.75,141721.75,0.00049361604,-1.4712332
0.0046000001,144879.08,144879.08,0.00049355306,-1.4712455
0.0046999999,148036.77,148036.77,0.00049349014,-1.4712578
0.0048000002,151194.8,151194.8,0.00049342721,-1.4712701
0.0049000001,154353.17,154353.17,0.00049336429,-1.4712825
0.0049999999,157511.89,157511.89,0.00049330131,-1.4712948
0.0051000002,160670.97,160670.97,0.00049323839,-1.471307
0.0052,163830.39,163830.39,0.00049317547,-1.4713193
0.0052999998,166990.16,166990.16,0.0004931126,-1.4713317
0.0054000001,170150.27,170150.27,0.00049304968,-1.471344
0.0055,173310.73,173310.73,0.00049298676,-1.4713563
0.0055999998,176471.53,176471.53,0.00049292383,-1.4713686
0.0057000001,179632.69,179632.69,0.00049286097,-1.4713808
0.0057999999,182794.2,182794.2,0.00049279805,-1.4713932
0.0059000002,185956.05,185956.05,0.00049273518,-1.4714055
0.0060000001,189118.23,189118.23,0.00049267226,-1.4714178
0.0060999999,192280.78,192280.78,0.0004926094,-1.4714301
0.0062000002,195443.67,195443.67,0.00049254653,-1.4714423
0.0063,198606.92,198606.92,0.00049248361,-1.4714546
0.0063999998,201770.5,201770.5,0.00049242075,-1.471467
0.0065000001,204934.44,204934.44,0.00049235788,-1.4714793
0.0066,208098.72,208098.72,0.00049229502,-1.4714916
0.0066999998,211263.34,211263.34,0.00049223221,-1.4715039
0.0068000001,214428.33,214428.33,0.00049216935,-1.4715161
0.0068999999,217593.66,217593.66,0.00049210648,-1.4715284
0.0070000002,220759.33,220759.33,0.00049204362,-1.4715407
0.0071,223925.34,223925.34,0.00049198081,-1.471553
0.0071999999,227091.72,227091.72,0.00049191795,-1.4715652
0.0073000002,230258.42,230258.42,0.00049185514,-1.4715775
0.0074,233425.48,233425.48,0.00049179228,-1.4715898
0.0074999998,236592.91,236592.91,0.00049172947,-1.4716021
0.0076000001,239760.66,239760.66,0.00049166667,-1.4716144
0.0077,242928.77,242928.77,0.00049160386,-1.4716266
0.0077999998,246097.22,246097.22,0.00049154105,-1.4716389
0.0078999996,249266.03,249266.03,0.00049147825,-1.4716512
0.0080000004,252435.19,252435.19,0.00049141544,-1.4716635
0.0081000002,255604.69,255604.69,0.00049135264,-1.4716758
0.0082,258774.53,258774.53,0.00049128983,-1.471688
0.0082999999,261944.72,261944.72,0.00049122702,-1.4717003
0.0083999997,265115.28,265115.28,0.00049116428,-1.4717126
0.0085000005,268286.16,268286.16,0.00049110147,-1.4717249
0.0086000003,271457.41,271457.41,0.00049103872,-1.4717371
0.0087000001,274629,274629,0.00049097592,-1.4717494
0.0088,277800.94,277800.94,0.00049091317,-1.4717617
0.0088999998,280973.22,280973.22,0.00049085042,-1.471774
0.0089999996,284145.84,284145.84,0.00049078761,-1.4717863
0.0091000004,287318.84,287318.84,0.00049072487,-1.4717985
0.0092000002,290492.16,290492.16,0.00049066212,-1.4718107
0.0093,293665.84,293665.84,0.00049059937,-1.471823
0.0093999999,296839.88,296839.88,0.00049053662,-1.4718353
