"time","C1.v","C2.v","L.i"
0,4,0,0
0.5,3.9864545674269318,0.011264571165069034,0.00015650704027883182
1,3.9733299518692231,0.022458175783029017,0.00062468488239231994
1.5,3.9606212102733305,0.033580653032232038,0.0014025790923050793
2,3.9483233741787784,0.044631836529428842,0.0024882080339631765
2.5,3.9364313275060527,0.05561155093908976,0.0038795163400708326
3,3.924939679986136,0.066519607622294599,0.005574323695672157
3.5,3.9138432293112242,0.077355817860811901,0.0075705001035984917
4,3.9031369598860204,0.088119989552729816,0.0098659509967566669
4.5,3.8928157578468885,0.098811931917855728,0.012458561179901927
5,3.8828745858237861,0.10943144651864647,0.015346201850688525
5.5,3.8733083765186374,0.11997833879837405,0.018526753529311039
6,3.8641122209497469,0.13045240449795753,0.021998091309136266
6.5,3.8552814643175011,0.14085342290265374,0.025758078010546047
7,3.8468110745786417,0.15118119719145168,0.029804592524862686
7.5,3.8386961433564881,0.16143552271058773,0.0341355084750938
8,3.8309317622743619,0.17161619480629831,0.038748699484247015
8.5,3.8235132053783358,0.18172299202556635,0.043641991249730241
9,3.8164357205596273,0.19175569532396719,0.048813216340282718
9.5,3.8096943329611506,0.20171410616989688,0.054260265844460281
10,3.80328418284468,0.21159801543049186,0.059981000607110431
10.5,3.797200859492261,0.22140718313494226,0.065973213887403181
11,3.7914401036611913,0.23114135890937607,0.072234676144741383
11.5,3.7859968164884132,0.24080035004361561,0.078763284216588153
12,3.7808662780226765,0.25038393780446627,0.085556877907321124
12.5,3.7760440966403306,0.25989188470154234,0.092613239679705139
13,3.7715262164627434,0.26932393406351296,0.099930093359457128
13.5,3.7673076805580674,0.27867988069576649,0.10750532013903755
14,3.7633839075296924,0.28795949794955128,0.11533673562459486
14.5,3.7597505315187139,0.29716255034329964,0.12342211312929544
15,3.756403618978065,0.30628878467914233,0.1317591411377286
15.5,3.753338358835312,0.31533798372052924,0.14034568032321781
16,3.7505502876070151,0.3243099159865826,0.14917952315489438
16.5,3.7480350888952594,0.33320434631766882,0.1582584315282615
17,3.7457889882111668,0.34202102600046752,0.16758005469602305
17.5,3.7438072794898898,0.35075972962130469,0.17714223555099198
18,3.7420856112999354,0.35942022289677134,0.18694274327085372
18.5,3.7406196962709077,0.36800227146321229,0.19697933305133636
19,3.7394057667679852,0.3765056403059221,0.2072496466508244
19.5,3.7384394008750803,0.38493009522978516,0.2177514686309516
20,3.7377164422724207,0.39327540170698461,0.22848252558437246
20.5,3.7372327597907513,0.40154132517819896,0.23944053861439732
21,3.7369842474113302,0.40972763105260168,0.25062322333499221
21.5,3.7369668242659282,0.41783408470786115,0.2620282898707787
22,3.7371764346368317,0.42586045149014107,0.27365344285703413
22.5,3.7376090479568407,0.43380649671409999,0.28549638143969197
23,3.7382608173691856,0.44167200506138582,0.29755476129829639
23.5,3.7391276901499904,0.44945673291904664,0.30982628795460088
24,3.7402057290838071,0.45716044769716885,0.32230863979918573
24.5,3.7414910257458702,0.46478291721967829,0.33499948886142256
25,3.7429796987092097,0.4723239095049957,0.34789650123889165
25.5,3.7446678935446536,0.47978319276603648,0.3609973370973823
26,3.7465517828208239,0.48716053541021104,0.37429965067089244
26.5,3.7486274138794959,0.49445576051431234,0.3878011094672692
27,3.7508909834126989,0.50166864756475726,0.40149935962579525
27.5,3.7533387846333888,0.50879895136301401,0.41539203258247781
28,3.7559670704245716,0.51584645099885273,0.42947676233603366
28.5,3.7587721184959517,0.52281092653348593,0.4437511772273085
29,3.7617502313839299,0.52969215899956579,0.45821289993927677
29.5,3.7648977364516085,0.53648993040118653,0.47285954749704118
30,3.7682109319867156,0.54320404702780323,0.48768874337324652
30.5,3.7716860670194348,0.54983434818349985,0.50269812202062525
31,3.7753196192169849,0.55638058599100981,0.51788526646198452
31.5,3.7791079944711461,0.56284255532721583,0.53324777575732341
32,3.7830476219044824,0.56922005273071385,0.54878324366718301
32.5,3.7871349538703369,0.5755128764018127,0.56448925865264643
33,3.7913664659528337,0.58172082620253396,0.58036340387533958
33.5,3.7957386569668783,0.58784370365661265,0.59640325719743004
34,3.8002479327721668,0.59388138726874684,0.61260644402638853
34.5,3.8048908930409091,0.59983364662327043,0.62897050688470513
35,3.8096640974639393,0.60570029394442382,0.64549301174613449
35.5,3.8145641247532107,0.6114811458471372,0.66217152119965184
36,3.8195875758848219,0.61717602123468884,0.67900359297442714
36.5,3.8247310740990157,0.62278474129870376,0.69598677993982694
37,3.8299912649001842,0.62830712951915613,0.71311863010541277
37.5,3.8353647786798293,0.63374305062552816,0.73039672328865479
38,3.8408482960276222,0.63909234251771951,0.74781860704331471
38.5,3.8464385403991326,0.64435482390907317,0.76538180385256571
39,3.8521322395357895,0.64953033454153153,0.78308384897688377
39.5,3.8579261429240064,0.6546187169865475,0.8009222733262471
40,3.8638170217951844,0.6596198166450844,0.8188946034601372
40.5,3.8698016691257133,0.66453348174761651,0.83699836158753826
41,3.8758768855957548,0.669359578964974,0.8552310844356904
41.5,3.8820394701628516,0.6740980038884874,0.87359033591738833
42,3.8882863027418328,0.6787485891075058,0.89207359602472724
42.5,3.8946142573635951,0.68331120075837437,0.9106783775273789
43,3.9010202293409457,0.68778570832179131,0.92940218946680597
43.5,3.9075011352686033,0.6921719846228086,0.94824253715626328
44,3.9140539130231931,0.69646990583083235,0.96719692218079623
44.5,3.920675521763255,0.70067935145962201,0.98626284239724193
45,3.9273628998249279,0.70480024849697709,1.0054378584193995
45.5,3.9341130639080779,0.70883246744738149,1.0247194369973258
46,3.9409230319336483,0.71277590318550599,1.0441050728300969
46.5,3.9477898402862879,0.71663045688414895,1.0635922613386926
47,3.9547105455877842,0.72039603415548781,1.0831784958656367
47.5,3.9616822246377934,0.72407254511320684,1.1028612677685934
48,3.9687019743545626,0.72765990443462258,1.1226380665139666
48.5,3.9757669108165237,0.7311580344707922,1.1425063930217256
49,3.9828741706143846,0.73456686052422571,1.162463738958567
49.5,3.9900209108672833,0.73788631065531329,1.1825075857198484
50,3.9972043080993163,0.74111631935198841,1.2026354202071059
50.5,4.0044215586194216,0.74425682610314947,1.2228447284494459
51,4.0116698784599416,0.74730777546811467,1.2431329957290058
51.5,4.0189465033151857,0.75026911714607891,1.263497706706423
52,4.0262486930496459,0.75314080348242141,1.2839363460995523
52.5,4.0335737371466767,0.75592278644750566,1.3044463994760511
53,4.0409189233970872,0.75861503523443707,1.3250253495953572
53.5,4.0482815688765461,0.76121751891863765,1.3456706802920801
54,4.0556590104809418,0.76373021180161826,1.3663798754630014
54.5,4.0630486048924164,0.76615309346502758,1.3871504191958683
55,4.0704477285453908,0.76848614882470212,1.4079797958981815
55.5,4.0778537775925923,0.77072936818471727,1.4288654904259854
56,4.0852641835835426,0.7728827378408476,1.4498049879756547
56.5,4.0926763768907648,0.77494626211226769,1.4707957747638469
57,4.1000878143061623,0.77691994677673748,1.4918353377395184
57.5,4.1074959735358707,0.77880380241541236,1.5129211647952432
58,4.1148983522343512,0.7805978450274258,1.5340507449100573
58.5,4.1222924679931303,0.78230209607027934,1.55522156827791
59,4.1296758583295388,0.783916582500231,1.5764311264361086
59.5,4.1370460827234217,0.7854413357179536,1.5976769164387536
60,4.1444007195424195,0.78687639324648351,1.6189564349344736
60.5,4.151737365490562,0.78822179906034318,1.6402671772280144
61,4.1590536383269914,0.78947760216662799,1.6616066428007459
