"Time","pipe2.mediums[1].p","pipe2.mediums[1].T","pipe2.mediums[2].p","pipe2.mediums[2].T","pipe2.mediums[3].p","pipe2.mediums[3].T","pipe2.mediums[4].p","pipe2.mediums[4].T","pipe2.mediums[5].p","pipe2.mediums[5].T","pipe3.mediums[1].p","pipe3.mediums[1].T","pipe3.mediums[2].p","pipe3.mediums[2].T","pipe3.mediums[3].p","pipe3.mediums[3].T","pipe3.mediums[4].p","pipe3.mediums[4].T","pipe3.mediums[5].p","pipe3.mediums[5].T","pipe1.mediums[1].p","pipe1.mediums[1].T","pipe1.mediums[2].p","pipe1.mediums[2].T","pipe1.mediums[3].p","pipe1.mediums[3].T","pipe1.mediums[4].p","pipe1.mediums[4].T","pipe1.mediums[5].p","pipe1.mediums[5].T","pipe4.mediums[1].p","pipe4.mediums[1].T","pipe4.mediums[2].p","pipe4.mediums[2].T","pipe4.mediums[3].p","pipe4.mediums[3].T","pipe4.mediums[4].p","pipe4.mediums[4].T","pipe4.mediums[5].p","pipe4.mediums[5].T","junction1.medium.p","junction1.medium.T","junction1.mC_scaled[1]","junction1.mC_scaled[2]","junction2.medium.p","junction2.medium.T","junction2.mC_scaled[1]","junction2.mC_scaled[2]","pipe5.mediums[1].p","pipe5.mediums[1].T","pipe5.mediums[2].p","pipe5.mediums[2].T","pipe5.mediums[3].p","pipe5.mediums[3].T","pipe5.mediums[4].p","pipe5.mediums[4].T","pipe5.mediums[5].p","pipe5.mediums[5].T","pipe6.mediums[1].p","pipe6.mediums[1].T","pipe6.mediums[2].p","pipe6.mediums[2].T","pipe6.mediums[3].p","pipe6.mediums[3].T","pipe6.mediums[4].p","pipe6.mediums[4].T","pipe6.mediums[5].p","pipe6.mediums[5].T","pipe7.mediums[1].p","pipe7.mediums[1].T","pipe7.mediums[2].p","pipe7.mediums[2].T","pipe7.mediums[3].p","pipe7.mediums[3].T","pipe7.mediums[4].p","pipe7.mediums[4].T","pipe7.mediums[5].p","pipe7.mediums[5].T","pipe8.mediums[1].p","pipe8.mediums[1].T","pipe8.mediums[2].p","pipe8.mediums[2].T","pipe8.mediums[3].p","pipe8.mediums[3].T","pipe8.mediums[4].p","pipe8.mediums[4].T","pipe8.mediums[5].p","pipe8.mediums[5].T"
0,100000,280,100000,280,100000,280,100000,280,100000,280,100000,340,100000,340,100000,340,100000,340,100000,340,100000,300,100000,300,100000,300,100000,300,100000,300,100000,360,100000,360,100000,360,100000,360,100000,360,100000,300,0,0,100000,300,0,0,100000,280,100000,280,100000,280,100000,280,100000,280,100000,340,100000,340,100000,340,100000,340,100000,340,100000,300,100000,300,100000,300,100000,300,100000,300,100000,360,100000,360,100000,360,100000,360,100000,360
0.0040000002,128227.59,327.49811,125902.98,327.26483,123814.19,326.08725,121944.48,325.22314,120272.34,324.48654,117492.52,344.91162,113553.18,344.52606,109684.23,346.35843,105857,346.55768,101995.17,344.65198,148035.14,280.10468,144060.73,280.45856,140000.55,281.17569,135865.62,282.43692,131670.64,284.46823,128231.24,330.19955,125875.16,350.8165,123792.57,368.32819,121943.95,377.33304,120277.68,379.6633,129552.56,315.01138,0,0,119518.84,351.48438,0,0,132751.2,321.76846,130260.09,328.10123,127972.62,327.65707,125869.59,326.70782,123939.48,325.81937,123046.33,357.96228,118481.4,357.65097,113959.71,356.07941,109423.4,353.20154,104799.37,349.44421,146917.64,280.1998,143781.2,280.69846,140599.23,281.6871,137382.97,283.45233,134147.27,286.30881,132669.84,311.57126,130068.53,341.31039,127784.04,365.22333,125750.07,378.31409,123900.01,382.66608
0.0080000004,135608.27,332.12842,133625.25,339.67493,131669.23,340.91846,129728.22,340.76614,127792.31,340.37842,124331,360.22873,119317.6,357.52661,114123.48,354.35361,108702.77,351.772,103011.32,349.73138,148703,280.03772,146088.09,280.15964,143431.77,280.38449,140735.67,280.733,138001.73,281.22858,135517.16,315.78177,133412.64,329.30377,131404,345.88058,129499.8,362.19666,127690.22,374.51141,136616.97,306.00977,0,0,126821.13,360.85751,0,0,137920.53,319.96951,135974.98,335.47302,133978.84,339.66742,131930.8,340.23972,129817.72,339.9567,128721.3,359.41943,123414.65,360.99673,117943.23,361.39166,112258.37,360.74808,106301.86,359.08856,147825.72,280.05011,145621.2,280.16876,143387.03,280.3786,141123.98,280.70798,138833.06,281.19467,137702.41,289.65994,135512.14,306.43567,133425.17,328.99701,131462.23,351.8504,129609.3,369.66156
0.012,137664.8,329.4296,135752.31,341.36938,133802.05,345.06104,131819.36,345.88016,129798.21,345.88928,126107.71,357.18961,120746.76,359.18311,115189.92,359.61508,109381.41,358.72186,103256.91,356.98175,148891.61,280.01221,146658.78,280.05231,144393.39,280.12738,142095.02,280.24506,139763.16,280.41473,137545.55,305.3031,135515.3,314.35324,133521.14,326.20068,131575.22,340.32178,129684.26,354.90796,138580.3,298.59589,0,0,128764.64,353.7851,0,0,138903.92,318.33835,137017.03,335.77151,135024.72,342.50131,132955.67,344.54971,130808.91,344.95465,129692.98,348.24136,124193.98,352.93472,118525.84,356.44083,112642.4,358.75687,106488.95,359.98318,148003.31,280.01126,145980.05,280.03836,143929.52,280.08691,141851.02,280.16409,139743.81,280.27988,138698.5,283.06793,136617.11,290.41583,134558.41,303.42136,132553.73,321.13873,130622.28,340.70563
0.016000001,138325.72,326.17175,136418.31,340.36942,134447.23,345.78287,132435.91,347.54013,130386.94,347.98294,126614.41,347.33459,121109.24,351.11429,115414.98,354.21829,109490.1,356.43597,103280.9,357.68765,148952.2,280.0047,146842.06,280.01947,144702.16,280.04645,142531.56,280.08926,140329.36,280.15189,138199.28,297.86682,136193.23,304.10046,134200.28,312.3187,132230.08,322.75198,130292.09,335.04938,139211.95,293.17941,0,0,129342.2,343.14987,0,0,139182.92,317.52713,137296.62,335.24765,135291.91,343.04672,133215.17,346.07913,131079.25,347.08453,129982.25,333.87576,124392.24,339.20734,118638.41,344.18506,112687,348.55981,106493.33,352.17691,148054.92,280.00458,146084.47,280.01422,144087.8,280.03024,142064.03,280.05502,140012.23,280.09094,139002.41,280.99991,136977.44,283.95892,134945.61,290.35486,132927.58,300.95483,130946.22,315.38736
0.02,138680.36,323.59149,136780.45,339.00388,134801.45,345.4971,132779.73,347.98483,130725.95,348.82831,126923.78,337.35336,121345.7,341.04419,115573.68,344.61407,109573.95,347.90421,103301.84,350.767,148984.09,280.00299,146938.53,280.01215,144864.88,280.02832,142762.17,280.05267,140629.45,280.08582,138550.2,292.69876,136565.34,297.07407,134582.14,302.82788,132607.7,310.27045,130650.19,319.54337,139547.55,289.39145,0,0,129683.81,333.68903,0,0,139390.58,317.23352,137519.11,334.9039,135525.31,343.08289,133463.11,346.64011,131353.66,348.05957,130278.79,322.47452,124644.48,326.68378,118830.9,331.10516,112812.12,335.53488,106551.75,339.77548,148092.48,280.00394,146160.55,280.01196,144203.41,280.02454,142220.19,280.04214,140210.02,280.06464,139225.94,280.39142,137249.09,281.5495,135254.88,284.45535,133253.78,290.06418,131261.58,298.95612
0.024,138964.16,321.75571,137081.19,337.85172,135107.03,344.98587,133085.83,347.97171,131034.01,349.13089,127217.69,329.26123,121592.62,332.27426,115761.44,335.36597,109692.18,338.45129,103342.79,341.43457,149009.2,280.00253,147014.55,280.01025,144993.12,280.02362,142944.08,280.043,140866.42,280.06812,138829.89,289.12039,136868,292.22852,134900.5,296.30646,132932.5,301.60522,130970.15,308.35559,139812.78,286.76614,0,0,129995.26,326.3963,0,0,139582.27,317.18973,137735.3,334.76813,135763.73,343.03845,133723.58,346.82361,131639.67,348.47614,130580.82,315.1796,124929.99,317.93036,119076.64,321.04382,112995.64,324.42114,106652.55,327.93863,148126.5,280.00351,146229.45,280.01077,144308.06,280.02213,142361.52,280.03757,140388.92,280.05682,139425.09,280.21387,137487.72,280.6893,135529.17,281.96518,133553.89,284.728,131570.44,289.67657
0.028000001,139205.77,320.49316,137343.34,336.99246,135379.88,344.49579,133363.77,347.79395,131314.98,349.17517,127488.81,323.17648,121828.87,325.47321,115949.23,327.89001,109817.11,330.38211,103389.73,332.89285,149030.48,280.00214,147078.92,280.00885,145101.72,280.02051,143098.02,280.03656,141066.91,280.05643,139067.25,286.62057,137127.16,288.84933,135176.27,291.76773,133218.12,295.56104,131257.16,300.43372,140037.14,284.9281,0,0,130277.9,321.03247,0,0,139736.09,317.23669,137912.52,334.74258,135962.5,342.99826,133941.88,346.85498,131876.45,348.61453,130826.96,311.03778,125172.38,312.64017,119295.06,314.55115,113167.12,316.73959,106751.88,319.14978,148153.59,280.00272,146284.28,280.00848,144391.3,280.01755,142473.8,280.0293,140530.92,280.04376,139581.66,280.14508,137672.8,280.36951,135741.11,280.93933,133788.08,282.24985,131817.52,284.82745
0.032000002,139403.06,319.62769,137560.08,336.38,135608.38,344.0947,133598.47,347.57864,131552.38,349.10413,127718.17,318.71869,122031.38,320.42313,116112.82,322.23602,109928.07,324.13293,103432.6,326.07938,149047.84,280.00174,147131.42,280.00717,145190.25,280.01682,143223.48,280.03076,141230.22,280.0477,139260.8,284.84875,137339.25,286.46057,135403.12,288.56567,133454.75,291.29843,131497.14,294.81763,140219.84,283.6199,0,0,130515.62,317.13989,0,0,139843.38,317.29883,138037.31,334.75803,136103.39,342.97147,134096.55,346.83139,132042.56,348.6272,130997.73,308.85144,125343.36,309.71924,119452.43,310.79364,113293.73,312.07269,106827.2,313.53799,148172.44,280.00183,146322.41,280.0058,144449.11,280.0123,142551.73,280.02109,140629.38,280.0311,139689.66,280.09985,137799.25,280.22549,135885.12,280.49799,133947.41,281.11755,131987.34,282.4075
0.035999998,139557.33,319.02737,137730.66,335.94949,135789.52,343.78778,133785.44,347.3793,131741.5,348.99374,127900.75,315.47549,122193.47,316.72787,116244.63,318.06573,110018.24,319.47272,103467.86,320.92712,149061.42,280.00137,147172.5,280.00552,145259.5,280.01263,143321.56,280.02304,141357.81,280.0376,139412.06,283.57446,137505.33,284.74954,135581.23,286.27853,133641.19,288.25922,131687.16,290.80981,140362.55,282.67517,0,0,130704.41,314.3194,0,0,139910.84,317.34998,138116.19,334.78137,136192.69,342.95493,134194.47,346.79544,132146.86,348.59479,131104.05,307.74246,125450.39,308.19214,119551.86,308.76263,113374.73,309.46075,106876.1,310.28369,148184.28,280.00113,146346.34,280.00348,144485.41,280.0072,142600.62,280.0127,140691.09,280.02054,139757.14,280.06616,137877.78,280.14218,135974.12,280.28577,134045.7,280.58847,132092.52,281.22537
