"time","body.body.Q[1]","body.body.Q[2]","body.body.Q[3]","body.body.Q[4]","body.body.frame_a.r_0[1]","body.body.frame_a.r_0[2]","body.body.frame_a.r_0[3]","body.body.w_a[1]","body.body.w_a[2]","body.body.w_a[3]","body.v_0[1]","body.v_0[2]","body.v_0[3]"
0,0.094060914913214055,0.078926479011875425,0.094060914913214055,0.98796543435596273,0.20000000000000001,-0.5,0.10000000000000001,0,0,0,0,0,0
0.00022000000000000001,0.094061034567649512,0.078926484373364622,0.094060898188741707,0.98796542412801658,0.20000000491782702,-0.49999978916141069,0.099999927889583826,0.0021999999999999997,-0.00012224832543046628,-0.00012039107428071972,4.4707215956603956e-05,0.0019167015107681203,-0.0006555448125568832
0.00044000000000000002,0.094061393528658763,0.078926500457713003,0.094060848015637924,0.9879653934442868,0.20000001967119255,-0.49999915665047173,0.099999711559990503,0.0044000000000000003,-0.00024449670097060326,-0.00024078205155731705,8.9414309208761373e-05,0.0038333984481373302,-0.0013110880401467192
0.00066,0.094061991796832042,0.078926527264887081,0.094060764393791671,0.98796534230446231,0.20000004426004372,-0.4999981024690105,0.099999351011858445,0.0066000000000000008,-0.00036674518122434887,-0.0003611728261244367,0.0001341211460468886,0.0057500858285268108,-0.0019666279556487423
0.00088000000000000003,0.094062829372172752,0.078926564794838325,0.094060647323179231,0.98796527070810147,0.20000007868431777,-0.49999662661935451,0.099998846245994616,0.0088000000000000005,-0.00048899380280180069,-0.00048156332710991577,0.00017882763682323594,0.0076667603106137993,-0.0026221634010867283
0.0011000000000000001,0.094063906254588728,0.078926613047455754,0.094060496803762481,0.98796517865459943,0.20000012294387315,-0.499994729106783,0.099998197264228525,0.011000000000000003,-0.00061124260157976442,-0.0006019534850570257,0.00022353369368587799,0.0095834186200010451,-0.0032776932416777598
0.00132,0.094065222443756633,0.078926672022293726,0.094060312835380952,0.98796506614323265,0.20000017703814044,-0.49999240995251382,0.099997404073913665,0.013200000000000002,-0.00073349174224144231,-0.00072234298114671254,0.00026823891337306318,0.011500045726414861,-0.0039332122684948992
0.0015400000000000001,0.094066777939831425,0.07892674171956586,0.094060095418111583,0.98796493317297818,0.20000024096739258,-0.49998966914637522,0.099996466671524786,0.015400000000000004,-0.00085574114583822933,-0.00084273196821982072,0.00031294348920719747,0.01341664883532083,-0.0045887229786812159
0.0017600000000000001,0.094068572742813175,0.078926822139272157,0.094059844551954361,0.98796477974267272,0.20000031473162957,-0.49998650668836714,0.099995385057061889,0.017600000000000005,-0.00097799081237012492,-0.00096312044627634989,0.00035764742118828065,0.015333227946718944,-0.0052442253722367075
0.00198,0.094070606852701841,0.078926913281412631,0.094059560236909312,0.9879646058509749,0.20000039833085145,-0.4999829225784897,0.099994159230524987,0.019800000000000002,-0.0011002407418371296,-0.0010835084153163002,0.00040235070931631298,0.01724978306060921,-0.0058997194491613759
0.0022000000000000001,0.094072880267990822,0.078927015144005852,0.094059242472273971,0.98796441149673209,0.2000004917625281,-0.49997891691104412,0.099992789224595438,0.022000000000000002,-0.0012224912996730358,-0.0012038951677442594,0.00044705245875558558,0.019166280824640038,-0.0065551936507681858
0.0024200000000000003,0.094075392988012152,0.078927127726173274,0.094058891257736851,0.98796419667840829,0.2000005950255376,-0.49997448972784231,0.099991275053763706,0.024200000000000003,-0.0013447426479054564,-0.0013242803898235172,0.00049175227274997715,0.021082706450901722,-0.0072106428521165567
0.00264,0.094078145013856515,0.078927251029349332,0.094058506593806518,0.98796396139385811,0.20000070812171172,-0.49996964096061597,0.099989616694370509,0.0264,-0.0014669945219835184,-0.0014446645938082424,0.00053645079910374786,0.022999084084380034,-0.0078660754209623016
0.0028600000000000001,0.094081136345523883,0.078927385053534027,0.094058088480482957,0.98796370564102398,0.20000083105105038,-0.49996437060936511,0.099987814146415846,0.0286,-0.0015892469219072228,-0.0015650477796984364,0.00058114803781689791,0.024915413725074973,-0.0085214913573054222
0.0030800000000000003,0.094084366983014256,0.078927529798727358,0.094057636917766169,0.98796342941766935,0.20000096381355362,-0.49995867867408972,0.099985867409899731,0.030800000000000001,-0.0017114998476765689,-0.0016854299474940977,0.00062584398888942722,0.026831695372986544,-0.009176890661145921
0.0033,0.094087836926327661,0.078927685264929326,0.094057151905656167,0.98796313272137914,0.20000110640922142,-0.49995256515478986,0.099983776484822165,0.033000000000000002,-0.0018337532992915571,-0.0018058110971952274,0.00067053865232133566,0.028747929028114735,-0.009832273332483793
0.0035200000000000001,0.094091546175464072,0.07892785145213993,0.094056633444152937,0.98796281554955889,0.20000125883805378,-0.49994603005146548,0.099981541371183133,0.035200000000000002,-0.0019560072767521872,-0.0019261912288018252,0.00071523202811262323,0.03066411469045956,-0.01048763937131904
0.0037400000000000003,0.094095494730423487,0.07892802836035917,0.094056081533256466,0.98796247789943559,0.20000142110005073,-0.49993907336411653,0.099979162068982635,0.037400000000000003,-0.0020782617800584589,-0.0020465703423138909,0.00075992411626329027,0.03258025236002101,-0.011142988777651665
0.00396,0.094099682591205935,0.078928215989587047,0.094055496172966796,0.98796211976805692,0.20000159319521221,-0.49993169509274316,0.099976638578220672,0.039599999999999996,-0.0022005168092103728,-0.0021669484377314246,0.00080461491677333644,0.034496342036799084,-0.011798321551481663
0.0041800000000000006,0.094104109757317214,0.078928414339209371,0.094054877363018041,0.98796174115241353,0.20000177512282813,-0.4999238952638157,0.099973970908070961,0.041800000000000018,-0.0023227724323160977,-0.0022873253831187925,0.00084930426285175951,0.036412377503974296,-0.012453635538276001
