"Time","smee.is[1]","smee.idq_dr[1]","smee.idq_sr[2]","smee.lesigma.i","smee.inertiaRotor.phi","smee.idq_sr[1]","smee.is[2]","smee.idq_rr[2]","smee.inertiaRotor.w"
0,0,0,0,0,-1.5707964,0,-0,0,0
9.9999997e-05,0.57254732,0.24490266,29.723457,0.033878837,-1.5707964,-0.57254732,-26.027542,-28.752949,3.9598274e-07
0.00019999999,2.2811396,0.97386342,58.996162,0.1351566,-1.5707964,-2.2811396,-52.232746,-57.046562,6.2176136e-06
0.00030000001,5.1114793,2.1780183,87.795395,0.30324563,-1.5707964,-5.1114788,-78.588783,-84.85923,3.1376319e-05
0.00039999999,9.0482988,3.8481798,116.0988,0.53749162,-1.5707964,-9.0482969,-105.06866,-112.16972,9.9332763e-05
0.00050000002,14.075383,5.9748445,143.88445,0.83717507,-1.5707963,-14.075377,-131.64528,-138.95721,0.00024308899
0.00060000003,20.175585,8.5482016,171.13078,1.2015119,-1.5707963,-20.175564,-158.2914,-165.20131,0.00050517812
0.00069999998,27.330835,11.558135,197.81677,1.6296539,-1.5707963,-27.330784,-184.97975,-190.88208,0.00093764107
0.00079999998,35.522163,14.994234,223.92177,2.1206903,-1.570796,-35.522049,-211.68301,-215.98001,0.0016019419
0.00089999998,44.729706,18.845795,249.42567,2.6736481,-1.5707959,-44.729473,-238.37379,-240.47614,0.0025688149
0.001,54.932735,23.101831,274.3089,3.2874925,-1.5707955,-54.932304,-265.02475,-264.35199,0.0039180531
0.0011,66.109665,27.751085,298.55234,3.9611292,-1.5707951,-66.10891,-291.60861,-287.5896,0.0057382537
0.0012000001,78.238083,32.782024,322.13751,4.6934037,-1.5707943,-78.236832,-318.09805,-310.1716,0.008126447
0.0013,91.294762,38.182858,345.04648,5.4831038,-1.5707934,-91.292755,-344.46594,-332.08118,0.011187857
0.0014,105.25568,43.94154,367.26193,6.3289604,-1.5707921,-105.25259,-370.68521,-353.30212,0.015035435
0.0015,120.09604,50.045784,388.76709,7.2296476,-1.5707904,-120.09141,-396.72897,-373.81879,0.019789556
0.0016,135.79028,56.483067,409.54596,8.1837854,-1.5707881,-135.78357,-422.57043,-393.61621,0.025577096
0.0017,152.31216,63.240635,429.58307,9.1899395,-1.5707853,-152.30263,-448.18301,-412.68008,0.032531593
0.0018,169.63469,70.305519,448.86374,10.246624,-1.5707816,-169.62144,-473.54041,-430.99673,0.040791892
0.0019,187.73021,77.664536,467.37387,11.352303,-1.5707771,-187.71216,-498.61646,-448.55316,0.050502397
0.0020000001,206.57039,85.304321,485.10019,12.505387,-1.5707715,-206.54623,-523.38538,-465.33716,0.061811488
0.0020999999,226.12631,93.211296,502.03009,13.704244,-1.5707645,-226.09447,-547.82153,-481.33713,0.074871838
0.0022,246.36842,101.37173,518.15173,14.947192,-1.5707564,-246.32704,-571.89972,-496.54227,0.089838915
