"Time","aimc.idq_rr[2]","mass.s","aimc.idq_sr[1]","mass.v","aimc.is[1]","aimc.idq_rr[1]","aimc.is[2]","vfController.x","aimc.idq_sr[2]"
0.041000001,60.056942,4.0020065e-08,12.631193,6.8362128e-06,12.6313,-11.754673,-64.10508,0.26405087,-66.729507
0.041999999,61.728813,4.7368076e-08,13.729866,7.879753e-06,13.729996,-12.764738,-66.381813,0.27708846,-68.724129
0.043000001,63.379688,5.5821328e-08,14.89142,9.0484755e-06,14.891579,-13.831204,-68.677399,0.29044023,-70.704208
0.044,65.007683,6.5510449e-08,16.11746,1.0353366e-05,16.117651,-14.955379,-70.990875,0.30410618,-72.667717
0.045000002,66.610847,7.6577344e-08,17.409544,1.180601e-05,17.409771,-16.138527,-73.32119,0.31808627,-74.612534
0.046,68.18718,8.9175806e-08,18.769178,1.3418604e-05,18.769453,-17.381853,-75.667191,0.3323805,-76.536469
0.046999998,69.734604,1.0347216e-07,20.197824,1.5203966e-05,20.198149,-18.68651,-78.027649,0.34698892,-78.437248
0.048,71.250969,1.1964583e-07,21.696877,1.7175542e-05,21.697262,-20.053593,-80.40123,0.36191148,-80.312523
0.048999999,72.734055,1.3789003e-07,23.267673,1.9347412e-05,23.268126,-21.484123,-82.786469,0.37714821,-82.159851
0.050000001,74.181549,1.5841235e-07,24.91148,2.1734299e-05,24.912012,-22.979063,-85.181824,0.39269909,-83.976692
0.050999999,75.591072,1.8143544e-07,26.629494,2.4351571e-05,26.630116,-24.539293,-87.585602,0.40856412,-85.760437
0.052000001,76.960175,2.0719763e-07,28.422829,2.721525e-05,28.423553,-26.165615,-89.996025,0.42474332,-87.508347
0.052999999,78.286301,2.3595364e-07,30.292521,3.0342006e-05,30.293362,-27.858751,-92.411163,0.44123667,-89.217628
0.054000001,79.566826,2.6797511e-07,32.23951,3.3749173e-05,32.240482,-29.619329,-94.828964,0.4580442,-90.885353
0.055,80.799042,3.0355145e-07,34.264641,3.7454742e-05,34.265766,-31.447886,-97.247253,0.4751659,-92.508522
0.056000002,81.980148,3.4299029e-07,36.368668,4.1477364e-05,36.369957,-33.344852,-99.663696,0.49260172,-94.084023
0.057,83.107269,3.866183e-07,38.552219,4.5836354e-05,38.553696,-35.310558,-102.07584,0.51035172,-95.608643
0.057999998,84.177444,4.3478178e-07,40.815819,5.0551687e-05,40.817505,-37.345219,-104.48109,0.52841586,-97.079079
0.059,85.187622,4.8784733e-07,43.159866,5.5644006e-05,43.161789,-39.448929,-106.87668,0.54679418,-98.491936
0.059999999,86.134689,5.4620256e-07,45.584633,6.1134619e-05,45.586815,-41.621666,-109.25973,0.56548667,-99.843697
0.061000001,87.015434,6.1025668e-07,48.09026,6.7045505e-05,48.092728,-43.863274,-111.62717,0.58449334,-101.13078
0.061999999,87.826569,6.8044125e-07,50.676735,7.33993e-05,50.67952,-46.17345,-113.97581,0.60381413,-102.34947
0.063000001,88.564743,7.5721078e-07,53.343906,8.0219346e-05,53.347038,-48.551769,-116.30228,0.62344909,-103.496
0.064000003,89.226517,8.4104346e-07,56.091461,8.7529632e-05,56.094978,-50.997643,-118.60309,0.64339817,-104.56648
0.064999998,89.808395,9.3244182e-07,58.918922,9.5354873e-05,58.922859,-53.510323,-120.87453,0.66366142,-105.55696
0.066,90.306816,1.0319335e-06,61.825634,0.00010372048,61.830029,-56.088905,-123.11281,0.68423891,-106.46339
0.067000002,90.71814,1.1400718e-06,64.810776,0.00011265255,64.815666,-58.732319,-125.3139,0.70513046,-107.28165
0.068000004,91.038696,1.2574368e-06,67.873322,0.00012217804,67.878761,-61.439304,-127.47369,0.72633624,-108.00754
0.068999998,91.264755,1.3846355e-06,71.01207,0.00013232455,71.018082,-64.208427,-129.58786,0.74785614,-108.63679
0.07,91.392517,1.522303e-06,74.225586,0.00014312055,74.232231,-67.038063,-131.65192,0.76969022,-109.16507
0.071000002,91.41819,1.6711039e-06,77.512253,0.00015459549,77.519577,-69.926392,-133.6613,0.79183841,-109.588
0.071999997,91.337906,1.8317318e-06,80.870216,0.00016677954,80.878273,-72.871384,-135.61119,0.81430084,-109.90115
0.072999999,91.147789,2.004911e-06,84.297417,0.00017970396,84.306244,-75.870804,-137.49667,0.83707738,-110.10001
0.074000001,90.843956,2.1913993e-06,87.791527,0.00019340127,87.801186,-78.922203,-139.3127,0.8601681,-110.1801
0.075000003,90.422493,2.3919849e-06,91.350014,0.0002079048,91.36055,-82.022896,-141.05402,0.88357294,-110.13686
0.075999998,89.879501,2.607492e-06,94.970062,0.00022324952,94.981537,-85.169983,-142.7153,0.90729195,-109.96572
