"Time","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[2].off","rectifier.thyristor_p.idealThyristor[3].off","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[2].off","rectifier.thyristor_n.idealThyristor[3].off","rectifier.pre_p[1].u","rectifier.pre_p[2].u","rectifier.pre_p[3].u","rectifier.pre_n[1].u","rectifier.pre_n[2].u","rectifier.pre_n[3].u","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2m.twomPulse.timerPositive[1].entryTime","pulse2m.twomPulse.timerPositive[2].entryTime","pulse2m.twomPulse.timerPositive[3].entryTime","pulse2m.twomPulse.timerNegative[1].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerNegative[3].entryTime","inductor.i"
4.9499998,0,1,1,1,1,0,1,0,0,0,0,1,4.3149595,0.013484383,6297.0249,20.983242,13.424283,0.044702735,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.334414
4.9499998,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0,6294.9722,0,13.41082,0,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.334414
4.9502001,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.025460938,6294.9722,3.2450149,13.41082,0.0026693416,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.358488
4.9503999,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.04789006,6294.9722,5.7642913,13.41082,0.0053431871,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.37944
4.9506001,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.067198843,6294.9722,7.632597,13.41082,0.0080209048,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.397195
4.9507999,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.083311073,6294.9722,8.9349642,13.41082,0.010701847,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.411688
4.9510002,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.096163183,6294.9722,9.7653503,13.41082,0.013385359,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.42287
4.9512,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.10570444,6294.9722,10.225153,13.41082,0.016070772,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.430703
4.9513998,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.11189719,6294.9722,10.421616,13.41082,0.018757416,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.435163
4.9516001,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.11471699,6294.9722,10.466134,13.41082,0.021444611,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.436239
4.9516668,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.11490507,6294.9722,10.466842,13.41082,0.022340329,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.435845
4.9516668,0,1,1,1,1,0,1,0,0,0,0,1,4.0453148,0.11490507,6294.9722,10.466842,13.41082,0.02234035,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,13.435845
4.9516668,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.11490507,6294.9722,10.466842,13.41082,0.02234035,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.435845
4.9517999,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.11415271,6294.9722,10.472521,13.41082,0.024131685,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.433933
4.9520001,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.11020665,6294.9722,10.555119,13.41082,0.026817961,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.428262
4.9521999,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.10289429,6294.9722,10.827151,13.41082,0.029502768,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.419253
4.9524002,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.092244476,6294.9722,11.398826,13.41082,0.032185443,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.40695
4.9526,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.078299277,6294.9722,12.375614,13.41082,0.034865331,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.391407
4.9527998,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.061113723,6294.9722,13.856609,13.41082,0.037541792,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.372692
4.9530001,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.040755641,6294.9722,15.932957,13.41082,0.040214203,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.350885
4.9531999,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.017305372,6294.9722,18.686409,13.41082,0.042881947,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.32608
4.9532866,0,1,1,1,1,0,0,0,0,0,0,1,4.0453148,0.0062123123,6294.9722,20.107355,13.41082,0.044035751,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.314432
4.9532866,1,0,1,1,1,0,0,1,0,0,0,1,4.0453148,0.0062123123,6294.9722,20.107355,13.41082,0.044035751,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.314432
4.9533334,1,0,1,1,1,0,0,1,0,0,0,1,4.0453148,0.012585347,6294.9722,20.976883,13.41082,0.044657856,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.320509
4.9533334,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0,6293.0649,0,13.397357,0,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.320509
4.9534001,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.0088178804,6293.0649,1.1664662,13.397357,0.00088831526,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.328894
4.9535999,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.033278804,6293.0649,4.1619453,13.397357,0.0035564557,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.351992
4.9538002,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.054677043,6293.0649,6.4553895,13.397357,0.0062289019,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.371942
4.954,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.07292816,6293.0649,8.1251316,13.397357,0.0089050177,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.38867
4.9541998,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.087960117,6293.0649,9.2593327,13.397357,0.011584152,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.40212
4.9544001,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.099713601,6293.0649,9.9546022,13.397357,0.014265643,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.412243
4.9545999,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.10814223,6293.0649,10.314468,13.397357,0.016948825,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.419008
4.9548001,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.11321272,6293.0649,10.447751,13.397357,0.019633021,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.422395
4.9549999,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.11490507,6293.0649,10.466842,13.397357,0.022317536,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.422397
4.9549999,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.11490507,6293.0649,10.466842,13.397357,0.022317557,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.422397
4.9549999,1,0,1,1,1,0,0,1,0,0,0,1,3.775604,0.11490507,6293.0649,10.466842,13.397357,0.022317557,4.9416666,4.9483333,4.9349999,4.9516668,4.9383335,4.9450002,13.422397
4.9549999,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.11490507,6293.0649,10.466842,13.397357,0.022317557,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.422397
4.9552002,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.11321262,6293.0649,10.48595,13.397357,0.025001755,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.41902
4.9554,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.10814208,6293.0649,10.619227,13.397357,0.027684942,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.412286
4.9555998,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.099713378,6293.0649,10.979095,13.397357,0.030366447,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.402226
4.9558001,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.087959781,6293.0649,11.674369,13.397357,0.033045612,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.38889
4.9559999,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.072927713,6293.0649,12.808578,13.397357,0.03572179,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.372334
4.9562001,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.054676488,6293.0649,14.478332,13.397357,0.038394336,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.352633
4.9563999,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.033278137,6293.0649,16.771801,13.397357,0.041062638,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.329867
4.9566002,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.0088171167,6293.0649,19.767305,13.397357,0.043726087,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.304138
4.9566231,1,0,1,1,1,0,0,1,0,0,0,0,3.775604,0.0057738526,6293.0649,20.16497,13.397357,0.044035904,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.300954
4.9566231,1,0,1,0,1,1,0,1,0,1,0,0,3.775604,0.0057738526,6293.0649,20.16497,13.397357,0.044035904,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.300954
4.9566665,1,0,1,0,1,1,0,1,0,1,0,0,3.775604,0.011686396,6293.0649,20.970945,13.397357,0.044612978,4.9416666,4.9483333,4.9549999,4.9516668,4.9383335,4.9450002,13.306602
