"Time","smrM.is[3]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","vfController3.x","smr3.is[2]","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","vfControllerM.x","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.is[1]","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.is[1]","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.w","loadInertiaM.w","smrM.is[2]","smrM.is[4]","loadInertia3.phi"
1.2,-16.015038,-0.43311521,219.91148,-40.725674,-0.0045943893,105.99012,219.91148,-0.0045943893,-2.0215385,0.45035881,-1.2129232,0.45035881,-0.040684044,-0.040684044,-0.43311521,157.59015,157.59015,-27.875427,17.977589,105.99012
1.2000999,-16.764587,-0.43312028,219.9429,-41.516441,-0.018737597,106.00588,219.9429,-0.018737597,-0.50438994,0.44999203,-0.30263397,0.44999203,-0.040636715,-0.040636715,-0.43312028,157.58163,157.58163,-27.615345,17.254259,106.00588
1.2002,-17.497887,-0.43312532,219.97432,-42.266407,-0.032862075,106.02164,219.97432,-0.032862075,1.014052,0.44918123,0.60843122,0.44918123,-0.040589437,-0.040589437,-0.43312532,157.57312,157.57312,-27.327713,16.513424,106.02164
1.2003,-18.214752,-0.43313032,220.00574,-42.975319,-0.046954468,106.03739,220.00574,-0.046954468,2.5335069,0.44792715,1.5201042,0.44792715,-0.040542223,-0.040542223,-0.43313032,157.56461,157.56461,-27.012506,15.755172,106.03739
1.2004,-18.914291,-0.43313536,220.03716,-43.642204,-0.061000761,106.05315,220.03716,-0.061000761,4.0522132,0.44623104,2.4313278,0.44623104,-0.040495075,-0.040495075,-0.43313536,157.55609,157.55609,-26.669996,14.980321,106.05315
1.2005,-19.595615,-0.43314034,220.06857,-44.266247,-0.07498689,106.0689,220.06857,-0.07498689,5.568193,0.44409469,3.3409157,0.44409469,-0.040448003,-0.040448003,-0.43314034,157.54758,157.54758,-26.300655,14.1899,106.0689
1.2006,-20.258024,-0.43314534,220.09998,-44.846806,-0.088899054,106.08466,220.09998,-0.088899054,7.0798869,0.44152021,4.247932,0.44152021,-0.040401012,-0.040401012,-0.43314534,157.53908,157.53908,-25.904873,13.384726,106.08466
1.2007,-20.90066,-0.43315029,220.13139,-45.382973,-0.10272343,106.10041,220.13139,-0.10272343,8.5855579,0.43851015,5.1513352,0.43851015,-0.040354107,-0.040354107,-0.43315029,157.53056,157.53056,-25.482943,12.565624,106.10041
1.2007999,-21.522745,-0.43315527,220.16281,-45.873936,-0.11644635,106.11617,220.16281,-0.11644635,10.083633,0.43506736,6.0501804,0.43506736,-0.040307295,-0.040307295,-0.43315527,157.52206,157.52206,-25.035137,11.733348,106.11617
1.2009,-22.123533,-0.43316022,220.19423,-46.318924,-0.1300543,106.13192,220.19423,-0.1300543,11.572571,0.43119517,6.9435425,0.43119517,-0.040260576,-0.040260576,-0.43316022,157.51357,157.51357,-24.561741,10.888645,106.13192
