"Time","orifice1.port_b.m_flow","orifice1.port_b.p","orifice1.port_b.h_outflow","orifice2.port_b.m_flow","orifice2.port_b.p","orifice2.port_b.h_outflow"
0,2.1078744,100000,266674.75,2.1078744,100000,266674.75
0.001,2.1076517,100000,266674.75,2.1076517,100000,266674.75
0.0020000001,2.1074293,100000,266674.75,2.1074293,100000,266674.75
0.003,2.1072068,100000,266674.75,2.1072068,100000,266674.75
0.0040000002,2.1069841,100000,266674.75,2.1069841,100000,266674.75
0.0049999999,2.1067615,100000,266674.75,2.1067615,100000,266674.75
0.0060000001,2.106539,100000,266674.75,2.106539,100000,266674.75
0.0070000002,2.1063163,100000,266674.75,2.1063163,100000,266674.75
0.0080000004,2.1060936,100000,266674.75,2.1060936,100000,266674.75
0.0089999996,2.105871,100000,266674.75,2.105871,100000,266674.75
0.0099999998,2.105648,100000,266674.75,2.105648,100000,266674.75
0.011,2.1054254,100000,266674.75,2.1054254,100000,266674.75
0.012,2.1052027,100000,266674.75,2.1052027,100000,266674.75
0.013,2.1049798,100000,266674.75,2.1049798,100000,266674.75
0.014,2.1047571,100000,266674.75,2.1047571,100000,266674.75
0.015,2.1045341,100000,266674.75,2.1045341,100000,266674.75
0.016000001,2.1043112,100000,266674.75,2.1043112,100000,266674.75
0.017000001,2.1040885,100000,266674.75,2.1040885,100000,266674.75
0.017999999,2.1038656,100000,266674.75,2.1038656,100000,266674.75
0.018999999,2.1036427,100000,266674.75,2.1036427,100000,266674.75
0.02,2.1034195,100000,266674.75,2.1034195,100000,266674.75
0.021,2.1031966,100000,266674.75,2.1031966,100000,266674.75
0.022,2.1029737,100000,266674.75,2.1029737,100000,266674.75
0.023,2.1027505,100000,266674.75,2.1027505,100000,266674.75
0.024,2.1025276,100000,266674.75,2.1025276,100000,266674.75
0.025,2.1023045,100000,266674.75,2.1023045,100000,266674.75
0.026000001,2.1020813,100000,266674.75,2.1020813,100000,266674.75
0.027000001,2.1018584,100000,266674.75,2.1018584,100000,266674.75
0.028000001,2.1016352,100000,266674.75,2.1016352,100000,266674.75
0.028999999,2.1014121,100000,266674.75,2.1014121,100000,266674.75
0.029999999,2.1011887,100000,266674.75,2.1011887,100000,266674.75
0.030999999,2.1009655,100000,266674.75,2.1009655,100000,266674.75
0.032000002,2.1007423,100000,266674.75,2.1007423,100000,266674.75
0.033,2.1005189,100000,266674.75,2.1005189,100000,266674.75
0.034000002,2.1002958,100000,266674.75,2.1002958,100000,266674.75
0.035,2.1000724,100000,266674.75,2.1000724,100000,266674.75
0.035999998,2.0998492,100000,266674.75,2.0998492,100000,266674.75
0.037,2.0996258,100000,266674.75,2.0996258,100000,266674.75
0.037999999,2.0994024,100000,266674.75,2.0994024,100000,266674.75
0.039000001,2.099179,100000,266674.75,2.099179,100000,266674.75
0.039999999,2.0989556,100000,266674.75,2.0989556,100000,266674.75
0.041000001,2.098732,100000,266674.75,2.098732,100000,266674.75
0.041999999,2.0985086,100000,266674.75,2.0985086,100000,266674.75
0.043000001,2.0982852,100000,266674.75,2.0982852,100000,266674.75
0.044,2.0980616,100000,266674.75,2.0980616,100000,266674.75
0.045000002,2.0978379,100000,266674.75,2.0978379,100000,266674.75
0.046,2.0976145,100000,266674.75,2.0976145,100000,266674.75
0.046999998,2.0973909,100000,266674.75,2.0973909,100000,266674.75
0.048,2.0971673,100000,266674.75,2.0971673,100000,266674.75
0.048999999,2.0969436,100000,266674.75,2.0969436,100000,266674.75
0.050000001,2.09672,100000,266674.75,2.09672,100000,266674.75
0.050999999,2.0964961,100000,266674.75,2.0964961,100000,266674.75
0.052000001,2.0962725,100000,266674.75,2.0962725,100000,266674.75
0.052999999,2.0960488,100000,266674.75,2.0960488,100000,266674.75
0.054000001,2.095825,100000,266674.75,2.095825,100000,266674.75
0.055,2.0956011,100000,266674.75,2.0956011,100000,266674.75
0.056000002,2.0953774,100000,266674.75,2.0953774,100000,266674.75
0.057,2.0951536,100000,266674.75,2.0951536,100000,266674.75
0.057999998,2.0949297,100000,266674.75,2.0949297,100000,266674.75
0.059,2.0947058,100000,266674.75,2.0947058,100000,266674.75
0.059999999,2.0944819,100000,266674.75,2.0944819,100000,266674.75
0.061000001,2.0942581,100000,266674.75,2.0942581,100000,266674.75
0.061999999,2.094034,100000,266674.75,2.094034,100000,266674.75
0.063000001,2.0938101,100000,266674.75,2.0938101,100000,266674.75
0.064000003,2.093586,100000,266674.75,2.093586,100000,266674.75
0.064999998,2.0933621,100000,266674.75,2.0933621,100000,266674.75
0.066,2.093138,100000,266674.75,2.093138,100000,266674.75
0.067000002,2.0929139,100000,266674.75,2.0929139,100000,266674.75
0.068000004,2.0926898,100000,266674.75,2.0926898,100000,266674.75
0.068999998,2.0924656,100000,266674.75,2.0924656,100000,266674.75
0.07,2.0922415,100000,266674.75,2.0922415,100000,266674.75
0.071000002,2.0920174,100000,266674.75,2.0920174,100000,266674.75
