"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","vfController.x","mass.s","mass.v"
0.25,95.805916,239.27327,180.94012,-293.93823,-188.86504,254.4686,9.8174772,0.057713572,0.63835967
0.25099999,69.580406,256.01743,194.48589,-282.44547,-201.13422,242.325,9.8961735,0.058356356,0.64729387
0.252,42.981514,271.11981,207.40671,-270.1687,-212.74962,229.47633,9.9751854,0.059008323,0.65672004
0.25299999,16.182644,284.45334,219.65332,-257.14615,-223.66649,215.96243,10.05451,0.059669953,0.66662061
0.25400001,-10.637033,295.90091,231.18015,-243.41951,-233.84378,201.82625,10.13415,0.060341716,0.67697531
0.255,-37.2939,305.35666,241.94562,-229.03366,-243.24455,187.11366,10.214103,0.061024051,0.68776178
0.25600001,-63.601311,312.72717,251.91251,-214.03619,-251.83611,171.87297,10.294371,0.061717376,0.69895536
0.257,-89.371048,317.93268,261.04797,-198.47705,-259.59024,156.1545,10.374952,0.062422086,0.71052969
0.25799999,-114.41488,320.90793,269.32385,-182.40804,-266.48325,140.01021,10.455849,0.063138552,0.72245663
0.259,-138.5461,321.60333,276.71667,-165.88246,-272.49612,123.49326,10.537059,0.063867107,0.7347067
0.25999999,-161.58116,319.98553,283.20773,-148.95462,-277.6145,106.65759,10.618583,0.06460806,0.74724925
0.26100001,-183.34131,316.03824,288.78302,-131.67946,-281.82861,89.557465,10.700421,0.065361694,0.76005268
0.26199999,-203.6541,309.7626,293.43317,-114.11213,-285.13324,72.247162,10.782575,0.066128246,0.77308494
0.26300001,-222.3551,301.1778,297.15332,-96.307571,-287.5275,54.780544,10.865041,0.066907927,0.78631341
0.264,-239.28934,290.32089,299.94305,-78.320206,-289.01477,37.21072,10.947822,0.06770093,0.79970545
0.26499999,-254.31276,277.24728,301.80603,-60.203583,-289.60239,19.589739,11.030917,0.068507388,0.81322867
0.266,-267.29376,262.03021,302.74988,-42.010082,-289.30142,1.9683199,11.114326,0.069327414,0.82685089
0.26699999,-278.11435,244.7608,302.78583,-23.790659,-288.12653,-15.604418,11.19805,0.070161112,0.84054071
0.26800001,-286.67142,225.54732,301.92856,-5.5946379,-286.0954,-33.081123,11.282087,0.071008511,0.85426748
0.26899999,-292.87781,204.5148,300.19574,12.53047,-283.22867,-50.416393,11.366439,0.071869649,0.8680017
0.27000001,-296.66342,181.80417,297.60782,30.539141,-279.54959,-67.566933,11.451105,0.072744511,0.88171488
0.271,-297.9758,157.5714,294.18774,48.387939,-275.08365,-84.491646,11.536085,0.07363306,0.89538014
