"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","mass.s","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","massQS.v","mass.v","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x","massQS.s","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
4,-0.30037984,25.81601,0.0065362263,70.013908,7.5422087,7.5422091,-0.28693825,1099.5574,25.738588,0.43834046
4.0001001,-0.30002177,25.816763,0.020300448,70.015152,7.5422072,7.5422091,-0.28731263,1099.5889,25.739342,0.4379189
4.0001998,-0.29966325,25.817516,0.034042649,70.016396,7.5422025,7.5422091,-0.28768656,1099.6202,25.740097,0.43706536
4.0002999,-0.29930428,25.818272,0.047749966,70.017632,7.5421948,7.5422087,-0.28806001,1099.6516,25.74085,0.43578079
4.0004001,-0.29894486,25.819025,0.061409548,70.018867,7.5421839,7.5422087,-0.28843302,1099.6831,25.741606,0.43406656
4.0005002,-0.298585,25.81978,0.075007431,70.020103,7.5421705,7.5422082,-0.28880554,1099.7145,25.742359,0.43192446
4.0005999,-0.29822472,25.820534,0.088530071,70.021332,7.5421534,7.5422082,-0.2891776,1099.7458,25.743113,0.42935684
4.0007,-0.29786402,25.821289,0.10196424,70.02256,7.5421338,7.5422077,-0.28954917,1099.7772,25.743868,0.4263666
4.0008001,-0.29750288,25.822042,0.11529662,70.023781,7.5421109,7.5422068,-0.28992027,1099.8087,25.744621,0.42295665
4.0008998,-0.29714137,25.822796,0.12851399,70.025002,7.5420852,7.5422058,-0.29029089,1099.8401,25.745377,0.41913024
4.0009999,-0.29677942,25.823551,0.14160345,70.026222,7.5420561,7.5422049,-0.29066101,1099.8715,25.74613,0.41489142
4.0011001,-0.29641712,25.824305,0.15455206,70.027435,7.5420246,7.5422039,-0.29103062,1099.9028,25.746885,0.4102442
4.0012002,-0.29605439,25.82506,0.16734733,70.028648,7.5419898,7.5422025,-0.29139975,1099.9342,25.747639,0.40519375
4.0012999,-0.29569131,25.825813,0.17997648,70.029861,7.5419521,7.5422006,-0.29176837,1099.9656,25.748392,0.3997446
4.0014,-0.29532787,25.826569,0.19242735,70.031067,7.5419116,7.5421987,-0.29213649,1099.9969,25.749147,0.39390275
4.0015001,-0.29496405,25.827322,0.20468758,70.032265,7.5418677,7.5421963,-0.29250407,1100.0283,25.749901,0.38767362
4.0015998,-0.29459986,25.828075,0.21674532,70.03347,7.541821,7.5421939,-0.29287115,1100.0597,25.750656,0.38106382
4.0016999,-0.29423532,25.828831,0.22858858,70.03466,7.5417719,7.5421906,-0.29323772,1100.0911,25.75141,0.37407956
