"Time","meanVoltage.x","meanCurrent.y","pulse2m.twomPulse.timerNegative[2].entryTime","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[1].entryTime","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre[1].u","rectifier.pre[2].u","meanVoltage.y","rectifier.thyristor_p.idealThyristor[2].off","rootMeanSquareVoltage.mean.y","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.pre[3].u","pulse2m.twomPulse.timerNegative[3].entryTime","rectifier.thyristor_p.idealThyristor[1].off","rootMeanSquareVoltage.mean.x","pulse2m.twomPulse.timerPositive[1].entryTime","meanCurrent.x"
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.00019999999,1.6436083e-05,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.3509523e-06,0,8.2180412e-07
0.00039999999,3.337962e-05,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2.787086e-06,0,1.668981e-06
0.00060000003,5.0723949e-05,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4.2931247e-06,0,2.5361976e-06
0.00079999998,6.846145e-05,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5.867953e-06,0,3.4230725e-06
0.001,8.6462285e-05,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.4900836e-06,0,4.3231144e-06
0.0012000001,0.00010475051,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9.1634911e-06,0,5.2375253e-06
0.0014,0.00012316037,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.0859094e-05,0,6.1580181e-06
0.0016,0.0001417071,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.2579562e-05,0,7.0853553e-06
0.0016666667,0.00014790108,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.3155137e-05,0,7.3950537e-06
0.0016666667,0.00014790108,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.3155137e-05,0.0016666667,7.3950537e-06
0.0018,0.028080642,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5.8521147,0.0016666667,0.0014040321
0.0020000001,0.068590619,0,0,0,0,0,0,0,0,1,0,0,1,0,1,14.058664,0.0016666667,0.0034295309
0.0022,0.10729199,0,0,0,0,0,0,0,0,1,0,0,1,0,1,21.549129,0.0016666667,0.0053645996
