"Time","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,-0,-0
0.001,6.9426213e-05,-8.0995033e-09
0.0020000001,0.00027376707,-1.0281624e-07
0.003,0.00060770824,-4.7577231e-07
0.0040000002,0.0010663619,-1.4342274e-06
0.0049999999,0.0016448412,-3.4043128e-06
0.0060000001,0.0023388499,-6.9290754e-06
0.0070000002,0.0031446123,-1.2664211e-05
0.0080000004,0.004058742,-2.1366817e-05
0.0089999996,0.0050781495,-3.3898381e-05
0.0099999998,0.0062000407,-5.1211642e-05
0.011,0.0074220137,-7.4374795e-05
0.012,0.008741864,-0.00010454456
0.013,0.010157435,-0.0001429588
0.014,0.011666885,-0.00019095631
0.015,0.013268439,-0.00024995604
0.016000001,0.014960502,-0.00032146653
0.017000001,0.016741589,-0.00040707996
0.017999999,0.018610308,-0.00050847081
0.018999999,0.020565392,-0.00062739872
0.02,0.022605602,-0.00076569908
0.021,0.02472982,-0.00092529255
0.022,0.02693692,-0.0011081717
0.023,0.029225852,-0.0013164085
0.024,0.031595573,-0.0015521495
0.025,0.034045059,-0.0018176144
0.026000001,0.036573295,-0.0021150943
0.027000001,0.039179232,-0.0024469516
0.028000001,0.04186181,-0.0028156172
0.028999999,0.044620022,-0.0032235892
0.029999999,0.047452774,-0.0036734324
0.030999999,0.050358921,-0.0041677756
0.032000002,0.053337291,-0.0047093108
0.033,0.056386743,-0.0053007822
0.034000002,0.05950598,-0.0059450022
0.035,0.062693678,-0.0066448376
0.035999998,0.065948449,-0.0074032024
0.037,0.06926886,-0.0082230568
0.037999999,0.072653353,-0.0091074221
0.039000001,0.076100297,-0.010059363
0.039999999,0.079607971,-0.011081967
0.041000001,0.083174571,-0.01217837
0.041999999,0.086798154,-0.013351752
0.043000001,0.090476684,-0.014605322
0.044,0.094208032,-0.015942279
0.045000002,0.097989909,-0.017365888
0.046,0.10181992,-0.018879419
0.046999998,0.10569552,-0.020486148
0.048,0.1096141,-0.02218934
0.048999999,0.11357282,-0.023992296
0.050000001,0.11756874,-0.025898306
0.050999999,0.12159878,-0.027910618
0.052000001,0.12565969,-0.030032486
0.052999999,0.12974806,-0.032267153
0.054000001,0.13386033,-0.034617826
0.055,0.13799277,-0.037087627
0.056000002,0.14214148,-0.039679691
0.057,0.14630237,-0.042397089
0.057999998,0.1504712,-0.045242816
0.059,0.15464354,-0.04821977
0.059999999,0.15881477,-0.05133082
0.061000001,0.16298009,-0.054578736
0.061999999,0.16713452,-0.057966158
0.063000001,0.1712729,-0.061495621
0.064000003,0.17538986,-0.06516958
0.064999998,0.17947982,-0.068990342
0.066,0.1835371,-0.072960019
0.067000002,0.18755575,-0.077080645
0.068000004,0.19152962,-0.081354067
0.068999998,0.19545242,-0.085781962
0.07,0.19931771,-0.090365753
0.071000002,0.20311876,-0.095106758
0.071999997,0.2068487,-0.10000605
0.072999999,0.21050052,-0.10506444
0.074000001,0.21406704,-0.11028251
0.075000003,0.21754085,-0.11566064
0.075999998,0.22091435,-0.1211989
0.077,0.22417994,-0.12689705
0.078000002,0.22732975,-0.13275464
0.079000004,0.23035572,-0.13877085
0.079999998,0.23324975,-0.14494455
0.081,0.23600367,-0.15127428
0.082000002,0.23860903,-0.15775824
0.082999997,0.24105738,-0.16439424
0.083999999,0.24334016,-0.17117977
0.085000001,0.2454488,-0.17811188
0.086000003,0.24737455,-0.18518722
0.086999997,0.24910863,-0.19240203
0.088,0.25064236,-0.19975218
0.089000002,0.25196692,-0.20723301
0.090000004,0.25307354,-0.21483946
0.090999998,0.25395337,-0.22256598
0.092,0.25459784,-0.23040661
0.093000002,0.25499824,-0.23835486
0.093999997,0.255146,-0.24640371
0.094999999,0.25503263,-0.25454569
0.096000001,0.25464994,-0.26277289
0.097000003,0.2539897,-0.27107677
0.097999997,0.25304392,-0.27944827
0.098999999,0.25180495,-0.28787792
0.1,0.25026527,-0.29635566
0.101,0.24841759,-0.30487087
0.102,0.24625498,-0.31341237
0.103,0.24377097,-0.3219687
0.104,0.24095929,-0.3305276
0.105,0.23781407,-0.33907631
0.106,0.23432994,-0.34760168
0.107,0.23050201,-0.3560901
0.108,0.22632582,-0.36452726
0.109,0.22179751,-0.37289852
0.11,0.21691376,-0.38118878
0.111,0.21167187,-0.38938242
0.112,0.20606975,-0.3974635
0.113,0.20010598,-0.40541559
0.114,0.19377978,-0.4132219
0.115,0.18709111,-0.42086527
0.116,0.18004063,-0.42832834
0.117,0.17262967,-0.43559343
0.118,0.16486023,-0.44264278
0.119,0.15673496,-0.44945848
0.12,0.1482572,-0.4560225
0.121,0.13943101,-0.46231675
0.122,0.13026123,-0.46832311
0.123,0.12075345,-0.47402334
0.124,0.11091412,-0.47939926
0.125,0.10075054,-0.48443267
0.126,0.090270922,-0.48910543
0.127,0.079484381,-0.4933995
0.12800001,0.068401031,-0.49729693
0.12899999,0.057031941,-0.50077987
0.13,0.045389228,-0.50383079
0.131,0.033486046,-0.50643229
0.132,0.02133663,-0.50856739
0.133,0.0089563103,-0.51021934
0.134,-0.0036384726,-0.51137179
0.13500001,-0.016430138,-0.51200897
0.13600001,-0.029399965,-0.51211542
0.13699999,-0.042528059,-0.51167649
0.138,-0.05579336,-0.51067811
0.139,-0.069173634,-0.50910681
0.14,-0.082645491,-0.50695014
0.141,-0.09618438,-0.50419641
0.142,-0.10976458,-0.50083482
0.14300001,-0.12335926,-0.49685574
0.14399999,-0.13694046,-0.49225062
0.145,-0.15047908,-0.48701209
0.146,-0.16394503,-0.48113406
