"Time","C1.v","C4.v","C5.v","C2.v","C3.v","Transistor1.ct.v","Transistor1.Tr.C.v","Transistor2.ct.v","Transistor2.Tr.C.v"
0,0,0,0,0,0,0,0,0,0
2e-12,0.0004993098,-3.0183228e-06,-2.8904185e-06,3.3910765e-06,2.6120271e-12,8.6989261e-05,6.7526025e-06,1.3283844e-09,2.6081395e-06
4e-12,0.0010013661,-1.1892281e-05,-1.1542263e-05,1.3307674e-05,1.4195711e-11,0.00030718627,1.9064963e-05,7.149775e-09,1.1038676e-05
6e-12,0.0015035823,-2.6673531e-05,-2.6171323e-05,2.9604549e-05,3.1243799e-11,0.00062059867,3.6818925e-05,1.570039e-08,2.5376852e-05
8e-12,0.0020058954,-4.7362577e-05,-4.6898404e-05,5.2129788e-05,5.119196e-11,0.00099719618,6.0167331e-05,2.5699078e-08,4.5622877e-05
1e-11,0.0025082598,-7.3958305e-05,-7.3807365e-05,8.0775048e-05,7.2511344e-11,0.0014158436,8.9213674e-05,3.6382048e-08,7.1775663e-05
1.2e-11,0.0030106432,-0.00010645954,-0.00010695677,0.00011546419,9.4293032e-11,0.001861765,0.00012402998,4.7295281e-08,0.00010383404
1.4e-11,0.0035130235,-0.00014486513,-0.00014638281,0.00015614973,1.1612815e-10,0.0023258342,0.00016466023,5.8234626e-08,0.00014179686
1.6e-11,0.0040153866,-0.00018917391,-0.00019210837,0.00020280114,1.3784925e-10,0.0028022618,0.00021113193,6.9116538e-08,0.00018566297
1.8000001e-11,0.0045177205,-0.0002393847,-0.00024414956,0.00025539662,1.5938058e-10,0.0032869934,0.00026346397,7.9903252e-08,0.00023543117
2e-11,0.0050200173,-0.00029549634,-0.00030251688,0.00031392148,1.8070496e-10,0.0037773626,0.00032166828,9.0586262e-08,0.00029110035
2.2000001e-11,0.0055222698,-0.0003575077,-0.0003672181,0.00037836461,2.0182046e-10,0.0042714127,0.00038575343,1.0116467e-07,0.00035266933
2.4e-11,0.0060244729,-0.00042541762,-0.0004382566,0.0004487205,2.2275695e-10,0.0047682929,0.00045572242,1.1165342e-07,0.00042013693
2.6000001e-11,0.0065266225,-0.00049922487,-0.00051563559,0.00052498374,2.4354377e-10,0.0052671679,0.00053157809,1.2206721e-07,0.00049350201
2.8e-11,0.0070287124,-0.00057892839,-0.00059935841,0.00060714904,2.6418465e-10,0.0057672197,0.00061332341,1.3240795e-07,0.00057276344
2.9999999e-11,0.00753074,-0.00066452695,-0.00068942696,0.00069521251,2.8469704e-10,0.006267935,0.00070095964,1.4268436e-07,0.00065792003
3.2e-11,0.008032701,-0.00075601944,-0.00078584201,0.00078917213,3.0509401e-10,0.0067691286,0.00079448649,1.5290296e-07,0.0007489706
3.4000001e-11,0.0085345907,-0.00085340464,-0.00088860461,0.00088902534,3.2538738e-10,0.0072705327,0.00089390413,1.630697e-07,0.00084591407
3.6000002e-11,0.0090364078,-0.00095668144,-0.00099771516,0.00099477032,3.4558803e-10,0.0077720266,0.00099921192,1.7319e-07,0.00094874919
3.7999999e-11,0.0095381476,-0.0010658486,-0.0011131739,0.0011064056,3.6570225e-10,0.0082735457,0.001110409,1.8326702e-07,0.0010574749
4e-11,0.010039807,-0.0011809052,-0.0012349809,0.0012239299,3.8573555e-10,0.0087750815,0.0012274942,1.9330351e-07,0.0011720899
4.2000001e-11,0.010541384,-0.0013018498,-0.0013631362,0.001347342,4.0568973e-10,0.0092766033,0.0013504665,2.0330036e-07,0.0012925932
4.4000002e-11,0.011042873,-0.0014286814,-0.0014976398,0.0014766407,4.255663e-10,0.0097781112,0.0014793245,2.1325832e-07,0.0014189836
4.5999999e-11,0.011544273,-0.0015613989,-0.0016384916,0.0016118247,4.4536447e-10,0.010279586,0.0016140675,2.23177e-07,0.0015512599
4.8e-11,0.012045581,-0.0017000008,-0.0017856919,0.0017528927,4.6508372e-10,0.010781018,0.0017546939,2.3305614e-07,0.0016894209
5.0000001e-11,0.012546792,-0.0018444865,-0.0019392405,0.0018998436,4.8472176e-10,0.011282395,0.0019012028,2.428946e-07,0.0018334655
5.2000002e-11,0.013047904,-0.0019948543,-0.0020991375,0.0020526762,5.0427684e-10,0.011783704,0.0020535931,2.5269148e-07,0.0019833928
5.3999999e-11,0.013548913,-0.0021511035,-0.0022653828,0.0022113889,5.2374777e-10,0.012284935,0.0022118634,2.6244621e-07,0.0021392012
5.6e-11,0.014049817,-0.0023132325,-0.0024379767,0.0023759808,5.4313304e-10,0.012786076,0.0023760127,2.7215802e-07,0.0023008897
5.8000001e-11,0.014550612,-0.0024812405,-0.0026169186,0.0025464511,5.6242994e-10,0.013287139,0.0025460399,2.8182555e-07,0.0024684572
5.9999998e-11,0.015051295,-0.0026551264,-0.0028022092,0.0027227979,5.8163718e-10,0.013788109,0.0027219437,2.9144815e-07,0.0026419025
6.2000002e-11,0.015551863,-0.0028348886,-0.0029938479,0.0029050203,6.0075306e-10,0.014288978,0.0029037229,3.0102498e-07,0.0028212247
6.4e-11,0.016052313,-0.0030205266,-0.003191835,0.0030931171,6.1977579e-10,0.014789739,0.0030913765,3.1055515e-07,0.0030064224
6.5999997e-11,0.016552642,-0.0032120387,-0.0033961704,0.0032870872,6.387037e-10,0.015290385,0.0032849032,3.2003777e-07,0.0031974947
6.8000001e-11,0.017052846,-0.0034094239,-0.0036068545,0.0034869292,6.5753503e-10,0.01579091,0.003484302,3.2947202e-07,0.0033944398
6.9999999e-11,0.017552922,-0.0036126808,-0.0038238864,0.0036926419,6.7626799e-10,0.016291305,0.0036895715,3.3885698e-07,0.0035972574
7.2000003e-11,0.018052867,-0.0038218088,-0.0040472671,0.0039042241,6.9490047e-10,0.016791569,0.0039007107,3.4819161e-07,0.0038059459
7.4000001e-11,0.018552678,-0.0040368065,-0.0042769955,0.0041216752,7.1342526e-10,0.01729173,0.004117718,3.5747223e-07,0.0040205042
7.5999998e-11,0.019052351,-0.0042576729,-0.0045130723,0.0043449933,7.3184397e-10,0.017791755,0.0043405928,3.6669977e-07,0.004240931
7.8000002e-11,0.019551884,-0.0044844067,-0.0047554974,0.0045741778,7.5015461e-10,0.018291645,0.0045693335,3.758731e-07,0.0044672252
8e-11,0.020051274,-0.0047170063,-0.0050042705,0.0048092268,7.6835505e-10,0.018791392,0.0048039393,3.8499127e-07,0.0046993862
8.1999997e-11,0.020550519,-0.0049554715,-0.0052593919,0.0050501395,7.864433e-10,0.019290991,0.0050444086,3.9405319e-07,0.0049374118
8.4000001e-11,0.021049613,-0.0051998002,-0.0055208616,0.0052969148,8.044172e-10,0.019790439,0.0052907406,4.0305784e-07,0.0051813019
8.5999999e-11,0.021548552,-0.0054499917,-0.0057886792,0.0055495515,8.222748e-10,0.020289728,0.0055429339,4.1200417e-07,0.0054310551
8.8000003e-11,0.022047337,-0.0057060448,-0.0060628452,0.005808048,8.4001317e-10,0.020788867,0.0058009876,4.2089079e-07,0.0056866696
