"Time","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,-0,-0
9.9999997e-05,7.0548583e-07,-6.5709141e-13
0.00019999999,2.8162317e-06,-9.3003808e-12
0.00030000001,6.3234811e-06,-4.5679814e-11
0.00039999999,1.1218424e-05,-1.4465734e-10
0.00050000002,1.7492404e-05,-3.5141309e-10
0.00060000003,2.5136949e-05,-7.2657269e-10
0.00069999998,3.4143675e-05,-1.3408499e-09
0.00079999998,4.4504304e-05,-2.2768343e-09
0.00089999998,5.6210705e-05,-3.6324297e-09
0.001,6.9254864e-05,-5.5206022e-09
0.0011,8.3628845e-05,-8.0618072e-09
0.0012000001,9.9324825e-05,-1.1390076e-08
0.0013,0.00011633513,-1.565602e-08
0.0014,0.00013465213,-2.1017156e-08
0.0015,0.00015426835,-2.7647248e-08
0.0016,0.00017517642,-3.5732903e-08
0.0017,0.00019736907,-4.5472387e-08
0.0018,0.00022083908,-5.7072466e-08
0.0019,0.00024557937,-7.0756101e-08
0.0020000001,0.00027158301,-8.6756884e-08
0.0020999999,0.00029884305,-1.0531949e-07
0.0022,0.0003273527,-1.2670178e-07
0.0023000001,0.00035710528,-1.5117242e-07
0.0024000001,0.00038809414,-1.7901185e-07
0.0024999999,0.0004203128,-2.1051297e-07
0.0026,0.00045375479,-2.4597907e-07
0.0027000001,0.00048841379,-2.8572609e-07
0.0027999999,0.00052428356,-3.3008129e-07
0.0029,0.00056135788,-3.7938267e-07
0.003,0.0005996307,-4.3398035e-07
0.0031000001,0.00063909596,-4.9423562e-07
0.0031999999,0.00067974778,-5.6052102e-07
0.0033,0.00072158035,-6.3322034e-07
0.0034,0.00076458778,-7.1272837e-07
0.0035000001,0.00080876454,-7.9945113e-07
0.0035999999,0.00085410487,-8.9380575e-07
0.0037,0.00090060337,-9.9622036e-07
0.0038000001,0.00094825448,-1.1071338e-06
0.0038999999,0.00099705276,-1.2269965e-06
0.0040000002,0.0010469931,-1.3562691e-06
0.0041,0.0010980702,-1.4954232e-06
0.0041999999,0.0011502786,-1.6449413e-06
0.0043000001,0.0012036136,-1.8053165e-06
0.0044,0.0012580699,-1.9770525e-06
0.0044999998,0.0013136427,-2.1606641e-06
0.0046000001,0.001370327,-2.3566759e-06
0.0046999999,0.0014281179,-2.5656238e-06
0.0048000002,0.0014870107,-2.7880533e-06
0.0049000001,0.0015470007,-3.024521e-06
0.0049999999,0.0016080833,-3.2755945e-06
0.0051000002,0.0016702538,-3.5418507e-06
0.0052,0.0017335077,-3.8238773e-06
0.0052999998,0.0017978407,-4.1222715e-06
0.0054000001,0.0018632482,-4.437642e-06
0.0055,0.0019297259,-4.7706071e-06
0.0055999998,0.0019972695,-5.1217958e-06
0.0057000001,0.0020658746,-5.491846e-06
0.0057999999,0.0021355376,-5.8814067e-06
0.0059000002,0.0022062536,-6.2911367e-06
0.0060000001,0.0022780192,-6.7217047e-06
0.0060999999,0.0023508298,-7.17379e-06
0.0062000002,0.002424682,-7.648081e-06
0.0063,0.0024995713,-8.1452754e-06
0.0063999998,0.0025754943,-8.666083e-06
0.0065000001,0.002652447,-9.2112214e-06
0.0066,0.0027304257,-9.7814191e-06
0.0066999998,0.0028094265,-1.0377414e-05
0.0068000001,0.002889446,-1.0999954e-05
0.0068999999,0.0029704804,-1.1649795e-05
0.0070000002,0.0030525262,-1.2327706e-05
0.0071,0.0031355796,-1.3034462e-05
0.0071999999,0.0032196376,-1.377085e-05
0.0073000002,0.0033046964,-1.4537666e-05
0.0074,0.0033907527,-1.5335716e-05
0.0074999998,0.003477803,-1.6165812e-05
0.0076000001,0.0035658444,-1.7028782e-05
