"Time","R1.v","R5.v","R50.v","Rdistr.v"
0,0,0,0,0
1e-06,0,0,0,0
2e-06,0,0,0,0
3.0000001e-06,0,0,0,0
4e-06,0,0,0,0
4.9999999e-06,0,0,0,0
6.0000002e-06,0,0,0,0
7.0000001e-06,0,0,0,0
8e-06,0,0,0,0
9.0000003e-06,0,0,0,0
9.9999997e-06,0,0,0,0
1.1e-05,0,0,0,0
1.2e-05,0,0,0,0
1.3e-05,0,0,0,0
1.4e-05,0,0,0,0
1.5e-05,0,0,0,0
1.6e-05,0,0,0,0
1.7e-05,0,0,0,0
1.8000001e-05,0,0,0,0
1.8999999e-05,0,0,0,0
1.9999999e-05,0,0,0,0
2.1e-05,0,0,0,0
2.2e-05,0,0,0,0
2.3000001e-05,0,0,0,0
2.4000001e-05,0,0,0,0
2.4999999e-05,0,0,0,0
2.6e-05,0,0,0,0
2.7e-05,0,0,0,0
2.8e-05,0,0,0,0
2.9000001e-05,0,0,0,0
2.9999999e-05,0,0,0,0
3.1e-05,0,0,0,0
3.2e-05,0,0,0,0
3.3e-05,0,0,0,0
3.4000001e-05,0,0,0,0
3.5000001e-05,0,0,0,0
3.6000001e-05,0,0,0,0
3.7000002e-05,0,0,0,0
3.7999998e-05,0,0,0,0
3.8999999e-05,0,0,0,0
3.9999999e-05,0,0,0,0
4.0999999e-05,0,0,0,0
4.2e-05,0,0,0,0
4.3e-05,0,0,0,0
4.4e-05,0,0,0,0
4.5000001e-05,0,0,0,0
4.6000001e-05,0,0,0,0
4.7000001e-05,0,0,0,0
4.8000002e-05,0,0,0,0
4.8999998e-05,0,0,0,0
4.9999999e-05,0,0,0,0
5.0999999e-05,0,0,0,0
5.1999999e-05,0,0,0,0
5.3e-05,0,0,0,0
5.4e-05,0,0,0,0
5.5e-05,0,0,0,0
5.6000001e-05,0,0,0,0
5.7000001e-05,0,0,0,0
5.8000001e-05,0,0,0,0
5.9000002e-05,0,0,0,0
5.9999998e-05,0,0,0,0
6.0999999e-05,0,0,0,0
6.1999999e-05,0,0,0,0
6.2999999e-05,0,0,0,0
6.4e-05,0,0,0,0
6.5e-05,0,0,0,0
6.6000001e-05,0,0,0,0
6.7000001e-05,0,0,0,0
6.8000001e-05,0,0,0,0
6.9000002e-05,0,0,0,0
7.0000002e-05,0,0,0,0
7.1000002e-05,0,0,0,0
7.2000003e-05,0,0,0,0
7.3000003e-05,0,0,0,0
7.4000003e-05,0,0,0,0
7.5000004e-05,0,0,0,0
7.5999997e-05,0,0,0,0
7.6999997e-05,0,0,0,0
7.7999997e-05,0,0,0,0
7.8999998e-05,0,0,0,0
7.9999998e-05,0,0,0,0
8.0999998e-05,0,0,0,0
8.1999999e-05,0,0,0,0
8.2999999e-05,0,0,0,0
8.3999999e-05,0,0,0,0
8.5e-05,0,0,0,0
8.6e-05,0,0,0,0
8.7e-05,0,0,0,0
8.8000001e-05,0,0,0,0
8.9000001e-05,0,0,0,0
9.0000001e-05,0,0,0,0
9.1000002e-05,0,0,0,0
9.2000002e-05,0,0,0,0
9.3000002e-05,0,0,0,0
9.4000003e-05,0,0,0,0
9.5000003e-05,0,0,0,0
9.6000003e-05,0,0,0,0
9.6999996e-05,0,0,0,0
9.7999997e-05,0,0,0,0
9.8999997e-05,0,0,0,0
9.9999997e-05,0,0,0,0
0.000101,0,0,0,0
0.000102,0,0,0,0
0.000103,0,0,0,0
0.000104,0,0,0,0
0.000105,0,0,0,0
0.000106,0,0,0,0
0.000107,0,0,0,0
0.000108,0,0,0,0
0.000109,0,0,0,0
0.00011,0,0,0,0
0.000111,0,0,0,0
0.000112,0,0,0,0
0.000113,0,0,0,0
0.000114,0,0,0,0
0.000115,0,0,0,0
0.000116,0,0,0,0
0.000117,0,0,0,0
0.000118,0,0,0,0
0.000119,0,0,0,0
