"Time","loadInertia.w","core.T","loadInertia.phi","armature.T","dcpm.la.i"
5.25,146.09676,313.07925,795.46515,338.1713,146.19676
5.2509999,146.08871,313.08224,795.61127,338.19937,146.21762
5.2519999,146.08072,313.08527,795.75732,338.22745,146.24074
5.2529998,146.07278,313.08826,795.90338,338.25552,146.26604
5.2540002,146.0649,313.09128,796.04944,338.2836,146.29343
5.2550001,146.05707,313.09433,796.19556,338.31168,146.32281
5.256,146.04932,313.09735,796.34155,338.33975,146.35411
5.257,146.04163,313.1004,796.48761,338.36786,146.38724
5.2579999,146.034,313.10345,796.63367,338.39594,146.42209
5.2589998,146.02646,313.10651,796.77972,338.42404,146.45859
5.2600002,146.019,313.10959,796.92572,338.45215,146.49666
5.2610002,146.01161,313.11267,797.07172,338.48026,146.53619
5.2620001,146.00432,313.11575,797.21771,338.50839,146.57713
5.263,145.99712,313.11884,797.36377,338.53653,146.6194
5.2639999,145.98999,313.12195,797.50977,338.56467,146.66292
5.2649999,145.98297,313.12506,797.6557,338.59283,146.70758
5.2659998,145.97604,313.12817,797.8017,338.621,146.75336
5.2670002,145.96921,313.13132,797.94769,338.6492,146.80011
5.2680001,145.96248,313.13443,798.09363,338.6774,146.84781
5.2690001,145.95586,313.13757,798.23962,338.70563,146.89638
5.27,145.94933,313.14075,798.38556,338.73389,146.94574
5.2709999,145.94292,313.14389,798.53149,338.76212,146.99582
5.2719998,145.9366,313.14706,798.67743,338.79041,147.04657
5.2729998,145.9304,313.15024,798.82336,338.8187,147.09792
5.2740002,145.9243,313.15341,798.9693,338.84698,147.14978
5.2750001,145.91832,313.15662,799.11523,338.87534,147.2021
5.276,145.91246,313.15982,799.26111,338.90369,147.25484
5.277,145.90669,313.16302,799.40704,338.93204,147.30791
5.2779999,145.90105,313.16623,799.55298,338.96042,147.36127
5.2789998,145.89552,313.16946,799.69885,338.98883,147.41484
5.2800002,145.89011,313.1727,799.84473,339.01724,147.4686
5.2810001,145.8848,313.17593,799.9906,339.04568,147.52248
5.2820001,145.87961,313.1792,800.13654,339.07416,147.57643
5.283,145.87453,313.18243,800.28241,339.10263,147.63039
5.2839999,145.86957,313.18573,800.42828,339.13113,147.68431
5.2849998,145.86472,313.189,800.5741,339.15967,147.73814
5.2859998,145.85999,313.19226,800.71997,339.1882,147.79187
5.2870002,145.85536,313.19556,800.86584,339.21677,147.84541
5.2880001,145.85086,313.19885,801.01172,339.24536,147.89874
5.289,145.84647,313.20218,801.15753,339.27396,147.95183
5.29,145.84219,313.20547,801.30341,339.30258,148.00462
5.2909999,145.83803,313.2088,801.44922,339.33124,148.05708
5.2919998,145.83397,313.21213,801.59509,339.35989,148.10916
5.2930002,145.83002,313.21548,801.74091,339.38858,148.16084
5.2940001,145.82617,313.21881,801.88672,339.41727,148.21208
5.2950001,145.82245,313.22217,802.03253,339.44598,148.26286
5.296,145.81883,313.22556,802.17834,339.47473,148.31313
5.2969999,145.81531,313.22891,802.32422,339.50348,148.36287
5.2979999,145.81189,313.2323,802.47003,339.53223,148.41206
5.2989998,145.80859,313.23569,802.61578,339.56104,148.46066
5.3000002,145.80539,313.23907,802.7616,339.58981,148.50865
5.3010001,145.80228,313.24249,802.90741,339.61865,148.556
5.302,145.79927,313.24591,803.05322,339.64746,148.60271
5.303,145.79637,313.24933,803.19904,339.67633,148.64873
5.3039999,145.79356,313.25275,803.34485,339.70517,148.69405
5.3049998,145.79085,313.2562,803.4906,339.73407,148.73865
5.3060002,145.78822,313.25964,803.63641,339.76294,148.78253
5.3070002,145.78569,313.26309,803.78217,339.79184,148.82565
5.3080001,145.78326,313.26654,803.92798,339.82077,148.86801
5.309,145.78091,313.27002,804.07373,339.8497,148.90958
5.3099999,145.77866,313.2735,804.21954,339.87863,148.95036
5.3109999,145.77647,313.27698,804.3653,339.90756,148.99034
5.3119998,145.77438,313.28049,804.51111,339.93652,149.02951
5.3130002,145.77237,313.284,804.65686,339.96552,149.06786
5.3140001,145.77045,313.28751,804.80261,339.99448,149.10536
5.3150001,145.7686,313.29102,804.94843,340.02347,149.14203
5.316,145.76683,313.29456,805.09418,340.05246,149.17786
5.3169999,145.76512,313.29807,805.23993,340.08145,149.21283
5.3179998,145.7635,313.30164,805.38568,340.11047,149.24695
5.3189998,145.76195,313.30518,805.53143,340.13947,149.2802
5.3200002,145.76047,313.30875,805.67725,340.16849,149.31259
5.3210001,145.75905,313.31232,805.823,340.19751,149.34412
5.322,145.75771,313.31589,805.96875,340.22656,149.37477
5.323,145.75641,313.31946,806.1145,340.25558,149.40457
5.3239999,145.75519,313.32306,806.26025,340.28461,149.4335
5.3249998,145.75403,313.32666,806.40601,340.31366,149.46158
5.3260002,145.75293,313.33026,806.55176,340.34268,149.48878
5.3270001,145.75188,313.33389,806.69751,340.37173,149.51512
5.3280001,145.75089,313.33752,806.84326,340.40076,149.54062
5.329,145.74994,313.34116,806.98901,340.42981,149.56526
5.3299999,145.74905,313.34479,807.13477,340.45886,149.58905
5.3309999,145.74821,313.34845,807.28052,340.48788,149.612
5.3319998,145.74744,313.35208,807.42627,340.51694,149.63412
5.3330002,145.74669,313.35577,807.57202,340.54596,149.65541
5.3340001,145.74599,313.35944,807.71777,340.57498,149.67587
5.335,145.74533,313.36313,807.86353,340.60403,149.69553
5.336,145.74471,313.36682,808.00922,340.63306,149.71439
5.3369999,145.74414,313.37051,808.15497,340.66208,149.73244
5.3379998,145.74359,313.37421,808.30072,340.69107,149.74969
5.3390002,145.74309,313.37793,808.44647,340.72009,149.76619
