"time","cell.cell.capacitor[1].v","cell.cell.capacitor[2].v","cell.cell.limIntegrator.y","cell.limIntegrator.y","energy.y"
0,0,0,0.10000000000000001,0.10000000000000001,0
0.050000000000000003,6.0744419862146908e-09,1.8193006221033246e-08,0.10000002682166827,0.10000002893555719,0.0016647301910798795
0.10000000000000001,2.4289426013871836e-08,7.2625946354773828e-08,0.10000011151336866,0.10000011574114653,0.0066589440453257622
0.15000000000000002,5.4636069376655606e-08,1.6313919611438059e-07,0.10000025407541725,0.10000026041708415,0.014982754414791626
0.20000000000000001,9.7104948146762188e-08,2.8956499120241849e-07,0.1000004545078281,0.10000046296338416,0.026636262194735041
0.25,1.5168608611771613e-07,4.5172639447711479e-07,0.10000071281060668,0.10000072338005209,0.04161957401070359
0.30000000000000004,2.183705504784068e-07,6.4946585178856299e-07,0.10000102898375383,0.1000010416670888,0.059932785635800706
0.35000000000000003,2.9714842704665801e-07,8.8260871619024888e-07,0.10000140302727005,0.10000141782449479,0.081576003472181052
0.40000000000000002,3.8800918838596646e-07,1.1509706177713926e-06,0.10000183494115614,0.10000185185227096,0.10654934116837594
0.45000000000000001,4.9094233906971461e-07,1.4543674908545102e-06,0.1000023247254129,0.10000234375041815,0.13485291187235507
0.5,6.0593773162869661e-07,1.7926235402278064e-06,0.10000287238004002,0.10000289351893607,0.16648682618143348
0.55000000000000004,7.3298504213339209e-07,2.1655594052874187e-06,0.10000347790503741,0.10000350115782472,0.20145119633743219
0.60000000000000009,8.7207437002773151e-07,2.5730066588156686e-06,0.10000414130040491,0.10000416666708392,0.23974613214401228
0.65000000000000002,1.0231957793423083e-06,3.014796289143907e-06,0.10000486256614215,0.10000489004671337,0.28137174379429297
0.70000000000000007,1.1863391283437262e-06,3.4907535325891687e-06,0.10000564170224906,0.10000567129671306,0.32632814242003944
0.75,1.3614943566513301e-06,4.0007058996377158e-06,0.10000647870872546,0.10000651041708282,0.37461543878190523
0.80000000000000004,1.5486513986955642e-06,4.5444849030920761e-06,0.10000737358557168,0.10000740740782307,0.42623374625057375
0.85000000000000009,1.7478001908983971e-06,5.1219205196478248e-06,0.10000832633278789,0.10000836226893398,0.48118317719498688
0.90000000000000002,1.9589306734117391e-06,5.732839849011083e-06,0.10000933695037384,0.10000937500041536,0.53946384210791609
0.95000000000000007,2.1820327842961443e-06,6.3770716039993311e-06,0.10001040543832952,0.10001044560226721,0.60107585253409124
1,2.4170967343805816e-06,7.0544586142593598e-06,0.10001153179665477,0.10001157407448948,0.66601932283740506
1.05,2.6641127122324089e-06,7.7648425573126194e-06,0.10001271602534949,0.10001276041708207,0.73429436715166896
1.1000000000000001,2.9230705640906266e-06,8.5080473938531637e-06,0.10001395812441372,0.10001400463004503,0.80590109607260219
1.1500000000000001,3.1939603047186615e-06,9.2839058063713353e-06,0.10001525809384734,0.10001530671337838,0.88083962193768728
1.2000000000000002,3.476772072455067e-06,1.0092260742697645e-05,0.10001661593365037,0.10001666666708209,0.95911006083942951
1.25,3.7714960684918991e-06,1.0932960371880082e-05,0.10001803164382274,0.10001808449115619,1.0407125307802361
1.3,4.0781222399592342e-06,1.180583175813106e-05,0.10001950522436442,0.10001956018560067,1.1256471420424445
1.3500000000000001,4.3966406454567053e-06,1.2710711225398666e-05,0.10002103667527536,0.1000210937504155,1.2139140082955693
1.4000000000000001,4.7270414124859196e-06,1.3647442211900883e-05,0.10002262599655549,0.1000226851856007,1.305513246244018
1.4500000000000002,5.069314767244495e-06,1.4615878346420621e-05,0.10002427318820482,0.10002433449115626,1.4004449769394189
1.5,5.4234507081096045e-06,1.5615849734813663e-05,0.10002597825022326,0.10002604166708219,1.4987093113986929
1.55,5.7894393261265888e-06,1.6647196051113215e-05,0.10002774118261078,0.10002780671337851,1.6003063647204767
1.6000000000000001,6.1672707456625385e-06,1.7709760365106899e-05,0.10002956198536733,0.10002962963004518,1.7052362534927559
1.6500000000000001,6.5569352128370025e-06,1.8803398154135356e-05,0.1000314406584929,0.10003151041708222,1.8134990997453664
1.7000000000000002,6.9584228030634377e-06,1.9927947499217731e-05,0.10003337720198739,0.10003344907448962,1.9250950178782613
1.75,7.3717236644871392e-06,2.1083253893332053e-05,0.10003537161585081,0.10003544560226738,2.0400241255422173
1.8,7.7968279524950105e-06,2.2269163567432876e-05,0.10003742390008308,0.1000375000004155,2.1582865407116829
1.8500000000000001,8.233725829715532e-06,2.348552349045126e-05,0.10003953405468417,0.10003961226893399,2.2798823816847764
1.9000000000000001,8.6824074660187837e-06,2.4732181369294793e-05,0.10004170207965406,0.10004178240782283,2.4048117670832849
1.9500000000000002,9.1428630385164454e-06,2.6008985648847553e-05,0.10004392797499267,0.10004401041708205,2.5330748158526677
2,9.6150827356995088e-06,2.7315785778074812e-05,0.10004621174069997,0.10004629629671161,2.6646716473590817
2.0500000000000003,1.0099056850665651e-05,2.865243820563234e-05,0.10004855337677593,0.10004864004671155,2.7996023835754715
2.1000000000000001,1.0594775533200712e-05,3.0018790435805852e-05,0.1000509528832205,0.10005104166708187,2.9378671432681154
2.1499999999999999,1.1102229002441006e-05,3.1414694705184432e-05,0.10005341026003366,0.10005350115782256,3.0794660469833599
2.2000000000000002,1.1621407485977463e-05,3.284000406634566e-05,0.10005592550721534,0.10005601851893361,3.2243992156196666
2.25,1.2152301219855628e-05,3.4294572387855565e-05,0.1000584986247655,0.10005859375041505,3.3726667704276059
2.3000000000000003,1.2694900448575682e-05,3.5778254354268728e-05,0.10006112961268414,0.10006122685226687,3.5242688330098719
