"time","I.re","I.im"
0,9.9997999967823967e-06,1.9996794263977819e-10
0.00020000000000000001,9.9997999970842826e-06,1.9998403712195934e-10
0.00040000000000000002,9.9997999968609319e-06,1.9999977395549098e-10
0.00060000000000000006,9.9997999971640189e-06,2.0001600542735623e-10
0.00080000000000000004,9.9997999968183278e-06,2.000319691101931e-10
0.001,9.9997999969522352e-06,2.0004784855283065e-10
0.0012000000000000001,9.9997999969631213e-06,2.0006398845029172e-10
0.0014,9.9997999969641462e-06,2.0008012307034483e-10
0.0016000000000000001,9.9997999971835413e-06,2.0009585949428403e-10
0.0018000000000000002,9.9997999972171753e-06,2.001119092125323e-10
0.002,9.9997999971256652e-06,2.0012771750394733e-10
0.0022000000000000001,9.9997999971249419e-06,2.0014394280131256e-10
0.0024000000000000002,9.9997999972354966e-06,2.0015981692177234e-10
0.0026000000000000003,9.9997999972698014e-06,2.0017570301809647e-10
0.0028,9.9997999972758696e-06,2.0019198412441449e-10
0.0030000000000000001,9.9997999971562431e-06,2.0020781329052359e-10
0.0032000000000000002,9.9997999973284534e-06,2.0022370161294729e-10
0.0034000000000000002,9.9997999972258133e-06,2.0023982207088176e-10
0.0036000000000000003,9.9997999971048096e-06,2.0025570687303705e-10
0.0038,9.9997999972049424e-06,2.0027176939670936e-10
0.0040000000000000001,9.9997999970846434e-06,2.0028787187379793e-10
0.0042000000000000006,9.999799997255329e-06,2.0030373270131658e-10
0.0044000000000000003,9.9997999972434197e-06,2.0031954678770122e-10
0.0045999999999999999,9.9997999974094568e-06,2.0033565922816858e-10
0.0048000000000000004,9.9997999973497292e-06,2.0035167063163225e-10
0.0050000000000000001,9.9997999974498722e-06,2.0036736200624141e-10
0.0052000000000000006,9.9997999972847702e-06,2.0038357125409542e-10
0.0054000000000000003,9.9997999975852772e-06,2.0039943730275214e-10
0.0055999999999999999,9.9997999976835381e-06,2.0041550568826819e-10
0.0058000000000000005,9.9997999973919385e-06,2.0043130562487211e-10
0.0060000000000000001,9.9997999974588761e-06,2.0044725715766407e-10
0.0062000000000000006,9.9997999975787448e-06,2.0046353275151069e-10
0.0064000000000000003,9.99979999743129e-06,2.0047918504413516e-10
0.0066,9.9997999975856092e-06,2.0049524744483269e-10
0.0068000000000000005,9.9997999977910113e-06,2.0051133560885075e-10
0.0070000000000000001,9.9997999977012563e-06,2.0052721847083644e-10
