"time","PID.I.y","ductIn.mediums[1].T","ductIn.mediums[1].Xi[1]","ductIn.mediums[1].p","ductIn.mediums[2].T","ductIn.mediums[2].Xi[1]","ductIn.mediums[2].p","ductOut.mediums[1].T","ductOut.mediums[1].Xi[1]","ductOut.mediums[1].p","ductOut.mediums[2].T","ductOut.mediums[2].Xi[1]","ductOut.mediums[2].p","volume.medium.T","volume.medium.Xi[1]","volume.medium.p"
0,0,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325
17.280000000000001,-2.3371142524533426e-16,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325
34.560000000000002,-3.9856434881559819e-16,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325,293.14999999999998,0.01,101325
51.840000000000003,-4.5948939571593845e-15,293.14999999999998,0.01,101325,293.14999999999986,0.01,101325.00000000001,293.14999999999998,0.01,101325,293.14999999999986,0.01,101325.00000000001,293.14999999999998,0.01,101325
69.120000000000005,-8.990411965610683e-15,293.14999999999998,0.01,101325,293.14999999999981,0.01,101325.00000000001,293.14999999999998,0.01,101325,293.14999999999981,0.01,101325.00000000001,293.14999999999998,0.01,101325
86.400000000000006,-4.1273955482639073e-15,293.15000000000003,0.01,101325,293.14999999999969,0.01,101325.00000000001,293.14999999999998,0.01,101325,293.14999999999975,0.01,101325,293.14999999999998,0.01,101325
103.68000000000001,1.7075112231721625e-15,293.15000000000003,0.01,101325,293.14999999999958,0.01,101325.00000000001,293.14999999999998,0.01,101325,293.14999999999964,0.01,101325,293.14999999999998,0.01,101325
120.96000000000001,7.5424179946082323e-15,293.15000000000003,0.01,101325,293.14999999999941,0.01,101325,293.14999999999998,0.01,101325,293.14999999999952,0.01,101325,293.14999999999998,0.01,101325
138.24000000000001,1.3377324766044301e-14,293.15000000000003,0.01,101325,293.1499999999993,0.01,101325,293.14999999999998,0.01,101325,293.14999999999941,0.01,101325,293.14999999999998,0.01,101325
155.52000000000001,1.384977715487297e-14,293.15000000000003,0.01,101325,293.14999999999918,0.01,101325,293.14999999999998,0.01,101325,293.14999999999935,0.01,101325,293.14999999999998,0.01,101325
172.80000000000001,1.3056186543605213e-14,293.15000000000003,0.01,101325,293.14999999999907,0.01,101325,293.14999999999998,0.01,101325,293.1499999999993,0.01,101325,293.14999999999998,0.01,101325
190.08000000000001,1.2262595932337453e-14,293.15000000000003,0.01,101325,293.14999999999901,0.01,101325,293.14999999999998,0.01,101325,293.14999999999924,0.01,101325,293.14999999999998,0.01,101325
207.36000000000001,1.1469005321069694e-14,293.15000000000003,0.01,101325,293.1499999999989,0.01,101325,293.14999999999998,0.01,101325,293.14999999999918,0.01,101325,293.14999999999998,0.01,101325
224.64000000000001,1.0675414709801935e-14,293.15000000000003,0.01,101325,293.14999999999878,0.01,101325,293.14999999999998,0.01,101325,293.14999999999907,0.01,101325,293.14999999999998,0.01,101325
241.92000000000002,9.8818240985341743e-15,293.15000000000003,0.01,101325,293.14999999999867,0.01,101325,293.14999999999998,0.01,101325,293.14999999999901,0.01,101325,293.14999999999998,0.01,101325
259.20000000000005,9.0882334872664139e-15,293.15000000000003,0.01,101325,293.14999999999861,0.01,101325,293.14999999999998,0.01,101325,293.14999999999895,0.01,101325,293.14999999999998,0.01,101325
276.48000000000002,8.2946428759986566e-15,293.15000000000003,0.01,101325,293.1499999999985,0.01,101325,293.14999999999998,0.01,101325,293.1499999999989,0.01,101325,293.14999999999998,0.01,101325
293.75999999999999,7.7140539775591208e-15,293.15000000000003,0.01,101325,293.14999999999844,0.01,101325,293.14999999999998,0.01,101325,293.14999999999884,0.01,101325,293.14999999999998,0.01,101325
311.04000000000002,7.2656849429983665e-15,293.15000000000003,0.01,101325,293.14999999999844,0.01,101325,293.14999999999998,0.01,101325,293.14999999999884,0.01,101325,293.14999999999998,0.01,101325
