"Time","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeE.idq_sr[2]","smeeE.idq_dr[1]","smeeE.idq_sr[1]","smeeE.is[1]","constantSpeedE.phi","smeeM.is[1]","constantSpeedM.phi","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeE.is[2]","smeeM.stator.stray.port_p.Phi.re","smeeE.idq_rr[2]","smeeM.is[2]"
14.9,0.024463458,-0.0033073723,-5.0254984,0.010156491,-256.22208,-256.06064,2337.3555,-256.06073,2337.3555,0.44916564,119.03205,-0.081506662,2.2083206,119.03201
14.901,0.16206712,-0.02832194,-5.0440011,0.0096939811,-256.22168,-240.32954,2337.5125,-240.32961,2337.5125,0.41962543,43.109406,-0.076499291,2.2083225,43.109329
14.902,0.28380844,-0.050566558,-5.0625033,0.0092314715,-256.22128,-201.09369,2337.6694,-201.09372,2337.6694,0.34900865,-37.029411,-0.064010121,2.2083247,-37.029522
14.903,0.37777027,-0.067865647,-5.0810056,0.0087689608,-256.22089,-142.19046,2337.8264,-142.19044,2337.8264,0.24422719,-113.54665,-0.045260623,2.2083263,-113.54678
14.904,0.43475446,-0.078527331,-5.0995078,0.0083064493,-256.22049,-69.380707,2337.9834,-69.380638,2337.9834,0.11553734,-178.95876,-0.022084543,2.2083282,-178.95891
14.905,0.44918242,-0.08150886,-5.11801,0.0078439377,-256.22006,10.214609,2338.1404,10.214719,2338.1404,-0.02446411,-226.86829,0.0032514462,2.2083299,-226.86844
14.906,0.4196412,-0.076518647,-5.1365123,0.0073814262,-256.21967,88.810883,2338.2974,88.811035,2338.2974,-0.16207291,-252.58958,0.028269429,2.2083316,-252.58972
14.907,0.34902185,-0.064044744,-5.1550145,0.0069189142,-256.21924,158.72124,2338.4543,158.72141,2338.4543,-0.28381884,-253.60707,0.050522592,2.208333,-253.60718
14.908,0.24423653,-0.04530713,-5.1735163,0.0064564017,-256.21881,213.10828,2338.6111,213.10846,2338.6111,-0.37778425,-229.82124,0.067834526,2.2083344,-229.82129
14.909,0.11554191,-0.022138385,-5.192018,0.0059938892,-256.21838,246.65285,2338.7681,246.653,2338.7681,-0.43477064,-183.5584,0.078512087,2.2083356,-183.55838
14.91,-0.024464753,0.0031955312,-5.2105198,0.0055313762,-256.21796,256.07422,2338.925,256.07431,2338.925,-0.4491992,-119.34317,0.081510991,2.2083368,-119.34308
14.911,-0.16207871,0.028216904,-5.2290215,0.0050688633,-256.21753,240.45099,2339.082,240.45102,2339.082,-0.41965696,-43.455944,0.076537937,2.208338,-43.455803
14.912,-0.28382921,0.050478585,-5.2475233,0.0046063499,-256.21707,201.31113,2339.239,201.31108,2339.239,-0.34903505,36.681332,0.064079307,2.208339,36.681503
14.913,-0.3777982,0.067803346,-5.2660246,0.004143836,-256.21664,142.48262,2339.396,142.48251,2339.396,-0.24424589,113.23106,0.045353595,2.2083399,113.23123
14.914,-0.4347868,0.078496777,-5.2845259,0.0036813223,-256.21619,69.719032,2339.553,69.718887,2339.553,-0.11554649,178.7065,0.022192212,2.2083409,178.70665
14.915,-0.44921601,0.081513047,-5.3030272,0.0032188084,-256.21576,-9.8631916,2339.71,-9.863349,2339.71,0.024465386,226.70403,-0.0031396016,2.2083416,226.70415
14.916,-0.41967273,0.076557174,-5.3215284,0.0027562943,-256.2153,-88.480728,2339.8669,-88.480888,2339.8669,0.16208449,252.52939,-0.028164342,2.2083421,252.52948
14.917,-0.34904829,0.064113848,-5.3400297,0.0022937802,-256.21484,-158.44461,2340.0239,-158.44476,2340.0239,0.28383961,253.65681,-0.050434537,2.2083428,253.65688
14.918,-0.24425526,0.045400057,-5.3585305,0.0018312659,-256.21439,-212.91223,2340.1809,-212.91238,2340.1809,0.37781215,229.97606,-0.06777212,2.208343,229.97609
14.919,-0.11555111,0.022246053,-5.3770318,0.0013687515,-256.21393,-246.55655,2340.3379,-246.55669,2340.3379,0.43480298,183.80316,-0.078481428,2.2083435,183.80316
14.92,0.024465986,-0.003083653,-5.3955326,0.00090623705,-256.21344,-256.0871,2340.4949,-256.08719,2340.4949,0.44923282,119.65395,-0.081515081,2.2083437,119.6539
14.921,0.16209026,-0.028111756,-5.4140329,0.00044372265,-256.21298,-240.57175,2340.6519,-240.57181,2340.6519,0.41968855,43.802357,-0.076576389,2.2083437,43.802277
14.922,0.28384995,-0.050390456,-5.4325337,-1.8791787e-05,-256.21249,-201.52797,2340.8088,-201.528,2340.8088,0.34906152,-36.333149,-0.064148359,2.208344,-36.33326
14.923,0.37782606,-0.067740843,-5.4510345,-0.00048130623,-256.21201,-142.77437,2340.9658,-142.77435,2340.9658,0.24426466,-112.91514,-0.045446485,2.2083437,-112.91528
14.924,0.4348191,-0.078466021,-5.4695349,-0.00094382075,-256.21155,-70.057152,2341.1228,-70.057091,2341.1228,0.11555574,-178.45374,-0.022299863,2.2083437,-178.45389
14.925,0.4492496,-0.081517041,-5.4880352,-0.0014063352,-256.21106,9.5117464,2341.2798,9.511857,2341.2798,-0.024466567,-226.53912,0.003027718,2.2083435,-226.53928
14.926,0.41970432,-0.076595522,-5.5065351,-0.0018688495,-256.21054,88.150322,2341.4368,88.150467,2341.4368,-0.16209599,-252.46846,0.028059164,2.208343,-252.4686
14.927,0.34907475,-0.064182796,-5.5250354,-0.0023313637,-256.21005,158.16754,2341.5938,158.16771,2341.5938,-0.2838603,-253.70583,0.050346345,2.2083426,-253.70592
14.928,0.24427406,-0.045492861,-5.5435352,-0.0027938781,-256.20956,212.71558,2341.7507,212.71574,2341.7507,-0.37783998,-230.13022,0.067709528,2.2083421,-230.13025
14.929,0.11556038,-0.02235364,-5.5620351,-0.0032563922,-256.20905,246.45955,2341.9077,246.45969,2341.9077,-0.43483526,-184.04739,0.078450553,2.2083414,-184.04738
14.93,-0.02446714,0.0029717947,-5.5805349,-0.0037189061,-256.20856,256.09921,2342.0647,256.0993,2342.0647,-0.44926637,-119.96438,0.081518941,2.2083406,-119.96429
14.931,-0.16210173,0.028006557,-5.5990348,-0.0041814195,-256.20804,240.6918,2342.2217,240.69183,2342.2217,-0.41972011,-44.14864,0.076614588,2.2083399,-44.148502
14.932,-0.28387061,0.050302196,-5.6175342,-0.0046439334,-256.20752,201.74425,2342.3787,201.7442,2342.3787,-0.34908801,35.984863,0.064217173,2.208339,35.985031
14.933,-0.3778539,0.067678146,-5.636034,-0.0051064463,-256.207,143.06569,2342.5356,143.0656,2342.5356,-0.24428347,112.5989,0.045539193,2.208338,112.59908
14.934,-0.43485138,0.078435019,-5.6545334,-0.0055689598,-256.20648,70.395073,2342.6926,70.394936,2342.6926,-0.11556503,178.20045,0.022407403,2.2083368,178.20061
14.935,-0.44928315,0.081520766,-5.6730323,-0.0060314727,-256.20596,-9.1602774,2342.8496,-9.1604347,2342.8496,0.024467701,226.37357,-0.0029158569,2.2083356,226.37369
14.936,-0.41973591,0.07663361,-5.6915317,-0.0064939852,-256.20541,-87.819656,2343.0066,-87.819817,2343.0066,0.16210744,252.40681,-0.027953915,2.2083342,252.40689
14.937,-0.34910128,0.064251527,-5.7100306,-0.0069564977,-256.2049,-157.89001,2343.1636,-157.89017,2343.1636,0.28388092,253.7541,-0.050257999,2.208333,253.75415
14.938,-0.2442929,0.045585524,-5.7285295,-0.0074190097,-256.20435,-212.51831,2343.3206,-212.51846,2343.3206,0.37786782,230.28371,-0.067646727,2.2083313,230.28372
14.939,-0.11556972,0.02246118,-5.7470284,-0.0078815212,-256.2038,-246.36183,2343.4775,-246.36195,2343.4775,0.43486756,184.29109,-0.078419447,2.2083299,184.29109
14.94,0.024468232,-0.0028599005,-5.7655272,-0.0083440328,-256.20328,-256.1106,2343.6345,-256.11069,2343.6345,0.44929999,120.27446,-0.081522569,2.208328,120.27442
14.941,0.16211313,-0.027901251,-5.7840257,-0.0088065434,-256.20273,-240.81117,2343.7913,-240.81125,2343.7913,0.41975173,44.494797,-0.076652601,2.2083263,44.494717
14.942,0.28389123,-0.050213777,-5.8025241,-0.009269054,-256.20215,-201.95993,2343.9482,-201.95996,2343.9482,0.34911457,-35.636475,-0.064285852,2.2083244,-35.636585
14.943,0.37788171,-0.067615263,-5.8210225,-0.0097315647,-256.2016,-143.35661,2344.1052,-143.3566,2344.1052,0.24430236,-112.28233,-0.045631826,2.2083225,-112.28248
14.944,0.43488365,-0.078403816,-5.8395209,-0.010194074,-256.20105,-70.732788,2344.2622,-70.732719,2344.2622,0.11557442,-177.94667,-0.022514924,2.2083204,-177.94682
14.945,0.44931677,-0.08152429,-5.8580189,-0.010656584,-256.20047,8.8087835,2344.4192,8.8088932,2344.4192,-0.024468742,-226.20735,0.0028039578,2.2083182,-226.2075
14.946,0.41976753,-0.076671511,-5.8765168,-0.011119093,-256.19992,87.488747,2344.5762,87.488892,2344.5762,-0.16211881,-252.34444,0.027848579,2.2083158,-252.34456
14.947,0.34912783,-0.064320102,-5.8950148,-0.011581601,-256.19934,157.61203,2344.7332,157.6122,2344.7332,-0.28390151,-253.80165,0.05016952,2.2083135,-253.80174
14.948,0.24431181,-0.045678064,-5.9135127,-0.012044108,-256.19876,212.32045,2344.8901,212.3206,2344.8901,-0.37789559,-230.43654,0.067583747,2.2083111,-230.43657
14.949,0.11557913,-0.022568636,-5.9320102,-0.012506616,-256.19818,246.2634,2345.0471,246.26355,2345.0471,-0.43489981,-184.53426,0.078388125,2.2083085,-184.53424
14.95,-0.024469245,0.0027480267,-5.9505076,-0.012969123,-256.1976,256.12125,2345.2041,256.12134,2345.2041,-0.44933355,-120.5842,0.081525952,2.2083058,-120.58411
14.951,-0.16212447,0.027795894,-5.9690051,-0.013431629,-256.19699,240.92986,2345.3611,240.92989,2345.3611,-0.41978335,-44.84082,0.076690361,2.208303,-44.840679
14.952,-0.28391176,0.050125226,-5.9875021,-0.013894135,-256.19641,202.17503,2345.5181,202.175,2345.5181,-0.34914112,35.287991,0.0643543,2.2083001,35.288158
14.953,-0.37790945,0.067552179,-6.0059996,-0.014356639,-256.1958,143.64713,2345.675,143.64703,2345.675,-0.24432129,111.96545,0.045724269,2.2082973,111.96563
14.954,-0.4349159,0.078372359,-6.0244966,-0.014819144,-256.19522,71.070297,2345.832,71.07016,2345.832,-0.11558384,177.69237,0.022622334,2.2082942,177.69252
14.955,-0.44935036,0.081527546,-6.0429935,-0.015281647,-256.19461,-8.4572668,2345.989,-8.4574251,2345.989,0.024469737,226.0405,-0.002692082,2.2082911,226.04062
14.956,-0.41979918,0.076709159,-6.0614901,-0.015744152,-256.194,-87.157585,2346.146,-87.157745,2346.146,0.16213012,252.28133,-0.027743172,2.2082877,252.28142
14.957,-0.34915444,0.064388469,-6.0799866,-0.016206654,-256.19339,-157.3336,2346.303,-157.33376,2346.303,0.28392205,253.84848,-0.050080888,2.2082844,253.84853
14.958,-0.24433078,0.045770466,-6.0984831,-0.016669154,-256.19278,-212.12196,2346.46,-212.1221,2346.46,0.37792334,230.5887,-0.067520559,2.208281,230.58871
14.959,-0.1155886,0.022676043,-6.1169796,-0.017131656,-256.19217,-246.16428,2346.6169,-246.1644,2346.6169,0.43493205,184.77689,-0.078356564,2.2082775,184.77689
14.96,0.024470197,-0.0026361186,-6.1354761,-0.017594157,-256.19153,-256.13113,2346.7739,-256.13126,2346.7739,0.44936717,120.89358,-0.081529111,2.2082739,120.89354
14.961,0.16213575,-0.027690427,-6.1539721,-0.018056655,-256.19092,-241.04784,2346.9309,-241.04791,2346.9309,0.41981503,45.18671,-0.076727934,2.2082701,45.186634
14.962,0.2839323,-0.05003652,-6.1724682,-0.018519154,-256.19028,-202.38956,2347.0879,-202.3896,2347.0879,0.34916776,-34.939404,-0.064422607,2.2082663,-34.939514
14.963,0.3779372,-0.067488901,-6.1909637,-0.018981652,-256.18964,-143.93721,2347.2449,-143.93721,2347.2449,0.24434029,-111.64825,-0.045816634,2.2082622,-111.64839
14.964,0.43494815,-0.078340702,-6.2094598,-0.019444149,-256.189,-71.407593,2347.4019,-71.407532,2347.4019,0.11559337,-177.43756,-0.022729723,2.2082582,-177.43771
14.965,0.44938394,-0.081530601,-6.2279553,-0.019906646,-256.18835,8.1057301,2347.5588,8.1058397,2347.5588,-0.024470637,-225.87299,0.0025801691,2.2082541,-225.87314
14.966,0.41983086,-0.076746628,-6.2464504,-0.02036914,-256.18771,86.82618,2347.7158,86.826324,2347.7158,-0.16214135,-252.2175,0.027637677,2.2082498,-252.21764
14.967,0.34918109,-0.064456671,-6.264946,-0.020831635,-256.18707,157.05472,2347.8728,157.05489,2347.8728,-0.28394249,-253.89456,0.049992122,2.2082455,-253.89465
14.968,0.24434981,-0.045862742,-6.2834411,-0.021294128,-256.1864,211.92287,2348.0298,211.92303,2348.0298,-0.37795103,-230.7402,0.067457199,2.2082412,-230.74023
14.969,0.11559814,-0.022783367,-6.3019361,-0.021756621,-256.18576,246.06444,2348.1868,246.06458,2348.1868,-0.43496424,-185.019,0.078324787,2.2082367,-185.01897
14.97,-0.024471069,0.0025242316,-6.3204312,-0.022219112,-256.18509,256.14032,2348.3438,256.14041,2348.3438,-0.44940075,-121.20261,0.081532024,2.2082322,-121.20253
14.971,-0.16214696,0.027584912,-6.3389258,-0.022681603,-256.18442,241.16513,2348.5007,241.16516,2348.5007,-0.41984668,-45.532471,0.076765254,2.2082274,-45.532333
14.972,-0.28395271,0.049947686,-6.3574204,-0.023144092,-256.18375,202.6035,2348.6577,202.60347,2348.6577,-0.34919444,34.590725,0.064490683,2.2082226,34.590893
14.973,-0.37796485,0.067425437,-6.3759151,-0.023606582,-256.18307,144.2269,2348.8145,144.22679,2348.8145,-0.24435933,111.33074,0.045908816,2.2082176,111.33092
14.974,-0.43498036,0.078308798,-6.3944092,-0.024069069,-256.1824,71.74469,2348.9714,71.744553,2348.9714,-0.11560293,177.18225,0.022837,2.2082126,177.1824
14.975,-0.44941753,0.081533387,-6.4129033,-0.024531554,-256.1817,-7.7541742,2349.1284,-7.7543321,2349.1284,0.02447149,225.70485,-0.0024682805,2.2082076,225.70497
14.976,-0.41986254,0.076783828,-6.4313974,-0.02499404,-256.18103,-86.494522,2349.2854,-86.494682,2349.2854,0.16215254,252.15295,-0.027532114,2.2082024,252.15303
14.977,-0.34920779,0.064524665,-6.4498916,-0.025456525,-256.18033,-156.77539,2349.4424,-156.77554,2349.4424,0.28396294,253.93993,-0.049903207,2.2081971,253.93997
