"time","bodyOfConstraint.body.w_a[1]","bodyOfConstraint.body.w_a[2]","bodyOfConstraint.body.w_a[3]","bodyOfJoint.body.w_a[2]","joint.phi"
0,0,0,0,0,0
0.002,3.0816281211751788e-18,-0.0083463909190912376,3.276151359822971e-18,-0.0083463909190912393,-8.3463939701871276e-06
0.0040000000000000001,0,-0.016692726460938306,7.7789157161442815e-18,-0.01669272646093831,-3.3385476896045989e-05
0.0060000000000000001,9.0232527267567942e-18,-0.025038961273248429,1.5725393707360973e-17,-0.025038961273248433,-7.5117028524675805e-05
0.0080000000000000002,7.5115729936857989e-18,-0.033385009798505783,1.5725265635315355e-17,-0.033385009798505783,-0.00013354039529225734
0.01,1.8027775184845909e-17,-0.0417308918149795,2.0464080106649744e-17,-0.0417308918149795,-0.00020865572612778336
0.012,1.6833283486921012e-17,-0.050076548350281982,1.9656202730422787e-17,-0.050076548350281982,-0.00030046235307100498
0.014,1.5415247064627998e-17,-0.058421906545219421,2.3252097911102245e-17,-0.058421906545219414,-0.00040895945087052491
0.016,1.2018516789897275e-17,-0.066767016549098473,2.130105835975177e-17,-0.066767016549098473,-0.00053414758755054479
0.018000000000000002,3.6055550369691812e-17,-0.075111745926070256,4.3212632900966102e-17,-0.075111745926070228,-0.00067602479131888976
0.02,1.2018516789897271e-17,-0.083456066814803165,3.2729529847280352e-17,-0.083456066814803165,-0.00083459064735769942
0.021999999999999999,2.1032404382320233e-17,-0.091800025155806042,3.6339795880777174e-17,-0.091800025155806028,-0.0010098458396595362
0.024,3.0046291974743195e-17,-0.10014342585662564,3.2450714517113314e-17,-0.10014342585662563,-0.0012017865062177394
0.026000000000000002,2.4037033579794551e-17,-0.10848632882924954,2.295723595772602e-17,-0.10848632882924952,-0.001410413833036642
0.028000000000000001,3.6055550369691818e-17,-0.11682873754209816,3.6044902076324965e-17,-0.11682873754209815,-0.0016357277898790463
0.029999999999999999,2.4037033579794551e-17,-0.12517049755640786,3.9319235698979356e-17,-0.12517049755640786,-0.0018777241506996035
0.032000000000000001,4.8074067159589102e-17,-0.13351162083229781,6.2887676704631482e-17,-0.13351162083229781,-0.002136403242773699
0.034000000000000002,3.8485992635611745e-17,-0.14185206744176448,4.5867137467980553e-17,-0.14185206744176448,-0.0024117639735158343
0.036000000000000004,7.2111100739383649e-17,-0.15019179745680447,6.8766830002545972e-17,-0.15019179745680444,-0.0027038052503405145
0.037999999999999999,4.9686027694124038e-17,-0.1585307709494142,6.6775428790870792e-17,-0.1585307709494142,-0.0030125259806622418
0.040000000000000001,4.0022829813073957e-17,-0.16686892134478579,5.8926100982368796e-17,-0.16686892134478581,-0.0033379231306833175
0.042000000000000003,4.4428861904009321e-17,-0.17520619338529742,6.8772480737236606e-17,-0.17520619338529742,-0.0036799944910598692
0.043999999999999997,3.567504961383088e-17,-0.18354255705474409,5.2418540436250355e-17,-0.18354255705474409,-0.0040387396912781324
0.045999999999999999,4.5279904653644701e-17,-0.19187796724856351,7.531653734113546e-17,-0.19187796724856349,-0.004414157261641744
0.048000000000000001,0,-0.20021237886219301,5.6965869794773801e-17,-0.20021237886219301,-0.0048062457324543418
0.050000000000000003,7.2111100739383637e-17,-0.20854574667116463,1.1455261016166243e-16,-0.20854574667116454,-0.0052150035636909006
0.052000000000000005,7.2111100739383625e-17,-0.21687801559970493,8.7729863083026915e-17,-0.21687801559970488,-0.0056404234372076324
0.053999999999999999,4.8074067159589102e-17,-0.22520914559618468,8.8399795281796416e-17,-0.22520914559618463,-0.0060825068470218673
0.056000000000000001,9.4565448609332204e-17,-0.23353909078888604,1.1258790451819344e-16,-0.23353909078888599,-0.0065412518734750151
0.058000000000000003,8.3347722181541257e-17,-0.24186780530609103,9.4938704277372208e-17,-0.24186780530609095,-0.0070166565969084849
0.059999999999999998,7.2111100739383662e-17,-0.25019524327608178,1.3747505513344565e-16,-0.25019524327608167,-0.0075087190976636867
0.062,9.6148134319178203e-17,-0.25852135487248373,1.2043279740589405e-16,-0.25852135487248368,-0.0080174326504627996
0.064000000000000001,4.8074067159589102e-17,-0.26684609025282147,1.047432584838012e-16,-0.26684609025282136,-0.0085427905104622261
0.066000000000000003,4.8074067159589102e-17,-0.27516940630316311,1.2961242290912637e-16,-0.27516940630316306,-0.009084794109209874
0.068000000000000005,6.5670857098739413e-17,-0.28349125641515255,1.112768709500548e-16,-0.28349125641515249,-0.0096434406318989321
0.070000000000000007,9.6148134319178203e-17,-0.29181159398043333,1.5051270381367548e-16,-0.29181159398043321,-0.010218727263722593
0.072000000000000008,4.8042729504270022e-17,-0.30013037239064899,9.8181952844580551e-17,-0.30013037239064899,-0.010810651189874039
0.073999999999999996,7.4141639976702246e-17,-0.30844754503744354,1.0603503784174986e-16,-0.30844754503744348,-0.011419209595546459
0.075999999999999998,7.2111100739383649e-17,-0.3167630653124604,1.1385440647259191e-16,-0.31676306531246029,-0.012044399665933046
0.078,1.2260365626465254e-16,-0.32507688660734324,1.9826642458765365e-16,-0.32507688660734319,-0.012686218586226986
0.080000000000000002,6.8102254164744682e-17,-0.33338896231373588,1.5703544866116175e-16,-0.33338896231373583,-0.013344663541621466
0.082000000000000003,1.0176304033804939e-16,-0.34169924582328193,9.4872540784172643e-17,-0.34169924582328182,-0.014019731717309676
0.084000000000000005,3.6053705728292479e-17,-0.35000767416409029,1.3738610242162153e-16,-0.35000767416409029,-0.01471141486829974
0.086000000000000007,1.1337375419784994e-16,-0.35831417844237479,1.687759168235535e-16,-0.35831417844237473,-0.015419702784438093
0.087999999999999995,0,-0.3666187357988398,1.2559610831058502e-16,-0.36661873579883986,-0.016144600531965803
0.089999999999999997,-4.8074067159589102e-17,-0.37492129822109493,1.6679143146776511e-16,-0.37492129822109499,-0.016886104830151776
0.091999999999999998,9.614813431917824e-17,-0.38322181769674896,1.8050810579062612e-16,-0.38322181769674896,-0.017644212398264889
0.094,1.3900713850977513e-16,-0.39152024621341075,1.6479074006696002e-16,-0.39152024621341064,-0.018418919955574035
0.096000000000000002,9.6148134319178203e-17,-0.39981653575868914,1.3731107617940014e-16,-0.39981653575868908,-0.019210224221348104
0.098000000000000004,4.8074067159589102e-17,-0.40811063832019334,1.4056670315024203e-16,-0.40811063832019334,-0.020018121914855986
0.10000000000000001,4.8074067159589108e-17,-0.41640250588553201,1.9613713028037001e-16,-0.41640250588553207,-0.020842609755366569
0.10200000000000001,1.8143519613318311e-16,-0.42469209044231454,2.0595377358362574e-16,-0.42469209044231448,-0.021683684462148745
0.10400000000000001,1.1374125686162439e-16,-0.43297934397814947,2.1446814348337682e-16,-0.43297934397814941,-0.022541342754471401
0.106,9.6148134319178203e-17,-0.441264190645,1.7320639450472844e-16,-0.44126419064500005,-0.02341557062398153
0.108,1.6583373058275255e-16,-0.44954650981042493,2.2363137213342713e-16,-0.44954650981042493,-0.024306336802796393
0.11,9.6148134319178203e-17,-0.45782632208222462,1.7639658523937446e-16,-0.45782632208222462,-0.025213664455824882
0.112,1.1366701221127388e-16,-0.46610357687201259,2.195477133036839e-16,-0.46610357687201259,-0.026137549309569019
0.114,1.4545394447858223e-16,-0.47437822359140214,2.2947958511498299e-16,-0.47437822359140214,-0.027077987090530834
0.11600000000000001,9.6148134319178203e-17,-0.48265021165200661,1.8808932578198854e-16,-0.48265021165200656,-0.028034973525212347
0.11800000000000001,1.9229626863835636e-16,-0.4909194904654392,2.3266242089432217e-16,-0.49091949046543915,-0.029008504340115593
0.12,1.4402654229532013e-16,-0.49918600944331348,2.7425496409586311e-16,-0.49918600944331343,-0.029998575261742582
0.122,1.6897551154520075e-16,-0.5074497179972427,1.9918574384716966e-16,-0.50744971799724259,-0.03100518201659536
0.124,1.6976977662422051e-16,-0.51571056553884009,2.4168062892111374e-16,-0.51571056553884009,-0.03202832033117594
0.126,1.9229626863835643e-16,-0.5239685014797193,2.0378811001932342e-16,-0.5239685014797193,-0.033067985931986357
0.128,1.442222014787673e-16,-0.5322234533712723,2.0385062750511927e-16,-0.5322234533712723,-0.034124167713082874
0.13,1.7020504471538524e-16,-0.54047524521617796,2.4504635039416083e-16,-0.54047524521617796,-0.035196822204211962
0.13200000000000001,1.4422220147876732e-16,-0.54872393102409378,2.192118803329792e-16,-0.54872393102409378,-0.036285977824155428
0.13400000000000001,5.8417333296302275e-17,-0.5569694567244452,2.1862338593006259e-16,-0.5569694567244452,-0.037391629211051991
0.13600000000000001,0,-0.5652117682466572,2.2185868372084943e-16,-0.5652117682466572,-0.038513771003040403
0.13800000000000001,9.614813431917824e-17,-0.57345081152015476,2.7011123837816577e-16,-0.57345081152015487,-0.039652397838259426
0.14000000000000001,1.6385722071979983e-16,-0.58168653247436364,2.6116495052537129e-16,-0.58168653247436342,-0.040807504354847771
0.14200000000000002,9.6148134319178203e-17,-0.58991887703870804,2.5669101141233466e-16,-0.58991887703870804,-0.041979085190944211
0.14400000000000002,1.9229626863835633e-16,-0.59814779114261396,3.4483871307865253e-16,-0.59814779114261385,-0.043167134984687494
0.14599999999999999,2.5571171586792257e-16,-0.60637322071550614,3.248709177650567e-16,-0.60637322071550603,-0.044371648374216331
0.14799999999999999,1.2218599408451149e-16,-0.61459508575123956,2.0199046585343782e-16,-0.61459508575123933,-0.045592612699124874
0.14999999999999999,1.9820039811429799e-16,-0.62281318858131873,2.6443807798533175e-16,-0.62281318858131862,-0.046829982187573699
