"Time","tank1.level","tank2.level","tank2.ports[1].m_flow"
0,1,0.001,38.012215
0.0099999998,0.99961823,0.0013817891,38.008568
0.02,0.99923646,0.0017635417,38.004925
0.029999999,0.99885476,0.0021452575,38.001282
0.039999999,0.99847305,0.0025269368,37.997639
0.050000001,0.9980914,0.0029085795,37.993992
0.059999999,0.99770981,0.0032901857,37.990349
0.07,0.99732828,0.0036717083,37.986706
0.079999998,0.99694675,0.0040532206,37.983063
0.090000004,0.99656534,0.0044346708,37.97942
0.1,0.99618387,0.004816107,37.975773
0.11,0.99580258,0.0051974263,37.97213
0.12,0.99542129,0.0055787088,37.968487
0.13,0.99504,0.0059599918,37.964844
0.14,0.99465871,0.0063412744,37.961201
0.15000001,0.99427754,0.0067224577,37.957558
0.16,0.99389642,0.0071035903,37.953915
0.17,0.99351525,0.0074847233,37.950272
0.18000001,0.99313414,0.0078658564,37.946629
0.19,0.99275309,0.0082469042,37.942986
0.2,0.9923721,0.0086278869,37.939342
0.20999999,0.9919911,0.0090088695,37.935699
0.22,0.99161017,0.0093898531,37.932056
0.23,0.99122918,0.009770805,37.92841
0.23999999,0.9908483,0.010151701,37.924767
0.25,0.99046743,0.010532569,37.921124
0.25999999,0.99008662,0.010913408,37.91748
0.27000001,0.9897058,0.01129422,37.913837
0.28,0.98932499,0.011675001,37.910194
0.28999999,0.98894423,0.012055755,37.906548
0.30000001,0.98856354,0.012436479,37.902905
0.31,0.98818284,0.012817169,37.899261
0.31999999,0.98780221,0.013197808,37.895618
0.33000001,0.98742157,0.013578413,37.891972
0.34,0.987041,0.013958984,37.888329
0.34999999,0.98666048,0.014339521,37.884686
0.36000001,0.98627996,0.014720023,37.881042
0.37,0.98589951,0.01510049,37.877396
0.38,0.98551905,0.015480923,37.873753
0.38999999,0.98513865,0.015861321,37.87011
0.40000001,0.98475832,0.016241679,37.866467
0.41,0.98437798,0.016621999,37.86282
0.41999999,0.9839977,0.017002285,37.859177
0.43000001,0.98361748,0.017382534,37.855534
0.44,0.98323727,0.017762749,37.851891
0.44999999,0.98285705,0.018142926,37.848244
0.46000001,0.98247695,0.018523067,37.844601
0.47,0.98209685,0.018903174,37.840958
0.47999999,0.98171675,0.019283241,37.837315
0.49000001,0.98133671,0.019663271,37.833668
0.5,0.98095673,0.020043263,37.830025
0.50999999,0.98057675,0.02042322,37.826382
0.51999998,0.98019683,0.020803142,37.822739
0.52999997,0.97981697,0.021183027,37.819092
0.54000002,0.97943711,0.021562874,37.815449
0.55000001,0.97905731,0.021942684,37.811806
0.56,0.97867751,0.022322459,37.808163
0.56999999,0.97829783,0.022702197,37.80452
0.57999998,0.97791809,0.023081899,37.800873
0.58999997,0.97753841,0.023461564,37.79723
0.60000002,0.97715878,0.023841191,37.793587
0.61000001,0.97677922,0.024220783,37.789944
0.62,0.97639966,0.024600338,37.786297
0.63,0.97602016,0.024979858,37.782654
0.63999999,0.97564065,0.02535934,37.779011
0.64999998,0.97526121,0.025738785,37.775368
0.66000003,0.97488183,0.026118195,37.771721
0.67000002,0.97450244,0.026497567,37.768078
0.68000001,0.97412312,0.026876902,37.764435
0.69,0.9737438,0.027256202,37.760792
