"Time","loadInertia.w","loadInertia.phi","tauShaft","imc.idq_sr[2]","imc.is[2]","wMechanical","imc.is[1]","imc.idq_rr[1]","tauElectrical","imc.idq_rr[2]","imc.idq_sr[1]"
0,157.07964,0,-5.7028956,70.710678,-3.0464268e-15,157.07964,122.47449,-119.20911,-7.1286197,-66.722328,122.47449
0.001,157.07472,0.15707718,-5.7021847,29.40378,-5.5387387e-05,157.07472,122.47452,-133.99274,-7.1277304,-26.619884,138.33083
0.0020000001,157.06979,0.31414944,-5.7023468,-14.780214,-0.00042473243,157.06979,122.4747,-135.66077,-7.1279335,16.087412,140.64688
0.003,157.06488,0.47121677,-5.7027798,-57.516541,-0.0011051559,157.06488,122.47504,-124.05079,-7.1284747,57.21917,129.19693
0.0040000002,157.05997,0.62827921,-5.7031007,-94.622551,-0.0019636939,157.05997,122.47547,-100.30014,-7.1288762,92.749672,105.10268
0.0049999999,157.05505,0.78533673,-5.7033353,-122.46728,-0.0029659481,157.05505,122.47597,-66.734215,-7.129169,119.20214,70.72316
0.0060000001,157.05014,0.94238931,-5.7036304,-138.32663,-0.0041897083,157.05014,122.47659,-26.638512,-7.1295381,133.98874,29.423536
0.0070000002,157.04521,1.099437,-5.7039523,-140.64963,-0.0054410645,157.04521,122.47721,16.0627,-7.1299405,135.66348,-14.754088
0.0080000004,157.0403,1.2564797,-5.7042785,-129.21022,-0.006654466,157.0403,122.47781,57.190868,-7.1303477,124.06367,-57.486675
0.0089999996,157.03539,1.4135176,-5.7045956,-105.12903,-0.0077708387,157.03539,122.47837,92.722023,-7.130744,100.32558,-94.593277
0.0099999998,157.03047,1.5705506,-5.7048931,-70.763313,-0.008743234,157.03047,122.47886,119.18048,-7.1311164,66.772858,-122.44408
0.011,157.02554,1.7275785,-5.7051682,-29.476091,-0.0095578926,157.02554,122.47926,133.97876,-7.1314602,26.688948,-138.31543
0.012,157.02063,1.8846016,-5.7054119,14.693119,-0.010194773,157.02063,122.47958,135.67047,-7.1317649,-16.004366,-140.65601
0.013,157.01572,2.0416198,-5.7056208,57.423611,-0.010645153,157.01572,122.47981,124.09151,-7.1320257,-57.130756,-129.23827
0.014,157.01079,2.198633,-5.7057939,94.536156,-0.010915989,157.01079,122.47994,100.37579,-7.1322427,-92.6679,-105.1804
0.015,157.00587,2.3556414,-5.7059355,122.40171,-0.011028765,157.00587,122.48,66.843964,-7.1324191,-119.1408,-70.836578
0.016000001,157.00096,2.5126448,-5.7060499,138.29614,-0.011017018,157.00096,122.48,26.776253,-7.1325622,-133.9615,-29.566473
0.017000001,156.99603,2.6696432,-5.7061458,140.66637,-0.010921623,156.99603,122.47995,-15.908573,-7.1326823,-135.68188,14.593551
0.017999999,156.99112,2.8266368,-5.7062321,129.28194,-0.010786589,156.99112,122.47988,-57.036503,-7.1327901,-124.13498,57.325218
0.018999999,156.98619,2.9836254,-5.7063179,105.25724,-0.010655606,156.98619,122.47981,-92.586403,-7.1328974,-100.45105,94.450592
0.02,156.98128,3.1406093,-5.7064114,70.942284,-0.010568176,156.98128,122.47977,-119.08311,-7.1330147,-66.946732,122.34048
0.021,156.97636,3.2975881,-5.7065215,29.69273,-0.010555864,156.97636,122.47977,-133.93701,-7.1331515,-26.898401,138.26909
0.022,156.97144,3.4545619,-5.7066522,-14.45837,-0.010639959,156.97144,122.4798,-135.69702,-7.1333151,15.778337,140.68033
0.023,156.96652,3.611531,-5.7068076,-57.194893,-0.010830509,156.96652,122.4799,-124.19225,-7.1335096,56.911495,129.33965
0.024,156.96159,3.7684951,-5.7069883,-94.339592,-0.011126084,156.96159,122.48005,-100.54836,-7.1337352,92.48056,105.35674
0.025,156.95668,3.9254541,-5.7071929,-122.26237,-0.011514755,156.95668,122.48025,-67.077385,-7.1339908,119.00942,71.076797
0.026000001,156.95175,4.0824084,-5.707417,-138.23499,-0.011975402,156.95175,122.48048,-27.051529,-7.1342711,133.90604,29.851124
0.027000001,156.94684,4.2393575,-5.7076559,-140.69746,-0.012480463,156.94684,122.48073,15.616893,-7.1345696,135.71559,-14.29068
0.028000001,156.94193,4.3963022,-5.7079024,-129.4104,-0.012997947,156.94193,122.48099,56.757885,-7.1348782,124.26243,-57.034622
0.028999999,156.937,4.5532413,-5.7081509,-105.47802,-0.013498234,156.937,122.48124,92.351357,-7.1351886,100.66695,-94.203964
0.029999999,156.93208,4.710176,-5.7083941,-71.23999,-0.013953404,156.93208,122.48146,118.91991,-7.1354928,67.235893,-122.16736
0.030999999,156.92715,4.8671055,-5.7086272,-30.042555,-0.014340624,156.92715,122.48166,133.86853,-7.1357837,27.236588,-138.19351
0.032000002,156.92224,5.0240302,-5.7088451,14.088673,-0.014643945,156.92224,122.48181,135.73787,-7.1360564,-15.422417,-140.71783
0.033,156.91731,5.1809502,-5.7090464,56.842121,-0.014855614,156.91731,122.48192,124.34659,-7.1363077,-56.573395,-129.49507
0.034000002,156.91238,5.3378649,-5.709229,94.041534,-0.014976238,156.91238,122.48197,100.80878,-7.1365366,-92.196632,-105.62287
0.035,156.90747,5.4947748,-5.7093949,122.05386,-0.01501415,156.90747,122.48199,67.424782,-7.136744,-118.81301,-71.43428
0.035999998,156.90254,5.65168,-5.7095461,138.14395,-0.014983363,156.90254,122.48198,27.456263,-7.1369324,-133.82373,-30.269602
0.037,156.89763,5.8085799,-5.7096858,140.74152,-0.014903421,156.89763,122.48194,-15.192567,-7.1371074,-135.76385,13.850108
0.037999999,156.8927,5.9654751,-5.7098188,129.59416,-0.014796482,156.8927,122.48189,-56.356365,-7.1372733,-124.44517,56.615849
0.039000001,156.88779,6.1223655,-5.7099495,105.79174,-0.014685631,156.88779,122.48183,-92.015472,-7.1374373,-100.97421,93.851524
0.039999999,156.88286,6.2792506,-5.710083,71.659676,-0.014591931,156.88286,122.48178,-118.68835,-7.1376042,-67.644012,121.92166
