"Time","imcQS.rotorCage.port_p.reference.gamma","PIQS.x","loadInertiaQS.w","powerSensorQS.flange_a.phi"
0,1.5707964,0,157.07964,-0.78539819
0.0099999998,1.5712477,17.181099,157.04515,0.78517252
0.02,1.5719948,11.354369,157.04099,2.3555954
0.029999999,1.572769,6.1079421,157.04103,3.9260044
0.039999999,1.5735371,3.1139936,157.0414,5.4964166
0.050000001,1.5742991,1.5616504,157.04164,7.0668321
0.059999999,1.5750574,0.779024,157.04178,8.637249
0.07,1.5758139,0.3879441,157.04184,10.207667
0.079999998,1.5765693,0.19308195,157.04187,11.778086
0.090000004,1.5773244,0.096080109,157.04189,13.348505
0.1,1.5780791,0.047807802,157.0419,14.918923
0.11,1.5788338,0.023787854,157.0419,16.489344
0.12,1.5795884,0.011836458,157.0419,18.059761
0.13,1.5803429,0.0058899112,157.0419,19.63018
0.14,1.5810975,0.0029308724,157.0419,21.2006
0.15000001,1.5818521,0.0014584112,157.0419,22.771019
0.16,1.5826066,0.00072571682,157.0419,24.341438
0.17,1.5833611,0.00036125319,157.0419,25.911858
0.18000001,1.5841156,0.00018021341,157.0419,27.482277
0.19,1.5848702,8.9833695e-05,157.0419,29.052694
0.2,1.5856247,4.4790129e-05,157.0419,30.623114
0.20999999,1.5863793,2.235319e-05,157.0419,32.193535
0.22,1.5871338,1.1132833e-05,157.0419,33.763954
0.23,1.5878884,5.6609733e-06,157.0419,35.33437
0.23999999,1.5886428,3.1349264e-06,157.0419,36.904789
0.25,1.5893973,1.8376006e-06,157.0419,38.475208
0.25999999,1.5901519,1.0229642e-06,157.0419,40.045628
0.27000001,1.5909064,4.5164461e-07,157.0419,41.616047
0.28,1.591661,1.4457156e-07,157.0419,43.186466
0.28999999,1.5924155,3.0449442e-08,157.0419,44.756886
0.30000001,1.59317,-2.3249294e-09,157.0419,46.327305
0.31,1.5939245,-2.7569774e-08,157.0419,47.897724
0.31999999,1.5946791,-3.5173834e-08,157.0419,49.468143
0.33000001,1.5954336,-2.4951394e-08,157.0419,51.038563
0.34,1.5961882,-2.0484592e-08,157.0419,52.608982
0.34999999,1.5969427,-1.6339362e-08,157.0419,54.179401
0.36000001,1.5976973,-1.219413e-08,157.0419,55.749821
0.37,1.5984517,-8.0488984e-09,157.0419,57.32024
0.38,1.5992063,-5.8777276e-09,157.0419,58.890656
