"Time","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2.twoPulse.timerPositive[1].entryTime","pulse2.twoPulse.timerNegative[1].entryTime","idealthyristor.off"
4.9499998,25.337706,0.50383371,3115.8154,61.832027,1.2668853,0.025191685,4.9400001,4.9299998,0
4.9499998,25.337706,0.50383371,3115.8154,61.832027,1.2668853,0.025191685,4.9400001,4.9499998,1
4.9502001,25.337706,0.50383347,3115.8154,61.832027,1.2668853,0.025191676,4.9400001,4.9499998,1
4.9503999,25.337706,0.50383294,3115.8154,61.832027,1.2668853,0.025191646,4.9400001,4.9499998,1
4.9506001,25.337706,0.50383192,3115.8154,61.832027,1.2668853,0.025191598,4.9400001,4.9499998,1
4.9507999,25.337706,0.50383061,3115.8154,61.832027,1.2668853,0.025191531,4.9400001,4.9499998,1
4.9510002,25.337706,0.50382888,3115.8154,61.832027,1.2668853,0.025191445,4.9400001,4.9499998,1
4.9512,25.337706,0.5038268,3115.8154,61.832027,1.2668853,0.025191341,4.9400001,4.9499998,1
4.9513998,25.337706,0.50382435,3115.8154,61.832027,1.2668853,0.02519122,4.9400001,4.9499998,1
4.9516001,25.337706,0.50382155,3115.8154,61.832027,1.2668853,0.025191078,4.9400001,4.9499998,1
4.9517999,25.337706,0.50381845,3115.8154,61.832027,1.2668853,0.025190923,4.9400001,4.9499998,1
4.9520001,25.337706,0.50381505,3115.8154,61.832027,1.2668853,0.025190752,4.9400001,4.9499998,1
4.9521999,25.337706,0.5038113,3115.8154,61.832027,1.2668853,0.025190566,4.9400001,4.9499998,1
4.9524002,25.337706,0.50380725,3115.8154,61.832027,1.2668853,0.025190361,4.9400001,4.9499998,1
4.9526,25.337706,0.5038029,3115.8154,61.832027,1.2668853,0.025190147,4.9400001,4.9499998,1
4.9527998,25.337706,0.50379837,3115.8154,61.832027,1.2668853,0.025189919,4.9400001,4.9499998,1
4.9530001,25.337706,0.50379354,3115.8154,61.832027,1.2668853,0.025189677,4.9400001,4.9499998,1
4.9531999,25.337706,0.50378847,3115.8154,61.832027,1.2668853,0.025189424,4.9400001,4.9499998,1
4.9534001,25.337706,0.50378323,3115.8154,61.832031,1.2668853,0.025189161,4.9400001,4.9499998,1
4.9535999,25.337706,0.5037778,3115.8154,61.832031,1.2668853,0.025188891,4.9400001,4.9499998,1
4.9538002,25.337706,0.50377226,3115.8154,61.832031,1.2668853,0.025188612,4.9400001,4.9499998,1
4.954,25.337706,0.50376648,3115.8154,61.832031,1.2668853,0.025188323,4.9400001,4.9499998,1
4.9541998,25.337706,0.50376058,3115.8154,61.832031,1.2668853,0.025188027,4.9400001,4.9499998,1
4.9544001,25.337706,0.50375462,3115.8154,61.832031,1.2668853,0.025187729,4.9400001,4.9499998,1
4.9545999,25.337706,0.50374854,3115.8154,61.832031,1.2668853,0.025187429,4.9400001,4.9499998,1
4.9548001,25.337706,0.50374246,3115.8154,61.832031,1.2668853,0.025187124,4.9400001,4.9499998,1
4.9549551,25.337706,0.50373775,3115.8154,61.832031,1.2668853,0.025186887,4.9400001,4.9499998,1
4.9549551,25.337706,0.50373775,3115.8154,61.832031,1.2668853,0.025186887,4.9400001,4.9499998,1
