"Time","resistor_e.i[1]","resistor_e.i[2]","resistor_s.i[1]","resistor_s.i[2]","resistor_m.i[1]","resistor_m.i[2]"
0.34999999,17.648333,21.698429,17.648333,21.698429,17.648333,21.698429
0.35499999,17.215073,22.389364,17.215073,22.389364,17.215073,22.389364
0.36000001,16.764481,23.076941,16.764481,23.076941,16.764481,23.076941
0.36500001,16.297005,23.760468,16.297005,23.760468,16.297005,23.760468
0.37,15.813104,24.439264,15.813104,24.439264,15.813104,24.439264
0.375,15.313256,25.112652,15.313256,25.112652,15.313256,25.112652
0.38,14.797956,25.779953,14.797956,25.779953,14.797956,25.779953
0.38499999,14.267713,26.440504,14.267713,26.440504,14.267713,26.440504
0.38999999,13.723048,27.093641,13.723048,27.093641,13.723048,27.093641
0.39500001,13.1645,27.73871,13.1645,27.73871,13.1645,27.73871
0.40000001,12.592621,28.375067,12.592621,28.375067,12.592621,28.375067
0.405,12.007975,29.002073,12.007975,29.002073,12.007975,29.002073
0.41,11.411139,29.619101,11.411139,29.619101,11.411139,29.619101
0.41499999,10.802701,30.225531,10.802701,30.225531,10.802701,30.225531
0.41999999,10.183265,30.820755,10.183265,30.820755,10.183265,30.820755
0.42500001,9.5534382,31.404181,9.5534382,31.404181,9.5534382,31.404181
0.43000001,8.913846,31.975218,8.913846,31.975218,8.913846,31.975218
0.435,8.2651176,32.533295,8.2651176,32.533295,8.2651176,32.533295
0.44,7.6078939,33.077854,7.6078939,33.077854,7.6078939,33.077854
0.44499999,6.9428244,33.608349,6.9428244,33.608349,6.9428244,33.608349
0.44999999,6.2705646,34.124241,6.2705646,34.124241,6.2705646,34.124241
0.45500001,5.5917788,34.625019,5.5917788,34.625019,5.5917788,34.625019
0.46000001,4.9071364,35.110172,4.9071364,35.110172,4.9071364,35.110172
0.465,4.2173142,35.57922,4.2173142,35.57922,4.2173142,35.57922
0.47,3.5229921,36.031685,3.5229921,36.031685,3.5229921,36.031685
0.47499999,2.824856,36.467117,2.824856,36.467117,2.824856,36.467117
0.47999999,2.123595,36.885067,2.123595,36.885067,2.123595,36.885067
0.48500001,1.4199014,37.285126,1.4199014,37.285126,1.4199014,37.285126
0.49000001,0.71446961,37.666878,0.71446961,37.666878,0.71446961,37.666878
0.495,0.0079961242,38.029945,0.0079961242,38.029945,0.0079961242,38.029945
0.5,-0.69882166,38.373959,-0.69882166,38.373959,-0.69882166,38.373959
0.505,-1.4052862,38.698563,-1.4052862,38.698563,-1.4052862,38.698563
0.50999999,-2.1106999,39.003437,-2.1106999,39.003437,-2.1106999,39.003437
0.51499999,-2.8143666,39.288269,-2.8143666,39.288269,-2.8143666,39.288269
0.51999998,-3.5155916,39.552765,-3.5155916,39.552765,-3.5155916,39.552765
0.52499998,-4.2136827,39.796658,-4.2136827,39.796658,-4.2136827,39.796658
0.52999997,-4.9079509,40.019699,-4.9079509,40.019699,-4.9079509,40.019699
0.53500003,-5.5977111,40.221653,-5.5977111,40.221653,-5.5977111,40.221653
0.54000002,-6.2822819,40.402317,-6.2822819,40.402317,-6.2822819,40.402317
0.54500002,-6.9609876,40.561501,-6.9609876,40.561501,-6.9609876,40.561501
0.55000001,-7.6331587,40.699039,-7.6331587,40.699039,-7.6331587,40.699039
0.55500001,-8.2981319,40.814789,-8.2981319,40.814789,-8.2981319,40.814789
0.56,-8.9552498,40.908623,-8.9552498,40.908623,-8.9552498,40.908623
0.565,-9.6038637,40.980442,-9.6038637,40.980442,-9.6038637,40.980442
0.56999999,-10.243335,41.030163,-10.243335,41.030163,-10.243335,41.030163
0.57499999,-10.87303,41.057732,-10.87303,41.057732,-10.87303,41.057732
0.57999998,-11.492329,41.06311,-11.492329,41.06311,-11.492329,41.06311
0.58499998,-12.10062,41.046284,-12.10062,41.046284,-12.10062,41.046284
0.58999997,-12.697303,41.007263,-12.697303,41.007263,-12.697303,41.007263
0.59500003,-13.281788,40.946068,-13.281788,40.946068,-13.281788,40.946068
0.60000002,-13.853499,40.862762,-13.853499,40.862762,-13.853499,40.862762
0.60500002,-14.411871,40.757408,-14.411871,40.757408,-14.411871,40.757408
0.61000001,-14.956353,40.630108,-14.956353,40.630108,-14.956353,40.630108
0.61500001,-15.486408,40.480972,-15.486408,40.480972,-15.486408,40.480972
0.62,-16.001513,40.310146,-16.001513,40.310146,-16.001513,40.310146
0.625,-16.501156,40.117783,-16.501156,40.117783,-16.501156,40.117783
0.63,-16.984848,39.904064,-16.984848,39.904064,-16.984848,39.904064
0.63499999,-17.45211,39.669197,-17.45211,39.669197,-17.45211,39.669197
0.63999999,-17.902481,39.413395,-17.902481,39.413395,-17.902481,39.413395
0.64499998,-18.335516,39.136909,-18.335516,39.136909,-18.335516,39.136909
0.64999998,-18.750788,38.840004,-18.750788,38.840004,-18.750788,38.840004
0.65499997,-19.147884,38.522957,-19.147884,38.522957,-19.147884,38.522957
0.66000003,-19.526417,38.186073,-19.526417,38.186073,-19.526417,38.186073
0.66500002,-19.886009,37.829681,-19.886009,37.829681,-19.886009,37.829681
0.67000002,-20.226309,37.454117,-20.226309,37.454117,-20.226309,37.454117
0.67500001,-20.546976,37.05975,-20.546976,37.05975,-20.546976,37.05975
0.68000001,-20.847698,36.64695,-20.847698,36.64695,-20.847698,36.64695
0.685,-21.128176,36.216125,-21.128176,36.216125,-21.128176,36.216125
0.69,-21.388132,35.767685,-21.388132,35.767685,-21.388132,35.767685
0.69499999,-21.627312,35.302067,-21.627312,35.302067,-21.627312,35.302067
0.69999999,-21.845476,34.819721,-21.845476,34.819721,-21.845476,34.819721
0.70499998,-22.042412,34.321114,-22.042412,34.321114,-22.042412,34.321114
0.70999998,-22.217924,33.806725,-22.217924,33.806725,-22.217924,33.806725
0.71499997,-22.37184,33.277058,-22.37184,33.277058,-22.37184,33.277058
0.72000003,-22.504005,32.732624,-22.504005,32.732624,-22.504005,32.732624
0.72500002,-22.614292,32.17395,-22.614292,32.17395,-22.614292,32.17395
0.73000002,-22.702591,31.601582,-22.702591,31.601582,-22.702591,31.601582
0.73500001,-22.768812,31.016071,-22.768812,31.016071,-22.768812,31.016071
0.74000001,-22.812893,30.417992,-22.812893,30.417992,-22.812893,30.417992
0.745,-22.834787,29.80792,-22.834787,29.80792,-22.834787,29.80792
0.75,-22.834475,29.186453,-22.834475,29.186453,-22.834475,29.186453
0.755,-22.811954,28.554192,-22.811954,28.554192,-22.811954,28.554192
0.75999999,-22.767252,27.911755,-22.767252,27.911755,-22.767252,27.911755
0.76499999,-22.700407,27.259762,-22.700407,27.259762,-22.700407,27.259762
0.76999998,-22.611486,26.598852,-22.611486,26.598852,-22.611486,26.598852
0.77499998,-22.500578,25.929668,-22.500578,25.929668,-22.500578,25.929668
0.77999997,-22.367794,25.252859,-22.367794,25.252859,-22.367794,25.252859
0.78500003,-22.213261,24.569086,-22.213261,24.569086,-22.213261,24.569086
0.79000002,-22.037132,23.879013,-22.037132,23.879013,-22.037132,23.879013
0.79500002,-21.839582,23.183313,-21.839582,23.183313,-21.839582,23.183313
0.80000001,-21.620808,22.482664,-21.620808,22.482664,-21.620808,22.482664
0.80500001,-21.381021,21.77775,-21.381021,21.77775,-21.381021,21.77775
0.81,-21.120461,21.069254,-21.120461,21.069254,-21.120461,21.069254
0.815,-20.839382,20.357868,-20.839382,20.357868,-20.839382,20.357868
0.81999999,-20.538063,19.644285,-20.538063,19.644285,-20.538063,19.644285
0.82499999,-20.216803,18.929201,-20.216803,18.929201,-20.216803,18.929201
0.82999998,-19.875916,18.213314,-19.875916,18.213314,-19.875916,18.213314
0.83499998,-19.515739,17.497318,-19.515739,17.497318,-19.515739,17.497318
0.83999997,-19.136627,16.781912,-19.136627,16.781912,-19.136627,16.781912
0.84500003,-18.738956,16.067795,-18.738956,16.067795,-18.738956,16.067795
0.85000002,-18.323116,15.35566,-18.323116,15.35566,-18.323116,15.35566
0.85500002,-17.889519,14.646204,-17.889519,14.646204,-17.889519,14.646204
0.86000001,-17.438589,13.940115,-17.438589,13.940115,-17.438589,13.940115
0.86500001,-16.970776,13.238083,-16.970776,13.238083,-16.970776,13.238083
0.87,-16.486538,12.540792,-16.486538,12.540792,-16.486538,12.540792
0.875,-15.986355,11.84892,-15.986355,11.84892,-15.986355,11.84892
0.88,-15.470718,11.163141,-15.470718,11.163141,-15.470718,11.163141
0.88499999,-14.940139,10.484124,-14.940139,10.484124,-14.940139,10.484124
0.88999999,-14.395138,9.8125296,-14.395138,9.8125296,-14.395138,9.8125296
0.89499998,-13.836254,9.1490116,-13.836254,9.1490116,-13.836254,9.1490116
0.89999998,-13.264039,8.494216,-13.264039,8.494216,-13.264039,8.494216
0.90499997,-12.679057,7.8487797,-12.679057,7.8487797,-12.679057,7.8487797
0.91000003,-12.081885,7.2133317,-12.081885,7.2133317,-12.081885,7.2133317
0.91500002,-11.473113,6.58849,-11.473113,6.58849,-11.473113,6.58849
0.92000002,-10.853341,5.9748621,-10.853341,5.9748621,-10.853341,5.9748621
0.92500001,-10.22318,5.3730445,-10.22318,5.3730445,-10.22318,5.3730445
0.93000001,-9.5832529,4.7836232,-9.5832529,4.7836232,-9.5832529,4.7836232
0.935,-8.9341898,4.20717,-8.9341898,4.20717,-8.9341898,4.20717
0.94,-8.2766314,3.6442454,-8.2766314,3.6442454,-8.2766314,3.6442454
0.94499999,-7.6112275,3.095396,-7.6112275,3.095396,-7.6112275,3.095396
0.94999999,-6.9386339,2.5611548,-6.9386339,2.5611548,-6.9386339,2.5611548
0.95499998,-6.2595139,2.0420401,-6.2595139,2.0420401,-6.2595139,2.0420401
0.95999998,-5.5745382,1.5385555,-5.5745382,1.5385555,-5.5745382,1.5385555
0.96499997,-4.8843818,1.0511887,-4.8843818,1.0511887,-4.8843818,1.0511887
