"Time","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.is[1]","smee.is[2]","smee.idq_sr[1]","smee.idq_sr[2]","smee.idq_rr[2]","smee.lesigma.i","smee.idq_dr[1]"
2,300.02209,157.07968,5.7042953e-06,8.2120634e-05,-5.7031357e-06,-9.811818e-05,0.0012188463,10.000001,2.52581e-06
2,300.02209,157.07968,5.7042953e-06,8.2120634e-05,-5.7031357e-06,-9.811818e-05,0.0012188463,10.000001,2.52581e-06
2.0000999,300.03781,157.09692,-4.877929e-05,0.0015244277,-5.6337126e-06,-0.0017327722,0.0027993165,10.000001,2.4959888e-06
2.0002,300.0535,157.11417,-0.00040979625,0.0059159198,-5.0533276e-06,-0.0066072387,0.0075125424,10.000001,2.2478609e-06
2.0002999,300.06921,157.13141,-0.001378305,0.013342492,-2.8661352e-06,-0.014675684,0.015311674,10,1.3142769e-06
2.0004001,300.08493,157.14864,-0.0032483414,0.023869967,2.8541153e-06,-0.025891805,0.026149398,10,-1.1234748e-06
2.0005,300.10065,157.16586,-0.0063058622,0.037544884,1.4577719e-05,-0.040209938,0.039979063,9.999999,-6.1128335e-06
2.0006001,300.11636,157.18307,-0.010828079,0.054394647,3.5487144e-05,-0.05758512,0.056754749,9.9999981,-1.4999547e-05
2.0007,300.13208,157.20029,-0.017082555,0.074427336,6.9435802e-05,-0.077972896,0.076431073,9.9999962,-2.940856e-05
2.0007999,300.1478,157.21748,-0.02532636,0.097631775,0.0001209187,-0.10132929,0.098963141,9.9999933,-5.1230028e-05
2.0009,300.16354,157.23468,-0.035805218,0.12397765,0.00019501068,-0.12761083,0.12430658,9.9999886,-8.2591047e-05
2.0009999,300.17926,157.25185,-0.048752721,0.15341565,0.00029735098,-0.15677454,0.15241753,9.9999828,-0.00012584962
2.0011001,300.19498,157.26901,-0.06438981,0.18587792,0.00043428436,-0.18877804,0.18325278,9.9999743,-0.00018364983
2.0012,300.21072,157.28616,-0.082923882,0.22127812,0.00061272457,-0.22357953,0.21676965,9.9999638,-0.00025886865
2.0013001,300.22644,157.30328,-0.10454796,0.25951171,0.00083991647,-0.26113766,0.25292599,9.9999504,-0.00035450462
2.0014,300.24219,157.3204,-0.1294404,0.30045649,0.001123797,-0.30141172,0.29168031,9.9999332,-0.00047384133
2.0014999,300.2579,157.33749,-0.15776402,0.34397292,0.0014726314,-0.3443616,0.33299166,9.9999123,-0.00062027993
2.0016,300.27365,157.35455,-0.18966573,0.38990456,0.0018952552,-0.38994771,0.3768197,9.9998865,-0.0007974527
2.0016999,300.28937,157.37161,-0.2252759,0.43807855,0.0024008157,-0.43813115,0.42312473,9.9998569,-0.0010091021
2.0018001,300.30511,157.38863,-0.26470798,0.48830625,0.0029989567,-0.48887354,0.47186762,9.9998207,-0.0012591667
