"Time","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,-0,-0
9.9999997e-05,1.3134819e-07,-8.1387192e-08
0.00019999999,1.3244279e-07,-8.7782674e-08
0.00030000001,1.331865e-07,-9.4264706e-08
0.00039999999,1.3390108e-07,-1.007539e-07
0.00050000002,1.342439e-07,-1.0726192e-07
0.00060000003,1.3451792e-07,-1.1377342e-07
0.00069999998,1.3445424e-07,-1.2027999e-07
0.00079999998,1.3428723e-07,-1.2678505e-07
0.00089999998,1.3394036e-07,-1.3325055e-07
0.001,1.3335217e-07,-1.3966293e-07
0.0011,1.3257483e-07,-1.460337e-07
0.0012000001,1.3160832e-07,-1.5236283e-07
0.0013,1.3043319e-07,-1.5863012e-07
0.0014,1.2903979e-07,-1.6482549e-07
0.0015,1.2744161e-07,-1.7096301e-07
0.0016,1.2563866e-07,-1.7704264e-07
0.0017,1.2363093e-07,-1.8306442e-07
0.0018,1.2141841e-07,-1.8902833e-07
0.0019,1.1900112e-07,-1.9493436e-07
0.0020000001,1.1637906e-07,-2.0078252e-07
0.0020999999,1.135713e-07,-2.0653951e-07
0.0022,1.1063921e-07,-2.120982e-07
0.0023000001,1.0752277e-07,-2.175634e-07
0.0024000001,1.0422195e-07,-2.2293509e-07
0.0024999999,1.0073678e-07,-2.2821327e-07
0.0026,9.7067257e-08,-2.3339794e-07
0.0027000001,9.3213366e-08,-2.3848912e-07
0.0027999999,8.917511e-08,-2.434868e-07
0.0029,8.503396e-08,-2.4826844e-07
0.003,8.0760707e-08,-2.5287804e-07
0.0031000001,7.632994e-08,-2.5735372e-07
0.0031999999,7.1741681e-08,-2.616955e-07
0.0033,6.6995909e-08,-2.659034e-07
0.0034,6.2092639e-08,-2.6997739e-07
0.0035000001,5.7031865e-08,-2.7391752e-07
0.0035999999,5.1848446e-08,-2.776915e-07
0.0037,4.6630316e-08,-2.8121809e-07
0.0038000001,4.1289738e-08,-2.8457842e-07
0.0038999999,3.5826705e-08,-2.8777242e-07
0.0040000002,3.0241225e-08,-2.9080016e-07
0.0041,2.4533295e-08,-2.9366157e-07
0.0041999999,1.8702911e-08,-2.9635672e-07
0.0043000001,1.2750079e-08,-2.9888557e-07
0.0044,6.8093722e-09,-3.0117221e-07
0.0044999998,8.2237755e-10,-3.0324961e-07
0.0046000001,-5.2450582e-09,-3.0513701e-07
0.0046999999,-1.1392935e-08,-3.0683444e-07
0.0048000002,-1.7621254e-08,-3.083419e-07
0.0049000001,-2.3930012e-08,-3.0965933e-07
0.0049999999,-3.0319214e-08,-3.1078682e-07
0.0051000002,-3.675466e-08,-3.1171749e-07
0.0052,-4.3158362e-08,-3.1243582e-07
0.0052999998,-4.9591037e-08,-3.1295389e-07
0.0054000001,-5.6046819e-08,-3.1327056e-07
0.0055,-6.2519845e-08,-3.1338465e-07
0.0055999998,-6.9004244e-08,-3.13295e-07
0.0057000001,-7.5494164e-08,-3.1300041e-07
0.0057999999,-8.1983728e-08,-3.1249976e-07
0.0059000002,-8.8457298e-08,-3.1180252e-07
0.0060000001,-9.4912387e-08,-3.1090389e-07
0.0060999999,-1.0134441e-07,-3.0980124e-07
0.0062000002,-1.0774696e-07,-3.0849401e-07
0.0063,-1.141136e-07,-3.0698166e-07
0.0063999998,-1.2043795e-07,-3.0526363e-07
0.0065000001,-1.2671356e-07,-3.0333931e-07
0.0066,-1.3293364e-07,-3.0121723e-07
0.0066999998,-1.3909103e-07,-2.9891322e-07
0.0068000001,-1.4517992e-07,-2.964133e-07
0.0068999999,-1.5119384e-07,-2.9371824e-07
0.0070000002,-1.5712629e-07,-2.9082889e-07
0.0071,-1.6297082e-07,-2.8774599e-07
0.0071999999,-1.6872094e-07,-2.8447039e-07
0.0073000002,-1.7437019e-07,-2.8100285e-07
0.0074,-1.7992068e-07,-2.7737502e-07
0.0074999998,-1.8536241e-07,-2.7357504e-07
0.0076000001,-1.9068814e-07,-2.6960092e-07
0.0077,-1.9589183e-07,-2.6545507e-07
0.0077999998,-2.0096748e-07,-2.6114e-07
0.0078999996,-2.0590907e-07,-2.5665813e-07
0.0080000004,-2.107106e-07,-2.5201192e-07
0.0081000002,-2.1537207e-07,-2.4721464e-07
0.0082,-2.1989622e-07,-2.4228441e-07
0.0082999999,-2.2426947e-07,-2.3721007e-07
0.0083999997,-2.284866e-07,-2.3199556e-07
0.0085000005,-2.325424e-07,-2.2664476e-07
0.0086000003,-2.364317e-07,-2.2116159e-07
0.0087000001,-2.4014926e-07,-2.1554995e-07
0.0088,-2.4368993e-07,-2.0981375e-07
0.0088999998,-2.4706682e-07,-2.0397249e-07
0.0089999996,-2.5026807e-07,-1.9802441e-07
0.0091000004,-2.5328873e-07,-1.919736e-07
0.0092000002,-2.5612573e-07,-1.858258e-07
0.0093,-2.5877623e-07,-1.7958692e-07
0.0093999999,-2.6123752e-07,-1.7326298e-07
0.0094999997,-2.6350708e-07,-1.6686015e-07
0.0096000005,-2.6558249e-07,-1.6038472e-07
0.0097000003,-2.6746156e-07,-1.5384313e-07
0.0098000001,-2.6914222e-07,-1.4724196e-07
0.0098999999,-2.7062254e-07,-1.405879e-07
0.0099999998,-2.7190083e-07,-1.3388781e-07
0.0101,-2.7297546e-07,-1.2714865e-07
0.0102,-2.7384505e-07,-1.2037755e-07
0.0103,-2.745083e-07,-1.1358176e-07
0.0104,-2.7496915e-07,-1.0674839e-07
0.0105,-2.7522353e-07,-9.9897569e-08
0.0106,-2.7527054e-07,-9.3037499e-08
0.0107,-2.7510976e-07,-8.6175092e-08
0.0108,-2.7474093e-07,-7.9317346e-08
0.0109,-2.7416405e-07,-7.2471352e-08
0.011,-2.7337919e-07,-6.5644301e-08
0.0111,-2.7238667e-07,-5.8843458e-08
0.0112,-2.7118691e-07,-5.2076189e-08
0.0113,-2.6978054e-07,-4.5349946e-08
0.0114,-2.6816835e-07,-3.8672272e-08
0.0115,-2.6635132e-07,-3.2050803e-08
0.0116,-2.6433062e-07,-2.5493259e-08
0.0117,-2.6210751e-07,-1.9007453e-08
0.0118,-2.596835e-07,-1.2601291e-08
0.0119,-2.5708002e-07,-6.2226939e-09
0.012,-2.5428491e-07,7.7736283e-11
0.0121,-2.5130009e-07,6.2916548e-09
0.0122,-2.4812834e-07,1.2412621e-08
0.0123,-2.4477262e-07,1.8434182e-08
0.0124,-2.4123608e-07,2.4349877e-08
0.0125,-2.3752212e-07,3.0153231e-08
0.0126,-2.3363425e-07,3.5837761e-08
0.0127,-2.2957627e-07,4.1396966e-08
0.0128,-2.2535211e-07,4.6824347e-08
0.0129,-2.2096593e-07,5.2113382e-08
0.013,-2.1642207e-07,5.7257541e-08
0.0131,-2.1172507e-07,6.2250287e-08
0.0132,-2.0687969e-07,6.7085068e-08
0.0133,-2.0189084e-07,7.1755537e-08
0.0134,-1.9675237e-07,7.633264e-08
0.0135,-1.9147818e-07,8.0750908e-08
0.0136,-1.8607352e-07,8.5005716e-08
0.0137,-1.8054384e-07,8.9092524e-08
0.0138,-1.7489472e-07,9.3006854e-08
0.0139,-1.6913199e-07,9.6744301e-08
0.014,-1.6326163e-07,1.0030053e-07
0.0141,-1.5728982e-07,1.036713e-07
0.0142,-1.5122291e-07,1.068524e-07
0.0143,-1.4506743e-07,1.0983972e-07
0.0144,-1.3883015e-07,1.1262922e-07
0.0145,-1.3251794e-07,1.1521691e-07
0.0146,-1.2613792e-07,1.1759892e-07
0.0147,-1.1969739e-07,1.1977139e-07
0.0148,-1.1320206e-07,1.2173317e-07
0.0149,-1.0661473e-07,1.2354761e-07
0.015,-9.997823e-08,1.2515885e-07
0.0151,-9.3299356e-08,1.2656514e-07
0.0152,-8.6585054e-08,1.2776493e-07
0.0153,-7.9842401e-08,1.2875677e-07
0.0154,-7.3078624e-08,1.2953937e-07
0.0155,-6.6301062e-08,1.3011162e-07
0.0156,-5.9517202e-08,1.304725e-07
0.015699999,-5.2734666e-08,1.306212e-07
0.015799999,-4.5961205e-08,1.30557e-07
0.015900001,-3.9204707e-08,1.3027937e-07
0.016000001,-3.2473199e-08,1.2978791e-07
0.016100001,-2.5774836e-08,1.2908235e-07
0.0162,-1.9117911e-08,1.2816263e-07
0.0163,-1.250544e-08,1.2703167e-07
0.0164,-5.8786562e-09,1.2572627e-07
