"Time","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.is[1]","smrE.is[1]","loadInertiaM.phi","loadInertiaE.phi","smrE.idq_sr[1]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertiaM.w","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","vfController.x","smrM.is[2]","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrE.idq_rr[1]","smrE.is[2]","smrE.idq_sr[2]","smrE.idq_rr[2]","loadInertiaE.w"
1.2,0.004503713,-47.16481,-47.164574,105.24181,105.24179,47.164127,-0.0061154906,157.15836,-0.43511876,219.91148,23.521675,0.45015204,-0.026924828,23.522396,0.21643183,1.822011,157.15854
1.2000999,0.018640596,-47.139282,-47.138996,105.25752,105.25751,47.164028,-0.006108223,157.15033,-0.43511885,219.9429,22.225981,0.44978845,-0.026817443,22.225769,0.21673889,1.8193116,157.15051
1.2002,0.032758348,-47.067162,-47.066734,105.27324,105.27322,47.16391,-0.0061009619,157.1423,-0.43511897,219.97432,20.908424,0.44898102,-0.026690956,20.905899,0.21854828,1.8151937,157.14249
1.2003,0.04684392,-46.94836,-46.947723,105.28896,105.28893,47.163776,-0.0060937111,157.13428,-0.43511909,220.00574,19.568613,0.44773054,-0.026545275,19.564049,0.22184078,1.809677,157.13446
1.2004,0.060883988,-46.782818,-46.781952,105.30466,105.30465,47.16362,-0.0060864794,157.12627,-0.43511918,220.03716,18.206743,0.44603825,-0.026380055,18.201511,0.22659698,1.8027818,157.12645
1.2005,0.074864298,-46.570522,-46.569454,105.32038,105.32036,47.163441,-0.0060792766,157.11824,-0.4351193,220.06857,16.824846,0.44390574,-0.026194714,16.819611,0.23279621,1.7945294,157.11842
1.2006,0.08877077,-46.31155,-46.310322,105.33609,105.33607,47.163242,-0.0060721096,157.11021,-0.43511939,220.09998,15.424797,0.44133511,-0.025988391,15.419694,0.24041829,1.784941,157.1104
1.2007,0.10258958,-46.006058,-46.004692,105.3518,105.35178,47.163021,-0.0060649845,157.1022,-0.43511951,220.13139,14.008154,0.43832898,-0.025759954,14.003133,0.24944356,1.7740366,157.10239
1.2007999,0.11630707,-45.654228,-45.652752,105.36751,105.36749,47.162777,-0.006057906,157.09418,-0.4351196,220.16281,12.576309,0.43489024,-0.025508033,12.571325,0.25985283,1.7618365,157.09438
1.2009,0.12990971,-45.256298,-45.254734,105.38322,105.3832,47.162506,-0.0060508791,157.08617,-0.43511972,220.19423,11.13071,0.43102235,-0.02523103,11.125688,0.27162707,1.7483603,157.08636
1.201,0.14338402,-44.812473,-44.810928,105.39893,105.39891,47.162209,-0.0060439087,157.07816,-0.43511981,220.22565,9.6728125,0.42672905,-0.024927132,9.6676579,0.2847476,1.7336272,157.07835
1.2011,0.15671681,-44.323174,-44.321671,105.41463,105.41462,47.16188,-0.0060369996,157.07014,-0.4351199,220.25706,8.2039194,0.42201462,-0.024594275,8.1986952,0.29919621,1.7176564,157.07034
1.2012,0.16989498,-43.78883,-43.78735,105.43034,105.43033,47.161518,-0.0060301567,157.06215,-0.43511999,220.28848,6.7254424,0.41688377,-0.024230175,6.720273,0.31495488,1.7004662,157.06233
1.2013,0.18290547,-43.209812,-43.208397,105.44604,105.44603,47.161125,-0.0060233846,157.05414,-0.43512011,220.31989,5.2389183,0.41134149,-0.023832422,5.2338824,0.33200577,1.6820755,157.05434
1.2014,0.19573539,-42.586655,-42.5853,105.46175,105.46174,47.160694,-0.0060166889,157.04614,-0.4351202,220.3513,3.7459211,0.4053933,-0.023398347,3.7410285,0.35033134,1.6625022,157.04634
1.2015001,0.20837216,-41.919868,-41.918594,105.47746,105.47744,47.160221,-0.0060100746,157.03816,-0.43512028,220.38272,2.2479031,0.39904508,-0.022925153,2.2432287,0.36991441,1.6417643,157.03836
1.2016,0.22080322,-41.210068,-41.208858,105.49316,105.49314,47.15971,-0.0060035465,157.03017,-0.43512037,220.41414,0.74648172,0.39230311,-0.022409836,0.74201137,0.39073807,1.6198792,157.03036
1.2017,0.23301634,-40.457863,-40.456722,105.50887,105.50884,47.159149,-0.0059971088,157.02219,-0.43512043,220.44556,-0.75683206,0.38517401,-0.021849263,-0.76108521,0.41278577,1.5968643,157.02238
1.2018,0.24499944,-39.663933,-39.662868,105.52457,105.52455,47.158539,-0.0059907665,157.01421,-0.43512052,220.47697,-2.260469,0.37766486,-0.021240128,-2.2645154,0.43604115,1.5727365,157.0144
1.2019,0.25674069,-38.82901,-38.828018,105.54027,105.54025,47.157875,-0.0059845243,157.00624,-0.43512061,220.50839,-3.7628675,0.36978304,-0.020578992,-3.7667277,0.46048826,1.5475122,157.00644
1.202,0.2682285,-37.953857,-37.952946,105.55596,105.55595,47.157154,-0.0059783859,156.99828,-0.43512067,220.53981,-5.2624965,0.36153638,-0.019862283,-5.2661662,0.48611146,1.5212079,156.99847
1.2021,0.27945155,-37.039307,-37.038464,105.57166,105.57165,47.156372,-0.0059723556,156.99031,-0.43512076,220.57121,-6.7577391,0.35293299,-0.019086283,-6.7612729,0.51289535,1.4938394,156.99052
1.2022001,0.29039875,-36.086182,-36.085442,105.58736,105.58735,47.155529,-0.0059664375,156.98236,-0.43512082,220.60263,-8.2470865,0.34398136,-0.018247195,-8.2504883,0.54082495,1.4654225,156.98256
1.2023,0.30105925,-35.095409,-35.09478,105.60306,105.60304,47.154613,-0.0059606363,156.97441,-0.43512088,220.63405,-9.7289333,0.3346903,-0.017341081,-9.732255,0.56988543,1.4359725,156.97462
1.2024,0.31142259,-34.06794,-34.067432,105.61876,105.61874,47.153625,-0.0059549557,156.96648,-0.43512094,220.66547,-11.201692,0.32506907,-0.016363915,-11.205016,0.60006237,1.4055043,156.96667
1.2025,0.32147846,-33.004768,-33.004387,105.63445,105.63444,47.152561,-0.0059493994,156.95854,-0.435121,220.69688,-12.663819,0.3151271,-0.015311583,-12.667222,0.63134176,1.3740329,156.95874
1.2026,0.33121705,-31.906912,-31.906685,105.65015,105.65013,47.151417,-0.0059439712,156.95062,-0.43512106,220.7283,-14.113865,0.30487424,-0.014179899,-14.117327,0.66370976,1.3415722,156.95082
1.2027,0.34062871,-30.775476,-30.775394,105.66585,105.66583,47.150188,-0.0059386748,156.9427,-0.43512109,220.75972,-15.550288,0.29432064,-0.012964597,-15.553795,0.69715297,1.3081366,156.9429
1.2028,0.34970424,-29.611603,-29.611633,105.68154,105.68153,47.148869,-0.0059335143,156.93478,-0.43512112,220.79114,-16.971617,0.28347668,-0.011661351,-16.9751,0.73165816,1.2737397,156.935
1.2029001,0.35843462,-28.41641,-28.416553,105.69724,105.69721,47.147453,-0.0059284936,156.92688,-0.43512118,220.82254,-18.376284,0.27235308,-0.010265769,-18.379723,0.76721257,1.238395,156.92709
1.2029999,0.36681122,-27.191063,-27.191345,105.71292,105.71291,47.145939,-0.0059236167,156.91899,-0.43512118,220.85396,-19.762737,0.26096082,-0.0087734153,-19.766165,0.8038035,1.2021157,156.91919
1.2031,0.37482578,-25.936829,-25.937235,105.72861,105.7286,47.144321,-0.0059188874,156.9111,-0.43512121,220.88538,-21.129534,0.24931118,-0.0071798246,-21.132938,0.84141874,1.1649146,156.91132
1.2032,0.38247043,-24.654993,-24.655483,105.74431,105.74429,47.142593,-0.00591431,156.90323,-0.43512121,220.91679,-22.475195,0.23741564,-0.0054804995,-22.478571,0.88004643,1.1268041,156.90343
1.2033,0.38973761,-23.346788,-23.347385,105.75999,105.75998,47.140755,-0.0059098871,156.89536,-0.43512121,220.94821,-23.798277,0.22528593,-0.0036709025,-23.801611,0.91967481,1.0877966,156.89557
1.2034,0.39662015,-22.013559,-22.014269,105.77569,105.77567,47.138802,-0.0059056226,156.8875,-0.43512121,220.97963,-25.097342,0.21293405,-0.001746496,-25.100626,0.96029264,1.047904,156.88771
1.2035,0.40311128,-20.656689,-20.657492,105.79137,105.79136,47.136723,-0.0059015206,156.87964,-0.43512121,221.01105,-26.370974,0.20037217,0.00029726431,-26.374207,1.0018889,1.0071378,156.87985
1.2036,0.40920457,-19.277582,-19.27844,105.80706,105.80704,47.134514,-0.0058975839,156.8718,-0.43512118,221.04247,-27.617785,0.18761274,0.0024649233,-27.620966,1.0444527,0.96550936,156.87201
1.2036999,0.41489404,-17.877575,-17.878531,105.82275,105.82273,47.132179,-0.0058938167,156.86397,-0.43512115,221.07387,-28.83639,0.17466831,0.0047610421,-28.83954,1.0879736,0.92302984,156.86418
1.2038,0.42017403,-16.458155,-16.459204,105.83843,105.83842,47.129704,-0.0058902218,156.85616,-0.43512112,221.10529,-30.025467,0.16155168,0.0071901376,-30.028595,1.1324415,0.8797099,156.85635
