"Time","thetaQS","theta","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.re","smee.stator.stray.port_p.Phi.im","smee.excitation.electroMagneticConverter.Phi.re","smeeQS.short.port_p.reference.gamma","constantSpeed.phi","constantSpeedQS.phi"
14.9,3.1206486,3.1206486,0.44923505,0.024462378,-0.081512794,-0.0030758358,0.34615871,4.6914449,2337.3555,2338.1409
14.9001,3.1206696,3.1206696,0.44824526,0.038561143,-0.081376031,-0.0056338478,0.34615865,4.6914659,2337.3711,2338.1565
14.9002,3.1206906,3.1206906,0.44681308,0.052621868,-0.081159003,-0.0081863049,0.34615859,4.6914868,2337.3867,2338.1721
14.9003,3.1207116,3.1207116,0.44493997,0.066630676,-0.080861941,-0.010730688,0.34615853,4.6915078,2337.4026,2338.188
14.9004,3.1207325,3.1207325,0.44262776,0.080573745,-0.080485135,-0.013264489,0.34615847,4.6915288,2337.4182,2338.2036
14.9005,3.1207535,3.1207535,0.4398787,0.094437316,-0.080028944,-0.01578521,0.34615842,4.6915498,2337.4338,2338.2192
14.9006,3.1207743,3.1207743,0.43669558,0.1082077,-0.079493836,-0.018290363,0.34615839,4.6915708,2337.4497,2338.2351
14.9007,3.1207952,3.1207952,0.43308145,0.12187131,-0.078880318,-0.020777479,0.34615833,4.6915917,2337.4653,2338.2507
14.9008,3.1208162,3.1208162,0.42903993,0.13541467,-0.078189015,-0.023244103,0.34615827,4.6916127,2337.481,2338.2664
14.9009,3.1208372,3.1208372,0.42457497,0.14882441,-0.0774206,-0.025687806,0.34615821,4.6916337,2337.4966,2338.282
14.901,3.1208582,3.1208582,0.41969103,0.16208728,-0.076575823,-0.028106174,0.34615815,4.6916547,2337.5125,2338.2979
14.9011,3.1208792,3.1208792,0.41439289,0.17519021,-0.075655527,-0.030496825,0.34615809,4.6916752,2337.5281,2338.3135
14.9012,3.1208999,3.1208999,0.40868577,0.18812026,-0.074660622,-0.032857399,0.34615803,4.6916962,2337.5437,2338.3291
14.9013,3.1209209,3.1209209,0.40257534,0.20086469,-0.073592082,-0.035185568,0.34615797,4.6917171,2337.5596,2338.345
14.9014,3.1209419,3.1209419,0.39606762,0.21341088,-0.072450966,-0.037479039,0.34615791,4.6917381,2337.5752,2338.3606
14.9015,3.1209629,3.1209629,0.38916901,0.2257465,-0.071238391,-0.039735544,0.34615785,4.6917591,2337.5908,2338.3762
14.9016,3.1209838,3.1209838,0.3818863,0.23785932,-0.069955565,-0.041952867,0.34615779,4.6917801,2337.6064,2338.3918
14.9017,3.1210048,3.1210048,0.37422675,0.24973744,-0.068603747,-0.044128813,0.34615773,4.6918011,2337.6223,2338.4077
14.9018,3.1210258,3.1210258,0.36619785,0.26136911,-0.067184269,-0.046261236,0.34615767,4.6918221,2337.6379,2338.4233
14.9019,3.1210465,3.1210465,0.35780758,0.27274284,-0.065698527,-0.048348039,0.34615761,4.691843,2337.6536,2338.439
14.902,3.1210675,3.1210675,0.34906414,0.28384742,-0.064147994,-0.050387159,0.34615755,4.691864,2337.6694,2338.4548
14.9021,3.1210885,3.1210885,0.33997622,0.29467189,-0.062534198,-0.052376587,0.34615749,4.691885,2337.6851,2338.4705
14.9022,3.1211095,3.1211095,0.33055279,0.30520558,-0.060858727,-0.05431436,0.34615743,4.691906,2337.7007,2338.4861
14.9023,3.1211305,3.1211305,0.32080314,0.31543806,-0.059123237,-0.056198567,0.34615737,4.691927,2337.7166,2338.502
14.9024,3.1211514,3.1211514,0.31073686,0.32535928,-0.057329435,-0.058027353,0.34615731,4.6919475,2337.7322,2338.5176
14.9025,3.1211722,3.1211722,0.30036393,0.33495942,-0.055479094,-0.059798911,0.34615725,4.6919684,2337.7478,2338.5332
14.9026,3.1211932,3.1211932,0.28969455,0.34422898,-0.053574041,-0.06151149,0.34615719,4.6919894,2337.7634,2338.5488
14.9027,3.1212142,3.1212142,0.27873927,0.35315883,-0.051616147,-0.063163407,0.34615713,4.6920104,2337.7793,2338.5647
14.9028,3.1212351,3.1212351,0.26750889,0.3617402,-0.049607351,-0.064753033,0.34615707,4.6920314,2337.7949,2338.5803
14.9029,3.1212561,3.1212561,0.2560145,0.36996457,-0.047549628,-0.0662788,0.34615701,4.6920524,2337.8105,2338.5959
14.903,3.1212771,3.1212771,0.24426745,0.37782383,-0.04544501,-0.067739196,0.34615695,4.6920733,2337.8264,2338.6118
14.9031,3.1212981,3.1212981,0.23227932,0.38531026,-0.043295573,-0.069132797,0.3461569,4.6920943,2337.842,2338.6274
14.9032,3.1213188,3.1213188,0.22006194,0.39241642,-0.041103438,-0.070458211,0.34615684,4.6921153,2337.8577,2338.6431
14.9033,3.1213398,3.1213398,0.20762737,0.39913532,-0.038870763,-0.071714133,0.34615678,4.6921363,2337.8735,2338.6589
14.9034,3.1213608,3.1213608,0.19498789,0.40546033,-0.036599755,-0.072899334,0.34615672,4.6921573,2337.8892,2338.6746
14.9035,3.1213818,3.1213818,0.18215597,0.41138521,-0.034292649,-0.074012645,0.34615666,4.6921782,2337.9048,2338.6902
14.9036,3.1214027,3.1214027,0.16914426,0.41690412,-0.031951722,-0.075052954,0.34615657,4.6921992,2337.9204,2338.7058
14.9037,3.1214237,3.1214237,0.15596561,0.42201158,-0.029579284,-0.07601925,0.34615651,4.6922197,2337.9363,2338.7217
14.9038,3.1214445,3.1214445,0.14263304,0.42670259,-0.027177671,-0.07691057,0.34615645,4.6922407,2337.9519,2338.7373
14.9039,3.1214654,3.1214654,0.12915967,0.43097249,-0.024749257,-0.077726044,0.34615639,4.6922617,2337.9675,2338.7529
14.904,3.1214864,3.1214864,0.11555883,0.43481708,-0.022296432,-0.078464866,0.34615633,4.6922827,2337.9834,2338.7688
14.9041,3.1215074,3.1215074,0.10184394,0.43823257,-0.019821618,-0.079126298,0.34615627,4.6923037,2337.999,2338.7844
14.9042,3.1215284,3.1215284,0.088028513,0.44121557,-0.017327255,-0.079709694,0.34615621,4.6923246,2338.0146,2338.8
14.9043,3.1215494,3.1215494,0.074126206,0.44376317,-0.014815802,-0.080214478,0.34615615,4.6923456,2338.0305,2338.8159
14.9044,3.1215703,3.1215703,0.060150728,0.44587278,-0.012289737,-0.080640152,0.34615606,4.6923666,2338.0461,2338.8315
14.9045,3.1215911,3.1215911,0.046115868,0.44754243,-0.0097515509,-0.080986306,0.346156,4.6923876,2338.0618,2338.8472
14.9046,3.1216121,3.1216121,0.032035489,0.44877037,-0.0072037475,-0.081252582,0.34615594,4.6924086,2338.0774,2338.8628
14.9047,3.1216331,3.1216331,0.017923472,0.44955546,-0.0046488387,-0.08143872,0.34615588,4.6924295,2338.0933,2338.8787
14.9048,3.121654,3.121654,0.0037937539,0.44989687,-0.002089344,-0.081544548,0.34615582,4.6924505,2338.1089,2338.8943
14.9049,3.121675,3.121675,-0.010339724,0.44979429,0.00047221154,-0.081569955,0.34615576,4.6924715,2338.1245,2338.9099
14.905,3.121696,3.121696,-0.024463015,0.44924781,0.0030333023,-0.081514917,0.34615567,4.692492,2338.1404,2338.9258
14.9051,3.1217167,3.1217167,-0.038562179,0.44825798,0.0055914018,-0.081379488,0.34615561,4.692513,2338.156,2338.9414
14.9052,3.1217377,3.1217377,-0.052623305,0.4468258,0.0081439875,-0.081163794,0.34615555,4.692534,2338.1716,2338.957
14.9053,3.1217587,3.1217587,-0.066632509,0.44495264,0.010688542,-0.080868058,0.34615549,4.692555,2338.1873,2338.9727
14.9054,3.1217797,3.1217797,-0.08057598,0.44264033,0.013222557,-0.080492571,0.34615543,4.6925759,2338.2031,2338.9885
14.9055,3.1218007,3.1218007,-0.094439939,0.43989122,0.015743531,-0.080037691,0.34615535,4.6925969,2338.2188,2339.0042
14.9056,3.1218216,3.1218216,-0.10821071,0.43670797,0.018248979,-0.079503886,0.34615529,4.6926179,2338.2344,2339.0198
14.9057,3.1218426,3.1218424,-0.12187472,0.43309376,0.020736432,-0.078891665,0.34615523,4.6926389,2338.2502,2339.0356
14.9058,3.1218634,3.1218634,-0.13541846,0.42905211,0.023203433,-0.078201644,0.34615517,4.6926599,2338.2659,2339.0513
14.9059,3.1218843,3.1218843,-0.14882858,0.42458704,0.025647551,-0.077434495,0.34615508,4.6926808,2338.2815,2339.0669
14.906,3.1219053,3.1219053,-0.16209184,0.41970298,0.028066376,-0.076590978,0.34615502,4.6927018,2338.2974,2339.0828
14.9061,3.1219263,3.1219263,-0.17519513,0.41440469,0.030457521,-0.075671926,0.34615496,4.6927228,2338.313,2339.0984
14.9062,3.1219473,3.1219473,-0.18812555,0.40869743,0.03281863,-0.07467825,0.3461549,4.6927438,2338.3286,2339.114
14.9063,3.1219683,3.1219683,-0.20087034,0.40258682,0.035147373,-0.073610917,0.34615484,4.6927643,2338.3442,2339.1296
14.9064,3.121989,3.121989,-0.21341689,0.39607888,0.037441451,-0.072470985,0.34615475,4.6927853,2338.3601,2339.1455
14.9065,3.12201,3.12201,-0.22575286,0.38918009,0.039698608,-0.071259588,0.34615469,4.6928062,2338.3757,2339.1611
14.9066,3.122031,3.122031,-0.23786603,0.38189721,0.041916609,-0.069977909,0.34615463,4.6928272,2338.3914,2339.1768
14.9067,3.122052,3.122052,-0.24974449,0.37423742,0.044093274,-0.068627216,0.34615454,4.6928482,2338.4072,2339.1926
14.9068,3.1220729,3.1220729,-0.26137647,0.36620829,0.046226457,-0.067208841,0.34615448,4.6928692,2338.4229,2339.2083
14.9069,3.1220939,3.1220939,-0.27275053,0.35781777,0.048314046,-0.065724179,0.34615442,4.6928902,2338.4385,2339.2239
14.907,3.1221149,3.1221147,-0.28385544,0.3490741,0.050353989,-0.064174704,0.34615433,4.6929111,2338.4543,2339.2397
14.9071,3.1221356,3.1221356,-0.29468024,0.33998594,0.05234427,-0.062561937,0.34615427,4.6929321,2338.47,2339.2554
14.9072,3.1221566,3.1221566,-0.3052142,0.33056223,0.054282933,-0.060887463,0.34615421,4.6929531,2338.4856,2339.271
14.9073,3.1221776,3.1221776,-0.315447,0.32081228,0.056168057,-0.059152946,0.34615412,4.6929741,2338.5012,2339.2866
14.9074,3.1221986,3.1221986,-0.32536849,0.31074575,0.057997789,-0.05736009,0.34615406,4.6929951,2338.5171,2339.3025
14.9075,3.1222196,3.1222196,-0.33496886,0.30037251,0.059770323,-0.055510662,0.346154,4.6930161,2338.5327,2339.3181
14.9076,3.1222405,3.1222405,-0.3442387,0.28970283,0.061483908,-0.053606488,0.34615391,4.6930366,2338.5483,2339.3337
14.9077,3.1222613,3.1222613,-0.35316885,0.27874723,0.063136861,-0.051649448,0.34615386,4.6930575,2338.5642,2339.3496
14.9078,3.1222823,3.1222823,-0.36175042,0.26751655,0.064727545,-0.049641468,0.3461538,4.6930785,2338.5798,2339.3652
14.9079,3.1223032,3.1223032,-0.36997503,0.25602183,0.066254392,-0.047584526,0.34615371,4.6930995,2338.5955,2339.3809
14.908,3.1223242,3.1223242,-0.37783453,0.24427445,0.067715898,-0.045480661,0.34615365,4.6931205,2338.6111,2339.3965
14.9081,3.1223452,3.1223452,-0.38532117,0.23228598,0.069110624,-0.043331936,0.34615359,4.6931415,2338.627,2339.4124
14.9082,3.1223662,3.1223662,-0.39242753,0.22006825,0.070437193,-0.041140478,0.3461535,4.6931624,2338.6426,2339.428
14.9083,3.1223869,3.1223869,-0.39914662,0.20763333,0.071694292,-0.038908448,0.34615344,4.6931834,2338.6582,2339.4436
14.9084,3.1224079,3.1224079,-0.40547183,0.1949935,0.072880685,-0.03663804,0.34615335,4.6932044,2338.6741,2339.4595
14.9085,3.1224289,3.1224289,-0.41139686,0.1821612,0.073995203,-0.034331501,0.34615329,4.6932254,2338.6897,2339.4751
14.9086,3.1224499,3.1224499,-0.41691592,0.16914913,0.075036742,-0.031991102,0.34615323,4.6932464,2338.7053,2339.4907
14.9087,3.1224709,3.1224709,-0.42202356,0.1559701,0.076004282,-0.029619154,0.34615314,4.6932673,2338.7212,2339.5066
14.9088,3.1224918,3.1224918,-0.42671469,0.14263715,0.076896869,-0.027217992,0.34615308,4.6932883,2338.7368,2339.5222
14.9089,3.1225128,3.1225128,-0.43098471,0.1291634,0.077713609,-0.024789987,0.34615299,4.6933088,2338.7524,2339.5378
14.909,3.1225336,3.1225336,-0.43482941,0.11556218,0.078453712,-0.022337534,0.34615293,4.6933298,2338.7681,2339.5535
14.9091,3.1225545,3.1225545,-0.438245,0.1018469,0.079116441,-0.019863049,0.34615287,4.6933508,2338.7839,2339.5693
14.9092,3.1225755,3.1225755,-0.44122809,0.088031083,0.079701148,-0.017368974,0.34615278,4.6933718,2338.7996,2339.585
14.9093,3.1225965,3.1225965,-0.44377574,0.074128374,0.080207244,-0.01485777,0.34615272,4.6933928,2338.8152,2339.6006
14.9094,3.1226175,3.1226175,-0.44588545,0.060152501,0.080634244,-0.012331911,0.34615263,4.6934137,2338.8311,2339.6165
14.9095,3.1226385,3.1226385,-0.44755512,0.046117246,0.080981717,-0.0097938906,0.34615257,4.6934347,2338.8467,2339.6321
14.9096,3.1226592,3.1226592,-0.44878313,0.032036465,0.081249326,-0.0072462098,0.34615248,4.6934557,2338.8623,2339.6477
