"Time","smee.is[1]","smee.is[2]","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re","speed.phi","speed.w","voltageController.I.y","loadInductor.inductor[2].i","loadInductor.inductor[3].i"
4,-113.49751,129.81308,0.0061346367,0.46099091,-0.42671269,0.23834702,-0.45385319,549.27869,157.07964,117.56973,-129.81308,16.315573
4,-113.49751,129.81308,0.0061346367,0.46099091,-0.42671269,0.23834702,-0.45385319,549.27869,157.07964,117.56973,-129.81308,16.315573
4.0001001,-115.21696,126.24617,-0.0086749941,0.46154147,-0.42671412,0.23834732,-0.45384586,549.29443,157.07964,117.56795,-126.24617,11.029208
4.0001998,-116.82182,122.55956,-0.023470465,0.46164262,-0.42671838,0.23834826,-0.453841,549.31012,157.07964,117.56629,-122.55956,5.7377329
4.0002999,-118.30961,118.75508,-0.038237769,0.46129468,-0.42672545,0.23834983,-0.45383695,549.32587,157.07964,117.56475,-118.75508,0.44547483
4.0003085,-118.42933,118.42966,-0.039478425,0.46124479,-0.42672616,0.23834991,-0.45383638,549.32715,157.07964,117.56463,-118.42966,0.00033084129
4.0003085,-118.42933,118.42966,-0.039478425,0.46124479,-0.42672616,0.23834991,-0.45383638,549.32715,157.07964,117.56463,-118.42966,0.00033084129
4.0004001,-117.30042,117.29881,-0.054172352,0.45859808,-0.42673361,0.23834446,-0.45379621,549.34155,157.07964,117.55545,-117.29881,-0.0016055792
4.0005002,-115.94629,115.94463,-0.070163824,0.45524931,-0.426741,0.23832388,-0.45375356,549.35724,157.07964,117.54517,-115.94463,-0.0016630576
4.0005999,-114.46548,114.46377,-0.086083338,0.45142466,-0.4267481,0.23828658,-0.45370969,549.37299,157.07964,117.53464,-114.46377,-0.0017185853
4.0007,-112.85781,112.85604,-0.10191426,0.44712907,-0.4267554,0.23823181,-0.45366579,549.38867,157.07964,117.52387,-112.85604,-0.0017720846
4.0008001,-111.12328,111.12146,-0.11763941,0.44236836,-0.42676336,0.23815949,-0.45362255,549.40436,157.07964,117.51289,-111.12146,-0.0018234808
