"Time","iRMS.y","vRMS.y"
2.046562e-15,0,0
0.00019999999,0,0
0.00039999999,0,0
0.00060000003,0,0
0.00079999998,0,0
0.001,0,0
0.0012000001,0,0
0.0014,0,0
0.0016,0,0
0.0018,0,0
0.0020000001,0,0
0.0022,0,0
0.0024000001,0,0
0.0026,0,0
0.0027999999,0,0
0.003,0,0
0.0031999999,0,0
0.0034,0,0
0.0035999999,0,0
0.0038000001,0,0
0.0040000002,0,0
0.0041999999,0,0
0.0044,0,0
0.0046000001,0,0
0.0048000002,0,0
0.0049999999,0,0
0.0052,0,0
0.0054000001,0,0
0.0055999998,0,0
0.0057999999,0,0
0.0060000001,0,0
0.0062000002,0,0
0.0063999998,0,0
0.0066,0,0
0.0068000001,0,0
0.0070000002,0,0
0.0071999999,0,0
0.0074,0,0
0.0076000001,0,0
0.0077999998,0,0
0.0080000004,0,0
0.0082,0,0
0.0083999997,0,0
0.0086000003,0,0
0.0088,0,0
0.0089999996,0,0
0.0091224248,0,0
0.0091224248,0,0
0.0092000002,0,0
0.0093999999,0,0
0.0096000005,0,0
0.0098000001,0,0
0.0099999998,0,0
0.0099999998,0,0
0.0102,0,0
0.0104,0,0
0.0106,0,0
0.0108,0,0
0.011,0,0
0.0112,0,0
0.0114,0,0
0.0116,0,0
0.0118,0,0
0.012,0,0
0.0122,0,0
0.0124,0,0
0.0126,0,0
0.0128,0,0
0.013,0,0
0.0132,0,0
0.0134,0,0
0.0136,0,0
0.0138,0,0
0.014,0,0
0.0142,0,0
0.0144,0,0
0.0146,0,0
0.0148,0,0
0.015,0,0
0.0152,0,0
0.0154,0,0
0.0156,0,0
0.015799999,0,0
0.016000001,0,0
0.0162,0,0
0.0164,0,0
0.0166,0,0
0.016799999,0,0
0.017000001,0,0
0.017200001,0,0
0.0174,0,0
0.0176,0,0
0.0178,0,0
0.017999999,0,0
0.018200001,0,0
0.0184,0,0
0.0186,0,0
0.0188,0,0
0.018999999,0,0
0.019122425,0,0
0.019122425,0,0
0.019200001,0,0
0.019400001,0,0
0.0196,0,0
0.0198,0,0
0.02,0,0
0.02,0.124092,5.1476254
0.020199999,0.124092,5.1476254
0.020244146,0.124092,5.1476254
0.020244146,0.124092,5.1476254
0.020400001,0.124092,5.1476254
0.0206,0.124092,5.1476254
