"Time","source.i","load.i","lightningImpulseCurrent.v"
0,-0,0,-0
1e-06,-0.18650971,0,-0
2e-06,-0.65503681,0,0
3.0000001e-06,-1.1991674,0,0
4e-06,-1.6426846,0,-0
4.9999999e-06,-1.9480509,0,-0
6.0000002e-06,-2.2075748,0,-0
7.0000001e-06,-2.5374961,0,0
8e-06,-2.9722192,0,0
9.0000003e-06,-3.4457135,0,0
9.9999997e-06,-3.8640654,0,0
1.1e-05,-4.1943798,0,0
1.2e-05,-4.4888444,0,0
1.3e-05,-4.8285832,0,-0
1.4e-05,-5.2457495,0,-0
1.5e-05,-5.6972995,0,-0
1.6e-05,-6.1107545,0,0
1.7e-05,-6.4543109,0,0
1.8000001e-05,-6.764246,0,-0
1.8999999e-05,-7.106627,0,-0
1.9999999e-05,-7.5131259,0,-0
2.1e-05,-7.9528208,0,-0
2.2e-05,-8.3647003,0,-0
2.3000001e-05,-8.7171021,0,-0
2.4000001e-05,-9.0365076,0,-0
2.4999999e-05,-9.3797684,0,-0
2.6e-05,-9.7786026,0,-0
2.7e-05,-10.210328,0,-0
2.8e-05,-10.621636,0,-0
2.9000001e-05,-10.980715,0,-0
2.9999999e-05,-11.306917,0,-0
3.1e-05,-11.650459,0,-0
3.2e-05,-12.04326,0,-0
3.3e-05,-12.468933,0,-0
3.4000001e-05,-12.880025,0,-0
3.5000001e-05,-13.244508,0,-0
3.6000001e-05,-13.576082,0,-0
3.7000002e-05,-13.9197,0,-0
3.7999998e-05,-14.307483,0,-0
3.8999999e-05,-14.728189,0,-0
3.9999999e-05,-15.139168,0,-0
4.0999999e-05,-15.508218,0,-0
4.2e-05,-15.844317,0,-0
4.3e-05,-16.187969,0,-0
4.4e-05,-16.571436,0,-0
4.5000001e-05,-16.987841,0,-0
4.6000001e-05,-17.398697,0,-0
4.7000001e-05,-17.771715,0,-0
4.8000002e-05,-18.111801,0,-0
4.8999998e-05,-18.45553,0,-0
4.9999999e-05,-18.835197,0,-0
5.0999999e-05,-19.24774,0,-0
5.1999999e-05,-19.658405,0,-0
5.3e-05,-20.034929,0,-0
5.4e-05,-20.378637,0,-0
5.5e-05,-20.722527,0,-0
5.6000001e-05,-21.098804,0,-0
5.7000001e-05,-21.507786,0,-0
5.8000001e-05,-21.918163,0,-0
5.9000002e-05,-22.297821,0,-0
5.9999998e-05,-22.644892,0,-0
6.0999999e-05,-22.989048,0,-0
6.1999999e-05,-23.362276,0,-0
6.2999999e-05,-23.767916,0,-0
6.4e-05,-24.177879,-0,-0
6.5e-05,-24.560286,-0,-0
6.6000001e-05,-24.910515,-0,-0
6.7000001e-05,-25.255159,-0,-0
6.8000001e-05,-25.62578,-0,-0
6.9000002e-05,-26.028254,-0,-0
7.0000002e-05,-26.437502,-0,-0
7.1000002e-05,-26.822279,0,-0
7.2000003e-05,-27.175533,0,-0
7.3000003e-05,-27.520851,0,-0
7.4000003e-05,-27.889151,0,-0
7.5000004e-05,-28.288591,0,-0
7.5999997e-05,-28.697031,0,-0
7.6999997e-05,-29.083923,0,-0
7.7999997e-05,-29.440046,0,-0
7.8999998e-05,-29.786135,0,-0
7.9999998e-05,-30.152349,0,-0
8.0999998e-05,-30.548899,0,-0
8.1999999e-05,-30.956432,0,-0
8.2999999e-05,-31.345207,0,-0
8.3999999e-05,-31.704069,0,-0
8.5e-05,-32.051022,0,-0
8.6e-05,-32.415371,0,-0
8.7e-05,-32.809151,0,-0
8.8000001e-05,-33.215683,0,-0
8.9000001e-05,-33.606125,0,-0
9.0000001e-05,-33.967606,0,-4.2038954e-45
9.1000002e-05,-34.315517,0,-3.2229865e-44
9.2000002e-05,-34.678207,0,-2.2560905e-43
9.3000002e-05,-35.069328,0,-1.5134023e-42
9.4000003e-05,-35.474762,0,-9.8959698e-42
9.5000003e-05,-35.866669,0,-6.3075246e-41
9.6000003e-05,-36.230659,0,-3.9225847e-40
9.6999996e-05,-36.579617,0,-2.3794945e-39
9.7999997e-05,-36.940845,0,-1.4087573e-38
9.8999997e-05,-37.329414,0,-8.1442161e-38
9.9999997e-05,-37.733662,0,-4.5996853e-37
0.000101,-38.126835,0,-2.5396701e-36
0.000102,-38.493237,0,-1.3709501e-35
0.000103,-38.843323,0,-7.237028e-35
0.000104,-39.203274,0,-3.7374843e-34
0.000105,-39.589386,0,-1.8890821e-33
0.000106,-39.992363,0,-9.3485883e-33
0.000107,-40.386627,0,-4.5320062e-32
0.000108,-40.755329,0,-2.1520464e-31
0.000109,-41.106625,0,-1.0013514e-30
0.00011,-41.465477,0,-4.5671025e-30
0.000111,-41.849232,0,-2.0424406e-29
0.000112,-42.250862,0,-8.9595958e-29
0.000113,-42.646034,0,-3.8558374e-28
0.000114,-43.016941,0,-1.6282235e-27
0.000115,-43.369522,0,-6.7483607e-27
0.000116,-43.72744,0,-2.7459142e-26
0.000117,-44.10894,0,-1.097208e-25
0.000118,-44.509148,0,-4.3068098e-25
0.000119,-44.90506,0,-1.6607112e-24
0.00012,-45.278072,0,-6.2923072e-24
0.000121,-45.631996,0,-2.3431606e-23
0.000122,-45.989151,0,-8.5775528e-23
0.00012300001,-46.368492,0,-3.0874645e-22
0.000124,-46.767216,0,-1.0929001e-21
0.00012500001,-47.163708,0,-3.805011e-21
0.000126,-47.538715,0,-1.303206e-20
0.00012700001,-47.894043,0,-4.391688e-20
0.000128,-48.250591,0,-1.4564185e-19
0.00012899999,-48.627876,0,-4.7541291e-19
0.00013,-49.025059,0,-1.5276188e-18
0.00013099999,-49.421967,0,-4.8326803e-18
0.000132,-49.79887,0,-1.5054219e-17
0.00013299999,-50.155655,0,-4.618378e-17
0.000134,-50.511749,0,-1.3955667e-16
0.00013499999,-50.887077,0,-4.154258e-16
0.000136,-51.282669,0,-1.2183205e-15
0.000137,-51.679844,0,-3.520565e-15
0.000138,-52.058537,0,-1.0025361e-14
0.000139,-52.416813,0,-2.8136871e-14
0.00014,-52.772602,0,-7.7839055e-14
0.000141,-53.146084,0,-2.1227379e-13
0.000142,-53.540047,0,-5.7071324e-13
0.000143,-53.93734,0,-1.5128895e-12
0.00014400001,-54.317711,0,-3.9546374e-12
0.000145,-54.677517,0,-1.0194341e-11
0.00014600001,-55.033138,0,-2.5917999e-11
0.000147,-55.404877,0,-6.4992615e-11
0.00014800001,-55.79718,0,-1.6076188e-10
0.000149,-56.194454,0,-3.9227677e-10
0.00015000001,-56.576389,0,-9.443315e-10
0.000151,-56.937748,0,-2.2429103e-09
0.00015199999,-57.293343,0,-5.2562679e-09
0.000153,-57.663452,0,-1.2154798e-08
0.00015399999,-58.05407,0,-2.7736288e-08
0.000155,-58.451183,0,-6.2460131e-08
0.00015599999,-58.834572,0,-1.3881423e-07
0.000157,-59.197502,0,-3.0448194e-07
0.000158,-59.553192,0,-6.591759e-07
0.000159,-59.921783,0,-1.4085446e-06
0.00016,-60.310703,0,-2.9708758e-06
