"time","inductor.i","thyristor_v4_1.vControl"
0,0,0
4.0000000000000001e-08,7.6901398326311458e-08,0
8.0000000000000002e-08,1.5380621879304248e-07,0
1.2000000000000002e-07,2.3070933074630174e-07,0
1.6e-07,3.0761235894431904e-07,0
1.9999999999999999e-07,3.8450893495789584e-07,0
2.4000000000000003e-07,4.6140483367034362e-07,0
2.8000000000000002e-07,5.3830073238279135e-07,0
3.2000000000000001e-07,6.1519663109523902e-07,0
3.5999999999999999e-07,6.9206945833613854e-07,0
3.9999999999999998e-07,7.6893683854234606e-07,0
4.4000000000000002e-07,8.4580421874855379e-07,0
4.8000000000000006e-07,9.2267159895476131e-07,0
5.2e-07,9.9953897916096884e-07,0
5.6000000000000004e-07,1.0764063593671764e-06,0
5.9999999999999997e-07,1.1532737395733839e-06,0
6.4000000000000001e-07,1.2301411197795916e-06,0
6.8000000000000005e-07,1.3069381372918389e-06,0
7.1999999999999999e-07,1.3836914774754202e-06,0
7.6000000000000003e-07,1.4604448176590017e-06,0
7.9999999999999996e-07,1.5371981578425829e-06,0
8.4e-07,1.6139514980261642e-06,0
8.8000000000000004e-07,1.6907048382097456e-06,0
9.1999999999999998e-07,1.7674581783933269e-06,0
9.6000000000000013e-07,1.8442115185769083e-06,0
9.9999999999999995e-07,1.9209648587604896e-06,0
1.04e-06,1.9977181989440708e-06,0
1.08e-06,2.0744715391276525e-06,0
1.1200000000000001e-06,2.1512248793112338e-06,0
1.1600000000000001e-06,2.227978219494815e-06,0
1.1999999999999999e-06,2.3047315596783963e-06,0
1.24e-06,2.3814848998619775e-06,0
1.28e-06,2.4582382400455592e-06,0
1.3200000000000001e-06,2.5348854416483318e-06,0
1.3600000000000001e-06,2.6111832514421753e-06,0
1.3999999999999999e-06,2.6874810612360176e-06,0
1.44e-06,2.7637788710298611e-06,0
1.48e-06,2.8400766808237042e-06,0
1.5200000000000001e-06,2.9163744906175473e-06,0
1.5600000000000001e-06,2.9926723004113904e-06,0
1.5999999999999999e-06,3.0689701102052335e-06,0
1.64e-06,3.1452679199990766e-06,0
1.68e-06,3.2215657297929197e-06,0
1.72e-06,3.2978635395867628e-06,0
1.7600000000000001e-06,3.3741613493806059e-06,0
1.8000000000000001e-06,3.450459159174449e-06,0
1.84e-06,3.5267569689682921e-06,0
1.88e-06,3.6030547787621352e-06,0
1.9200000000000003e-06,3.6793525885559787e-06,0
1.9599999999999999e-06,3.7556503983498214e-06,0
1.9999999999999999e-06,3.8319482081436645e-06,0
2.04e-06,3.9082460179375076e-06,0
2.08e-06,3.9845438277313507e-06,0
2.12e-06,4.0608416375251938e-06,0
2.1600000000000001e-06,4.1371394473190377e-06,0
2.2000000000000001e-06,4.2134372571128808e-06,0
2.2400000000000002e-06,4.2897350669067239e-06,0
2.2800000000000002e-06,4.366032876700567e-06,0
2.3200000000000002e-06,4.4423306864944101e-06,0
2.3599999999999999e-06,4.5186284962882524e-06,0
2.3999999999999999e-06,4.5949263060820955e-06,0
2.4399999999999999e-06,4.6712241158759386e-06,0
2.48e-06,4.7475219256697817e-06,0
2.52e-06,4.8238197354636248e-06,0
2.5600000000000001e-06,4.9001175452574687e-06,0
2.6000000000000001e-06,4.9764153550513118e-06,0
2.6400000000000001e-06,5.0518706310133939e-06,0
2.6800000000000002e-06,5.1263565400937751e-06,0
2.7200000000000002e-06,5.2008424491741554e-06,0
2.7600000000000003e-06,5.2753283582545358e-06,0
2.7999999999999999e-06,5.3498142673349153e-06,0
2.8399999999999999e-06,5.4243001764152965e-06,0
2.88e-06,5.4987860854956778e-06,0
2.92e-06,5.5732719945760581e-06,0
2.96e-06,5.6477579036564385e-06,0
3.0000000000000001e-06,5.7222438127368197e-06,0
3.0400000000000001e-06,5.7967297218172001e-06,0
3.0800000000000002e-06,5.8712156308975804e-06,0
3.1200000000000002e-06,5.9457015399779616e-06,0
3.1600000000000002e-06,6.0201874490583429e-06,0
3.1999999999999999e-06,6.0946733581387224e-06,0
3.2399999999999999e-06,6.1691592672191027e-06,0
3.2799999999999999e-06,6.243645176299484e-06,0
3.32e-06,6.3181310853798643e-06,0
3.36e-06,6.3926169944602455e-06,0
3.4000000000000001e-06,6.4671029035406259e-06,0
3.4400000000000001e-06,6.5415888126210063e-06,0
3.4800000000000001e-06,6.6160747217013866e-06,0
3.5200000000000002e-06,6.6905606307817679e-06,0
3.5600000000000002e-06,6.7650465398621482e-06,0
3.6000000000000003e-06,6.8395324489425294e-06,0
3.6399999999999999e-06,6.914018358022909e-06,0
3.6799999999999999e-06,6.9885042671032902e-06,0
3.72e-06,7.0629901761836705e-06,0
3.76e-06,7.1374760852640517e-06,0
3.8e-06,7.2119619943444321e-06,0
3.8400000000000005e-06,7.2864479034248133e-06,0
3.8800000000000001e-06,7.3609338125051937e-06,0
3.9199999999999997e-06,7.4354197215855741e-06,0
3.9600000000000002e-06,7.5099056306659544e-06,0
3.9999999999999998e-06,7.5843915397463348e-06,0
4.0400000000000003e-06,7.6588774488267169e-06,0
4.0799999999999999e-06,7.7333633579070955e-06,0
4.1200000000000004e-06,7.8078492669874776e-06,0
4.16e-06,7.882335176067858e-06,0
4.2000000000000004e-06,7.95682108514824e-06,0
4.2400000000000001e-06,8.0313069942286187e-06,0
4.2799999999999997e-06,8.105792903308999e-06,0
4.3200000000000001e-06,8.1802788123893811e-06,0
4.3599999999999998e-06,8.2547647214697598e-06,0
4.4000000000000002e-06,8.3292506305501418e-06,0
4.4399999999999998e-06,8.4037365396305222e-06,0
4.4800000000000003e-06,8.4782224487109026e-06,0
4.5199999999999999e-06,8.5527083577912829e-06,0
4.5600000000000004e-06,8.627194266871665e-06,0
4.6e-06,8.7016801759520454e-06,0
4.6400000000000005e-06,8.7761660850324257e-06,0
4.6800000000000001e-06,8.8506519941128061e-06,0
4.7199999999999997e-06,8.9251379031931865e-06,0
4.7600000000000002e-06,8.9996238122735668e-06,0
4.7999999999999998e-06,9.0741097213539472e-06,0
4.8400000000000002e-06,9.1485956304343293e-06,0
4.8799999999999999e-06,9.2230815395147096e-06,0
