"Time","vC","iLL","iL","vCC"
0,15.915494,0.0099999998,0.0015915495,0.0099999998
0.00019999999,15.886204,0.010018438,0.0015944839,0.010018438
0.00039999999,15.856967,0.010036909,0.0015974237,0.010036909
0.00060000003,15.827785,0.010055415,0.001600369,0.010055415
0.00079999998,15.798656,0.010073955,0.0016033197,0.010073955
0.001,15.76958,0.010092529,0.0016062759,0.010092529
0.0012000001,15.740559,0.010111137,0.0016092374,0.010111137
0.0014,15.71159,0.01012978,0.0016122045,0.01012978
0.0016,15.682674,0.010148456,0.001615177,0.010148456
0.0018,15.653812,0.010167168,0.001618155,0.010167168
0.0020000001,15.625004,0.010185914,0.0016211385,0.010185914
0.0022,15.596248,0.010204694,0.0016241275,0.010204694
0.0024000001,15.567545,0.01022351,0.0016271221,0.01022351
0.0026,15.538895,0.010242359,0.0016301221,0.010242359
0.0027999999,15.510298,0.010261243,0.0016331277,0.010261243
0.003,15.481753,0.010280163,0.0016361388,0.010280163
0.0031999999,15.45326,0.010299117,0.0016391554,0.010299117
0.0034,15.424821,0.010318106,0.0016421776,0.010318106
0.0035999999,15.396434,0.01033713,0.0016452054,0.01033713
0.0038000001,15.368098,0.01035619,0.0016482387,0.01035619
0.0040000002,15.339815,0.010375285,0.0016512778,0.010375285
0.0041999999,15.311584,0.010394414,0.0016543224,0.010394414
0.0044,15.283405,0.010413579,0.0016573725,0.010413579
0.0046000001,15.255279,0.010432779,0.0016604284,0.010432779
0.0048000002,15.227202,0.010452014,0.0016634897,0.010452014
0.0049999999,15.199179,0.010471285,0.0016665568,0.010471285
0.0052,15.171206,0.010490592,0.0016696296,0.010490592
0.0054000001,15.143287,0.010509934,0.001672708,0.010509934
0.0055999998,15.115417,0.010529312,0.001675792,0.010529312
0.0057999999,15.087599,0.010548726,0.0016788818,0.010548726
0.0060000001,15.059833,0.010568175,0.0016819773,0.010568175
0.0062000002,15.032117,0.010587661,0.0016850785,0.010587661
0.0063999998,15.004452,0.010607181,0.0016881854,0.010607181
0.0066,14.976838,0.010626739,0.001691298,0.010626739
0.0068000001,14.949275,0.010646332,0.0016944164,0.010646332
0.0070000002,14.921762,0.010665962,0.0016975404,0.010665962
0.0071999999,14.894301,0.010685626,0.0017006703,0.010685626
0.0074,14.86689,0.010705329,0.001703806,0.010705329
0.0076000001,14.839529,0.010725067,0.0017069473,0.010725067
0.0077999998,14.81222,0.010744841,0.0017100946,0.010744841
0.0080000004,14.784959,0.010764652,0.0017132476,0.010764652
0.0082,14.75775,0.010784499,0.0017164064,0.010784499
0.0083999997,14.73059,0.010804384,0.0017195711,0.010804384
0.0086000003,14.70348,0.010824304,0.0017227415,0.010824304
0.0088,14.67642,0.010844262,0.0017259179,0.010844262
0.0089999996,14.64941,0.010864256,0.0017291001,0.010864256
0.0092000002,14.62245,0.010884288,0.0017322882,0.010884288
0.0093999999,14.595539,0.010904356,0.001735482,0.010904356
0.0096000005,14.568678,0.01092446,0.0017386819,0.01092446
0.0098000001,14.541865,0.010944603,0.0017418877,0.010944603
0.0099999998,14.515103,0.010964782,0.0017450992,0.010964782
0.0102,14.48839,0.010984998,0.0017483168,0.010984998
0.0104,14.461726,0.011005253,0.0017515403,0.011005253
0.0106,14.435111,0.011025543,0.0017547697,0.011025543
0.0108,14.408545,0.011045872,0.0017580051,0.011045872
0.011,14.382028,0.011066237,0.0017612465,0.011066237
0.0112,14.355559,0.011086642,0.0017644938,0.011086642
0.0114,14.329141,0.011107082,0.0017677471,0.011107082
0.0116,14.30277,0.011127561,0.0017710064,0.011127561
0.0118,14.276446,0.011148078,0.0017742717,0.011148078
0.012,14.250173,0.011168633,0.0017775431,0.011168633
0.0122,14.223948,0.011189225,0.0017808204,0.011189225
0.0124,14.19777,0.011209855,0.0017841038,0.011209855
0.0126,14.17164,0.011230524,0.0017873934,0.011230524
0.0128,14.145559,0.01125123,0.0017906888,0.01125123
0.013,14.119527,0.011271975,0.0017939905,0.011271975
0.0132,14.093541,0.011292757,0.0017972982,0.011292757
0.0134,14.067604,0.011313579,0.001800612,0.011313579
0.0136,14.041715,0.011334438,0.0018039319,0.011334438
0.0138,14.015872,0.011355336,0.0018072579,0.011355336
0.014,13.990078,0.011376273,0.00181059,0.011376273
0.0142,13.964331,0.011397248,0.0018139284,0.011397248
0.0144,13.938631,0.011418262,0.0018172729,0.011418262
0.0146,13.912979,0.011439314,0.0018206234,0.011439314
0.0148,13.887374,0.011460406,0.0018239802,0.011460406
0.015,13.861816,0.011481537,0.0018273433,0.011481537
0.0152,13.836306,0.011502706,0.0018307124,0.011502706
0.0154,13.810842,0.011523914,0.0018340879,0.011523914
0.0156,13.785424,0.011545161,0.0018374695,0.011545161
0.015799999,13.760054,0.011566448,0.0018408573,0.011566448
0.016000001,13.73473,0.011587773,0.0018442514,0.011587773
0.0162,13.709454,0.011609139,0.0018476518,0.011609139
0.0164,13.684222,0.011630544,0.0018510584,0.011630544
0.0166,13.659039,0.011651987,0.0018544714,0.011651987
0.016799999,13.633901,0.011673471,0.0018578906,0.011673471
0.017000001,13.608809,0.011694994,0.001861316,0.011694994
0.017200001,13.583764,0.011716557,0.001864748,0.011716557
0.0174,13.558765,0.01173816,0.0018681861,0.01173816
0.0176,13.533812,0.011759802,0.0018716305,0.011759802
0.0178,13.508904,0.011781484,0.0018750814,0.011781484
0.017999999,13.484043,0.011803206,0.0018785386,0.011803206
0.018200001,13.459228,0.011824968,0.0018820022,0.011824968
0.0184,13.434458,0.011846771,0.0018854722,0.011846771
0.0186,13.409733,0.011868614,0.0018889486,0.011868614
0.0188,13.385055,0.011890497,0.0018924313,0.011890497
0.018999999,13.36042,0.01191242,0.0018959205,0.01191242
0.019200001,13.335833,0.011934384,0.0018994162,0.011934384
0.019400001,13.31129,0.011956388,0.0019029182,0.011956388
0.0196,13.286792,0.011978433,0.0019064267,0.011978433
0.0198,13.26234,0.012000518,0.0019099418,0.012000518
0.02,13.237931,0.012022644,0.0019134632,0.012022644
0.020199999,13.213569,0.012044812,0.0019169912,0.012044812
0.020400001,13.189251,0.012067019,0.0019205257,0.012067019
0.0206,13.164978,0.012089268,0.0019240667,0.012089268
0.0208,13.140749,0.012111558,0.0019276142,0.012111558
0.021,13.116566,0.012133889,0.0019311684,0.012133889
0.021199999,13.092426,0.01215626,0.0019347289,0.01215626
0.021400001,13.068331,0.012178673,0.0019382961,0.012178673
0.021600001,13.044281,0.012201129,0.0019418699,0.012201129
0.0218,13.020274,0.012223625,0.0019454502,0.012223625
0.022,12.996312,0.012246162,0.0019490372,0.012246162
0.0222,12.972394,0.012268741,0.0019526308,0.012268741
0.022399999,12.94852,0.012291362,0.001956231,0.012291362
0.022600001,12.92469,0.012314024,0.0019598377,0.012314024
