"Time","aimcM.is[1]","aimcM.is[2]","aimcM.is[3]","aimcM.is[4]","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertiaM.phi","loadInertiaM.w","aimc3.is[1]","aimc3.is[2]","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.phi","loadInertia3.w"
0.1,-1.6998581e-09,-0.00080699817,-0.0004987506,0.00049875333,9.2472916e-08,9.9956776e-07,9.5718399e-08,1.0227153e-07,5.1151544e-12,9.832983e-11,-2.8330969e-09,-0.0012247426,9.2472916e-08,9.9956776e-07,9.5718399e-08,1.0227153e-07,5.1151544e-12,9.832983e-11
0.1,-1.700053e-09,-0.00080699817,-0.0004987506,0.00049875333,9.2472916e-08,9.9956776e-07,9.5718399e-08,1.0227153e-07,5.1151544e-12,9.832983e-11,-2.8330969e-09,-0.0012247426,9.2472916e-08,9.9956776e-07,9.5718399e-08,1.0227153e-07,5.1151544e-12,9.832983e-11
0.1001,0.20839748,-12.537284,-7.9568648,7.6196704,-0.0002216296,0.014107291,-4.1658168e-07,4.2823172e-05,5.1606124e-12,1.1805572e-09,0.34732914,-19.29867,-0.0002216296,0.014107291,-4.1658168e-07,4.2823172e-05,5.1606124e-12,1.1805572e-09
0.1002,0.83060938,-24.800802,-16.158348,14.814394,-0.00088526128,0.028133562,-3.6402034e-06,0.00017034002,5.9525895e-12,1.8407334e-08,1.384349,-38.720776,-0.00088526128,0.028133562,-3.6402034e-06,0.00017034002,5.9525895e-12,1.8407334e-08
0.1003,1.8618574,-36.782429,-24.594648,21.5821,-0.0019881811,0.042067211,-1.2112151e-05,0.00038164025,1.2507457e-11,1.2728191e-07,3.1030958,-58.247757,-0.0019881811,0.042067211,-1.2112151e-05,0.00038164025,1.2507457e-11,1.2728191e-07
0.1004,3.2967525,-48.4729,-33.254654,27.920397,-0.0035272383,0.055894949,-2.8492957e-05,0.00067558541,4.2701145e-11,5.1718803e-07,5.4945874,-77.858551,-0.0035272383,0.055894949,-2.8492957e-05,0.00067558541,4.2701145e-11,5.1718803e-07
0.1005,5.1294732,-59.863415,-42.127098,33.827435,-0.0054987501,0.069603741,-5.5367171e-05,0.001050948,1.5781308e-10,1.614694e-06,8.5491219,-97.532196,-0.0054987501,0.069603741,-5.5367171e-05,0.001050948,1.5781308e-10,1.614694e-06
0.1006,7.3539901,-70.945358,-51.200634,39.301628,-0.0078987787,0.083180688,-9.5283678e-05,0.0015064586,4.6062118e-10,4.0159698e-06,12.256651,-117.24779,-0.0078987787,0.083180688,-9.5283678e-05,0.0015064586,4.6062118e-10,4.0159698e-06
0.1007,9.9640455,-81.71032,-60.463802,44.341637,-0.010723117,0.096612953,-0.00015076458,0.0020408004,1.1073482e-09,8.5140991e-06,16.606743,-136.98439,-0.010723117,0.096612953,-0.00015076458,0.0020408004,1.1073482e-09,8.5140991e-06
0.1008,12.952882,-92.150383,-69.904953,48.946747,-0.013966947,0.109888,-0.00022424824,0.0026525557,2.3863016e-09,1.6354201e-05,21.588137,-156.72121,-0.013966947,0.109888,-0.00022424824,0.0026525557,2.3863016e-09,1.6354201e-05
