"Time","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.0063999998,-8.7029093e-06,-0.0025813554
0.0065000001,-9.2474829e-06,-0.0026586172
0.0066,-9.8170003e-06,-0.0027369147
0.0066999998,-1.0412191e-05,-0.002816244
0.0068000001,-1.1033793e-05,-0.002896602
0.0068999999,-1.1682558e-05,-0.002977985
0.0070000002,-1.235924e-05,-0.0030603895
0.0071,-1.3064609e-05,-0.0031438123
0.0071999999,-1.3799442e-05,-0.00322825
0.0073000002,-1.4564525e-05,-0.0033136995
0.0074,-1.5360656e-05,-0.0034001572
0.0074999998,-1.618864e-05,-0.0034876205
0.0076000001,-1.7049291e-05,-0.0035760861
0.0077,-1.7943436e-05,-0.0036655506
0.0077999998,-1.8871962e-05,-0.0037560121
0.0078999996,-1.9835954e-05,-0.0038474693
0.0080000004,-2.0836062e-05,-0.0039399173
0.0081000002,-2.187316e-05,-0.0040333541
0.0082,-2.294813e-05,-0.0041277767
0.0082999999,-2.4061866e-05,-0.0042231823
0.0083999997,-2.5215275e-05,-0.0043195682
0.0085000005,-2.6409271e-05,-0.0044169324
0.0086000003,-2.7644775e-05,-0.0045152716
0.0087000001,-2.8922725e-05,-0.0046145846
0.0088,-3.0244062e-05,-0.004714868
0.0088999998,-3.1609743e-05,-0.00481612
0.0089999996,-3.3020737e-05,-0.0049183383
0.0091000004,-3.4478009e-05,-0.0050215204
0.0092000002,-3.5982554e-05,-0.0051256651
0.0093,-3.7535359e-05,-0.005230769
0.0093999999,-3.9137434e-05,-0.0053368313
0.0094999997,-4.0789073e-05,-0.0054438347
0.0096000005,-4.249164e-05,-0.0055517843
0.0097000003,-4.4246321e-05,-0.005660682
0.0098000001,-4.6054138e-05,-0.0057705245
0.0098999999,-4.7916124e-05,-0.0058813104
0.0099999998,-4.9833317e-05,-0.0059930375
0.0101,-5.1806775e-05,-0.0061057028
0.0102,-5.383755e-05,-0.0062193056
0.0103,-5.5926714e-05,-0.0063338424
0.0104,-5.8075344e-05,-0.0064493124
0.0105,-6.0284528e-05,-0.0065657129
0.0106,-6.2555366e-05,-0.0066830423
0.0107,-6.4888955e-05,-0.0068012984
0.0108,-6.7286412e-05,-0.0069204802
0.0109,-6.9748872e-05,-0.0070405845
0.011,-7.2277449e-05,-0.0071616108
0.0111,-7.4873111e-05,-0.007283553
0.0112,-7.7536824e-05,-0.0074064061
0.0113,-8.0270009e-05,-0.0075301738
0.0114,-8.3073814e-05,-0.0076548532
0.0115,-8.594941e-05,-0.0077804439
0.0116,-8.8897978e-05,-0.0079069426
0.0117,-9.1920694e-05,-0.0080343485
0.0118,-9.5018753e-05,-0.0081626605
0.0119,-9.819337e-05,-0.008291875
0.012,-0.00010144574,-0.008421992
0.0121,-0.00010477709,-0.0085530095
0.0122,-0.00010818865,-0.0086849257
0.0123,-0.00011168166,-0.0088177389
0.0124,-0.00011525737,-0.0089514479
0.0125,-0.00011891701,-0.009086051
0.0126,-0.00012266188,-0.0092215464
0.0127,-0.00012649322,-0.0093579339
0.0128,-0.00013041188,-0.0094952025
0.0129,-0.00013441948,-0.0096333586
0.013,-0.00013851732,-0.0097723985
0.0131,-0.00014270672,-0.0099123232
0.0132,-0.00014698895,-0.01005313
0.0133,-0.00015136536,-0.010194818
0.0134,-0.00015583723,-0.010337384
0.0135,-0.00016040592,-0.01048083
0.0136,-0.00016507278,-0.010625151
0.0137,-0.00016983914,-0.010770347
0.0138,-0.00017470635,-0.010916417
0.0139,-0.00017967579,-0.011063361
0.014,-0.00018474882,-0.011211175
0.0141,-0.00018992684,-0.01135986
0.0142,-0.00019521122,-0.011509413
0.0143,-0.00020060336,-0.011659835
0.0144,-0.00020610447,-0.011811118
0.0145,-0.00021171597,-0.011963263
0.0146,-0.00021743942,-0.012116272
0.0147,-0.00022327621,-0.012270142
0.0148,-0.00022922779,-0.012424872
0.0149,-0.00023529559,-0.012580462
0.015,-0.00024148107,-0.012736909
0.0151,-0.00024778568,-0.012894212
0.0152,-0.0002542109,-0.013052372
0.0153,-0.00026075818,-0.013211385
0.0154,-0.00026742899,-0.013371252
0.0155,-0.00027422488,-0.013531972
0.0156,-0.00028114725,-0.013693542
0.015699999,-0.00028819771,-0.013855963
0.015799999,-0.00029537771,-0.014019232
0.015900001,-0.00030268877,-0.01418335
0.016000001,-0.0003101324,-0.014348313
0.016100001,-0.00031770996,-0.014514119
0.0162,-0.00032542317,-0.01468077
0.0163,-0.00033327355,-0.014848263
0.0164,-0.00034126264,-0.015016598
0.0165,-0.00034939204,-0.015185773
0.0166,-0.00035766329,-0.015355789
0.0167,-0.00036607796,-0.015526644
0.016799999,-0.00037463769,-0.015698336
0.016899999,-0.00038334398,-0.015870864
0.017000001,-0.00039219853,-0.016044229
0.017100001,-0.00040120285,-0.016218428
0.017200001,-0.00041035863,-0.01639346
0.0173,-0.00041966746,-0.016569326
0.0174,-0.00042913097,-0.016746024
0.0175,-0.00043875081,-0.016923551
0.0176,-0.00044852859,-0.017101908
0.0177,-0.00045846598,-0.017281095
0.0178,-0.00046856457,-0.01746111
0.017899999,-0.00047882611,-0.01764195
0.017999999,-0.00048925227,-0.017823618
0.018100001,-0.00049984467,-0.018006109
0.018200001,-0.00051060505,-0.018189425
0.018300001,-0.00052153511,-0.018373564
0.0184,-0.00053263648,-0.018558525
0.0185,-0.00054391095,-0.018744309
0.0186,-0.00055536022,-0.01893091
0.0187,-0.00056698598,-0.019118333
0.0188,-0.00057878991,-0.019306574
0.0189,-0.00059077388,-0.019495632
0.018999999,-0.00060293957,-0.019685507
0.019099999,-0.00061528868,-0.019876199
0.019200001,-0.00062782306,-0.020067705
0.019300001,-0.00064054434,-0.020260025
0.019400001,-0.00065345445,-0.020453157
0.0195,-0.00066655508,-0.020647103
0.0196,-0.00067984808,-0.020841859
0.0197,-0.00069333514,-0.021037426
0.0198,-0.00070701813,-0.021233803
0.0199,-0.00072089885,-0.021430988
0.02,-0.00073497911,-0.021628981
0.020099999,-0.00074926071,-0.021827782
0.020199999,-0.00076374551,-0.022027388
0.020300001,-0.00077843532,-0.022227798
0.020400001,-0.000793332,-0.022429014
0.020500001,-0.00080843741,-0.022631032
0.0206,-0.00082375336,-0.022833854
0.0207,-0.00083928177,-0.023037476
0.0208,-0.00085502444,-0.0232419
0.0209,-0.00087098335,-0.023447122
0.021,-0.00088716066,-0.023653153
0.0211,-0.00090355793,-0.023859981
0.021199999,-0.00092017715,-0.024067609
0.021299999,-0.00093702017,-0.024276033
0.021400001,-0.00095408893,-0.024485255
0.021500001,-0.00097138534,-0.024695273
0.021600001,-0.00098891126,-0.024906086
0.0217,-0.0010066688,-0.025117693
0.0218,-0.0010246597,-0.025330093
0.0219,-0.0010428861,-0.025543287
0.022,-0.0010613498,-0.025757272
0.0221,-0.0010800528,-0.02597205
0.0222,-0.0010989972,-0.026187615
0.022299999,-0.0011181848,-0.026403973
0.022399999,-0.0011376175,-0.026621118
0.022500001,-0.0011572976,-0.026839051
0.022600001,-0.001177227,-0.027057771
0.022700001,-0.0011974075,-0.027277278
0.0228,-0.0012178413,-0.027497571
0.0229,-0.0012385304,-0.027718648
0.023,-0.0012594768,-0.02794051
0.0231,-0.0012806825,-0.028163154
0.0232,-0.0013021496,-0.028386582
0.0233,-0.00132388,-0.02861079
0.023399999,-0.0013458759,-0.028835779
0.023499999,-0.0013681394,-0.029061548
0.023600001,-0.0013906724,-0.029288096
0.023700001,-0.0014134771,-0.029515423
0.023800001,-0.0014365554,-0.029743528
0.0239,-0.0014599095,-0.02997241
0.024,-0.0014835414,-0.03020207
0.0241,-0.0015074533,-0.030432507
0.0242,-0.0015316472,-0.030663718
0.0243,-0.0015561252,-0.030895703
0.0244,-0.0015808897,-0.031128461
0.024499999,-0.0016059424,-0.03136199
0.024599999,-0.0016312858,-0.031596292
0.024700001,-0.0016569218,-0.031831365
0.024800001,-0.0016828526,-0.032067209
0.024900001,-0.0017090803,-0.032303821
0.025,-0.0017356073,-0.032541201
0.0251,-0.0017624354,-0.032779351
0.0252,-0.0017895669,-0.033018265
0.0253,-0.0018170042,-0.033257946
0.0254,-0.0018447492,-0.033498392
0.0255,-0.0018728041,-0.0337396
0.025599999,-0.0019011713,-0.033981577
0.025699999,-0.0019298528,-0.034224313
0.025800001,-0.0019588508,-0.034467809
0.025900001,-0.0019881676,-0.034712069
0.026000001,-0.0020178056,-0.034957089
0.0261,-0.0020477665,-0.035202865
0.0262,-0.0020780531,-0.035449404
0.0263,-0.002108667,-0.035696696
0.0264,-0.0021396112,-0.035944749
0.0265,-0.0021708875,-0.036193553
0.0266,-0.002202498,-0.036443118
0.026699999,-0.0022344454,-0.036693431
0.026799999,-0.0022667316,-0.036944501
0.026900001,-0.0022993593,-0.037196331
0.027000001,-0.0023323302,-0.037448909
0.027100001,-0.0023656471,-0.037702244
0.0272,-0.0023993119,-0.037956323
0.0273,-0.002433327,-0.038211156
0.0274,-0.0024676952,-0.038466737
0.0275,-0.0025024179,-0.038723066
0.0276,-0.002537498,-0.038980141
0.0277,-0.0025729379,-0.039237965
0.027799999,-0.0026087398,-0.039496534
0.027899999,-0.0026449056,-0.039755847
0.028000001,-0.0026814383,-0.040015902
0.028100001,-0.0027183399,-0.040276702
0.028200001,-0.0027556128,-0.040538244
0.0283,-0.0027932595,-0.040800527
0.0284,-0.0028312819,-0.041063551
0.0285,-0.0028696829,-0.041327313
0.0286,-0.0029084648,-0.041591816
0.0287,-0.0029476297,-0.041857053
0.0288,-0.0029871799,-0.042123031
0.028899999,-0.0030271183,-0.042389739
0.028999999,-0.0030674471,-0.042657185
0.029100001,-0.0031081685,-0.042925365
0.029200001,-0.003149285,-0.043194279
0.029300001,-0.0031907992,-0.043463923
0.0294,-0.0032327133,-0.043734301
0.0295,-0.0032750298,-0.044005405
0.0296,-0.0033177512,-0.044277243
0.0297,-0.0033608798,-0.044549808
0.0298,-0.003404418,-0.044823099
0.029899999,-0.0034483681,-0.04509712
0.029999999,-0.003492733,-0.045371868
0.030099999,-0.0035375147,-0.045647338
0.030200001,-0.0035827162,-0.045923531
0.030300001,-0.0036283396,-0.046200451
0.030400001,-0.0036743875,-0.046478093
0.0305,-0.0037208621,-0.046756454
0.0306,-0.0037677663,-0.047035534
0.0307,-0.0038151024,-0.047315333
0.0308,-0.003862873,-0.047595851
0.0309,-0.0039110803,-0.047877088
0.030999999,-0.003959727,-0.048159037
0.031099999,-0.0040088161,-0.048441704
0.031199999,-0.0040583489,-0.048725083
0.031300001,-0.0041083293,-0.049009178
0.031399999,-0.004158759,-0.049293984
0.031500001,-0.0042096409,-0.049579501
0.031599998,-0.0042609773,-0.049865726
0.0317,-0.0043127709,-0.050152663
0.031800002,-0.0043650237,-0.050440304
0.0319,-0.0044177393,-0.050728656
0.032000002,-0.0044709197,-0.051017709
0.032099999,-0.0045245672,-0.05130747
0.032200001,-0.0045786849,-0.051597934
0.032299999,-0.0046332749,-0.051889099
0.032400001,-0.0046883402,-0.052180968
0.032499999,-0.0047438829,-0.052473538
0.032600001,-0.0047999062,-0.052766804
0.032699998,-0.0048564123,-0.05306077
0.0328,-0.0049134037,-0.053355433
0.032900002,-0.0049708826,-0.053650793
0.033,-0.0050288527,-0.053946845
0.033100002,-0.0050873156,-0.054243594
0.033199999,-0.0051462748,-0.054541036
0.033300001,-0.0052057323,-0.054839168
0.033399999,-0.0052656909,-0.055137988
0.033500001,-0.0053261532,-0.055437502
0.033599999,-0.0053871223,-0.0557377
0.0337,-0.0054486003,-0.056038588
0.033799998,-0.00551059,-0.056340158
0.0339,-0.0055730939,-0.056642417
0.034000002,-0.0056361151,-0.056945354
0.0341,-0.005699656,-0.057248976
0.034200002,-0.0057637189,-0.05755328
0.034299999,-0.005828307,-0.057858262
0.034400001,-0.0058934228,-0.058163922
0.034499999,-0.0059590694,-0.05847026
0.034600001,-0.0060252487,-0.058777273
0.034699999,-0.006091964,-0.059084963
0.0348,-0.0061592176,-0.059393324
0.034899998,-0.0062270123,-0.059702359
0.035,-0.0062953508,-0.060012061
0.035100002,-0.0063642361,-0.060322437
0.0352,-0.0064336709,-0.060633481
0.035300002,-0.0065036574,-0.060945187
0.035399999,-0.0065741991,-0.061257564
0.035500001,-0.0066452976,-0.061570603
0.035599999,-0.0067169569,-0.061884306
0.035700001,-0.0067891786,-0.062198669
0.035799999,-0.0068619656,-0.062513694
0.0359,-0.0069353213,-0.062829383
0.035999998,-0.0070092482,-0.063145719
0.0361,-0.0070837489,-0.063462719
0.036200002,-0.0071588261,-0.063780375
0.0363,-0.0072344826,-0.064098686
0.036400001,-0.0073107211,-0.064417645
0.036499999,-0.007387545,-0.064737253
0.036600001,-0.007464956,-0.065057516
0.036699999,-0.007542958,-0.065378428
0.036800001,-0.0076215533,-0.06569998
0.036899999,-0.0077007441,-0.06602218
0.037,-0.0077805342,-0.066345029
0.037099998,-0.007860926,-0.06666851
0.0372,-0.0079419212,-0.06699264
0.037300002,-0.0080235247,-0.067317404
0.0374,-0.0081057381,-0.067642808
0.037500001,-0.0081885634,-0.067968853
0.037599999,-0.0082720052,-0.068295531
0.037700001,-0.0083560655,-0.068622835
0.037799999,-0.0084407469,-0.06895078
0.037900001,-0.0085260523,-0.06927935
0.037999999,-0.0086119846,-0.069608554
0.0381,-0.0086985463,-0.069938377
0.038199998,-0.0087857414,-0.070268832
0.0383,-0.0088735707,-0.070599906
0.038400002,-0.0089620389,-0.070931613
0.0385,-0.0090511488,-0.071263932
0.038600001,-0.0091409022,-0.071596868
0.038699999,-0.009231302,-0.071930431
0.038800001,-0.0093223508,-0.072264604
0.038899999,-0.0094140526,-0.072599396
0.039000001,-0.0095064091,-0.072934806
0.039099999,-0.009599424,-0.07327082
0.0392,-0.0096931001,-0.073607445
