"Time","rectifier.thyristor_p.off","rectifier.thyristor_n.off","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2.twoPulse.timerPositive[1].entryTime","pulse2.twoPulse.timerNegative[1].entryTime","inductor.i"
4.9577999,1,0,1.712701,-0.099622808,12099.99,113.29666,6.1631565,0.047642726,4.9400001,4.9499998,6.2187185
4.9580002,1,0,1.712701,-0.08055678,12099.99,115.11519,6.1631565,0.048888315,4.9400001,4.9499998,6.2368731
4.9582,1,0,1.712701,-0.06307175,12099.99,116.64488,6.1631565,0.050137367,4.9400001,4.9499998,6.253377
4.9583998,1,0,1.712701,-0.047236718,12099.99,117.89977,6.1631565,0.051389549,4.9400001,4.9499998,6.2681684
4.9586,1,0,1.712701,-0.033114191,12099.99,118.89825,6.1631565,0.052644517,4.9400001,4.9499998,6.2811913
4.9587998,1,0,1.712701,-0.020759903,12099.99,119.6627,6.1631565,0.053901907,4.9400001,4.9499998,6.292398
4.9590001,1,0,1.712701,-0.010222608,12099.99,120.21927,6.1631565,0.055161349,4.9400001,4.9499998,6.3017464
4.9591999,1,0,1.712701,-0.0015438946,12099.99,120.59731,6.1631565,0.056422479,4.9400001,4.9499998,6.3092027
4.9594002,1,0,1.712701,0.0052419901,12099.99,120.82905,6.1631565,0.057684906,4.9400001,4.9499998,6.3147397
4.9596,1,0,1.712701,0.010108265,12099.99,120.94899,6.1631565,0.058948245,4.9400001,4.9499998,6.3183393
4.9597998,1,0,1.712701,0.013035725,12099.99,120.99341,6.1631565,0.060212109,4.9400001,4.9499998,6.3199897
4.96,1,0,1.712701,0.01401282,12099.99,120.99977,6.1631565,0.061476111,4.9400001,4.9499998,6.3196864
4.96,1,0,1.401282,0,12099.977,0,6.1476111,0,4.96,4.9499998,6.3196864
4.9601998,1,0,1.401282,-0.00097712374,12099.977,0.0063643991,6.1476111,0.0012637445,4.96,4.9499998,6.3174348
4.9604001,1,0,1.401282,-0.003904609,12099.977,0.050792474,6.1476111,0.0025268446,4.96,4.9499998,6.3132453
4.9605999,1,0,1.401282,-0.0087709203,12099.977,0.17074932,6.1476111,0.0037889148,4.96,4.9499998,6.3071375
4.9608002,1,0,1.401282,-0.015556841,12099.977,0.40250796,6.1476111,0.0050495737,4.96,4.9499998,6.2991385
4.961,1,0,1.401282,-0.024235591,12099.977,0.78057909,6.1476111,0.0063084462,4.96,4.9499998,6.2892823
4.9612002,1,0,1.401282,-0.034772921,12099.977,1.3371656,6.1476111,0.0075651654,4.96,4.9499998,6.2776103
4.9614,1,0,1.401282,-0.047127247,12099.977,2.1016536,6.1476111,0.0088193724,4.96,4.9499998,6.2641721
4.9615998,1,0,1.401282,-0.061249804,12099.977,3.1001513,6.1476111,0.01007072,4.96,4.9499998,6.2490225
4.9618001,1,0,1.401282,-0.077084862,12099.977,4.3550768,6.1476111,0.011318872,4.96,4.9499998,6.2322245
4.9619999,1,0,1.401282,-0.094569929,12099.977,5.8848042,6.1476111,0.012563504,4.96,4.9499998,6.2138467
4.9622002,1,0,1.401282,-0.113636,12099.977,7.7033739,6.1476111,0.01380431,4.96,4.9499998,6.1939645
4.9624,1,0,1.401282,-0.13420783,12099.977,9.8202696,6.1476111,0.015040996,4.96,4.9499998,6.1726589
4.9626002,1,0,1.401282,-0.15620422,12099.977,12.240273,6.1476111,0.016273284,4.96,4.9499998,6.1500168
4.9628,1,0,1.401282,-0.17953837,12099.977,14.963384,6.1476111,0.017500918,4.96,4.9499998,6.1261301
4.9629998,1,0,1.401282,-0.20411819,12099.977,17.984821,6.1476111,0.018723659,4.96,4.9499998,6.1010952
4.9632001,1,0,1.401282,-0.22984669,12099.977,21.295101,6.1476111,0.019941287,4.96,4.9499998,6.0750141
4.9633999,1,0,1.401282,-0.25662228,12099.977,24.88018,6.1476111,0.021153603,4.96,4.9499998,6.0479922
4.9636002,1,0,1.401282,-0.28433937,12099.977,28.721689,6.1476111,0.022360429,4.96,4.9499998,6.0201387
4.9638,1,0,1.401282,-0.3128885,12099.977,32.797207,6.1476111,0.02356161,4.96,4.9499998,5.9915657
4.9640002,1,0,1.401282,-0.34215704,12099.977,37.080627,6.1476111,0.024757015,4.96,4.9499998,5.9623895
4.9642,1,0,1.401282,-0.37202945,12099.977,41.542561,6.1476111,0.025946533,4.96,4.9499998,5.9327264
4.9643998,1,0,1.401282,-0.40238789,12099.977,46.150806,6.1476111,0.02713008,4.96,4.9499998,5.9026971
4.9646001,1,0,1.401282,-0.4331125,12099.977,50.870857,6.1476111,0.028307596,4.96,4.9499998,5.8724222
4.9647999,1,0,1.401282,-0.46408203,12099.977,55.666447,6.1476111,0.029479042,4.96,4.9499998,5.8420238
4.9649649,1,0,1.401282,-0.48972422,12099.977,59.652283,6.1476111,0.030440701,4.96,4.9499998,5.8169441
4.9649649,0,1,1.401282,-0.48972422,12099.977,59.652283,6.1476111,0.030440701,4.96,4.9499998,5.8169441
4.9650002,0,1,1.401282,-0.48427418,12099.977,60.500088,6.1476111,0.030644596,4.96,4.9499998,5.8225207
4.9651999,0,1,1.401282,-0.45318469,12099.977,65.33287,6.1476111,0.031812619,4.96,4.9499998,5.8542495
