"Time","vLV.y","iLV.y","vHV.y","iHV.y"
0,12,0,24,0
1e-06,11.998881,0.11182483,23.999998,0.00015854309
2e-06,11.995792,0.42072684,23.999998,0.00026482044
3.0000001e-06,11.991082,0.8918137,23.999996,0.00033565285
4e-06,11.985051,1.4948583,23.999996,0.00038313842
4.9999999e-06,11.977943,2.2056203,23.999996,0.00041507368
6.0000002e-06,11.969957,3.0042953,23.999996,0.000436681
7.0000001e-06,11.961249,3.8750837,23.999996,0.00045112293
8e-06,11.951953,4.804718,23.999996,0.00046075686
9.0000003e-06,11.942177,5.7823653,23.999996,0.00046715629
9.9999997e-06,11.932009,6.7990932,23.999996,0.00047142047
9.9999997e-06,11.932009,6.7990932,23.999996,0.00047142047
9.9999997e-06,11.932009,6.7990932,23.999996,0.00047142047
1.1e-05,11.923771,7.6229439,24.03734,-3.7339275
1.2e-05,11.919225,8.0775003,24.058357,-5.8357129
1.3e-05,11.917705,8.2295208,24.068451,-6.845139
1.4e-05,11.918664,8.133563,24.071205,-7.1205692
1.5e-05,11.921654,7.83459,24.069042,-6.9041381
1.6e-05,11.926305,7.3695111,24.063578,-6.3578157
1.7e-05,11.932314,6.7686234,24.05591,-5.5909967
1.8000001e-05,11.939432,6.0568299,24.046772,-4.6771445
1.8999999e-05,11.947454,5.2545686,24.036657,-3.6657248
1.9865804e-05,11.955001,4.4999018,24.027367,-2.7367387
1.9865804e-05,11.955001,4.4999018,24.027367,-2.7367387
1.9999999e-05,11.956214,4.378593,24.025894,-2.5894375
2.1e-05,11.965571,3.4428551,24.014706,-1.4705478
2.2e-05,11.975417,2.4582601,24.003233,-0.32320064
2.3000001e-05,11.985662,1.433874,23.991573,0.84271562
2.4000001e-05,11.996226,0.37737238,23.979797,2.0203032
2.4999999e-05,12.007045,-0.70448482,23.967958,3.204093
2.4999999e-05,12.007045,-0.70448482,23.967958,3.204093
2.6e-05,12.015835,-1.5834908,23.978542,2.1457665
2.7e-05,12.020847,-2.0847487,23.985622,1.4377868
2.8e-05,12.022762,-2.2762115,23.990351,0.96485454
2.9000001e-05,12.022151,-2.2151458,23.993526,0.64731658
2.9999999e-05,12.019474,-1.9473673,23.995659,0.43406284
3.0130186e-05,12.018993,-1.8993442,23.99588,0.41202229
3.0130186e-05,12.018993,-1.8993442,23.99588,0.41202229
3.1e-05,12.015106,-1.5106571,23.997091,0.29083082
3.2e-05,12.009355,-0.93546289,23.998053,0.19482782
3.3e-05,12.002462,-0.2462341,23.998692,0.13091218
3.4000001e-05,11.994644,0.53554761,23.999121,0.088013679
3.5000001e-05,11.986072,1.3928529,23.999409,0.059154302
3.5000001e-05,11.986072,1.3928529,23.999409,0.059154302
3.5000001e-05,11.986072,1.3928529,23.999409,0.059154302
3.6000001e-05,11.979127,2.0872726,24.016764,-1.6764588
3.7000002e-05,11.975627,2.4373143,24.024416,-2.4415629
3.7999998e-05,11.974945,2.505522,24.025579,-2.5578809
3.8999999e-05,11.976571,2.3428719,24.022383,-2.2383409
3.9851355e-05,11.979459,2.0541196,24.017321,-1.7320215
3.9851355e-05,11.979459,2.0541196,24.017321,-1.7320215
3.9999999e-05,11.980086,1.9913357,24.016268,-1.6268345
4.0999999e-05,11.985146,1.4854538,24.008202,-0.82021737
4.2e-05,11.991469,0.85310298,23.998825,0.11752871
4.3e-05,11.998822,0.11777762,23.988583,1.1418084
4.4e-05,12.007015,-0.7014761,23.977766,2.2233396
4.5000001e-05,12.015891,-1.5890605,23.966574,3.342557
4.6000001e-05,12.025321,-2.5321381,23.955139,4.4861579
4.7000001e-05,12.035203,-3.5203328,23.943542,5.6456966
4.8000002e-05,12.04545,-4.5450573,23.931849,6.8151789
4.8999998e-05,12.055993,-5.5993361,23.920092,7.990768
4.9999999e-05,12.066774,-6.6774015,23.908302,9.1696854
4.9999999e-05,12.066774,-6.6774015,23.908302,9.1696854
5.0999999e-05,12.075517,-7.5516806,23.938585,6.141449
5.1999999e-05,12.080478,-8.0477524,23.958839,4.1160226
5.3e-05,12.082342,-8.2341785,23.972393,2.7607892
5.4e-05,12.081677,-8.1677446,23.981485,1.8514824
5.5e-05,12.078943,-7.8943553,23.987591,1.2410088
5.6000001e-05,12.074516,-7.4515963,23.991693,0.83064163
5.7000001e-05,12.068701,-6.8701129,23.994442,0.55583751
5.8000001e-05,12.061751,-6.1751642,23.996279,0.37208506
5.9000002e-05,12.053875,-5.3874912,23.997509,0.2491506
5.9999998e-05,12.04524,-4.5240598,23.998331,0.16691068
5.9999998e-05,12.04524,-4.5240598,23.998331,0.16691068
5.9999998e-05,12.04524,-4.5240598,23.998331,0.16691068
6.0999999e-05,12.038231,-3.823123,23.996649,0.33521146
6.1999999e-05,12.034664,-3.4663978,23.99157,0.84311277
6.2999999e-05,12.033909,-3.3909307,23.984226,1.5773181
6.4e-05,12.035457,-3.5456538,23.975368,2.4631412
6.5e-05,12.038887,-3.8887019,23.965494,3.4505129
6.6000001e-05,12.043857,-4.385653,23.954947,4.505424
6.7000001e-05,12.050083,-5.0083051,23.943949,5.6051006
6.8000001e-05,12.057336,-5.7335701,23.932657,6.7343001
6.9000002e-05,12.065425,-6.5424805,23.921175,7.8824334
7.0000002e-05,12.074195,-7.4194784,23.909575,9.0425367
7.1000002e-05,12.083518,-8.3518019,23.897902,10.209814
7.2000003e-05,12.09329,-9.3290148,23.886189,11.381187
7.3000003e-05,12.103426,-10.342577,23.874454,12.554621
7.4000003e-05,12.113855,-11.385489,23.862713,13.728723
7.5000004e-05,12.12452,-12.451992,23.850975,14.902456
7.5000004e-05,12.12452,-12.451992,23.850975,14.902456
7.5999997e-05,12.133146,-13.314588,23.900148,9.9851189
7.6999997e-05,12.138,-13.800005,23.933054,6.6945724
7.7999997e-05,12.139771,-13.977154,23.955118,4.4881034
7.8999998e-05,12.13902,-13.90196,23.969923,3.0077479
7.9999998e-05,12.136202,-13.620148,23.979851,2.0149319
8.0999998e-05,12.131692,-13.169197,23.9865,1.3499409
8.1999999e-05,12.125799,-12.579885,23.990955,0.90446287
8.2999999e-05,12.118774,-11.877398,23.993937,0.6062519
8.3999999e-05,12.110824,-11.082396,23.995932,0.40676171
8.5e-05,12.102118,-10.21177,23.997259,0.27411607
8.5e-05,12.102118,-10.21177,23.997259,0.27411607
8.5e-05,12.102118,-10.21177,23.997259,0.27411607
8.6e-05,12.095033,-9.5033054,23.977283,2.2716925
8.7e-05,12.091391,-9.1390419,23.95999,4.0010557
8.8000001e-05,12.090565,-9.0564861,23.944496,5.5503473
8.9000001e-05,12.092034,-9.2034025,23.930202,6.9798193
9.0000001e-05,12.095377,-9.5376759,23.91671,8.3289566
9.1000002e-05,12.100255,-10.025474,23.903774,9.6224794
9.2000002e-05,12.106387,-10.638694,23.891222,10.877852
9.3000002e-05,12.113542,-11.354187,23.878929,12.107154
9.4000003e-05,12.12153,-12.152977,23.866816,13.318498
9.5000003e-05,12.130196,-13.019567,23.854828,14.517139
9.6000003e-05,12.139413,-13.941324,23.842936,15.706428
9.6999996e-05,12.149079,-14.907899,23.831114,16.888613
9.7999997e-05,12.159107,-15.910756,23.819347,18.065273
9.8999997e-05,12.169428,-16.942783,23.807623,19.237753
9.9999997e-05,12.179982,-17.998217,23.795933,20.406796
9.9999997e-05,12.179982,-17.998217,23.795933,20.406796
0.000101,12.188497,-18.849689,23.863222,13.677706
0.000102,12.193254,-19.325325,23.908312,9.168745
0.000103,12.194934,-19.49338,23.938545,6.1453929
0.000104,12.194096,-19.409538,23.958809,4.1191716
0.000105,12.191195,-19.119518,23.972387,2.761266
0.000106,12.186607,-18.660757,23.981483,1.8516388
0.000107,12.180639,-18.063942,23.987577,1.2422613
0.000108,12.173542,-17.354246,23.991665,0.83354521
0.000109,12.165523,-16.552294,23.994408,0.55922443
0.00011,12.15675,-15.674968,23.996248,0.37523955
0.00011,12.15675,-15.674968,23.996248,0.37523955
0.00011,12.15675,-15.674968,23.996248,0.37523955
0.000111,12.149599,-14.959864,23.958689,4.1310449
0.000112,12.145889,-14.588886,23.929665,7.0335393
0.000113,12.144989,-14.498896,23.906343,9.3655882
0.000114,12.146379,-14.63799,23.886829,11.317143
0.000115,12.149643,-14.964268,23.869871,13.012798
0.000116,12.154435,-15.443472,23.854643,14.53578
0.000117,12.160476,-16.047602,23.840588,15.941319
0.000118,12.167536,-16.753622,23.827326,17.26745
0.000119,12.175426,-17.54265,23.8146,18.539938
0.00012,12.183992,-18.399239,23.802242,19.775831
0.000121,12.193108,-19.310768,23.790138,20.986259
0.000122,12.202669,-20.266924,23.778214,22.178602
0.00012300001,12.212591,-21.25915,23.766417,23.358419
0.000124,12.222805,-22.280479,23.754707,24.529245
0.00012500001,12.233252,-23.325113,23.743061,25.69388
0.00012500001,12.233252,-23.325113,23.743061,25.69388
0.000126,12.241664,-24.166391,23.827803,17.219675
0.00012700001,12.246325,-24.632477,23.884562,11.543874
0.000128,12.247917,-24.791708,23.922632,7.7368326
0.00012899999,12.246996,-24.699575,23.948145,5.1855154
0.00013,12.244017,-24.401703,23.965242,3.4757211
0.00013099999,12.239355,-23.935469,23.976702,2.3298967
0.000132,12.233315,-23.33148,23.984373,1.5627742
0.00013299999,12.226149,-22.614851,23.989513,1.0486846
0.000134,12.218061,-21.806179,23.992966,0.70344871
0.00013499999,12.209223,-20.92231,23.995283,0.47161487
0.00013499999,12.209223,-20.92231,23.995283,0.47161487
0.00013499999,12.209223,-20.92231,23.995283,0.47161487
0.000136,12.202011,-20.201153,23.94087,5.9129395
0.000137,12.198236,-19.823679,23.900576,9.9424143
0.000138,12.197264,-19.726332,23.869701,13.02993
0.000139,12.198578,-19.857775,23.845152,15.484784
0.00014,12.201762,-20.176184,23.824873,17.51265
0.000141,12.206471,-20.647163,23.807459,19.254173
0.000142,12.212426,-21.242628,23.791969,20.803108
0.000143,12.219397,-21.939636,23.777784,22.221649
0.00014400001,12.227194,-22.719364,23.764477,23.552303
0.000145,12.235663,-23.566389,23.751762,24.823839
0.00014600001,12.24468,-24.468084,23.739447,26.055346
0.000147,12.254142,-25.414135,23.727407,27.259174
0.00014800001,12.263961,-26.396112,23.715567,28.443266
0.000149,12.274071,-27.407097,23.703867,29.613274
0.00015000001,12.284414,-28.441391,23.692266,30.773434
0.00015000001,12.284414,-28.441391,23.692266,30.773434
0.000151,12.292729,-29.272921,23.793787,20.621296
0.00015199999,12.297298,-29.729849,23.86175,13.825013
0.000153,12.298805,-29.880518,23.907324,9.2676229
0.00015399999,12.297805,-29.780447,23.937893,6.2106848
0.000155,12.29475,-29.475061,23.95838,4.1620965
0.00015599999,12.290016,-29.001657,23.972105,2.789475
0.000157,12.283908,-28.390806,23.981304,1.8695982
0.000158,12.276675,-27.667536,23.987461,1.2539488
0.000159,12.268524,-26.852383,23.991581,0.84188384
0.00016,12.259622,-25.962198,23.994347,0.5652827
0.00016,12.259622,-25.962198,23.994347,0.5652827
0.00016,12.259622,-25.962198,23.994347,0.5652827
0.000161,12.252346,-25.234634,23.923706,7.629385
0.000162,12.248505,-24.850512,23.872568,12.743155
0.000163,12.247466,-24.746645,23.834499,16.550003
0.000164,12.248711,-24.871065,23.805151,19.484947
0.000165,12.251819,-25.181828,23.781656,21.834427
0.000166,12.256448,-25.644794,23.762121,23.787849
0.00016700001,12.262319,-26.231895,23.745249,25.475086
0.000168,12.269202,-26.920193,23.730167,26.98332
0.00016900001,12.276909,-27.690907,23.71629,28.37109
0.00017,12.285287,-28.528708,23.70323,29.677078
0.00017100001,12.29421,-29.421061,23.690731,30.92687
0.000172,12.303576,-30.357628,23.67861,32.139046
0.00017299999,12.3133,-31.329969,23.666744,33.325527
0.000174,12.323312,-32.331161,23.655056,34.494446
0.00017499999,12.333555,-33.35556,23.643494,35.650639
0.00017499999,12.333555,-33.35556,23.643494,35.650639
0.000176,12.341777,-34.177643,23.761122,23.887756
0.00017699999,12.346259,-34.625866,23.839865,16.013462
0.000178,12.347683,-34.768318,23.892645,10.735605
0.000179,12.346606,-34.66058,23.928055,7.1946025
0.00018,12.343479,-34.34795,23.951788,4.8211293
0.000181,12.338676,-33.867634,23.96769,3.2309804
0.000182,12.332501,-33.25016,23.978348,2.1652808
0.000183,12.325205,-32.520515,23.985489,1.4511908
0.000184,12.316992,-31.699177,23.990271,0.97297728
0.000185,12.308029,-30.802923,23.993465,0.65338695
0.000185,12.308029,-30.802923,23.993465,0.65338695
0.000185,12.308029,-30.802923,23.993465,0.65338695
0.000186,12.300697,-30.069773,23.907307,9.2693939
0.000187,12.296797,-29.67967,23.84577,15.423019
0.00018800001,12.295691,-29.569027,23.800703,19.929743
0.000189,12.296865,-29.686472,23.766714,23.328613
0.00019000001,12.2999,-29.989988,23.740164,25.983591
0.000191,12.304453,-30.445292,23.718613,28.1388
0.00019200001,12.310244,-31.024363,23.700418,29.958075
0.000193,12.317043,-31.704344,23.68449,31.551006
0.00019399999,12.324664,-32.46645,23.670069,32.993088
0.000195,12.332953,-33.295372,23.656668,34.333233
0.00019599999,12.341786,-34.178604,23.643963,35.603672
0.000197,12.351059,-35.105892,23.631737,36.826389
0.00019799999,12.360688,-36.068844,23.619835,38.016582
0.000199,12.370605,-37.060574,23.608156,39.184364
0.00019999999,12.380754,-38.075451,23.596638,40.336262
0.00019999999,12.380754,-38.075451,23.596638,40.336262
0.000201,12.38888,-38.88802,23.729635,27.036505
0.000202,12.393279,-39.327877,23.818771,18.122887
0.000203,12.394626,-39.462612,23.878525,12.147586
0.000204,12.393476,-39.347523,23.918573,8.1425867
0.000205,12.39028,-39.027943,23.945412,5.4587507
0.000206,12.38541,-38.541008,23.963398,3.6602826
0.000207,12.379171,-37.917175,23.975454,2.4546492
0.000208,12.371814,-37.181408,23.98354,1.6459895
0.00020900001,12.363542,-36.354145,23.988962,1.1037896
0.00021,12.354522,-35.452145,23.992596,0.74035501
0.00021,12.354522,-35.452145,23.992596,0.74035501
0.00021,12.354522,-35.452145,23.992596,0.74035501
0.00021100001,12.347132,-34.713146,23.891472,10.85281
0.000212,12.343172,-34.3172,23.819963,18.003616
0.00021300001,12.342004,-34.200417,23.768242,23.175787
0.000214,12.343113,-34.311249,23.729799,27.020002
0.00021499999,12.346078,-34.60775,23.700291,29.970966
0.000216,12.350556,-35.055664,23.676785,32.321484
0.00021699999,12.35627,-35.627018,23.657312,34.268707
0.000218,12.362989,-36.298969,23.640554,35.944508
0.00021899999,12.370528,-37.052864,23.625635,37.436577
0.00022,12.378734,-37.873341,23.611931,38.806992
0.00022099999,12.387479,-38.747902,23.599043,40.095623
0.000222,12.396664,-39.666351,23.58672,41.328079
0.000223,12.406203,-40.620346,23.574787,42.52137
0.000224,12.41603,-41.603031,23.563122,43.687729
0.000225,12.426087,-42.608776,23.551643,44.835735
0.000225,12.426087,-42.608776,23.551643,44.835735
0.000226,12.434126,-43.412586,23.699482,30.051735
0.000227,12.438443,-43.844345,23.798557,20.144331
0.000228,12.439715,-43.971561,23.864979,13.502033
0.000229,12.438494,-43.849411,23.909496,9.0502872
0.00023000001,12.435231,-43.523155,23.939331,6.0669532
0.000231,12.430299,-43.029854,23.959318,4.0682755
0.00023200001,12.423999,-42.399906,23.972712,2.7288311
0.000233,12.416582,-41.658237,23.981697,1.8302023
0.00023400001,12.408253,-40.825256,23.987726,1.2274432
0.000235,12.399177,-39.917683,23.991766,0.82338083
0.000235,12.399177,-39.917683,23.991766,0.82338083
0.000235,12.399177,-39.917683,23.991766,0.82338083
0.00023600001,12.391731,-39.173092,23.876268,12.37324
0.000237,12.387714,-38.77142,23.795164,20.483614
0.00023799999,12.386487,-38.648712,23.737051,26.294878
0.000239,12.387532,-38.753212,23.694342,30.565834
0.00023999999,12.39043,-39.043003,23.662001,33.799969
0.000241,12.394838,-39.483852,23.636625,36.33744
0.00024199999,12.400478,-40.047791,23.615927,38.407375
0.000243,12.407121,-40.712025,23.598372,40.162903
0.000244,12.414579,-41.457912,23.582933,41.706703
0.000245,12.422703,-42.270241,23.568928,43.1073
0.00024600001,12.431365,-43.136517,23.555882,44.411789
0.00024699999,12.440465,-44.04652,23.54348,45.65197
0.000248,12.449919,-44.991917,23.531519,46.848167
0.000249,12.45966,-45.965919,23.519865,48.013428
0.00025000001,12.469629,-46.962959,23.50843,49.156902
0.00025000001,12.469629,-46.962959,23.50843,49.156902
0.00025099999,12.477584,-47.758354,23.670528,32.947216
0.000252,12.481823,-48.182316,23.779142,22.085756
0.00025300001,12.483023,-48.302303,23.851969,14.803127
0.00025400001,12.481733,-48.173359,23.900774,9.9225264
0.00025499999,12.478407,-47.840679,23.933489,6.651196
0.000256,12.473413,-47.341263,23.955406,4.4594231
0.00025700001,12.467054,-46.705456,23.970097,2.9903588
0.00025799999,12.459581,-45.958134,23.979952,2.0047836
0.00025899999,12.451197,-45.119663,23.986561,1.344004
0.00026,12.442067,-44.206734,23.990988,0.90127575
0.00026,12.442067,-44.206734,23.990988,0.90127575
0.00026,12.442067,-44.206734,23.990988,0.90127575
0.00026100001,12.434572,-43.457184,23.861769,13.823153
0.00026199999,12.4305,-43.049995,23.77141,22.859053
0.00026299999,12.429214,-42.92144,23.707113,29.288725
0.000264,12.430199,-43.019844,23.660313,33.968716
0.00026500001,12.433032,-43.303181,23.625261,37.473869
0.00026599999,12.437372,-43.737225,23.598097,40.190407
0.000267,12.442941,-44.294048,23.576221,42.377861
0.000268,12.449509,-44.950874,23.557899,44.21003
0.00026900001,12.456891,-45.689102,23.541971,45.802834
0.00026999999,12.464935,-46.493538,23.527657,47.234306
0.000271,12.473517,-47.351753,23.514431,48.556988
0.000272,12.482535,-48.253582,23.501942,49.805916
0.00027300001,12.491907,-49.190712,23.489954,51.004601
0.00027399999,12.501563,-50.156334,23.478312,52.168888
0.000275,12.511449,-51.144878,23.466906,53.309357
0.000275,12.511449,-51.144878,23.466906,53.309357
0.00027600001,12.519322,-51.93222,23.642704,35.729572
0.00027700001,12.523487,-52.348717,23.760487,23.951353
0.00027799999,12.524618,-52.461781,23.83947,16.053095
0.000279,12.523263,-52.326336,23.892399,10.760156
0.00028000001,12.519875,-51.987499,23.927876,7.2124529
0.00028099999,12.514822,-51.48222,23.951643,4.8356829
0.00028199999,12.508408,-50.840778,23.967569,3.2430041
0.000283,12.50088,-50.08802,23.978256,2.1744499
0.00028400001,12.492443,-49.244278,23.985424,1.457675
0.00028499999,12.483262,-48.32621,23.990225,0.9774949
0.00028499999,12.483262,-48.32621,23.990225,0.9774949
0.00028499999,12.483262,-48.32621,23.990225,0.9774949
0.00028599999,12.475716,-47.571548,23.847761,15.223891
0.000287,12.471591,-47.159142,23.748554,25.144617
