"Time","aimc.wMechanical","currentQuasiRMSSensor.I"
0,0,0
9.9999997e-05,2.8461387e-09,0.33329335
0.00019999999,4.5504198e-08,0.66634697
0.00030000001,2.8239035e-07,0.99892229
0.00039999999,7.2558487e-07,1.330783
0.00050000002,1.7117688e-06,1.6616962
0.00060000003,3.1789625e-06,1.9914331
0.00069999998,5.6877043e-06,2.3197708
0.00079999998,9.187037e-06,2.6464925
0.00089999998,1.4350445e-05,2.9713888
0.001,2.1191765e-05,3.2942586
0.0011,3.0146019e-05,3.6149092
0.0012000001,4.1642932e-05,3.9331579
0.0013,5.6165743e-05,4.2488322
0.0014,7.4273827e-05,4.56177
0.0015,9.6438205e-05,4.8718204
0.0016,0.00012326681,5.178844
0.0017,0.00015526175,5.4827118
0.0018,0.0001930938,5.783309
0.0019,0.00023730326,6.0805297
0.0020000001,0.00028853517,6.3742819
0.0020999999,0.00034741333,6.6644835
0.0022,0.00041455642,6.9510651
0.0023000001,0.00049062906,7.2339678
0.0024000001,0.00057624973,7.513144
0.0024999999,0.00067207724,7.7885556
0.0026,0.00077875587,8.0601759
0.0027000001,0.00089692645,8.3279877
0.0027999999,0.001027233,8.5919809
0.0029,0.0011703096,8.8521566
0.003,0.00132676,9.1085224
0.0031000001,0.0014972083,9.3610964
0.0031999999,0.0016822628,9.6098986
0.0033,0.0018825261,9.8549614
0.0034,0.002098575,10.096319
0.0035000001,0.0023309928,10.334013
0.0035999999,0.0025803566,10.56809
0.0037,0.0028472322,10.7986
0.0038000001,0.0031321086,11.025599
0.0038999999,0.003435482,11.249146
0.0040000002,0.0037578864,11.4693
0.0041,0.0040998147,11.686128
0.0041999999,0.0044617197,11.899694
0.0043000001,0.0048440173,12.11007
0.0044,0.005247165,12.317324
0.0044999998,0.0056715813,12.521526
0.0046000001,0.0061176647,12.722753
0.0046999999,0.006585788,12.921073
0.0048000002,0.0070763235,13.116562
0.0049000001,0.007589621,13.309294
0.0049999999,0.0081260148,13.499341
0.0051000002,0.008685844,13.686777
