"Time","aimc.idq_rr[2]","loadInertia.w","aimc.idq_sr[1]","capacitor.v","inductor.inductor[2].i","loadInertia.phi","aimc.is[1]","inductor.inductor[3].i","aimc.idq_rr[1]","aimc.is[2]","vfController.x","aimc.idq_sr[2]"
0,0,0,-0,540.18982,0,0,0,0,0,0,0,0
3.0987229e-07,5.8691125e-17,-0,6.8359582e-17,540.18976,-0.054018978,0,3.2118493e-17,0.054014578,-6.604034e-17,-1.2303389e-16,1.2569099e-11,-6.0752273e-17
3.0987229e-07,5.8691125e-17,-0,6.8359582e-17,540.18976,-0.054018978,0,3.2118493e-17,0.054014578,-6.604034e-17,-1.2303389e-16,1.2569099e-11,-6.0752273e-17
3.100449e-07,5.8688795e-17,-0,6.8356525e-17,540.18976,-0.054023381,0,3.2116535e-17,0.054018978,-6.6037382e-17,-1.2302917e-16,1.2583105e-11,-6.0749858e-17
3.100449e-07,5.8688795e-17,-0,6.8356525e-17,540.18976,-0.054023381,0,3.2116535e-17,0.054018978,-6.6037382e-17,-1.2302917e-16,1.2583105e-11,-6.0749858e-17
4.9999999e-05,-5.5941524e-15,-1.1975048e-39,-9.8869794e-15,540.19208,-1.3198029,-1.2611686e-44,-9.7452614e-15,1.3182685,9.5501262e-15,1.0100761e-14,3.2858782e-07,5.791462e-15
9.9999997e-05,-4.2697017e-15,-5.7468876e-39,-7.2970347e-15,540.20697,-2.5848086,-1.7516231e-43,-6.9414443e-15,2.5817356,7.0462159e-15,7.8333463e-15,1.3103347e-06,4.4216246e-15
0.00012500001,-4.2962782e-15,-1.9534466e-38,-7.2142143e-15,540.21918,-3.2116778,-5.0166485e-43,-6.7294265e-15,3.2078357,6.9654658e-15,7.9453639e-15,2.0466475e-06,4.4496026e-15
0.00012500001,-4.2962782e-15,-1.9534466e-38,-7.2142143e-15,540.21918,-3.2116778,-5.0166485e-43,-6.7294265e-15,3.2078357,6.9654658e-15,7.9453639e-15,2.0466475e-06,4.4496026e-15
0.00015000001,-4.4785757e-15,-3.9160735e-38,-7.2194185e-15,540.2345,-3.8335154,-1.2079193e-42,-6.4167481e-15,3.8289046,6.9697678e-15,8.4296753e-15,2.946583e-06,4.6387734e-15
0.00019999999,-4.939501e-15,-1.5258279e-37,-7.4515919e-15,540.27435,-5.0583577,-5.812586e-42,-6.0588423e-15,5.0522103,7.1924981e-15,9.5499907e-15,5.2373275e-06,5.1169917e-15
0.00025000001,-3.8800762e-15,-2.3377587e-37,-6.2799031e-15,540.32629,-6.2518024,-1.5733779e-41,-5.5980077e-15,6.2441196,6.0591812e-15,7.304403e-15,8.182571e-06,4.0213092e-15
