"Time","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee3.stator.stray.port_p.Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeM.is[4]","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeM.is[3]","smeeM.is[1]","constantSpeedM.phi","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee3.stator.stray.port_p.Phi.re","smeeM.stator.stray.port_p.Phi.re","constantSpeed3.phi","smeeM.is[2]","smee3.is[1]","smee3.is[2]","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
14.9,0.024463112,-0.0033073493,-0.0033073493,127.95887,0.44916558,120.63012,-153.63644,2337.3555,0.44916558,-0.081506662,-0.081506662,2337.3555,-53.405354,-256.06073,119.03207,0.024463112
14.901,0.16206676,-0.028321918,-0.028321918,148.0377,0.41962549,85.279213,-144.19778,2337.5125,0.41962549,-0.076499298,-0.076499298,2337.5125,-95.332253,-240.32964,43.109406,0.16206676
14.902,0.28380814,-0.050566539,-0.050566539,153.63812,0.3490088,41.587822,-120.65627,2337.6694,0.3490088,-0.064010136,-0.064010136,2337.6694,-127.93543,-201.09378,-37.029442,0.28380814
14.903,0.37777004,-0.06786564,-0.06786564,144.21242,0.24422744,-6.1709414,-85.314323,2337.8264,0.24422744,-0.045260653,-0.045260653,2337.8264,-148.02626,-142.19054,-113.54672,0.37777004
14.904,0.43475431,-0.078527331,-0.078527331,120.6824,0.11553765,-53.326168,-41.628441,2337.9834,0.11553765,-0.022084575,-0.022084575,2337.9834,-153.63979,-69.380737,-178.95886,0.43475431
14.905,0.44918236,-0.081508875,-0.081508875,85.349403,-0.024463765,-95.265968,6.1287766,2338.1404,-0.024463765,0.0032514171,0.0032514171,2338.1404,-144.22701,10.214627,-226.86844,0.44918236
14.906,0.41964126,-0.07651867,-0.07651867,41.669048,-0.16207257,-127.88854,53.286579,2338.2974,-0.16207257,0.028269406,0.028269406,2338.2974,-120.70851,88.810959,-252.58975,0.41964126
14.907,0.349022,-0.064044774,-0.064044774,-6.0866199,-0.28381851,-148.00331,95.232819,2338.4543,-0.28381851,0.050522581,0.050522581,2338.4543,-85.38446,158.72136,-253.60724,0.349022
14.908,0.24423678,-0.045307163,-0.045307163,-53.246983,-0.37778398,-153.64304,127.86507,2338.6111,-0.37778398,0.067834526,0.067834526,2338.6111,-41.709637,213.10844,-229.82138,0.24423678
14.909,0.11554223,-0.022138413,-0.022138413,-95.199654,-0.43477046,-144.25612,147.99181,2338.7681,-0.43477046,0.078512095,0.078512095,2338.7681,6.044466,246.65302,-183.55847,0.11554223
14.91,-0.024464404,0.0031955065,0.0031955065,-127.84158,-0.44919914,-120.76066,153.64462,2338.925,-0.44919914,0.081511006,0.081511006,2338.925,53.207382,256.07437,-119.34318,-0.024464404
14.911,-0.16207837,0.028216887,0.028216887,-147.98029,-0.41965702,-85.454536,144.27065,2339.082,-0.41965702,0.076537959,0.076537959,2339.082,95.166473,240.45108,-43.455887,-0.16207837
14.912,-0.28382891,0.050478578,0.050478578,-153.64618,-0.3490352,-41.790794,120.7867,2339.239,-0.3490352,0.064079329,0.064079329,2339.239,127.81805,201.31116,36.681438,-0.28382891
14.913,-0.37779793,0.067803346,0.067803346,-144.28516,-0.24424613,5.9601455,85.489563,2339.396,-0.24424613,0.045353621,0.045353621,2339.396,147.96873,142.4826,113.23119,-0.37779793
14.914,-0.43478662,0.078496784,0.078496784,-120.81274,-0.11554681,53.128143,41.831379,2339.553,-0.11554681,0.022192236,0.022192236,2339.553,153.64774,69.718964,178.70663,-0.43478662
14.915,-0.44921595,0.081513062,0.081513062,-85.52459,0.024465032,95.100067,-5.9179711,2339.71,0.024465032,-0.0031395813,-0.0031395813,2339.71,144.29967,-9.8632851,226.70416,-0.44921595
14.916,-0.41967279,0.076557189,0.076557189,-41.871967,0.16208415,127.77097,-53.088501,2339.8669,0.16208415,-0.028164325,-0.028164325,2339.8669,120.83877,-88.480835,252.5295,-0.41967279
14.917,-0.34904844,0.064113863,0.064113863,5.8757887,0.28383929,147.94559,-95.066833,2340.0239,0.28383929,-0.050434522,-0.050434522,2340.0239,85.559608,-158.44473,253.65689,-0.34904844
14.918,-0.24425551,0.045400076,0.045400076,53.048851,0.37781188,153.6508,-127.74741,2340.1809,0.37781188,-0.067772105,-0.067772105,2340.1809,41.912563,-212.91235,229.97612,-0.24425551
14.919,-0.11555142,0.022246072,0.022246072,95.0336,0.4348028,144.32863,-147.93399,2340.3379,0.4348028,-0.078481421,-0.078481421,2340.3379,-5.8336,-246.55666,183.80319,-0.11555142
14.92,0.024465637,-0.0030836295,-0.0030836295,127.72384,0.44923276,120.89083,-153.65231,2340.4949,0.44923276,-0.081515089,-0.081515089,2340.4949,-53.009197,-256.08719,119.65397,0.024465637
14.921,0.16208991,-0.028111733,-0.028111733,147.92239,0.41968858,85.629654,-144.34311,2340.6519,0.41968858,-0.076576397,-0.076576397,2340.6519,-95.000359,-240.57184,43.802353,0.16208991
14.922,0.28384963,-0.050390437,-0.050390437,153.65381,0.34906167,41.99374,-120.91684,2340.8088,0.34906167,-0.064148374,-0.064148374,2340.8088,-127.70026,-201.52806,-36.333179,0.28384963
14.923,0.37782583,-0.067740835,-0.067740835,144.35756,0.2442649,-5.7492309,-85.664658,2340.9658,0.2442649,-0.045446515,-0.045446515,2340.9658,-147.91078,-142.77443,-112.91521,0.37782583
