"Time","volume.medium.p","volume.medium.T"
0,101325,293.14999
4.5443571e-12,101325,293.14999
0.000202,105760.23,293.15005
0.00040399999,110175.86,293.15012
0.00060600002,114571.95,293.15018
0.00080799998,118948.58,293.15027
0.00101,123305.84,293.15033
0.001212,127643.81,293.15039
0.0014140001,131962.58,293.15045
0.001616,136262.22,293.15051
0.001818,140542.81,293.15057
0.00202,144804.47,293.15063
0.0022219999,149047.25,293.1507
0.0024240001,153271.27,293.15076
0.002626,157476.58,293.15082
0.0028280001,161663.27,293.15088
0.00303,165831.42,293.15094
0.0032319999,169981.11,293.151
0.0034340001,174112.45,293.15106
0.003636,178225.48,293.15112
0.0038379999,182320.33,293.15118
0.00404,186397.05,293.15125
0.0042420002,190455.7,293.15131
0.0044439998,194496.39,293.15134
0.004646,198519.19,293.1514
0.0048480001,202524.19,293.15146
0.0050499998,206511.45,293.15152
0.0052519999,210481.06,293.15158
0.0054540001,214433.09,293.15164
0.0056560002,218367.62,293.1517
0.0058579999,222284.73,293.15176
0.00606,226184.5,293.15182
0.0062620002,230067,293.15186
0.0064639999,233932.31,293.15192
0.006666,237780.5,293.15198
0.0068680001,241611.66,293.15204
0.0070699998,245425.84,293.1521
0.007272,249223.14,293.15216
0.0074740001,253003.62,293.15219
0.0076759998,256767.38,293.15225
0.0078779999,260514.45,293.15231
0.0080800001,264244.94,293.15237
0.0082820002,267958.91,293.1524
0.0084840003,271656.41,293.15247
0.0086859995,275337.56,293.15253
0.0088879997,279002.38,293.15259
0.0090899998,282651,293.15262
0.009292,286283.44,293.15268
0.0094940001,289899.78,293.15274
0.0096960003,293500.12,293.1528
0.0098980004,297084.5,293.15283
0.0101,300653.03,293.15289
0.010302,304205.75,293.15295
0.010504,307742.72,293.15298
0.010706,311264.03,293.15305
0.010908,314769.72,293.15311
0.01111,318259.91,293.15314
0.011312,321734.62,293.1532
0.011514,325193.94,293.15326
0.011716,328637.94,293.15329
0.011918,332066.69,293.15335
0.01212,335480.25,293.15341
0.012322,338878.69,293.15344
0.012524,342262.06,293.1535
0.012726,345630.47,293.15353
0.012928,348983.91,293.15359
0.01313,352322.53,293.15366
0.013332,355646.34,293.15369
0.013534,358955.44,293.15375
0.013736,362249.88,293.15378
0.013938,365529.69,293.15384
0.01414,368795,293.15387
0.014342,372045.84,293.15393
0.014544,375282.28,293.15399
0.014746,378504.38,293.15402
0.014948,381712.19,293.15408
0.01515,384905.78,293.15411
0.015352,388085.22,293.15417
0.015554,391250.59,293.15421
0.015756,394401.91,293.15427
0.015958,397539.28,293.1543
0.01616,400662.75,293.15436
0.016362,403772.38,293.15439
0.016564,406868.25,293.15445
0.016766001,409950.38,293.15448
0.016968001,413018.84,293.15451
0.017170001,416073.72,293.15457
0.017371999,419115.03,293.1546
0.017573999,422142.91,293.15466
0.017775999,425157.34,293.15469
0.017978,428158.41,293.15475
0.01818,431146.19,293.15479
0.018382,434120.72,293.15485
0.018584,437082.06,293.15488
0.018786,440030.31,293.15491
0.018988,442965.47,293.15497
0.01919,445887.59,293.155
0.019392001,448796.81,293.15506
0.019594001,451693.12,293.15509
0.019796001,454576.59,293.15512
0.019997999,457447.28,293.15518
0.020199999,460305.22,293.15521
0.020401999,463150.53,293.15524
0.020603999,465983.22,293.1553
0.020806,468803.34,293.15533
0.021008,471610.97,293.15536
0.02121,474406.16,293.15543
0.021412,477188.94,293.15546
0.021614,479959.38,293.15549
0.021816,482717.56,293.15555
0.022018,485463.5,293.15558
0.022220001,488197.28,293.15561
0.022422001,490918.94,293.15567
0.022624001,493628.53,293.1557
0.022825999,496326.09,293.15573
0.023027999,499011.72,293.15576
0.023229999,501685.44,293.15582
0.023432,504347.31,293.15585
0.023634,506997.38,293.15588
0.023836,509635.66,293.15594
0.024038,512262.28,293.15598
0.02424,514877.25,293.15601
0.024442,517480.62,293.15604
0.024644,520072.47,293.15607
0.024846001,522652.81,293.15613
0.025048001,525221.69,293.15616
0.025250001,527779.19,293.15619
0.025451999,530325.38,293.15622
0.025653999,532860.25,293.15628
0.025855999,535383.88,293.15631
0.026058,537896.38,293.15634
0.02626,540397.69,293.15637
