"time","comparisonWithFEA.y[1]","comparisonWithFEA.y[2]","comparisonWithFEA.y[3]","advancedFeed_x.v","advancedSolenoid.g_mFeArm.Phi","advancedSolenoid.L_statTot","advancedSolenoid.c_par1.v","advancedSolenoid.c_par2.v","advancedSolenoid.x","advancedSolenoid.armature.flange_a.f","advancedSolenoid.coil1.i","advancedSolenoid.coil1.Phi","advancedSolenoid.coil2.i","advancedSolenoid.coil2.Phi","advancedSolenoid.g_mLeak1.port_p.Phi","advancedSolenoid.g_mLeak2.port_p.Phi","advancedSolenoid.g_mLeak3.port_p.Phi","advancedSolenoid.g_mLeakWork.port_p.Phi","simpleFeed_x.v","simpleSolenoid.armature.flange_a.f","simpleSolenoid.g_mFeArm.Phi","simpleSolenoid.x","simpleSolenoid.coil.i","simpleSolenoid.coil.Phi","simpleSolenoid.coil.L_stat","simpleSolenoid.g_mLeak1.port_p.Phi","simpleSolenoid.g_mLeak2.port_p.Phi","simpleSolenoid.g_mLeakWork.port_p.Phi"
0,-3.5869,5.9691000000000002e-05,0.039467000000000002,0,0,0,0,0,0.0050000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.0050000000000000001,0,0,0,0,0,0
0.002,-3.5875030600000004,5.9696852000000003e-05,0.039471810800000007,-0.00047499941771618264,2.4385450900015565e-05,0.036329185638628421,5.0591775701375701,6.9408223772443458,0.004999152942583642,-0.4458469702023507,0.50801581540569685,-1.4184690724260452e-05,0.50801633359003306,-2.4385450900015565e-05,-1.6401326567810123e-06,-4.1426724461700278e-06,-1.6401326567810123e-06,6.6267745677687785e-06,-0.0004749994177161827,-0.72637994743071088,1.8105431701470833e-05,0.004999152942583642,0.59883141180535338,-1.8105431701470833e-05,0.028934517790358657,-1.3055570153446059e-06,-3.2975961133454901e-06,8.4584582540510024e-06
0.0040000000000000001,-3.58810612,5.9702704000000004e-05,0.039476621600000004,-0.00047499999639209414,3.8447431416395581e-05,0.036333075536487569,5.4576150124309688,6.5423849849971774,0.0049982029426115975,-1.1084857997766715,0.80090055488986123,-2.2365917006054915e-05,0.80090085362577712,-3.8447431416395581e-05,-2.5859225689092499e-06,-6.5315632426797631e-06,-2.5859225689092499e-06,1.0448457360695039e-05,-0.00047499999639209403,-1.6366532715483268,2.7176904202292747e-05,0.0049982029426115975,0.89873984501469639,-2.7176904202292747e-05,0.028938627196581971,-1.9596880384668884e-06,-4.9498103744724811e-06,1.2695957186842665e-05
0.0060000000000000001,-3.5887091800000004,5.9708556000000006e-05,0.039481432400000002,-0.00047499999877059556,4.6557466828105213e-05,0.036336625271649735,5.6873208126418371,6.3126791875464701,0.0049972529426104547,-1.6257283953613655,0.9697724719696581,-2.7085715761729538e-05,0.96977264420062637,-4.6557466828105213e-05,-3.1313926519080811e-06,-7.9093200196738381e-06,-3.1313926519080815e-06,1.2652866247862919e-05,-0.00047499999877059551,-2.2301557738467808,3.1723706303785418e-05,0.0049972529426104547,1.0489590261797597,-3.1723706303785418e-05,0.028942586102042783,-2.2875514928635667e-06,-5.7779329613984433e-06,1.4819464852962477e-05
0.0080000000000000002,-3.5893122399999999,5.9714408000000001e-05,0.0394862432,-0.0004750000005487917,5.1235701930521167e-05,0.036340034642520357,5.8197567196361497,6.1802432803653735,0.0049963029426109487,-1.9691988960547819,1.0671471092387403,-2.9809575393877498e-05,1.0671472085404146,-5.1235701930521167e-05,-3.4460444579801509e-06,-8.7040724208062548e-06,-3.4460444579801513e-06,1.3924753636630228e-05,-0.00047500000054879181,-2.562358548417508,3.4004073656123052e-05,0.0049963029426109487,1.124208881738155,-3.4004073656123052e-05,0.02894648763012464,-2.4519855501948454e-06,-6.1932630480849509e-06,1.5884102408268188e-05
0.01,-3.5899153000000004,5.9720260000000002e-05,0.039491054000000005,-0.00047499999977191774,5.3935100473373454e-05,0.036343378479032851,5.8961156950130036,6.1038843049858604,0.0049953529426108303,-2.1825418187043342,1.123298170604043,-3.1382458303084155e-05,1.1232982278601218,-5.3935100473373454e-05,-3.6276023763451663e-06,-9.1626542206899929e-06,-3.6276023763451663e-06,1.4658914611785421e-05,-0.00047499999977191791,-2.7378904535902207,3.5149059372638511e-05,0.0049953529426108303,1.1619076487853981,-3.5149059372638511e-05,0.028950364389784527,-2.5345488471829357e-06,-6.4018027013156856e-06,1.6418314175771476e-05
0.012,-3.5905183599999999,5.9726112000000004e-05,0.039495864800000002,-0.00047500000027357505,5.5493408188924602e-05,0.036346692347925362,5.9401441856392738,6.0598558143614341,0.0049944029426109001,-2.3108831595597636,1.1556792380795726,-3.2291583405491065e-05,1.1556792710942241,-5.5493408188924602e-05,-3.7324120591379341e-06,-9.4273841394574087e-06,-3.7324120591379345e-06,1.5082985547317046e-05,-0.00047500000027357532,-2.8284533690933769,3.5725215627858438e-05,0.0049944029426109001,1.1807957343837974,-3.5725215627858438e-05,0.028954230067321673,-2.5760946580390199e-06,-6.5067397533131019e-06,1.6686791236695618e-05
0.014,-3.5911214200000003,5.9731964000000005e-05,0.039500675600000007,-0.00047499999981140124,5.6393679755126089e-05,0.036349993127689557,5.9655321699693635,6.0344678300303869,0.0049934529426108295,-2.3868863926069253,1.1743535729150576,-3.2817908003259706e-05,1.174353591952672,-5.6393679755126089e-05,-3.7929631148371953e-06,-9.5803249329930672e-06,-3.7929631148371953e-06,1.5328229042460707e-05,-0.00047499999981140124,-2.8748134429351939,3.6016362801988967e-05,0.0049934529426108295,1.1902600651106352,-3.6016362801988967e-05,0.028958090934773705,-2.5970888680612527e-06,-6.5597672538805898e-06,1.6822128279792044e-05
0.016,-3.5917244799999999,5.9737816e-05,0.039505486400000005,-0.00047500000007058378,5.6914461053763118e-05,0.0363532884449565,5.9801722577303753,6.0198277422696611,0.0049925029426108603,-2.4315984837661593,1.1851236594404362,-3.3123454279276056e-05,1.185123670418851,-5.6914461053763118e-05,-3.8279901651237611e-06,-9.6687967986637106e-06,-3.8279901651237611e-06,1.5470338548573991e-05,-0.00047500000007058405,-2.8986127925083887,3.6164693703585834e-05,0.0049925029426108603,1.1950028184810981,-3.6164693703585834e-05,0.028961949996337246,-2.607784799114719e-06,-6.5867832020590103e-06,1.6890752105223457e-05
0.018000000000000002,-3.5923275400000003,5.9743668000000001e-05,0.039510297200000002,-0.00047499999997772658,5.7216379561439017e-05,0.036356581688817224,5.9886149443370487,6.0113850556629504,0.0049915529426108537,-2.4578937326223631,1.1913353983182053,-3.3301661970919146e-05,1.1913354046494422,-5.7216379561439017e-05,-3.8482967982123263e-06,-9.7200876067716263e-06,-3.8482967982123263e-06,1.5552965506695098e-05,-0.00047499999997772713,-2.9110020487419721,3.6241453956634735e-05,0.0049915529426108537,1.1973797026422053,-3.6241453956634735e-05,0.028965808723804012,-2.6133198721535731e-06,-6.600763775197894e-06,1.6925944530703587e-05
0.02,-3.5929305999999999,5.9749520000000003e-05,0.039515108,-0.00047500000000485625,5.7392067825901066e-05,0.036359874397946516,5.9934839432316522,6.0065160567683451,0.0049906029426108525,-2.4734427239479415,1.1949182342796494,-3.3406421198429431e-05,1.194918237931053,-5.7392067825901066e-05,-3.8601133547787329e-06,-9.7499340482127369e-06,-3.8601133547787329e-06,1.5601284325043502e-05,-0.00047500000000485598,-2.9176462762455859,3.6282344513358091e-05,0.0049906029426108525,1.1985709978831505,-3.6282344513358091e-05,0.028969667846634135,-2.6162684322360805e-06,-6.6082112938843717e-06,1.6944382320088036e-05
0.021999999999999999,-3.5935336600000003,5.9755372000000004e-05,0.039519918800000005,-0.00047500000000447884,5.7494948783200235e-05,0.036363167303167548,5.9962920990343722,6.0037079009656287,0.0049896529426108546,-2.4827515670354265,1.1969848496570175,-3.3468813799534304e-05,1.1969848517629953,-5.7494948783200235e-05,-3.8670329897085572e-06,-9.7674117692024516e-06,-3.8670329897085572e-06,1.5629814111819573e-05,-0.00047500000000447868,-2.9214041767645176,3.6305256628033655e-05,0.0049896529426108546,1.1991681136821963,-3.6305256628033655e-05,0.028973527728603447,-2.6179205923471612e-06,-6.6123843454607417e-06,1.6954422579086656e-05
