"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,-0,-0.50552762
9.9999997e-05,-6.5704251e-13,-0.50552833
0.00019999999,-9.2992098e-12,-0.50553042
0.00030000001,-4.5671619e-11,-0.50553393
0.00039999999,-1.4462219e-10,-0.50553882
0.00050000002,-3.5130729e-10,-0.50554508
0.00060000003,-7.2631312e-10,-0.50555271
0.00069999998,-1.3402941e-09,-0.50556171
0.00079999998,-2.2757598e-09,-0.50557208
0.00089999998,-3.6305061e-09,-0.50558376
0.001,-5.5173559e-09,-0.50559682
0.0011,-8.0565847e-09,-0.50561118
0.0012000001,-1.1382019e-08,-0.50562686
0.0013,-1.5643996e-08,-0.50564384
0.0014,-2.0999732e-08,-0.50566214
0.0015,-2.7622622e-08,-0.50568169
0.0016,-3.5698861e-08,-0.50570256
0.0017,-4.5426269e-08,-0.50572473
0.0018,-5.7011025e-08,-0.50574815
0.0019,-7.0675512e-08,-0.50577283
0.0020000001,-8.6652648e-08,-0.50579876
0.0020999999,-1.0518632e-07,-0.505826
0.0022,-1.2653358e-07,-0.50585443
0.0023000001,-1.5096214e-07,-0.50588405
0.0024000001,-1.7875145e-07,-0.50591499
0.0024999999,-2.1019329e-07,-0.50594711
0.0026,-2.4558975e-07,-0.50598043
0.0027000001,-2.8525545e-07,-0.506015
0.0027999999,-3.295163e-07,-0.50605071
0.0029,-3.7870868e-07,-0.50608766
0.003,-4.3318119e-07,-0.50612581
0.0031000001,-4.9329327e-07,-0.50616509
0.0031999999,-5.5941564e-07,-0.50620562
0.0033,-6.3193022e-07,-0.50624722
0.0034,-7.112294e-07,-0.50629008
0.0035000001,-7.9771723e-07,-0.50633407
0.0035999999,-8.9180827e-07,-0.50637919
0.0037,-9.9392821e-07,-0.50642544
0.0038000001,-1.1045132e-06,-0.50647283
0.0038999999,-1.2240108e-06,-0.5065214
0.0040000002,-1.3528789e-06,-0.50657105
0.0041,-1.491586e-06,-0.50662184
