"Time","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.ir[1]","aims3.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aims3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","aimsM.ir[2]","aimsM.ir[3]","aimsM.is[3]","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.ir[4]","aims3.ir[1]","aimsM.is[2]","aims3.ir[2]","aims3.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aims3.is[2]","aimsM.is[4]","aims3.is[1]","aims3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.w","loadInertiaM.w","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.phi","aimsM.is[1]"
1,0.44097027,-59.913464,0.42107931,0.44097033,99.662483,-20.174765,47.444771,-5.1113844,0.42108846,0.0056758085,49.497246,-99.853027,-65.900612,47.34206,-0.012584701,-53.628914,62.7416,-59.36224,0.0056757946,133.36545,133.3658,-0.012271022,99.662109,-35.617432
1.0001,0.44057417,-61.401005,0.42106625,0.44057423,99.675819,-20.949352,48.453594,-7.9520388,0.42107573,0.019520186,50.895321,-102.33184,-67.787453,48.10194,-0.012989178,-58.673225,62.872826,-56.571388,0.019520173,133.36574,133.36609,-0.012675472,99.675446,-33.942913
1.0002,0.43974274,-62.870811,0.42105097,0.43974277,99.689156,-21.724817,49.444134,-10.849604,0.42106074,0.033337891,52.282974,-104.78108,-69.574738,48.837395,-0.013403513,-63.720684,62.869312,-53.583126,0.03333788,133.36656,133.36691,-0.013089778,99.688782,-32.149948
1.0003,0.43847719,-64.323494,0.42103341,0.43847722,99.702492,-22.50152,50.416786,-13.799497,0.42104349,0.047115911,53.660809,-107.20177,-71.259392,49.548691,-0.013827591,-68.763138,62.730835,-50.401947,0.047115903,133.36792,133.36829,-0.01351383,99.702118,-30.24123
1.0003999,0.43677914,-65.759102,0.4210135,0.4367792,99.715828,-23.279537,51.371559,-16.7967,0.42102394,0.060840644,55.028904,-109.594,-72.837959,50.235775,-0.014261302,-73.791588,62.457031,-47.032639,0.060840636,133.36981,133.37016,-0.013947513,99.715454,-28.219635
1.0005,0.43465084,-67.177551,0.42099124,0.4346509,99.729164,-24.058809,52.308392,-19.835962,0.421002,0.074498378,56.387173,-111.95763,-74.307014,50.898617,-0.014704525,-78.796753,62.047714,-43.480423,0.07449837,133.37222,133.37257,-0.014390712,99.72879,-26.088297
1.0006,0.43209484,-68.578957,0.42096657,0.4320949,99.7425,-24.839365,53.227386,-22.912109,0.42097765,0.08807572,57.735699,-114.29282,-75.66349,51.537323,-0.01515715,-83.769707,61.503029,-39.750782,0.088075712,133.37515,133.3755,-0.014843312,99.742134,-23.850498
1.0007,0.42911404,-69.963341,0.42093942,0.4291141,99.755844,-25.621286,54.128517,-26.019941,0.42095083,0.10155927,59.074551,-116.59965,-76.904404,52.151806,-0.015619061,-88.701553,60.823193,-35.849289,0.10155926,133.37859,133.37894,-0.0153052,99.75547,-21.509594
1.0008,0.42571163,-71.330772,0.42090973,0.42571169,99.76918,-26.404819,55.0117,-29.15436,0.42092153,0.11493575,60.403919,-118.87821,-78.026894,52.741779,-0.016090145,-93.583611,60.008507,-31.781507,0.11493575,133.38252,133.38287,-0.01577626,99.768806,-19.068911
1.0009,0.42189133,-72.681404,0.42087752,0.42189139,99.782516,-27.190062,55.877018,-32.310131,0.42088965,0.1281921,61.723957,-121.12875,-79.028419,53.307289,-0.016570289,-98.407257,59.059658,-27.553543,0.12819211,133.38696,133.38731,-0.016256383,99.782143,-16.532118
1.001,0.41765749,-74.015388,0.42084268,0.41765752,99.795853,-27.976957,56.724678,-35.48188,0.42085519,0.14131542,63.034737,-123.35155,-79.906693,53.848629,-0.017059382,-103.16385,57.977684,-23.171989,0.14131543,133.39188,133.39224,-0.016745456,99.795486,-13.903172
1.0010999,0.41301435,-75.332809,0.42080516,0.41301441,99.809196,-28.765841,57.554543,-38.664486,0.42081806,0.15429279,64.336502,-125.54672,-80.659325,54.365383,-0.017557312,-107.84504,56.763359,-18.642927,0.15429279,133.39729,133.39764,-0.017243367,99.808823,-11.185719
1.0012,0.40796709,-76.633827,0.42076495,0.40796715,99.822533,-29.556639,58.366821,-41.852528,0.42077824,0.16711158,65.629318,-127.71455,-81.284401,54.857891,-0.018063972,-112.44238,55.418118,-13.973416,0.16711159,133.40318,133.40353,-0.017750008,99.822166,-8.3839951
1.0013,0.4025209,-77.918571,0.42072201,0.40252092,99.835876,-30.349577,59.161499,-45.040798,0.42073566,0.17975926,66.913391,-129.85524,-81.779991,55.32597,-0.018579248,-116.94772,53.943245,-9.1701488,0.17975928,133.40955,133.40991,-0.01826527,99.835503,-5.5020165
1.0014,0.39668149,-79.187202,0.42067623,0.39668155,99.84922,-31.144691,59.938728,-48.223957,0.42069027,0.19222355,68.188866,-131.96909,-82.144478,55.769775,-0.019103039,-121.35296,52.340435,-4.2403588,0.19222356,133.41638,133.41673,-0.018789044,99.848846,-2.5441241
1.0015,0.39045492,-80.43985,0.42062759,0.39045498,99.862556,-31.942162,60.698505,-51.396751,0.42064205,0.20449224,69.455902,-134.05626,-82.376297,56.18919,-0.019635232,-125.65014,50.611362,0.80880934,0.20449226,133.42368,133.42403,-0.019321224,99.86219,0.4853968
