"time","revolute.phi","revolute.w","rotor1D.phi","rotor1D.w"
0,0,0,0,0
0.00022000000000000001,6.7079425181171279e-12,7.6027879431746612e-08,6.7079425181171279e-12,7.6027879431746612e-08
0.00044000000000000002,5.3658227259277937e-11,3.0410743687086497e-07,5.3658227259277937e-11,3.0410743687086497e-07
0.00066,1.9326333175147526e-10,6.8423877978576103e-07,1.9326333175147526e-10,6.8423877978576103e-07
0.00088000000000000003,4.2924569405829457e-10,1.2164218354721705e-06,4.2924569405829457e-10,1.2164218354721705e-06
0.0011000000000000001,8.8787250186522417e-10,1.9006515406100486e-06,8.8787250186522417e-10,1.9006515406100486e-06
0.00132,1.5459381817149873e-09,2.7369288213302186e-06,1.5459381817149873e-09,2.7369288213302186e-06
0.0015400000000000001,2.3946007109936669e-09,3.7252540305164297e-06,2.3946007109936669e-09,3.7252540305164297e-06
0.0017600000000000001,3.4338600897012606e-09,4.8656271681686781e-06,3.4338600897012606e-09,4.8656271681686781e-06
0.00198,5.0418982412971066e-09,6.1580176368552654e-06,5.0418982412971066e-09,6.1580176368552654e-06
0.0022000000000000001,7.1022254752015789e-09,7.6024348613665692e-06,7.1022254752015789e-09,7.6024348613665692e-06
0.0024200000000000003,9.5437584820795159e-09,9.1988845928148602e-06,9.5437584820795159e-09,9.1988845928148602e-06
0.00264,1.2366497261930908e-08,1.0947366831200136e-05,1.2366497261930908e-08,1.0947366831200136e-05
0.0028600000000000001,1.5570441814755769e-08,1.2847881576522404e-05,1.5570441814755769e-08,1.2847881576522404e-05
0.0030800000000000003,1.9155592140554092e-08,1.4900428828781658e-05,1.9155592140554092e-08,1.4900428828781658e-05
0.0033,2.3121948239325874e-08,1.7105008587977897e-05,2.3121948239325874e-08,1.7105008587977897e-05
0.0035200000000000001,2.7469510111071126e-08,1.9461620854111129e-05,2.7469510111071126e-08,1.9461620854111129e-05
0.0037400000000000003,3.3233860234025171e-08,2.1970097910946354e-05,3.3233860234025171e-08,2.1970097910946354e-05
0.00396,4.0330343124050752e-08,2.4630453468737817e-05,4.0330343124050752e-08,2.4630453468737817e-05
0.0041800000000000006,4.8189100168468071e-08,2.7442779818097807e-05,4.8189100168468071e-08,2.7442779818097807e-05
0.0044000000000000003,5.6810131367277075e-08,3.0407076959026319e-05,5.6810131367277075e-08,3.0407076959026319e-05
0.00462,6.619343672047783e-08,3.3523344891523372e-05,6.619343672047783e-08,3.3523344891523372e-05
0.0048400000000000006,7.6339016228070342e-08,3.6791583615588976e-05,7.6339016228070342e-08,3.6791583615588976e-05
0.0050600000000000003,8.7246869890054546e-08,4.0211793131223097e-05,8.7246869890054546e-08,4.0211793131223097e-05
0.00528,9.8916997706430455e-08,4.3783973438425743e-05,9.8916997706430455e-08,4.3783973438425743e-05
0.0055000000000000005,1.1134939967719816e-07,4.7508124537196947e-05,1.1134939967719816e-07,4.7508124537196947e-05
0.0057200000000000003,1.2454407580235751e-07,5.1384246427536669e-05,1.2454407580235751e-07,5.1384246427536669e-05
0.00594,1.3850102608190861e-07,5.5412339109444922e-05,1.3850102608190861e-07,5.5412339109444922e-05
0.0061600000000000005,1.5322025051585148e-07,5.9592402582921733e-05,1.5322025051585148e-07,5.9592402582921733e-05
0.0063800000000000003,1.6870174910418605e-07,6.3924436847967054e-05,1.6870174910418605e-07,6.3924436847967054e-05
0.0066,1.849455218469123e-07,6.8408441904580894e-05,1.849455218469123e-07,6.8408441904580894e-05
0.0068200000000000005,2.0195156874403035e-07,7.3044417752763318e-05,2.0195156874403035e-07,7.3044417752763318e-05
0.0070400000000000003,2.197198897955401e-07,7.7832364392514233e-05,2.197198897955401e-07,7.7832364392514233e-05
0.00726,2.3972357664954217e-07,8.2771804091956197e-05,2.3972357664954217e-07,8.2771804091956197e-05
0.0074800000000000005,2.6580784814405807e-07,8.7861489825069466e-05,2.6580784814405807e-07,8.7861489825069466e-05
