"time","capacitor1.v","capacitor2.v","filter.x[1]","filter.x[2]","smee.is[1]","smee.is[2]","smee.excitation.electroMagneticConverter.Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","speed.phi","speed.w","voltageController.I.y"
0,0,0,0,0,0,0,0,0,0,0,0,0,157.07963267948966,0
3.9244558648818674e-14,-8.0201448386211155e-32,1.2854191949598512e-31,2.0955626390770832e-39,9.0842779838165686e-47,-2.0000000000009219e-10,9.999999999791083e-11,-1.387504651532055e-13,-3.5451255820612345e-21,-3.4939090996850216e-38,-1.3296437732098695e-21,-9.2554350245519743e-29,6.1645208572281354e-12,157.07963267948966,3.0052039122556899e-11
3.9244558648818674e-14,-8.0201448386211155e-32,1.2854191949598512e-31,2.0955626390770832e-39,9.0842779838165686e-47,-2.0000000000009219e-10,9.999999999791083e-11,-1.387504651532055e-13,-3.5451255820612345e-21,-3.4939090996850216e-38,-1.3296437732098695e-21,-9.2554350245519743e-29,6.1645208572281354e-12,157.07963267948966,3.0052039122556899e-11
5.0000000000000002e-05,0.1563690953213617,0.15636909532136262,0.0012051785257358347,3.2581640105882314e-06,-0.2437357300361975,0.11843171156416854,-0.00017644678476285263,-5.1027352399845078e-07,5.857828241236636e-11,-4.3042594572448504e-06,-1.9903787848881087e-09,0.0078539816339744783,157.07963267948966,0.038288160284594364
0.0001,0.37069564581831149,0.37069564581831238,0.0063575208539076201,3.6704803743918656e-05,-0.45156262616731035,0.21222627568661137,-0.0003522489694846397,-2.0520343270645364e-06,1.2998887161304979e-09,-2.2501538794490133e-05,-1.5766853130973814e-08,0.01570796326794896,157.07963267948966,0.07657631820828259
0.00015000000000000001,0.55621416201154728,0.55621416201154816,0.015375693916220149,0.00013933056149581302,-0.62388752164556927,0.28187008625981502,-0.00052743115838457409,-4.6446875930148671e-06,7.3405351785770388e-09,-5.4393932223596642e-05,-5.2657037582445909e-08,0.023561944901923437,157.07963267948966,0.11486446598152614
0.00020000000000000001,0.71024797982088916,0.71024797982089072,0.027604722859115884,0.00034492725147164887,-0.76620888657517083,0.33034253632742427,-0.00070201565482310834,-8.3039786294550963e-06,2.4102871179547611e-08,-9.7818487139480925e-05,-1.2354213532433042e-07,0.031415926535897913,157.07963267948966,0.15315259006138288
0.00025000000000000001,0.83741541094474037,0.83741541094474226,0.04244389203088169,0.0006807417647385545,-0.8835821770296366,0.36035352882508048,-0.00087602176800629988,-1.3040869224532247e-05,5.9253618068772795e-08,-0.0001507839117396415,-2.389478735324209e-07,0.039269908169872386,157.07963267948966,0.19144067214303565
0.00030000000000000003,0.94220932280921532,0.94220932280921799,0.059389587419542367,0.0011683869880377794,-0.98023554782381639,0.37416207078168007,-0.0010494661890465779,-1.8862168559901449e-05,1.2174977254018897e-07,-0.00021161835597263999,-4.091180602478617e-07,0.047123889803846866,157.07963267948966,0.2297286901176934
0.00035,1.0284078390412574,1.0284078390412619,0.078023715572632241,0.0018247878295280919,-1.0596660519187844,0.37363264673242025,-0.0012223633944762453,-2.5771206777455873e-05,2.2148685736219869e-07,-0.00027893182917095808,-6.4407130786945793e-07,0.054977871437821339,157.07963267948966,0.26801661887273687
0.00040000000000000002,1.0991373080199935,1.0991373080199982,0.097999301699705207,0.0026629912129551335,-1.1247618338292016,0.36030274583702498,-0.0013947259942595543,-3.3768415451616793e-05,3.6902036735236095e-07,-0.00035156873537215316,-9.5364563497224306e-07,0.062831853071795826,157.07963267948966,0.30630443096197701
0.00045000000000000004,1.1569806461810666,1.1569806461810694,0.11902807156405157,0.0036928389469346183,-1.1779078089213686,0.33544075944078261,-0.0015665650223996681,-4.2851812078416692e-05,5.7534635015587049e-07,-0.00042856689482081392,-1.3475332279156936e-06,0.070685834705770306,157.07963267948966,0.34459209716181621
0.00050000000000000001,1.2040696074602724,1.2040696074602744,0.14087030805262188,0.0049215150246993194,-1.2210721088738361,0.30009322768768609,-0.0017378901745320184,-5.3017395970312235e-05,8.5173178700536494e-07,-0.00050912406608721059,-1.8353068885742314e-06,0.078539816339744772,157.07963267948966,0.38287958692453194
0.00055000000000000003,1.2421628073267561,1.2421628073267583,0.16332642044806311,0.006353999461155134,-1.2558780338140727,0.2551239883049336,-0.0019087100059558112,-6.4259478026960906e-05,1.2095812759709536e-06,-0.00059257011797410916,-2.4264403498865046e-06,0.086393797973719266,157.07963267948966,0.42116686875518239
0.00060000000000000006,1.2727108708948447,1.2727108708948456,0.18622987767609647,0.0079934484863329516,-1.2836644370159316,0.20124684049871169,-0.0020790320984054519,-7.6570958247806754e-05,1.6603300936185973e-06,-0.00067834370250135351,-3.1303240931245456e-06,0.094247779607693719,157.07963267948966,0.45945391052849061
0.00065000000000000008,1.296909686682755,1.2969096866827563,0.20944146631700805,0.0098415030182037004,-1.3055348376626701,0.13905206273916321,-0.0022488631962284062,-8.994355211900968e-05,2.2153617743210323e-06,-0.00076597329931496299,-3.9562769855888848e-06,0.10210176124166818,157.07963267948966,0.49774067974719299
0.00069999999999999999,1.3157448612341893,1.3157448612341918,0.23284448678769423,0.01189854657013243,-1.3223985445611128,0.069028495916200111,-0.0024182093209559629,-0.00010436798087832172,2.8859416921108057e-06,-0.00085506135634070201,-4.9135551328249687e-06,0.10995574287564262,157.07963267948966,0.53602714375925153
0.00074476571794833033,1.3287254249863338,1.3287254249863374,0.25387928191029102,0.013917040676760684,-1.3338650275059387,2.6574408008145478e-05,-0.0025694202903679343,-0.00011816654145330281,3.5934479600589299e-06,-0.0009357838869223017,-5.8895773278939314e-06,0.11698752540759996,157.07963267948966,0.57030527907014983
0.00074476571794833033,1.3287254249863338,1.3287254249863374,0.25387928191029102,0.013917040676760684,-1.3338650275059387,2.6574408008145478e-05,-0.0025694202903679343,-0.00011816654145330281,3.5934479600589299e-06,-0.0009357838869223017,-5.8895773278939314e-06,0.11698752540759996,157.07963267948966,0.57030527907014983
0.00075000000000000002,1.330586193318104,1.3305861933181073,0.25634121218837047,0.014163916261226837,-1.339646430270093,4.0152807610335572e-06,-0.0025870757874607068,-0.00011983399965452411,3.6823645533335372e-06,-0.0009433178317213302,-9.3972634554194235e-06,0.11780972450961708,157.07963267948966,0.57431326993672827
0.00080000000000000004,1.3730364326207793,1.3730364326207833,0.28012505442976243,0.016636906335351608,-1.3932140569602403,1.9793816658538748e-06,-0.0027554592756502574,-0.00013631741354401848,4.5250627569233812e-06,-0.0010153575819344218,-4.5210106640723733e-05,0.1256637061435916,157.07963267948966,0.61259902579505288
0.00085000000000000006,1.4226801250953927,1.422680125095398,0.30461871695515852,0.019320721749458078,-1.4419346338962289,-8.1188892444176976e-08,-0.0029233608128227222,-0.00015380142538303813,5.3511455499160893e-06,-0.001088180022200571,-8.5427188811095929e-05,0.13351768777756617,157.07963267948966,0.65088437868598625
0.00090000000000000008,1.4683147385147777,1.4683147385147837,0.32980483651384546,0.02222029763818344,-1.4857002807466422,-2.1413483862845558e-06,-0.0030907880183483889,-0.00017228024679257213,6.1541896951911439e-06,-0.0011617453294427518,-0.00013003909250159417,0.14137166941154061,157.07963267948966,0.68916929526567317
0.00095,1.509321609661936,1.5093216096619431,0.35558880215396016,0.025339820887928945,-1.5249112930777762,-4.1994971773811449e-06,-0.0032577483742116235,-0.00019174803727808255,6.928404616702814e-06,-0.0012358220577569725,-0.00017890910697194206,0.14922565104551502,157.07963267948966,0.72745374146851793
0.001,1.5460221248564112,1.5460221248564192,0.38187755578382365,0.028682510656182075,-1.55996473512426,-6.2558541804531676e-06,-0.0034242491260965736,-0.00021219874033608226,7.6686813462237105e-06,-0.0013101812360760941,-0.00023190131497763177,0.15707963267948946,157.07963267948966,0.7657376826506257
