"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,0,-0.50552762
9.9999997e-05,-8.2126265e-13,-0.50552833
0.00019999999,-1.311129e-11,-0.50553042
0.00030000001,-8.1291071e-11,-0.50553393
0.00039999999,-2.0883546e-10,-0.50553882
0.00050000002,-6.2570366e-10,-0.50554502
0.00060000003,-1.2898137e-09,-0.50555265
0.00069999998,-2.1851312e-09,-0.50556159
0.00079999998,-3.3116558e-09,-0.50557196
0.00089999998,-5.2463318e-09,-0.50558358
0.001,-7.8114457e-09,-0.50559658
0.0011,-1.0898555e-08,-0.50561088
0.0012000001,-1.4507659e-08,-0.50562656
0.0013,-2.0502233e-08,-0.50564343
0.0014,-2.8699869e-08,-0.50566161
0.0015,-3.850645e-08,-0.50568104
0.0016,-4.9921976e-08,-0.50570178
0.0017,-6.2946441e-08,-0.50572377
0.0018,-7.7579855e-08,-0.50574708
0.0019,-9.3822216e-08,-0.5057717
0.0020000001,-1.1167351e-07,-0.50579756
0.0020999999,-1.3391087e-07,-0.50582463
0.0022,-1.6124091e-07,-0.50585288
0.0023000001,-1.9140342e-07,-0.50588238
0.0024000001,-2.2439841e-07,-0.50591314
0.0024999999,-2.6022587e-07,-0.50594515
0.0026,-2.9888582e-07,-0.50597841
0.0027000001,-3.4037828e-07,-0.50601292
0.0027999999,-3.8600987e-07,-0.50604868
0.0029,-4.4301294e-07,-0.50608546
0.003,-5.0511863e-07,-0.50612342
0.0031000001,-5.7232694e-07,-0.50616258
0.0031999999,-6.4463791e-07,-0.506203
0.0033,-7.2205142e-07,-0.50624454
0.0034,-8.0456761e-07,-0.50628734
0.0035000001,-8.9218645e-07,-0.50633132
0.0035999999,-9.9388922e-07,-0.50637633
0.0037,-1.1056572e-06,-0.50642252
0.0038000001,-1.2253341e-06,-0.50646979
0.0038999999,-1.3529198e-06,-0.50651824
0.0040000002,-1.4884141e-06,-0.50656784
0.0041,-1.6318173e-06,-0.50661856
0.0041999999,-1.7831293e-06,-0.50667048
0.0043000001,-1.9478609e-06,-0.50672346
0.0044,-2.1306046e-06,-0.50677747
0.0044999998,-2.3246505e-06,-0.5068326
0.0046000001,-2.5299989e-06,-0.50688887
0.0046999999,-2.7466494e-06,-0.50694621
0.0048000002,-2.9746025e-06,-0.50700462
0.0049000001,-3.2138576e-06,-0.50706422
0.0049999999,-3.4648147e-06,-0.50712484
0.0051000002,-3.7365835e-06,-0.50718653
0.0052,-4.023389e-06,-0.5072493
0.0052999998,-4.325675e-06,-0.50731313
0.0054000001,-4.6438854e-06,-0.50737798
0.0055,-4.978463e-06,-0.50744396
0.0055999998,-5.3298522e-06,-0.50751096
0.0057000001,-5.6984964e-06,-0.50757897
0.0057999999,-6.0875036e-06,-0.50764811
0.0059000002,-6.4971964e-06,-0.50771821
0.0060000001,-6.9271869e-06,-0.50778931
0.0060999999,-7.3781071e-06,-0.5078615
0.0062000002,-7.85059e-06,-0.50793469
0.0063,-8.3452687e-06,-0.5080089
0.0063999998,-8.8627758e-06,-0.50808412
0.0065000001,-9.404288e-06,-0.50816029
0.0066,-9.9715544e-06,-0.50823754
0.0066999998,-1.056433e-05,-0.50831574
0.0068000001,-1.1183339e-05,-0.50839496
0.0068999999,-1.1829302e-05,-0.50847512
0.0070000002,-1.2502944e-05,-0.50855631
0.0071,-1.3204985e-05,-0.50863844
