"Time","smee.is[1]","smee.idq_dr[1]","smee.idq_sr[2]","smee.lesigma.i","speed.phi","voltageController.I.y","smee.idq_sr[1]","smee.is[2]","speed.w","smee.idq_rr[2]"
0,0,-0.070138894,0,0,0,0,0,-0,0,-0.032222223
9.9999997e-05,-1.1955119e-08,-0.069142148,-1.2461243e-08,-0.00010305643,9.1678496e-09,9.9069638e-08,-1.1955119e-08,-4.8141935e-09,0.00024831487,-0.032196097
0.00019999999,-1.1889336e-08,-0.068165675,-1.2446316e-08,-0.00020397872,6.96431e-08,1.6992398e-07,-1.1889337e-08,-4.8341597e-09,0.00096961192,-0.032170005
0.00030000001,-1.1853299e-08,-0.067209847,-1.2428302e-08,-0.00030272471,2.2578007e-07,2.2918286e-07,-1.1853305e-08,-4.83658e-09,0.0021542695,-0.032143936
0.00039999999,-1.2002495e-08,-0.066281058,-1.240729e-08,-0.00039859008,5.2018794e-07,7.260773e-07,-1.2002508e-08,-4.743792e-09,0.0037889592,-0.032117885
0.00050000002,-1.2203138e-08,-0.06538564,-1.2383384e-08,-0.00049088034,9.9888439e-07,2.114298e-06,-1.2203163e-08,-4.6227768e-09,0.005859233,-0.032091856
0.00060000003,-1.2462917e-08,-0.064526364,-1.2356676e-08,-0.00057928613,1.7056183e-06,4.6129353e-06,-1.2462959e-08,-4.4697739e-09,0.0083513474,-0.03206585
0.00069999998,-1.2774052e-08,-0.063705653,-1.2327258e-08,-0.00066354108,2.6820821e-06,8.4176872e-06,-1.2774118e-08,-4.2887525e-09,0.011252203,-0.032039862
0.00079999998,-1.3138205e-08,-0.062925711,-1.2295218e-08,-0.00074339757,3.9677152e-06,1.3718469e-05,-1.3138303e-08,-4.0789585e-09,0.014549412,-0.032013897
0.00089999998,-1.3557714e-08,-0.062188756,-1.226064e-08,-0.00081861025,5.6017739e-06,2.07044e-05,-1.3557851e-08,-3.8393004e-09,0.018230639,-0.031987954
0.001,-1.402693e-08,-0.061496813,-1.2223609e-08,-0.00088895299,7.6221345e-06,2.9556664e-05,-1.4027116e-08,-3.5726759e-09,0.022283986,-0.03196203
0.0011,-1.4544224e-08,-0.060851946,-1.2184208e-08,-0.0009541958,1.0066886e-05,4.0458195e-05,-1.454447e-08,-3.2799752e-09,0.026697487,-0.031936128
0.0012000001,-1.5109515e-08,-0.060255762,-1.2142514e-08,-0.0010141578,1.2969937e-05,5.3572661e-05,-1.510983e-08,-2.9613072e-09,0.03146049,-0.031910248
0.0013,-1.572127e-08,-0.05971007,-1.2098606e-08,-0.0010686367,1.6367045e-05,6.9071903e-05,-1.5721664e-08,-2.6175113e-09,0.036561757,-0.031884387
0.0014,-1.6378531e-08,-0.059216302,-1.2052557e-08,-0.0011174708,2.0290554e-05,8.7111534e-05,-1.6379019e-08,-2.2491309e-09,0.041991133,-0.031858549
0.0015,-1.7079969e-08,-0.058775924,-1.2004441e-08,-0.0011604949,2.4773084e-05,0.00010784819,-1.7080565e-08,-1.8568987e-09,0.04773837,-0.031832729
0.0016,-1.7824311e-08,-0.058390282,-1.1954329e-08,-0.0011975564,2.9846198e-05,0.00013143347,-1.7825025e-08,-1.4415185e-09,0.053793546,-0.031806931
0.0017,-1.8610537e-08,-0.058060497,-1.190229e-08,-0.0012285277,3.5539251e-05,0.00015800806,-1.8611383e-08,-1.0035627e-09,0.060147446,-0.031781156
0.0018,-1.9437497e-08,-0.057787832,-1.1848394e-08,-0.0012532655,4.1882977e-05,0.00018771946,-1.943849e-08,-5.4367166e-10,0.066790409,-0.031755399
0.0019,-2.0304169e-08,-0.057573233,-1.1792705e-08,-0.0012716607,4.890504e-05,0.0002207002,-2.0305324e-08,-6.2417835e-11,0.07371375,-0.031729665
0.0020000001,-2.1209518e-08,-0.057417694,-1.1735291e-08,-0.0012835994,5.6633507e-05,0.00025708479,-2.1210846e-08,4.3961776e-10,0.080908641,-0.031703953
0.0020999999,-2.2152548e-08,-0.057322081,-1.1676214e-08,-0.0012889813,6.5095257e-05,0.00029700188,-2.2154069e-08,9.6187858e-10,0.08836665,-0.031678259
0.0022,-2.3132269e-08,-0.057287149,-1.1615536e-08,-0.0012877188,7.4315962e-05,0.00034057436,-2.3133996e-08,1.5038084e-09,0.096079707,-0.031652585
0.0023000001,-2.4147734e-08,-0.057313561,-1.1553317e-08,-0.0012797326,8.432052e-05,0.00038792138,-2.4149683e-08,2.0648747e-09,0.10403998,-0.031626936
0.0024000001,-2.5198029e-08,-0.05740191,-1.1489616e-08,-0.0012649533,9.5132986e-05,0.00043915785,-2.5200215e-08,2.6445626e-09,0.11223993,-0.031601306
0.0024999999,-2.6282276e-08,-0.057552792,-1.1424493e-08,-0.0012433097,0.00010677725,0.00049439818,-2.6284717e-08,3.2423757e-09,0.12067205,-0.031575695
0.0026,-2.7399627e-08,-0.057766702,-1.1358004e-08,-0.0012147417,0.00011927624,0.000553752,-2.7402336e-08,3.8578323e-09,0.12932912,-0.031550106
0.0027000001,-2.8549255e-08,-0.058044005,-1.1290205e-08,-0.0011792041,0.00013265162,0.00061732286,-2.8552252e-08,4.4904636e-09,0.13820435,-0.031524539
0.0027999999,-2.9730334e-08,-0.058385089,-1.122115e-08,-0.0011366482,0.00014692504,0.0006852143,-2.9733632e-08,5.1397993e-09,0.14729093,-0.031498991
0.0029,-3.0942047e-08,-0.058790304,-1.1150894e-08,-0.0010870309,0.00016211758,0.00075752707,-3.0945664e-08,5.8053766e-09,0.15658224,-0.031473462
0.003,-3.2183646e-08,-0.059259843,-1.1079491e-08,-0.0010303241,0.000178249,0.00083435577,-3.21876e-08,6.4867658e-09,0.16607206,-0.031447958
0.0031000001,-3.3454373e-08,-0.059793919,-1.100699e-08,-0.0009664995,0.00019533893,0.00091579405,-3.3458676e-08,7.1835351e-09,0.17575425,-0.03142247
0.0031999999,-3.4753484e-08,-0.06039273,-1.0933444e-08,-0.00089552981,0.00021340662,0.0010019339,-3.4758152e-08,7.8952542e-09,0.18562275,-0.031397007
0.0033,-3.6080266e-08,-0.061056335,-1.0858903e-08,-0.00081740221,0.00023247011,0.0010928619,-3.6085321e-08,8.6215186e-09,0.19567189,-0.031371564
0.0034,-3.7434038e-08,-0.061784793,-1.0783416e-08,-0.00073210459,0.00025254721,0.0011886627,-3.7439488e-08,9.3619317e-09,0.20589606,-0.031346139
0.0035000001,-3.8814125e-08,-0.062578164,-1.0707031e-08,-0.00063962513,0.00027365543,0.0012894203,-3.8819991e-08,1.0116104e-08,0.21628979,-0.031320736
