"Time","aimc.is[1]","aimc.is[2]","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i","loadInertia.phi","loadInertia.w"
2,-91.320793,-181.96883,0.19486366,0.12938026,0.10901186,-0.098428845,364.6109,-455.24304,132.17842,120.69531
2,-91.320793,-181.96883,0.19486366,0.12938026,0.10901186,-0.098428845,364.6109,-455.24304,132.17842,120.69531
2.0000999,-77.75209,-198.26422,0.18734527,0.14070618,0.10973109,-0.09761475,0.00054446072,0.014661201,132.19049,120.69813
2.0002,-63.905045,-214.25212,0.17949285,0.15176694,0.11044186,-0.096758224,0.001085824,0.014368237,132.20256,120.70144
2.0002999,-49.793167,-229.91803,0.17131242,0.16255127,0.11114471,-0.095859401,0.001626111,0.014061096,132.21463,120.70525
2.0004001,-35.433132,-245.24854,0.16281235,0.17304958,0.11184025,-0.09491872,0.0021647892,0.013740082,132.2267,120.70958
2.0005,-20.842556,-260.22931,0.15400188,0.1832519,0.11252908,-0.09393663,0.0027013277,0.013405511,132.23877,120.71442
2.0006001,-6.0390897,-274.84711,0.14489043,0.19314897,0.1132118,-0.092913605,0.0032351969,0.013057715,132.25084,120.71977
2.0007,8.9597502,-289.08893,0.13548759,0.20273165,0.113889,-0.091850124,0.0037658699,0.012697035,132.26291,120.72565
2.0007999,24.136419,-302.94223,0.12580314,0.21199104,0.11456124,-0.090746671,0.0042928229,0.012323826,132.27498,120.73206
2.0009,39.473164,-316.39502,0.11584722,0.22091873,0.11522909,-0.089603752,0.0048155366,0.011938459,132.28706,120.73901
2.0009999,54.952438,-329.43561,0.10563005,0.22950643,0.11589309,-0.088421874,0.005333493,0.011541309,132.29913,120.74648
2.0011001,70.556053,-342.05316,0.095162474,0.2377466,0.11655377,-0.087201566,0.0058461851,0.011132778,132.3112,120.75449
2.0012,86.26651,-354.23679,0.084455103,0.24563146,0.11721166,-0.085943364,0.0063531026,0.010713258,132.32329,120.76304
2.0013001,102.0657,-365.97641,0.07351917,0.25315401,0.11786728,-0.084647812,0.0068537481,0.010283168,132.33536,120.77213
2.0014,117.9359,-377.26227,0.062365867,0.26030737,0.1185211,-0.083315462,0.0073476257,0.0098429322,132.34744,120.78175
2.0014999,133.85916,-388.08527,0.051006731,0.26708516,0.11917363,-0.08194688,0.0078342501,0.0093929861,132.35951,120.79191
2.0016,149.81776,-398.43655,0.03945341,0.27348119,0.11982534,-0.080542654,0.0083131399,0.0089337723,132.3716,120.80261
2.0016999,165.79385,-408.30789,0.027717816,0.2794897,0.12047669,-0.079103351,0.0087838219,0.0084657464,132.38368,120.81384
2.0018001,181.76955,-417.69177,0.015812119,0.28510553,0.12112812,-0.077629589,0.0092458343,0.0079893656,132.39575,120.82561
2.0019,197.72702,-426.58078,0.0037486476,0.29032362,0.12178007,-0.076121956,0.0096987179,0.0075051039,132.40784,120.83792
2.0020001,213.64873,-434.96829,-0.0084602283,0.2951394,0.12243296,-0.074581087,0.010142026,0.0070134387,132.41992,120.85075
2.0021,229.51746,-442.84833,-0.020802138,0.29954869,0.1230872,-0.073007576,0.010575325,0.0065148519,132.43201,120.86411
2.0021999,245.31558,-450.21512,-0.033264227,0.30354765,0.12374319,-0.071402073,0.010998183,0.0060098399,132.44411,120.87799
2.0023,261.02597,-457.06357,-0.045833763,0.3071329,0.12440131,-0.06976521,0.011410182,0.0054989001,132.45619,120.89239
2.0023999,276.63184,-463.38934,-0.058498014,0.31030142,0.12506193,-0.068097621,0.011810923,0.004982532,132.46828,120.9073
2.0025001,292.11606,-469.18826,-0.07124386,0.31305057,0.1257254,-0.066399954,0.012200003,0.0044612517,132.48038,120.92271
2.0026,307.46213,-474.45685,-0.0840583,0.31537816,0.12639208,-0.06467288,0.012577038,0.0039355718,132.49246,120.93863
2.0027001,322.65378,-479.19238,-0.096928373,0.31728238,0.12706229,-0.062917046,0.012941662,0.0034060061,132.50456,120.95504
2.0028,337.67459,-483.39233,-0.10984078,0.31876183,0.12773634,-0.061133131,0.01329351,0.0028730836,132.51665,120.97194
2.0028999,352.5087,-487.05493,-0.12278236,0.31981549,0.12841456,-0.059321798,0.013632236,0.0023373289,132.52875,120.98932
2.003,367.14059,-490.17899,-0.13574006,0.3204428,0.12909719,-0.057483725,0.013957508,0.0017992654,132.54085,121.00718
2.0030999,381.5546,-492.76364,-0.14870045,0.3206436,0.12978455,-0.055619594,0.014269002,0.0012594308,132.55295,121.0255
2.0032001,395.73569,-494.80878,-0.16165037,0.32041809,0.13047689,-0.053730097,0.01456641,0.00071835628,132.56506,121.04427
2.0033,409.66919,-496.31485,-0.17457674,0.31976697,0.13117446,-0.051815916,0.014849444,0.00017657058,132.57716,121.06349
2.0034001,423.34033,-497.28265,-0.18746622,0.31869125,0.13187748,-0.049877748,0.015117818,-0.00036538483,132.58926,121.08315
2.0035,436.73499,-497.71359,-0.20030563,0.31719244,0.13258618,-0.047916289,0.01537127,-0.00090697565,132.60138,121.10323
2.0035999,449.83942,-497.60977,-0.21308199,0.31527242,0.13330078,-0.045932237,0.015609551,-0.0014476727,132.61349,121.12374
2.0037,462.64001,-496.97366,-0.22578217,0.31293347,0.13402146,-0.043926299,0.015832426,-0.0019869397,132.62561,121.14465
2.0037999,475.12366,-495.80832,-0.23839323,0.31017828,0.1347484,-0.041899174,0.016039673,-0.0025242441,132.63773,121.16596
2.0039001,487.27768,-494.11731,-0.25090235,0.30700991,0.13548177,-0.039851572,0.01623109,-0.0030590559,132.64984,121.18765
2.0039999,499.08972,-491.90479,-0.26329675,0.3034319,0.13622174,-0.037784193,0.016406486,-0.0035908471,132.66196,121.20972
2.0041001,510.54782,-489.17532,-0.27556378,0.29944813,0.13696842,-0.035697747,0.016565688,-0.0041190931,132.67407,121.23215
2.0042,521.6405,-485.93405,-0.28769094,0.29506287,0.13772194,-0.033592947,0.01670854,-0.0046432731,132.6862,121.25493
2.0043001,532.35663,-482.18665,-0.29966584,0.29028076,0.13848244,-0.031470496,0.0168349,-0.0051628686,132.69833,121.27805
2.0044,542.68555,-477.93921,-0.31147629,0.2851069,0.13924998,-0.029331109,0.016944643,-0.0056773685,132.71046,121.30149
2.0044999,552.61707,-473.19833,-0.32311019,0.27954665,0.14002469,-0.027175488,0.017037664,-0.0061862636,132.7226,121.32524
2.0046,562.1413,-467.9711,-0.33455566,0.27360585,0.14080662,-0.025004344,0.017113866,-0.006689053,132.73473,121.3493
2.0046999,571.24896,-462.26511,-0.34580097,0.26729068,0.14159581,-0.022818385,0.017173178,-0.0071852393,132.74686,121.37363
2.0048001,579.93121,-456.08829,-0.35683459,0.26060763,0.14239235,-0.020618314,0.017215541,-0.0076743336,132.759,121.39825
2.0049,588.17963,-449.44919,-0.36764526,0.25356358,0.14319624,-0.01840484,0.017240912,-0.0081558535,132.77113,121.42313
2.0050001,595.98627,-442.35666,-0.37822184,0.24616581,0.14400752,-0.01617866,0.017249266,-0.008629323,132.78328,121.44824
2.0051,603.34381,-434.8201,-0.38855353,0.23842183,0.14482619,-0.01394048,0.017240593,-0.0090942755,132.79543,121.47359
2.0051999,610.24524,-426.84921,-0.39862967,0.23033959,0.14565225,-0.011690994,0.017214905,-0.009550252,132.80757,121.49915
2.0053,616.68414,-418.45422,-0.40843987,0.2219273,0.14648567,-0.0094308993,0.017172227,-0.0099968016,132.81973,121.52493
2.0053999,622.65466,-409.64569,-0.41797408,0.21319351,0.14732644,-0.0071608871,0.0171126,-0.010433486,132.83188,121.55088
2.0055001,628.15137,-400.43454,-0.42722249,0.2041471,0.14817451,-0.004881646,0.017036082,-0.010859872,132.84404,121.57702
2.0056,633.16931,-390.83218,-0.4361755,0.19479722,0.14902982,-0.0025938612,0.016942749,-0.01127554,132.8562,121.60331
2.0057001,637.70416,-380.85025,-0.44482386,0.18515332,0.14989232,-0.00029821359,0.016832694,-0.011680079,132.86836,121.62975
2.0058,641.75208,-370.50085,-0.45315862,0.17522515,0.1507619,0.0020046202,0.016706027,-0.01207309,132.88052,121.65633
2.0058999,645.30969,-359.79633,-0.46117112,0.16502272,0.15163851,0.0043139681,0.01656287,-0.012454187,132.89268,121.68301
2.006,648.37415,-348.74939,-0.46885303,0.15455629,0.15252203,0.0066291625,0.016403364,-0.012822991,132.90486,121.7098
2.0060999,650.9433,-337.37305,-0.47619635,0.14383642,0.15341236,0.0089495415,0.01622767,-0.01317914,132.91704,121.73669
2.0062001,653.0152,-325.68063,-0.48319334,0.13287388,0.15430935,0.011274448,0.016035957,-0.013522282,132.92921,121.76364
2.0063,654.58875,-313.68573,-0.48983672,0.12167966,0.15521288,0.013603231,0.015828419,-0.013852078,132.94139,121.79065
2.0064001,655.66315,-301.40216,-0.49611947,0.110265,0.15612282,0.015935244,0.015605257,-0.014168203,132.95357,121.81771
2.0065,656.23828,-288.84406,-0.5020349,0.098641358,0.15703899,0.018269848,0.015366693,-0.014470345,132.96574,121.8448
2.0065999,656.31439,-276.02576,-0.50757682,0.086820364,0.15796122,0.020606412,0.015112962,-0.014758206,132.97794,121.87191
2.0067,655.8924,-262.96182,-0.51273924,0.074813858,0.15888935,0.022944307,0.014844313,-0.015031502,132.99013,121.89902
2.0067999,654.97369,-249.66702,-0.51751661,0.062633857,0.15982319,0.025282916,0.014561014,-0.015289963,133.00232,121.92612
2.0069001,653.56006,-236.1563,-0.52190381,0.050292537,0.16076255,0.027621623,0.014263343,-0.015533334,133.01451,121.9532
2.007,651.65405,-222.44476,-0.52589607,0.037802234,0.16170719,0.029959828,0.013951594,-0.015761374,133.0267,121.98024
2.0071001,649.25848,-208.54774,-0.52948892,0.025175424,0.16265692,0.03229693,0.013626074,-0.01597386,133.03891,122.00723
2.0072,646.37677,-194.48062,-0.53267837,0.012424713,0.1636115,0.034632336,0.013287105,-0.01617058,133.0511,122.03416
2.0072999,643.01288,-180.25899,-0.53546083,-0.00043716986,0.1645707,0.036965471,0.012935021,-0.016351342,133.06331,122.061
2.0074,639.17114,-165.89847,-0.53783309,-0.013397394,0.16553429,0.039295759,0.012570171,-0.016515967,133.07552,122.08776
2.0074999,634.85657,-151.41483,-0.5397923,-0.026443036,0.16650198,0.041622631,0.012192911,-0.016664291,133.08772,122.11442
2.0076001,630.0744,-136.8239,-0.54133606,-0.039561089,0.16747354,0.043945536,0.011803619,-0.016796168,133.09995,122.14096
2.0077,624.83057,-122.14156,-0.54246241,-0.052738477,0.16844869,0.046263922,0.011402675,-0.016911471,133.11215,122.16738
2.0078001,619.13135,-107.38374,-0.54316968,-0.065962076,0.16942714,0.048577249,0.010990476,-0.017010082,133.12437,122.19366
2.0079,612.98352,-92.566399,-0.54345679,-0.079218708,0.17040861,0.050884992,0.010567429,-0.017091908,133.1366,122.21979
2.0079999,606.39435,-77.705505,-0.54332286,-0.092495173,0.17139281,0.053186625,0.010133951,-0.017156864,133.14882,122.24576
2.0081,599.37146,-62.81702,-0.54276758,-0.10577825,0.17237943,0.055481639,0.0096904701,-0.017204886,133.16104,122.27155
2.0081999,591.92297,-47.916885,-0.54179096,-0.11905473,0.17336817,0.057769533,0.0092374245,-0.017235931,133.17328,122.29717
2.0083001,584.05737,-33.021004,-0.54039353,-0.13231137,0.1743587,0.060049813,0.0087752594,-0.017249966,133.1855,122.32259
2.0084,575.78357,-18.14521,-0.53857613,-0.14553501,0.17535071,0.062321998,0.008304433,-0.017246976,133.19774,122.34782
2.0085001,567.11102,-3.3052914,-0.53634006,-0.15871248,0.17634386,0.064585611,0.0078254091,-0.017226964,133.20998,122.37283
2.0086,558.04938,11.483066,-0.533687,-0.17183065,0.17733783,0.066840202,0.0073386603,-0.017189953,133.22221,122.39762
2.0086999,548.6087,26.204281,-0.53061903,-0.18487649,0.17833225,0.069085307,0.0068446668,-0.017135976,133.23445,122.42219
2.0088,538.7995,40.842876,-0.52713871,-0.19783701,0.1793268,0.071320496,0.0063439165,-0.017065087,133.2467,122.44651
2.0088999,528.63263,55.383522,-0.52324891,-0.21069932,0.18032113,0.073545322,0.005836904,-0.016977357,133.25894,122.47059
2.0090001,518.11926,69.811035,-0.51895303,-0.22345065,0.18131484,0.075759381,0.0053241285,-0.016872872,133.27119,122.49442
2.0091,507.27094,84.110382,-0.51425463,-0.23607826,0.18230762,0.077962257,0.0048060967,-0.016751735,133.28345,122.51799
2.0092001,496.09946,98.266731,-0.50915796,-0.24856964,0.18329906,0.080153547,0.0042833202,-0.016614065,133.2957,122.54129
2.0093,484.61691,112.26543,-0.50366741,-0.26091236,0.1842888,0.082332864,0.0037563141,-0.016459998,133.30795,122.56432
2.0093999,472.83582,126.09203,-0.49778795,-0.27309409,0.18527648,0.084499836,0.0032255987,-0.016289687,133.32021,122.58707
2.0095,460.76883,139.73232,-0.49152479,-0.28510275,0.1862617,0.086654097,0.0026916983,-0.016103301,133.33247,122.60954
2.0095999,448.42896,153.1723,-0.48488355,-0.29692641,0.18724407,0.088795282,0.0021551391,-0.015901022,133.34473,122.63171
2.0097001,435.82941,166.39827,-0.47787026,-0.30855325,0.18822323,0.090923063,0.001616451,-0.015683049,133.35699,122.65359
2.0098,422.98364,179.39671,-0.47049129,-0.31997171,0.18919876,0.093037091,0.0010761655,-0.015449599,133.36926,122.67517
2.0099001,409.9054,192.15446,-0.46275339,-0.33117047,0.19017029,0.09513706,0.0005348156,-0.015200903,133.38153,122.69645
2.01,396.60855,204.65862,-0.45466357,-0.34213832,0.19113739,0.097222641,-7.0641177e-06,-0.014937203,133.3938,122.71742
