"Time","T","rho","mu","cp","k"
0,313.27545,48.959667,1.2842353e-05,1132.9955,0.015635096
0.00019999999,313.28448,48.982327,1.2842946e-05,1133.1683,0.015636511
0.00039999999,313.29355,49.004982,1.2843539e-05,1133.3411,0.015637927
0.00060000003,313.30258,49.027645,1.2844132e-05,1133.514,0.015639344
0.00079999998,313.31161,49.050308,1.2844726e-05,1133.6869,0.01564076
0.001,313.32065,49.072975,1.2845319e-05,1133.8599,0.015642177
0.0012000001,313.32968,49.095646,1.2845913e-05,1134.0328,0.015643595
0.0014,313.33871,49.11832,1.2846506e-05,1134.2059,0.015645012
0.0016,313.34775,49.140995,1.28471e-05,1134.379,0.01564643
0.0018,313.35678,49.163673,1.2847694e-05,1134.5522,0.015647849
0.0020000001,313.36581,49.186356,1.2848287e-05,1134.7255,0.015649267
0.0022,313.37485,49.209038,1.2848881e-05,1134.8987,0.015650686
0.0024000001,313.38391,49.231724,1.2849475e-05,1135.072,0.015652105
0.0026,313.39294,49.254414,1.2850069e-05,1135.2454,0.015653525
0.0027999999,313.40198,49.277107,1.2850663e-05,1135.4187,0.015654944
0.003,313.41101,49.299801,1.2851257e-05,1135.5922,0.015656363
0.0031999999,313.42004,49.322498,1.2851851e-05,1135.7657,0.015657784
0.0034,313.42908,49.3452,1.2852445e-05,1135.9392,0.015659204
0.0035999999,313.43811,49.367905,1.2853039e-05,1136.1128,0.015660625
0.0038000001,313.44714,49.39061,1.2853634e-05,1136.2865,0.015662046
0.0040000002,313.45618,49.413319,1.2854228e-05,1136.4602,0.015663467
0.0041999999,313.46521,49.436031,1.2854823e-05,1136.6339,0.01566489
0.0044,313.47424,49.458748,1.2855417e-05,1136.8077,0.015666312
0.0046000001,313.48328,49.481464,1.2856011e-05,1136.9816,0.015667735
0.0048000002,313.49231,49.504185,1.2856606e-05,1137.1554,0.015669158
0.0049999999,313.50134,49.526909,1.2857201e-05,1137.3293,0.015670581
0.0052,313.51041,49.549633,1.2857795e-05,1137.5034,0.015672004
0.0054000001,313.51944,49.572365,1.285839e-05,1137.6774,0.015673427
0.0055999998,313.52847,49.595097,1.2858985e-05,1137.8514,0.015674852
0.0057999999,313.53751,49.617828,1.285958e-05,1138.0256,0.015676275
0.0060000001,313.54654,49.640568,1.2860175e-05,1138.1998,0.0156777
0.0062000002,313.55557,49.663307,1.286077e-05,1138.374,0.015679125
0.0063999998,313.56461,49.68605,1.2861365e-05,1138.5483,0.01568055
0.0066,313.57364,49.708797,1.286196e-05,1138.7227,0.015681975
0.0068000001,313.58267,49.731544,1.2862555e-05,1138.897,0.015683401
0.0070000002,313.59171,49.754295,1.2863151e-05,1139.0714,0.015684828
0.0071999999,313.60074,49.77705,1.2863747e-05,1139.2458,0.015686253
0.0074,313.60977,49.799809,1.2864341e-05,1139.4204,0.01568768
0.0076000001,313.6188,49.822567,1.2864937e-05,1139.595,0.015689107
0.0077999998,313.62784,49.845329,1.2865533e-05,1139.7697,0.015690535
0.0080000004,313.63687,49.868095,1.2866129e-05,1139.9443,0.015691962
0.0082,313.6459,49.890865,1.2866724e-05,1140.119,0.015693391
0.0083999997,313.65494,49.913635,1.286732e-05,1140.2937,0.015694819
0.0086000003,313.66397,49.936409,1.2867916e-05,1140.4686,0.015696248
0.0088,313.673,49.959187,1.2868511e-05,1140.6434,0.015697677
0.0089999996,313.68204,49.981964,1.2869107e-05,1140.8184,0.015699105
0.0092000002,313.69107,50.004749,1.2869704e-05,1140.9933,0.015700534
0.0093999999,313.7001,50.027534,1.28703e-05,1141.1683,0.015701964
0.0096000005,313.70914,50.050323,1.2870896e-05,1141.3434,0.015703395
0.0098000001,313.71817,50.073112,1.2871492e-05,1141.5184,0.015704826
0.0099999998,313.7272,50.095905,1.2872089e-05,1141.6936,0.015706256
0.0102,313.73624,50.118702,1.2872685e-05,1141.8689,0.015707687
0.0104,313.74527,50.141502,1.2873281e-05,1142.0441,0.015709119
0.0106,313.7543,50.164307,1.2873877e-05,1142.2194,0.015710549
0.0108,313.76334,50.187111,1.2874474e-05,1142.3948,0.015711982
0.011,313.77237,50.209919,1.2875071e-05,1142.5702,0.015713414
0.0112,313.7814,50.232731,1.2875667e-05,1142.7456,0.015714847
0.0114,313.79044,50.255543,1.2876264e-05,1142.9211,0.015716279
0.0116,313.79947,50.278358,1.2876862e-05,1143.0967,0.015717713
0.0118,313.8085,50.301178,1.2877458e-05,1143.2722,0.015719146
0.012,313.81754,50.324001,1.2878055e-05,1143.4479,0.01572058
0.0122,313.82657,50.346825,1.2878652e-05,1143.6237,0.015722014
0.0124,313.8356,50.369652,1.2879249e-05,1143.7993,0.015723448
0.0126,313.84464,50.392483,1.2879847e-05,1143.9751,0.015724884
0.0128,313.85367,50.415318,1.2880443e-05,1144.151,0.015726319
0.013,313.8627,50.438152,1.2881041e-05,1144.3269,0.015727755
0.0132,313.87173,50.460995,1.2881638e-05,1144.5028,0.015729189
0.0134,313.88077,50.483833,1.2882236e-05,1144.6788,0.015730625
0.0136,313.8898,50.50668,1.2882833e-05,1144.8549,0.015732061
0.0138,313.89883,50.529526,1.2883431e-05,1145.031,0.015733499
0.014,313.90787,50.55238,1.2884028e-05,1145.2072,0.015734935
0.0142,313.9169,50.57523,1.2884626e-05,1145.3833,0.015736373
0.0144,313.92593,50.598087,1.2885223e-05,1145.5596,0.015737811
0.0146,313.93497,50.620945,1.2885822e-05,1145.7358,0.015739249
0.0148,313.944,50.643806,1.2886419e-05,1145.9121,0.015740687
0.015,313.95303,50.666672,1.2887017e-05,1146.0885,0.015742125
0.0152,313.96207,50.689541,1.2887615e-05,1146.265,0.015743563
0.0154,313.97107,50.71241,1.2888214e-05,1146.4415,0.015745003
0.0156,313.9801,50.735283,1.2888811e-05,1146.618,0.015746443
0.015799999,313.98914,50.75816,1.288941e-05,1146.7946,0.015747882
0.016000001,313.99817,50.78104,1.2890008e-05,1146.9712,0.015749322
0.0162,314.0072,50.803921,1.2890607e-05,1147.1479,0.015750762
0.0164,314.01624,50.826805,1.2891205e-05,1147.3247,0.015752204
0.0166,314.02527,50.849693,1.2891804e-05,1147.5015,0.015753644
0.016799999,314.0343,50.872581,1.2892402e-05,1147.6782,0.015755085
0.017000001,314.04333,50.895477,1.2893001e-05,1147.8551,0.015756527
0.017200001,314.05237,50.918373,1.2893599e-05,1148.0321,0.015757969
0.0174,314.0614,50.941269,1.2894197e-05,1148.2091,0.015759412
0.0176,314.07043,50.964172,1.2894797e-05,1148.3861,0.015760854
0.0178,314.07947,50.987076,1.2895395e-05,1148.5632,0.015762297
0.017999999,314.08847,51.009983,1.2895995e-05,1148.7404,0.015763741
0.018200001,314.0975,51.032894,1.2896593e-05,1148.9175,0.015765185
0.0184,314.10654,51.055805,1.2897192e-05,1149.0947,0.015766628
0.0186,314.11557,51.078724,1.2897792e-05,1149.272,0.015768072
0.0188,314.1246,51.101643,1.2898391e-05,1149.4493,0.015769517
0.018999999,314.13364,51.124561,1.289899e-05,1149.6267,0.015770961
0.019200001,314.14267,51.147488,1.289959e-05,1149.8042,0.015772406
0.019400001,314.1517,51.170414,1.2900189e-05,1149.9817,0.015773851
0.0196,314.16074,51.193344,1.2900789e-05,1150.1592,0.015775297
0.0198,314.16977,51.216278,1.2901388e-05,1150.3368,0.015776744
0.02,314.17877,51.239212,1.2901987e-05,1150.5144,0.01577819
0.020199999,314.18781,51.262154,1.2902588e-05,1150.692,0.015779637
0.020400001,314.19684,51.285095,1.2903187e-05,1150.8698,0.015781084
0.0206,314.20587,51.308037,1.2903787e-05,1151.0476,0.015782531
0.0208,314.2149,51.330986,1.2904386e-05,1151.2255,0.015783979
0.021,314.22394,51.353935,1.2904987e-05,1151.4033,0.015785426
0.021199999,314.23297,51.376888,1.2905586e-05,1151.5812,0.015786875
0.021400001,314.242,51.399845,1.2906186e-05,1151.7592,0.015788324
0.021600001,314.25104,51.422802,1.2906787e-05,1151.9373,0.015789771
0.0218,314.26004,51.445763,1.2907387e-05,1152.1154,0.015791221
0.022,314.26907,51.468727,1.2907987e-05,1152.2935,0.015792672
0.0222,314.27811,51.491695,1.2908587e-05,1152.4717,0.015794121
0.022399999,314.28714,51.514664,1.2909188e-05,1152.6499,0.015795572
0.022600001,314.29617,51.53764,1.2909788e-05,1152.8281,0.015797021
0.0228,314.30521,51.560616,1.2910389e-05,1153.0065,0.015798472
0.023,314.31424,51.583591,1.2910989e-05,1153.1848,0.015799923
0.0232,314.32324,51.606575,1.2911591e-05,1153.3633,0.015801376
0.023399999,314.33228,51.629559,1.2912191e-05,1153.5417,0.015802827
0.023600001,314.34131,51.652546,1.2912792e-05,1153.7203,0.01580428
0.023800001,314.35034,51.675537,1.2913392e-05,1153.8989,0.015805731
0.024,314.35938,51.698528,1.2913993e-05,1154.0775,0.015807183
0.0242,314.36841,51.721523,1.2914595e-05,1154.2562,0.015808636
0.0244,314.37741,51.744522,1.2915196e-05,1154.4349,0.015810091
0.024599999,314.38644,51.767525,1.2915797e-05,1154.6138,0.015811544
0.024800001,314.39548,51.790527,1.2916398e-05,1154.7926,0.015812999
0.025,314.40451,51.813538,1.2916999e-05,1154.9714,0.015814453
0.0252,314.41354,51.836544,1.2917601e-05,1155.1504,0.015815906
0.0254,314.42258,51.859558,1.2918202e-05,1155.3293,0.015817363
0.025599999,314.43158,51.882576,1.2918804e-05,1155.5084,0.015818818
