"Time","B5.medium.h","B5.level","B5.InnerTankTop[1].m_flow_negative","B5.InnerTankSide[1].m_flow_negative","B5.InnerTankBottom[1].m_flow_negative","controller.Transition1.enableFire","controller.Transition2.enableFire","controller.Transition3.enableFire","controller.Transition4.enableFire","controller.Transition5.enableFire","controller.Transition6.enableFire","controller.Transition7.enableFire","controller.Transition8.enableFire","controller.Transition9.enableFire","controller.Transition10.enableFire","controller.Transition11.enableFire","controller.Transition12.enableFire","controller.Transition13.enableFire","controller.TransitionWithSignal1.enableFire","volume5.medium.p","volume5.medium.h","P1.medium.p","P1.medium.h","P2.medium.p","P2.medium.h","B1.level","B1.medium.h","P1_on.y","P2_on.y","B2.level","B2.medium.h","B3.level","B3.medium.h","B4.level","B4.medium.h","B7.level","B7.medium.h","pipeB1B2.mediums[1].p","pipeB1B2.mediums[1].h","pipeB1B2.mediums[2].p","pipeB1B2.mediums[2].h","pipePump1B1.mediums[1].p","pipePump1B1.mediums[1].h","pipePump1B1.mediums[2].p","pipePump1B1.mediums[2].h","pipePump2B2.mediums[1].p","pipePump2B2.mediums[1].h","pipePump2B2.mediums[2].p","pipePump2B2.mediums[2].h","B6.level","B6.medium.h","volume4.medium.p","volume4.medium.h"
0,83916.07,0.00089999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.2,84013.055,0,0,0.2,84013.055,0.02,84013.055,0.015,84013.055,0.0089999996,104302.01,101325,84013.055,101325,84013.055,101325,84013.055,101325,84013.055,101325,84013.055,101325,84013.055,0.02,104302.01,101325,84013.055
0.5,83916.07,0.00089999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.2,84013.055,0,0,0.2,84013.055,0.02,84013.055,0.015,84013.055,0.0089999996,104300.76,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.02,104301.29,101325,84013.055
1,83916.07,0.00089999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.2,84013.055,0,0,0.2,84013.055,0.02,84013.055,0.015,84013.055,0.0089999987,104299.52,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999998,104300.57,101325,84013.055
1,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.2,84013.055,0,0,0.2,84013.055,0.02,84013.055,0.015,84013.055,0.0089999987,104299.52,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999998,104300.57,101325,84013.055
1,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.2,84013.055,0,0,0.2,84013.055,0.02,84013.055,0.015,84013.055,0.0089999987,104299.52,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999998,104300.57,101325,84013.055
1,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.2,84013.055,0,0,0.2,84013.055,0.02,84013.055,0.015,84013.055,0.0089999987,104299.52,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999998,104300.57,101325,84013.055
1.1,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19981144,84013.055,0,0,0.2,84013.055,0.020188559,84013.07,0.015,84013.055,0.0089999977,104299.27,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999998,104300.43,101325,84013.055
1.1,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19981144,84013.055,0,0,0.2,84013.055,0.020188559,84013.07,0.015,84013.055,0.0089999977,104299.27,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999998,104300.43,101325,84013.055
1.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19905242,84013.055,0,0,0.2,84013.055,0.020947572,84013.102,0.015,84013.055,0.0089999977,104298.27,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999998,104299.85,101325,84013.055
2,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19810513,84013.055,0,0,0.2,84013.055,0.021894874,84013.133,0.015,84013.055,0.0089999968,104297.03,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999996,104299.14,101325,84013.055
2.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19715945,84013.055,0,0,0.2,84013.055,0.022840548,84013.172,0.015,84013.055,0.0089999959,104295.79,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999996,104298.42,101325,84013.055
3,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19621541,84013.055,0,0,0.2,84013.055,0.023784595,84013.203,0.015,84013.055,0.008999995,104294.55,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999994,104297.7,101325,84013.055
3.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19527298,84013.055,0,0,0.2,84013.055,0.024727017,84013.234,0.015,84013.055,0.008999994,104293.3,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999994,104296.98,101325,84013.055
4,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19433218,84013.055,0,0,0.2,84013.055,0.025667813,84013.258,0.015,84013.055,0.0089999931,104292.05,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999992,104296.27,101325,84013.055
4.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19339302,84013.055,0,0,0.2,84013.055,0.026606983,84013.289,0.015,84013.055,0.0089999922,104290.81,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999992,104295.55,101325,84013.055
5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19245547,84013.055,0,0,0.2,84013.055,0.027544528,84013.312,0.015,84013.055,0.0089999912,104289.57,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.01999999,104294.84,101325,84013.055
