"Time","smpm.idq_sr[1]","smpm.idq_sr[2]","inertiaLoad.phi","inertiaLoad.w","dqCurrentController.PI_d.x","dqCurrentController.PI_q.x"
0,-0,-0,0,-157.07964,75.660423,-119.64246
0.001,-1.8374305,9.8845577,-0.15691115,-156.74075,73.899178,-116.95814
0.0020000001,-3.6050854,12.452924,-0.31347963,-156.39534,72.17981,-114.34195
0.003,-5.3306546,14.961748,-0.46970007,-156.04465,70.501175,-111.78595
0.0040000002,-7.0151353,17.412411,-0.62556726,-155.68887,68.862312,-109.28876
0.0049999999,-8.6595011,19.806255,-0.78107619,-155.32817,67.262283,-106.84901
0.0060000001,-10.264704,22.144604,-0.93622208,-154.96271,65.70015,-104.46538
0.0070000002,-11.831674,24.428741,-1.0910002,-154.59262,64.175011,-102.13656
0.0080000004,-13.361318,26.659924,-1.2454059,-154.21808,62.686001,-99.861282
0.0089999996,-14.854523,28.839378,-1.3994349,-153.83923,61.232246,-97.638321
0.0099999998,-16.312153,30.968304,-1.5530829,-153.45621,59.812916,-95.466454
0.011,-17.735054,33.047867,-1.7063459,-153.06915,58.427189,-93.344513
0.012,-19.124046,35.079212,-1.8592199,-152.67821,57.074272,-91.271332
0.013,-20.479937,37.063454,-2.0117011,-152.28351,55.753376,-89.245796
0.014,-21.803511,39.001686,-2.1637857,-151.88518,54.463749,-87.2668
0.015,-23.095537,40.894966,-2.3154702,-151.48335,53.204643,-85.33326
0.016000001,-24.356764,42.744343,-2.4667513,-151.07814,51.975334,-83.444138
0.017000001,-25.587925,44.550827,-2.6176255,-150.66969,50.775112,-81.598404
0.017999999,-26.789732,46.315411,-2.7680895,-150.25809,49.603283,-79.795044
0.018999999,-27.962885,48.03907,-2.9181406,-149.84348,48.459179,-78.033096
0.02,-29.108063,49.722744,-3.0677755,-149.42595,47.342136,-76.311592
0.021,-30.225933,51.367363,-3.2169917,-149.00562,46.251511,-74.629608
0.022,-31.317142,52.973831,-3.3657858,-148.5826,45.186672,-72.986214
0.023,-32.382328,54.543026,-3.5141559,-148.15698,44.147015,-71.380531
0.024,-33.422104,56.075813,-3.6620991,-147.72888,43.131935,-69.811684
0.025,-34.43708,57.573036,-3.809613,-147.29839,42.14085,-68.278824
0.026000001,-35.427845,59.035519,-3.9566951,-146.8656,41.173183,-66.78112
0.027000001,-36.394974,60.464058,-4.1033435,-146.43062,40.22839,-65.317749
0.028000001,-37.339027,61.859444,-4.2495556,-145.99352,39.305912,-63.887936
0.028999999,-38.260559,63.222446,-4.39533,-145.5544,38.405231,-62.490887
0.029999999,-39.160099,64.55381,-4.5406637,-145.11336,37.525822,-61.125858
0.030999999,-40.038177,65.854263,-4.6855559,-144.67046,36.667183,-59.792107
0.032000002,-40.895298,67.124527,-4.8300042,-144.22578,35.828815,-58.488903
0.033,-41.731968,68.365303,-4.9740067,-143.77942,35.010242,-57.215549
0.034000002,-42.548668,69.577263,-5.1175623,-143.33145,34.210991,-55.971355
0.035,-43.345875,70.761078,-5.2606692,-142.88194,33.430599,-54.755642
0.035999998,-44.12405,71.917404,-5.403326,-142.43098,32.668625,-53.567753
0.037,-44.883656,73.046875,-5.5455308,-141.97862,31.924623,-52.407051
