"Time","mass1.v","mass2.v","mass3.v","mass4.v"
0,100,100,100,100
9.9999997e-05,99.989998,99.989998,99.989998,99.989998
0.00019999999,99.980003,99.980003,99.980003,99.979996
0.00030000001,99.970001,99.970001,99.970009,99.969994
0.00039999999,99.959999,99.960007,99.960014,99.959991
0.00050000002,99.949997,99.950012,99.950027,99.949989
0.00060000003,99.940002,99.940018,99.940033,99.93998
0.00069999998,99.93,99.930023,99.930046,99.929977
0.00079999998,99.919998,99.920029,99.920067,99.919968
0.00089999998,99.910004,99.910042,99.91008,99.909958
0.001,99.900002,99.900047,99.900101,99.899948
0.0011,99.889999,99.89006,99.890121,99.889938
0.0012000001,99.879997,99.880074,99.880142,99.879929
0.0013,99.870003,99.870087,99.870171,99.869919
0.0014,99.860001,99.8601,99.860199,99.859901
0.0015,99.849998,99.850113,99.850227,99.849884
0.0016,99.839996,99.840126,99.840256,99.839874
0.0017,99.830002,99.830147,99.830292,99.829857
0.0018,99.82,99.82016,99.82032,99.819839
0.0019,99.809998,99.810181,99.810364,99.809822
0.0020000001,99.800003,99.800201,99.8004,99.799797
0.0020999999,99.790001,99.790222,99.790443,99.78978
0.0022,99.779999,99.780243,99.780479,99.779755
0.0023000001,99.769997,99.770264,99.770531,99.769737
0.0024000001,99.760002,99.760284,99.760574,99.759712
0.0024999999,99.75,99.750313,99.750626,99.749687
0.0026,99.739998,99.740341,99.740677,99.739662
0.0027000001,99.730003,99.730362,99.730728,99.729637
0.0027999999,99.720001,99.72039,99.720779,99.719604
0.0029,99.709999,99.710419,99.710838,99.709579
0.003,99.699997,99.700447,99.700897,99.699547
0.0031000001,99.690002,99.690483,99.690956,99.689514
0.0031999999,99.68,99.680511,99.681023,99.679489
0.0033,99.669998,99.670547,99.671082,99.669456
0.0034,99.660004,99.660576,99.661148,99.659416
0.0035000001,99.650002,99.650612,99.651222,99.649384
0.0035999999,99.639999,99.640648,99.641289,99.639351
0.0037,99.629997,99.630684,99.631363,99.629311
0.0038000001,99.620003,99.62072,99.621437,99.619278
0.0038999999,99.610001,99.610756,99.611511,99.609238
0.0040000002,99.599998,99.6008,99.601593,99.599197
0.0041,99.589996,99.590836,99.591675,99.589157
0.0041999999,99.580002,99.580879,99.581757,99.579117
0.0043000001,99.57,99.570923,99.571838,99.569069
0.0044,99.559998,99.560966,99.561928,99.559029
0.0044999998,99.550003,99.55101,99.552017,99.548981
0.0046000001,99.540001,99.541054,99.542107,99.538933
0.0046999999,99.529999,99.531105,99.532196,99.528893
0.0048000002,99.519997,99.521149,99.522293,99.518845
0.0049000001,99.510002,99.5112,99.51239,99.508789
0.0049999999,99.5,99.501251,99.502487,99.498741
0.0051000002,99.489998,99.491295,99.492584,99.488693
0.0052,99.480003,99.481346,99.482689,99.478638
0.0052999998,99.470001,99.471405,99.472794,99.46859
0.0054000001,99.459999,99.461456,99.462898,99.458534
0.0055,99.449997,99.451508,99.453003,99.448479
0.0055999998,99.440002,99.441566,99.443115,99.438423
0.0057000001,99.43,99.431618,99.433228,99.428368
0.0057999999,99.419998,99.421677,99.42334,99.418304
0.0059000002,99.410004,99.411736,99.41346,99.408249
0.0060000001,99.400002,99.401794,99.40358,99.398186
