"Time","meanPower.y","vRMS.y","iH01.y_arg","iH01.y_rms","multiSensor.v","voltageSensor.v","vH01.y_arg","multiSensor.power","iRMS.y","vH01.y_rms","multiSensor.i"
2.9000001,750.1463,105.41811,2.1939352,8.3978891,2.0692134e-05,2.0685862e-05,1.678579,-0.0001298064,8.4409208,101.61674,-6.2732244
2.9001999,750.1463,105.41811,2.1939352,8.3978891,9.7679129,9.7679129,1.678579,-54.361267,8.4409208,101.61674,-5.5652905
2.9003999,750.1463,105.41811,2.1939352,8.3978891,19.497276,19.497276,1.678579,-94.258316,8.4409208,101.61674,-4.8344355
2.9006,750.1463,105.41811,2.1939352,8.3978891,29.149693,29.149693,1.678579,-119.03701,8.4409208,101.61674,-4.0836458
2.9008,750.1463,105.41811,2.1939352,8.3978891,38.687069,38.687069,1.678579,-128.28532,8.4409208,101.61674,-3.3159742
2.901,750.1463,105.41811,2.1939352,8.3978891,48.071762,48.071762,1.678579,-121.83939,8.4409208,101.61674,-2.5345314
2.9012001,750.1463,105.41811,2.1939352,8.3978891,57.266743,57.266743,1.678579,-99.785713,8.4409208,101.61674,-1.7424724
2.9014001,750.1463,105.41811,2.1939352,8.3978891,66.23571,66.23571,1.678579,-62.459476,8.4409208,101.61674,-0.94298792
2.9015999,750.1463,105.41811,2.1939352,8.3978891,74.943283,74.943283,1.678579,-10.438896,8.4409208,101.61674,-0.13929062
2.9016347,750.1463,105.41811,2.1939352,8.3978891,76.421265,76.421265,1.678579,4.3277271e-07,8.4409208,101.61674,5.6629879e-09
2.9016347,750.1463,105.41811,2.1939352,8.3978891,73.589775,76.421265,1.678579,4.16738e-07,8.4409208,101.61674,5.6629879e-09
2.9017999,750.1463,105.41811,2.1939352,8.3978891,3.3486974e-06,83.355087,1.678579,5.5826188e-13,8.4409208,101.61674,1.6671017e-07
2.902,750.1463,105.41811,2.1939352,8.3978891,1.2467113e-06,91.437927,1.678579,2.2799341e-13,8.4409208,101.61674,1.8287585e-07
2.9022,750.1463,105.41811,2.1939352,8.3978891,3.4317707e-06,99.159904,1.678579,6.8058802e-13,8.4409208,101.61674,1.983198e-07
2.9024,750.1463,105.41811,2.1939352,8.3978891,-2.4641899e-06,106.49054,1.678579,-5.2482584e-13,8.4409208,101.61674,2.1298108e-07
2.902539,750.1463,105.41811,2.1939352,8.3978891,2.3235791e-06,111.34225,1.678579,5.1742502e-13,8.4409208,101.61674,2.2268448e-07
2.902539,750.1463,105.41811,2.1939352,8.3978891,111.34225,111.34225,1.678579,2.479419e-05,8.4409208,101.61674,2.2268448e-07
2.9026,750.1463,105.41811,2.1939352,8.3978891,113.4009,113.4009,1.678579,40.199162,8.4409208,101.61674,0.35448715
2.9028001,750.1463,105.41811,2.1939352,8.3978891,119.86373,119.86373,1.678579,177.51421,8.4409208,101.61674,1.4809668
2.9030001,750.1463,105.41811,2.1939352,8.3978891,125.85351,125.85351,1.678579,321.0871,8.4409208,101.61674,2.5512767
2.9031999,750.1463,105.41811,2.1939352,8.3978891,131.3466,131.3466,1.678579,468.44424,8.4409208,101.61674,3.5664742
2.9033999,750.1463,105.41811,2.1939352,8.3978891,136.32132,136.32132,1.678579,617.16492,8.4409208,101.61674,4.5272808
2.9036,750.1463,105.41811,2.1939352,8.3978891,140.75806,140.75806,1.678579,764.89819,8.4409208,101.61674,5.4341345
2.9038,750.1463,105.41811,2.1939352,8.3978891,144.63928,144.63928,1.678579,909.38232,8.4409208,101.61674,6.2872429
2.904,750.1463,105.41811,2.1939352,8.3978891,147.94968,147.94968,1.678579,1048.4644,8.4409208,101.61674,7.0866284
2.9042001,750.1463,105.41811,2.1939352,8.3978891,150.67618,150.67618,1.678579,1180.1215,8.4409208,101.61674,7.8321695
2.9044001,750.1463,105.41811,2.1939352,8.3978891,152.80803,152.80803,1.678579,1302.4808,8.4409208,101.61674,8.5236406
2.9045999,750.1463,105.41811,2.1939352,8.3978891,154.33682,154.33682,1.678579,1413.8402,8.4409208,101.61674,9.1607437
2.9047999,750.1463,105.41811,2.1939352,8.3978891,155.25652,155.25652,1.678579,1512.686,8.4409208,101.61674,9.7431402
